,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-14,0.85,1.09,-0.24,-22.0183
1,2022-06-30,2022-07-15,0.74,0.8,-0.06,-7.5
2,2022-03-31,2022-04-14,0.88,0.8,0.08,10
3,2021-12-31,2022-01-14,1.25,1.13,0.12,10.6195
4,2021-09-30,2021-10-14,1.17,0.99,0.18,18.1818
5,2021-06-30,2021-07-14,1.38,0.98,0.4,40.8163
6,2021-03-31,2021-04-14,1.05,0.7,0.35,50
7,2020-12-31,2021-01-15,0.64,0.6,0.04,6.6667
8,2020-09-30,2020-10-14,0.42,0.45,-0.03,-6.6667
9,2020-06-30,2020-07-14,-0.66,-0.2,-0.46,-230
10,2020-03-31,2020-04-14,0.01,0.33,-0.32,-96.9697
11,2019-12-31,2020-01-14,0.6,1.12,-0.52,-46.4286
12,2019-09-30,2019-10-15,0.92,1.15,-0.23,-20
13,2019-06-30,2019-07-16,1.3,1.15,0.15,13.0435
14,2019-03-31,2019-04-12,1.2,1.09,0.11,10.0917
15,2018-12-31,2019-01-15,1.21,1.17,0.04,3.4188
16,2018-09-30,2018-10-12,1.13,1.17,-0.04,-3.4188
17,2018-06-30,2018-07-13,0.98,1.12,-0.14,-12.5
18,2018-03-31,2018-04-13,1.12,1.07,0.05,4.6729
19,2017-12-31,2018-01-12,0.97,1.07,-0.1,-9.3458
20,2017-09-30,2017-10-13,0.84,1.02,-0.18,-17.6471
21,2017-06-30,2017-07-14,1.07,1.01,0.06,5.9406
22,2017-03-31,2017-04-13,1,0.97,0.03,3.0928
23,2016-12-31,2017-01-13,0.96,1,-0.04,-4
24,2016-09-30,2016-10-14,1.03,1.01,0.02,1.9802
25,2016-06-30,2016-07-15,1.01,1.01,0,0
26,2016-03-31,2016-04-14,0.99,0.97,0.02,2.0619
27,2015-12-31,2016-01-15,1.03,1.02,0.01,0.9804
28,2015-09-30,2015-10-14,1.05,1.05,0,0
29,2015-06-30,2015-07-14,1.03,1.03,0,0
30,2015-03-31,2015-04-14,1.04,0.98,0.06,6.1224
31,2014-12-31,2015-01-14,1.02,1.01,0.01,0.9901
32,2014-09-30,2014-10-14,1.02,1.02,0,0
33,2014-06-30,2014-07-11,1.01,1.01,0,0
34,2014-03-31,2014-04-11,1.05,0.97,0.08,8.2474
35,2013-12-31,2014-01-14,1,0.98,0.02,2.0408
36,2013-09-30,2013-10-11,0.99,0.97,0.02,2.0619
37,2013-06-30,2013-07-12,0.98,0.93,0.05,5.3763
38,2013-03-31,2013-04-12,0.92,0.88,0.04,4.5455
39,2012-12-31,2013-01-11,0.92,0.89,0.03,3.3708
40,2012-09-30,2012-10-12,0.88,0.87,0.01,1.1494
41,2012-06-30,2012-07-13,0.82,0.81,0.01,1.2346
42,2012-03-31,2012-04-13,0.75,0.73,0.02,2.7397
43,2011-12-31,2012-01-17,0.73,0.72,0.01,1.3889
44,2011-09-30,2011-10-17,0.72,0.73,-0.01,-1.3699
