,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-20,4.49,5.34,-0.85,-15.9176
1,2022-06-30,2022-07-25,5.97,5.24,0.73,13.9313
2,2022-03-31,2022-04-25,5.31,5.36,-0.05,-0.9328
3,2021-12-31,2022-01-26,6.14,5.89,0.25,4.2445
4,2021-09-30,2021-10-21,6.68,6.12,0.56,9.1503
5,2021-06-30,2021-07-21,6.64,5.91,0.73,12.3519
6,2021-03-31,2021-04-21,7.2,5.41,1.79,33.0869
7,2020-12-31,2021-01-27,6.64,6.07,0.57,9.3904
8,2020-09-30,2020-10-21,6.91,4.2,2.71,64.5238
9,2020-06-30,2020-07-22,2.15,1,1.15,115
10,2020-03-31,2020-04-30,2.82,2.48,0.34,13.7097
11,2019-12-31,2020-01-27,4.91,4.27,0.64,14.9883
12,2019-09-30,2019-10-22,3.97,3.89,0.08,2.0566
13,2019-06-30,2019-07-22,4.01,3.71,0.3,8.0863
14,2019-03-31,2019-04-22,3.11,2.86,0.25,8.7413
15,2018-12-31,2019-01-28,4.75,4.23,0.52,12.2931
16,2018-09-30,2018-10-24,4.55,3.76,0.79,21.0106
17,2018-06-30,2018-07-23,3.2,3.69,-0.49,-13.2791
18,2018-03-31,2018-04-23,2.81,2.95,-0.14,-4.7458
19,2017-12-31,2018-01-24,4.1,3.99,0.11,2.7569
20,2017-09-30,2017-10-23,3.83,3.94,-0.11,-2.7919
21,2017-06-30,2017-07-26,3.35,3.54,-0.19,-5.3672
22,2017-03-31,2017-04-24,2.5,2.65,-0.15,-5.6604
23,2016-12-31,2017-01-26,4.33,4.44,-0.11,-2.4775
24,2016-09-30,2016-10-25,3.66,3.86,-0.2,-5.1813
25,2016-06-30,2016-07-22,3.5,3.36,0.14,4.1667
26,2016-03-31,2016-04-26,2.63,2.68,-0.05,-1.8657
27,2015-12-31,2016-01-29,4.1,3.91,0.19,4.8593
28,2015-09-30,2015-10-23,3.45,3.29,0.16,4.8632
29,2015-06-30,2015-07-22,2.7,2.62,0.08,3.0534
30,2015-03-31,2015-04-28,2.14,2.34,-0.2,-8.547
31,2014-12-31,2015-02-04,3.52,3.19,0.33,10.3448
32,2014-09-30,2014-10-28,3.04,3.13,-0.09,-2.8754
33,2014-06-30,2014-07-23,2.62,2.91,-0.29,-9.9656
34,2014-03-31,2014-04-25,2.2,2.33,-0.13,-5.5794
35,2013-12-31,2014-01-30,2.97,3.03,-0.06,-1.9802
36,2013-09-30,2013-10-22,2.72,2.61,0.11,4.2146
37,2013-06-30,2013-07-19,2.37,2.42,-0.05,-2.0661
38,2013-03-31,2013-04-24,1.97,1.93,0.04,2.0725
39,2012-12-31,2013-01-31,2.29,2.23,0.06,2.6906
40,2012-09-30,2012-10-23,1.8,1.6,0.2,12.5
41,2012-06-30,2012-07-24,1.55,1.64,-0.09,-5.4878
42,2012-03-31,2012-04-26,1.41,1.12,0.29,25.8929
43,2011-12-31,2012-02-01,1.73,1.96,-0.23,-11.7347
44,2011-09-30,2011-10-28,2.35,2.68,-0.33,-12.3134
45,2011-06-30,2011-07-21,2.76,2.83,-0.07,-2.4735
46,2011-03-31,2011-04-27,2.11,1.64,0.47,28.6585
47,2010-12-31,2011-02-02,2.11,2.26,-0.15,-6.6372
48,2010-09-30,2010-10-27,2.22,1.76,0.46,26.1364
49,2010-06-30,2010-07-20,2.82,2.17,0.65,29.9539
50,2010-03-31,2010-04-26,2.51,1.33,1.18,88.7218
51,2009-12-31,2010-02-02,1.24,1.32,-0.08,-6.0606
52,2009-09-30,2009-10-23,1.15,0.77,0.38,49.3506
