,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-28,4.45,3.79,0.66,17.4142
1,2022-06-30,2022-07-29,4.14,3.74,0.4,10.6952
2,2022-03-31,2022-04-29,2.07,2.12,-0.05,-2.3585
3,2021-12-31,2022-02-01,2.05,1.94,0.11,5.6701
4,2021-09-30,2021-10-29,1.58,1.56,0.02,1.2821
5,2021-06-30,2021-07-30,1.1,0.99,0.11,11.1111
6,2021-03-31,2021-04-30,0.65,0.59,0.06,10.1695
7,2020-12-31,2021-02-02,0.03,0.01,0.02,200
8,2020-09-30,2020-10-30,-0.18,-0.25,0.07,28
9,2020-06-30,2020-07-31,-0.7,-0.61,-0.09,-14.7541
10,2020-03-31,2020-05-01,0.53,0.01,0.52,5200
11,2019-12-31,2020-01-31,0.41,0.43,-0.02,-4.6512
12,2019-09-30,2019-11-01,0.67,0.67,0,0
13,2019-06-30,2019-08-02,0.61,0.66,-0.05,-7.5758
14,2019-03-31,2019-04-26,0.55,0.7,-0.15,-21.4286
15,2018-12-31,2019-02-01,1.41,1.08,0.33,30.5556
16,2018-09-30,2018-11-02,1.46,1.23,0.23,18.6992
17,2018-06-30,2018-07-27,0.92,1.27,-0.35,-27.5591
18,2018-03-31,2018-04-27,1.09,1.12,-0.03,-2.6786
19,2017-12-31,2018-02-02,0.88,1.04,-0.16,-15.3846
20,2017-09-30,2017-10-27,0.93,0.86,0.07,8.1395
21,2017-06-30,2017-07-28,0.78,0.84,-0.06,-7.1429
22,2017-03-31,2017-04-28,0.95,0.85,0.1,11.7647
23,2016-12-31,2017-01-31,0.9,0.7,0.2,28.5714
24,2016-09-30,2016-10-28,0.63,0.58,0.05,8.6207
25,2016-06-30,2016-07-29,0.41,0.64,-0.23,-35.9375
26,2016-03-31,2016-04-29,0.43,0.31,0.12,38.7097
27,2015-12-31,2016-02-02,0.67,0.63,0.04,6.3492
28,2015-09-30,2015-10-30,1.01,0.89,0.12,13.4831
29,2015-06-30,2015-07-31,1,1.11,-0.11,-9.9099
30,2015-03-31,2015-04-30,1.17,0.83,0.34,40.9639
31,2014-12-31,2015-02-02,1.32,1.34,-0.02,-1.4925
32,2014-09-30,2014-10-31,1.89,1.71,0.18,10.5263
33,2014-06-30,2014-07-31,2.05,1.86,0.19,10.2151
34,2014-03-31,2014-05-01,2.1,1.88,0.22,11.7021
35,2013-12-31,2014-01-30,1.91,1.92,-0.01,-0.5208
36,2013-09-30,2013-10-31,1.79,1.77,0.02,1.1299
37,2013-06-30,2013-08-01,1.55,1.9,-0.35,-18.4211
38,2013-03-31,2013-04-25,2.12,2.05,0.07,3.4146
39,2012-12-31,2013-02-01,2.2,2,0.2,10
40,2012-09-30,2012-11-01,2.09,1.95,0.14,7.1795
41,2012-06-30,2012-07-26,1.8,1.95,-0.15,-7.6923
42,2012-03-31,2012-04-26,2,2.09,-0.09,-4.3062
43,2011-12-31,2012-01-31,1.97,1.96,0.01,0.5102
44,2011-09-30,2011-10-27,2.13,2.12,0.01,0.4717
45,2011-06-30,2011-07-28,2.18,2.32,-0.14,-6.0345
46,2011-03-31,2011-04-28,2.14,2.08,0.06,2.8846
47,2010-12-31,2011-01-31,1.85,1.63,0.22,13.4969
48,2010-09-30,2010-10-28,1.44,1.39,0.05,3.5971
49,2010-06-30,2010-07-29,1.6,1.46,0.14,9.589
50,2010-03-31,2010-04-29,1.33,1.41,-0.08,-5.6738
51,2009-12-31,2010-02-01,1.27,1.19,0.08,6.7227
52,2009-09-30,2009-10-29,0.98,1.03,-0.05,-4.8544
53,2009-06-30,2009-07-30,0.84,1.02,-0.18,-17.6471
54,2009-03-31,2009-04-30,0.92,0.95,-0.03,-3.1579
55,2008-12-31,2009-01-30,1.55,1.45,0.1,6.8966
56,2008-09-30,2008-10-30,2.59,2.38,0.21,8.8235
57,2008-06-30,2008-07-31,2.27,2.52,-0.25,-9.9206
58,2008-03-31,2008-05-01,2.03,2.14,-0.11,-5.1402
59,2007-12-31,2008-02-01,2.13,1.95,0.18,9.2308
60,2007-09-30,2007-11-01,1.7,1.75,-0.05,-2.8571
61,2007-06-30,2007-07-26,1.83,1.96,-0.13,-6.6327
62,2007-03-31,2007-04-26,1.62,1.52,0.1,6.5789
63,2006-12-31,2007-02-01,1.69,1.51,0.18,11.9205
64,2006-09-30,2006-10-26,1.77,1.59,0.18,11.3208
65,2006-06-30,2006-07-27,1.72,1.64,0.08,4.878
66,2006-03-31,2006-04-27,1.37,1.47,-0.1,-6.8027
