,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-07,0.69,0.56,0.13,23.2143
1,2022-06-30,2022-08-04,0.69,0.56,0.13,23.2143
2,2022-03-31,2022-05-10,0.52,0.56,-0.04,-7.1429
3,2021-12-31,2022-02-28,0.76,0.79,-0.03,-3.7975
4,2021-09-30,2021-11-04,0.68,0.65,0.03,4.6154
5,2021-06-30,2021-08-05,0.71,0.65,0.06,9.2308
6,2021-03-31,2021-05-06,0.72,0.56,0.16,28.5714
7,2020-12-31,2021-03-01,0.87,0.64,0.23,35.9375
8,2020-09-30,2020-11-05,0.67,0.32,0.35,109.375
9,2020-06-30,2020-08-06,-0.18,-0.02,-0.16,-800
10,2020-03-31,2020-05-08,0.43,0.39,0.04,10.2564
11,2019-12-31,2020-03-02,0.73,0.75,-0.02,-2.6667
12,2019-09-30,2019-11-07,0.57,0.5,0.07,14
13,2019-06-30,2019-08-02,0.66,0.63,0.03,4.7619
14,2019-03-31,2019-05-03,0.49,0.39,0.1,25.641
15,2018-12-31,2019-03-01,0.58,0.54,0.04,7.4074
16,2018-09-30,2018-11-08,0.38,0.46,-0.08,-17.3913
17,2018-06-30,2018-08-07,0.6,0.59,0.01,1.6949
18,2018-03-31,2018-05-06,0.45,0.42,0.03,7.1429
19,2017-12-31,2018-03-01,0.82,0.81,0.01,1.2346
20,2017-09-30,2017-11-03,0.7,0.66,0.04,6.0606
21,2017-06-30,2017-08-09,0.65,0.65,0,0
22,2017-03-31,2017-05-09,0.49,0.5,-0.01,-2
23,2016-12-31,2017-02-17,0.67,0.65,0.02,3.0769
24,2016-09-30,2016-11-04,0.66,0.63,0.03,4.7619
25,2016-06-30,2016-08-05,0.76,0.7,0.06,8.5714
26,2016-03-31,2016-05-06,0.69,0.63,0.06,9.5238
27,2015-12-31,2016-02-12,0.65,0.65,0,0
28,2015-09-30,2015-10-28,0.66,0.63,0.03,4.7619
29,2015-06-30,2015-07-30,0.73,0.69,0.04,5.7971
30,2015-03-31,2015-05-06,0.59,0.57,0.02,3.5088
31,2014-12-31,2015-02-18,0.6,0.61,-0.01,-1.6393
32,2014-09-30,2014-10-29,0.62,0.6,0.02,3.3333
33,2014-06-30,2014-07-31,0.69,0.68,0.01,1.4706
34,2014-03-31,2014-05-06,0.59,0.56,0.03,5.3571
35,2013-12-31,2014-02-18,0.61,0.61,0,0
36,2013-09-30,2013-10-29,0.57,0.56,0.01,1.7857
37,2013-06-30,2013-08-01,0.66,0.65,0.01,1.5385
38,2013-03-31,2013-05-09,0.52,0.56,-0.04,-7.1429
39,2012-12-31,2013-02-20,0.56,0.56,0,0
40,2012-09-30,2012-10-25,0.51,0.5,0.01,2
41,2012-06-30,2012-07-31,0.62,0.56,0.06,10.7143
42,2012-03-31,2012-05-01,0.52,0.51,0.01,1.9608
43,2011-12-31,2012-02-16,0.51,0.52,-0.01,-1.9231
44,2011-09-30,2011-10-27,0.46,0.43,0.03,6.9767
45,2011-06-30,2011-07-28,0.55,0.51,0.04,7.8431
46,2011-03-31,2011-04-28,0.49,0.48,0.01,2.0833
47,2010-12-31,2011-02-09,0.51,0.5,0.01,2
48,2010-09-30,2010-10-28,0.45,0.45,0,0
49,2010-06-30,2010-07-29,0.5,0.5,0,0
50,2010-03-31,2010-04-29,0.44,0.45,-0.01,-2.2222
51,2009-12-31,2010-02-10,0.48,0.49,-0.01,-2.0408
52,2009-09-30,2009-10-28,0.44,0.44,0,0
53,2009-06-30,2009-07-29,0.49,0.48,0.01,2.0833
54,2009-03-31,2009-04-30,0.43,0.43,0,0
55,2008-12-31,2009-02-04,0.45,0.45,0,0
56,2008-09-30,2008-10-28,0.46,0.44,0.02,4.5455
57,2008-06-30,2008-07-29,0.52,0.49,0.03,6.1224
58,2008-03-31,2008-04-30,0.45,0.43,0.02,4.6512
59,2007-12-31,2008-02-05,0.44,0.44,0,0
60,2007-09-30,2007-10-31,0.39,0.38,0.01,2.6316
61,2007-06-30,2007-07-31,0.44,0.43,0.01,2.3256
62,2007-03-31,2007-04-30,0.38,0.36,0.02,5.5556
63,2006-12-31,2007-02-06,0.37,0.36,0.01,2.7778
64,2006-09-30,2006-11-01,0.33,0.33,0,0
65,2006-06-30,2006-07-26,0.39,0.37,0.02,5.4054
66,2006-03-31,2006-05-03,0.33,0.32,0.01,3.125
67,2005-12-31,2006-02-08,0.38,0.35,0.03,8.5714
68,2005-09-30,2005-10-24,0.32,0.31,0.01,3.2258
69,2005-06-30,2005-07-26,0.35,0.34,0.01,2.9412
70,2005-03-31,2005-04-25,0.3,0.3,0,0
71,2004-12-31,2005-01-26,0.31,0.32,-0.01,-3.125
72,2004-09-30,2004-10-26,0.28,0.28,0,0
73,2004-06-30,2004-07-26,0.3,0.3,0,0
74,2004-03-31,2004-04-27,0.28,0.26,0.02,7.6923
75,2003-12-31,2004-01-27,0.3,0.29,0.01,3.4483
76,2003-09-30,2003-10-21,0.26,0.25,0.01,4
77,2003-06-30,2003-07-30,0.28,0.26,0.02,7.6923
78,2003-03-31,2003-04-22,0.24,0.23,0.01,4.3478
79,2002-12-31,2003-01-23,0.27,0.26,0.01,3.8462
80,2002-09-30,2002-10-21,0.22,0.22,0,0
81,2002-06-30,2002-07-22,0.23,0.22,0.01,4.5455
82,2002-03-31,2002-04-17,0.2,0.19,0.01,5.2632
83,2001-12-31,2002-01-21,0.2,0.19,0.01,5.2632
84,2001-09-30,2001-10-22,0.16,0.16,0,0
85,2001-06-30,2001-07-23,0.17,0.17,0,0
86,2001-03-31,2001-04-19,0.16,0.16,0,0
87,2000-12-31,2001-01-19,0.2,0.2,0,0
88,2000-09-30,2000-10-23,0.15,0.15,0,0
89,2000-06-30,2000-07-20,0.16,0.15,0.01,6.6667
90,2000-03-31,2000-04-25,0.14,0.14,0,0
91,1999-12-31,2000-01-20,0.18,0.18,0,0
92,1999-09-30,1999-10-20,0.13,0.13,0,0
93,1999-06-30,1999-07-22,0.13,0.13,0,0
94,1999-03-31,1999-04-21,0.12,0.12,0,0
95,1998-12-31,1999-01-21,0.15,0.15,0,0
96,1998-09-30,1998-10-20,0.11,0.11,0,0
97,1998-06-30,1998-07-20,0.12,0.12,0,0
98,1998-03-31,1998-04-20,0.12,0.12,0,0
99,1997-12-31,1998-01-22,0.14,0.14,0,0
100,1997-09-30,1997-10-21,0.1,0.1,0,0
101,1997-06-30,1997-07-21,0.11,0.11,0,0
102,1997-03-31,1997-04-21,0.11,0.1,0.01,10
103,1996-12-31,1997-01-22,0.13,0.13,0,0
104,1996-09-30,1996-10-21,0.09,0.09,0,0
105,1996-06-30,1996-07-24,0.11,0.11,0,0
106,1996-03-31,1996-04-24,0.09,0.09,0,0
