,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-02,1.09,1.15,-0.06,-5.2174
1,2022-06-30,2022-08-03,1.05,1.09,-0.04,-3.6697
2,2022-03-31,2022-05-04,1.05,1.07,-0.02,-1.8692
3,2021-12-31,2022-02-09,1.02,1.09,-0.07,-6.422
4,2021-09-30,2021-10-28,1.22,1.08,0.14,12.963
5,2021-06-30,2021-07-29,1.16,0.96,0.2,20.8333
6,2021-03-31,2021-04-28,1.07,0.87,0.2,22.9885
7,2020-12-31,2021-02-04,1.15,1.01,0.14,13.8614
8,2020-09-30,2020-10-29,1.01,0.8,0.21,26.25
9,2020-06-30,2020-07-30,0.82,0.53,0.29,54.717
10,2020-03-31,2020-04-29,0.64,0.66,-0.02,-3.0303
11,2019-12-31,2020-02-06,1,1.13,-0.13,-11.5044
12,2019-09-30,2019-10-30,0.8,0.94,-0.14,-14.8936
13,2019-06-30,2019-08-01,0.93,0.87,0.06,6.8966
14,2019-03-31,2019-05-01,0.82,0.81,0.01,1.2346
15,2018-12-31,2019-02-07,0.4,0.95,-0.55,-57.8947
16,2018-09-30,2018-10-31,1.04,0.83,0.21,25.3012
17,2018-06-30,2018-08-02,0.82,0.74,0.08,10.8108
18,2018-03-31,2018-05-02,0.9,0.68,0.22,32.3529
19,2017-12-31,2018-02-08,0.96,0.8,0.16,20
20,2017-09-30,2017-11-02,0.68,0.67,0.01,1.4925
21,2017-06-30,2017-08-03,0.68,0.61,0.07,11.4754
22,2017-03-31,2017-05-03,0.65,0.6,0.05,8.3333
23,2016-12-31,2017-02-09,0.79,0.74,0.05,6.7568
24,2016-09-30,2016-10-05,1.09,1.1,-0.01,-0.9091
25,2016-06-30,2016-07-13,0.75,0.74,0.01,1.3514
26,2016-03-31,2016-04-20,0.95,0.83,0.12,14.4578
27,2015-12-31,2016-02-03,0.68,0.66,0.02,3.0303
28,2015-09-30,2015-10-06,1,1.07,-0.07,-6.5421
29,2015-06-30,2015-07-14,0.69,0.62,0.07,11.2903
30,2015-03-31,2015-04-21,0.8,0.72,0.08,11.1111
31,2014-12-31,2015-02-04,0.61,0.66,-0.05,-7.5758
32,2014-09-30,2014-10-07,0.87,0.88,-0.01,-1.1364
33,2014-06-30,2014-07-16,0.73,0.74,-0.01,-1.3514
34,2014-03-31,2014-04-22,0.87,0.85,0.02,2.3529
35,2013-12-31,2014-02-03,0.86,0.8,0.06,7.5
36,2013-09-30,2013-10-08,0.85,0.93,-0.08,-8.6022
37,2013-06-30,2013-07-10,0.56,0.54,0.02,3.7037
38,2013-03-31,2013-04-23,0.7,0.6,0.1,16.6667
