,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-01,4.12,4.54,-0.42,-9.2511
1,2022-06-30,2022-08-02,4.61,4.21,0.4,9.5012
2,2022-03-31,2022-05-03,4.01,3.87,0.14,3.6176
3,2021-12-31,2022-02-10,4.54,4.4,0.14,3.1818
4,2021-09-30,2021-11-02,4.55,4.06,0.49,12.069
5,2021-06-30,2021-08-03,4.57,4.1,0.47,11.4634
6,2021-03-31,2021-05-04,4.79,4.34,0.45,10.3687
7,2020-12-31,2021-02-11,4.46,3.8,0.66,17.3684
8,2020-09-30,2020-11-03,3.27,2.81,0.46,16.3701
9,2020-06-30,2020-07-28,2.41,2.28,0.13,5.7018
10,2020-03-31,2020-04-28,2.67,2.64,0.03,1.1364
11,2019-12-31,2020-02-13,3.56,3.65,-0.09,-2.4658
12,2019-09-30,2019-10-29,3.43,3.28,0.15,4.5732
13,2019-06-30,2019-07-30,3.02,2.89,0.13,4.4983
14,2019-03-31,2019-04-30,2.92,2.88,0.04,1.3889
15,2018-12-31,2019-02-14,3.1,2.94,0.16,5.4422
16,2018-09-30,2018-11-06,2.88,2.6,0.28,10.7692
17,2018-06-30,2018-08-07,2.48,2.23,0.25,11.2108
18,2018-03-31,2018-05-08,2.56,2.05,0.51,24.878
19,2017-12-31,2018-02-22,2.33,2.12,0.21,9.9057
20,2017-09-30,2017-11-07,1.87,1.73,0.14,8.0925
21,2017-06-30,2017-08-08,1.51,1.48,0.03,2.027
22,2017-03-31,2017-05-09,1.37,1.3,0.07,5.3846
23,2016-12-31,2017-02-23,1.93,1.73,0.2,11.5607
24,2016-09-30,2016-11-15,1.43,1.41,0.02,1.4184
25,2016-06-30,2016-08-09,1.34,1.06,0.28,26.4151
26,2016-03-31,2016-05-10,1.01,1.22,-0.21,-17.2131
27,2015-12-31,2016-02-25,1.51,1.47,0.04,2.7211
28,2015-09-30,2015-11-10,1.39,1.23,0.16,13.0081
29,2015-06-30,2015-08-11,1.05,1.18,-0.13,-11.0169
30,2015-03-31,2015-05-13,1.39,1.12,0.27,24.1071
31,2014-12-31,2015-03-17,1.15,1.19,-0.04,-3.3613
32,2014-09-30,2014-11-04,0.93,0.87,0.06,6.8966
33,2014-06-30,2014-08-05,0.84,0.82,0.02,2.439
34,2014-03-31,2014-05-06,0.91,0.9,0.01,1.1111
35,2013-12-31,2014-02-19,0.82,0.77,0.05,6.4935
36,2013-09-30,2013-11-05,0.76,0.66,0.1,15.1515
37,2013-06-30,2013-08-06,0.6,0.64,-0.04,-6.25
38,2013-03-31,2013-05-02,0.46,0.63,-0.17,-26.9841
39,2012-12-31,2013-02-12,0.68,0.67,0.01,1.4925
40,2012-09-30,2012-11-06,0.69,0.63,0.06,9.5238
41,2012-06-30,2012-07-31,0.58,0.61,-0.03,-4.918
42,2012-03-31,2012-04-27,0.58,0.57,0.01,1.7544
43,2011-12-31,2012-02-14,0.63,0.61,0.02,3.2787
44,2011-09-30,2011-11-08,0.64,0.6,0.04,6.6667
45,2011-06-30,2011-08-04,0.61,0.59,0.02,3.3898
46,2011-03-31,2011-05-04,0.56,0.47,0.09,19.1489
47,2010-12-31,2011-02-15,0.51,0.49,0.02,4.0816
48,2010-09-30,2010-11-04,0.46,0.41,0.05,12.1951
49,2010-06-30,2010-08-05,0.4,0.35,0.05,14.2857
50,2010-03-31,2010-05-04,0.44,0.31,0.13,41.9355
51,2009-12-31,2010-02-09,0.33,0.25,0.08,32
52,2009-09-30,2009-11-04,0.23,0.21,0.02,9.5238
53,2009-06-30,2009-08-04,0.19,0.2,-0.01,-5
54,2009-03-31,2009-05-05,0.18,0.16,0.02,12.5
55,2008-12-31,2009-02-17,0.4,0.31,0.09,29.0323
56,2008-09-30,2008-10-29,0.41,0.4,0.01,2.5
57,2008-06-30,2008-07-24,0.44,0.45,-0.01,-2.2222
58,2008-03-31,2008-04-23,0.45,0.45,0,0
59,2007-12-31,2008-02-25,0.45,0.43,0.02,4.6512
60,2007-09-30,2007-10-22,0.43,0.38,0.05,13.1579
61,2007-06-30,2007-07-25,0.37,0.39,-0.02,-5.1282
62,2007-03-31,2007-04-30,0.4,0.36,0.04,11.1111
63,2006-12-31,2007-02-14,0.42,0.41,0.01,2.439
64,2006-09-30,2006-11-01,0.4,0.34,0.06,17.6471
65,2006-06-30,2006-07-26,0.39,0.37,0.02,5.4054
66,2006-03-31,2006-04-26,0.35,0.39,-0.04,-10.2564
67,2005-12-31,2006-02-08,0.4,0.39,0.01,2.5641
68,2005-09-30,2005-11-01,0.41,0.37,0.04,10.8108
69,2005-06-30,2005-07-27,0.37,0.45,-0.08,-17.7778
70,2005-03-31,2005-05-04,0.37,0.44,-0.07,-15.9091
71,2004-12-31,2005-02-09,0.44,0.44,0,0
72,2004-09-30,2004-10-27,0.43,0.42,0.01,2.381
73,2004-06-30,2004-07-28,0.41,0.39,0.02,5.1282
74,2004-03-31,2004-04-28,0.39,0.34,0.05,14.7059
75,2003-12-31,2004-02-11,0.34,0.33,0.01,3.0303
76,2003-09-30,2003-10-23,0.32,0.32,0,0
77,2003-06-30,2003-07-28,0.31,0.3,0.01,3.3333
78,2003-03-31,2003-04-17,0.31,0.28,0.03,10.7143
79,2002-12-31,2003-02-12,0.29,0.29,0,0
80,2002-09-30,2002-10-18,0.28,0.26,0.02,7.6923
81,2002-06-30,2002-07-19,0.24,0.23,0.01,4.3478
82,2002-03-31,2002-04-19,0.23,0.23,0,0
83,2001-12-31,2002-02-04,0.22,0.23,-0.01,-4.3478
84,2001-09-30,2001-10-24,0.24,0.22,0.02,9.0909
85,2001-06-30,2001-07-20,0.21,0.26,-0.05,-19.2308
86,2001-03-31,2001-04-24,0.24,0.23,0.01,4.3478
87,2000-12-31,2001-02-08,0.25,0.36,-0.11,-30.5556
88,2000-09-30,2000-10-19,0.34,0.3,0.04,13.3333
89,2000-06-30,2000-07-20,0.31,0.3,0.01,3.3333
90,2000-03-31,2000-04-20,0.22,0.23,-0.01,-4.3478
91,1999-12-31,2000-02-16,0.29,0.29,0,0
92,1999-09-30,1999-10-27,0.28,0.25,0.03,12
93,1999-06-30,1999-07-21,0.24,0.23,0.01,4.3478
94,1999-03-31,1999-04-26,0.2,0.19,0.01,5.2632
95,1998-12-31,1999-02-25,0.13,0.2,-0.07,-35
96,1998-09-30,1998-10-21,0.2,0.22,-0.02,-9.0909
97,1998-06-30,1998-07-22,0.2,0.2,0,0
98,1998-03-31,1998-04-22,0.19,0.18,0.01,5.5556
99,1997-12-31,1998-03-04,0.21,0.2,0.01,5
100,1997-09-30,1997-10-15,0.18,0.18,0,0
101,1997-06-30,1997-07-15,0.18,0.16,0.02,12.5
102,1997-03-31,1997-04-23,0.2,0.14,0.06,42.8571
103,1996-12-31,1997-02-11,0.16,0.17,-0.01,-5.8824
104,1996-09-30,1996-12-24,0.16,0.14,0.02,14.2857
105,1996-06-30,1996-07-11,0.12,0.13,-0.01,-7.6923
106,1996-03-31,1996-04-24,0.11,0.11,0,0
