,date,inf_exp,inf_exp_change
273,2000-01-01,0.03,
272,2000-02-01,0.0289999999999999,-0.03333333333333666
271,2000-03-01,0.032,0.10344827586207272
270,2000-04-01,0.032,0.0
269,2000-05-01,0.03,-0.0625
268,2000-06-01,0.0289999999999999,-0.03333333333333666
267,2000-07-01,0.03,0.034482758620693055
266,2000-08-01,0.027,-0.09999999999999998
265,2000-09-01,0.0289999999999999,0.0740740740740704
264,2000-10-01,0.032,0.10344827586207272
263,2000-11-01,0.0289999999999999,-0.09375000000000311
262,2000-12-01,0.0279999999999999,-0.034482758620689835
261,2001-01-01,0.03,0.07142857142857517
260,2001-02-01,0.0279999999999999,-0.06666666666666998
259,2001-03-01,0.0279999999999999,0.0
258,2001-04-01,0.031,0.10714285714286098
257,2001-05-01,0.032,0.032258064516129004
256,2001-06-01,0.03,-0.0625
255,2001-07-01,0.026,-0.1333333333333333
254,2001-08-01,0.027,0.03846153846153855
253,2001-09-01,0.0279999999999999,0.03703703703703343
252,2001-10-01,0.01,-0.6428571428571416
251,2001-11-01,0.004,-0.6
250,2001-12-01,0.018,3.5
249,2002-01-01,0.019,0.05555555555555558
248,2002-02-01,0.021,0.10526315789473695
247,2002-03-01,0.027,0.2857142857142856
246,2002-04-01,0.0279999999999999,0.03703703703703343
245,2002-05-01,0.027,-0.03571428571428226
244,2002-06-01,0.027,0.0
243,2002-07-01,0.026,-0.03703703703703709
242,2002-08-01,0.026,0.0
241,2002-09-01,0.025,-0.038461538461538325
240,2002-10-01,0.025,0.0
239,2002-11-01,0.024,-0.040000000000000036
238,2002-12-01,0.025,0.04166666666666674
237,2003-01-01,0.025,0.0
236,2003-02-01,0.027,0.07999999999999985
235,2003-03-01,0.031,0.14814814814814814
234,2003-04-01,0.024,-0.22580645161290325
233,2003-05-01,0.02,-0.16666666666666663
232,2003-06-01,0.021,0.050000000000000044
231,2003-07-01,0.017,-0.19047619047619047
230,2003-08-01,0.025,0.47058823529411753
229,2003-09-01,0.0279999999999999,0.11999999999999589
228,2003-10-01,0.026,-0.07142857142856818
227,2003-11-01,0.027,0.03846153846153855
226,2003-12-01,0.026,-0.03703703703703709
225,2004-01-01,0.027,0.03846153846153855
224,2004-02-01,0.026,-0.03703703703703709
223,2004-03-01,0.0289999999999999,0.11538461538461164
222,2004-04-01,0.032,0.10344827586207272
221,2004-05-01,0.033,0.03125
220,2004-06-01,0.033,0.0
219,2004-07-01,0.03,-0.09090909090909094
218,2004-08-01,0.0279999999999999,-0.06666666666666998
217,2004-09-01,0.0279999999999999,0.0
216,2004-10-01,0.031,0.10714285714286098
215,2004-11-01,0.0279999999999999,-0.09677419354839034
214,2004-12-01,0.03,0.07142857142857517
213,2005-01-01,0.0289999999999999,-0.03333333333333666
212,2005-02-01,0.0289999999999999,0.0
211,2005-03-01,0.032,0.10344827586207272
210,2005-04-01,0.033,0.03125
209,2005-05-01,0.032,-0.030303030303030276
208,2005-06-01,0.032,0.0
207,2005-07-01,0.03,-0.0625
206,2005-08-01,0.031,0.03333333333333344
205,2005-09-01,0.043,0.38709677419354827
204,2005-10-01,0.046,0.06976744186046524
203,2005-11-01,0.033,-0.28260869565217384
202,2005-12-01,0.031,-0.06060606060606066
201,2006-01-01,0.03,-0.032258064516129115
200,2006-02-01,0.03,0.0
199,2006-03-01,0.03,0.0
198,2006-04-01,0.033,0.10000000000000009
197,2006-05-01,0.04,0.21212121212121215
196,2006-06-01,0.033,-0.17499999999999993
195,2006-07-01,0.032,-0.030303030303030276
194,2006-08-01,0.038,0.1875
193,2006-09-01,0.031,-0.1842105263157895
192,2006-10-01,0.031,0.0
191,2006-11-01,0.03,-0.032258064516129115
190,2006-12-01,0.0289999999999999,-0.03333333333333666
189,2007-01-01,0.03,0.034482758620693055
188,2007-02-01,0.03,0.0
187,2007-03-01,0.03,0.0
186,2007-04-01,0.033,0.10000000000000009
185,2007-05-01,0.033,0.0
184,2007-06-01,0.034,0.030303030303030276
183,2007-07-01,0.034,0.0
182,2007-08-01,0.032,-0.05882352941176472
181,2007-09-01,0.031,-0.03125
180,2007-10-01,0.031,0.0
179,2007-11-01,0.034,0.09677419354838723
178,2007-12-01,0.034,0.0
177,2008-01-01,0.034,0.0
176,2008-02-01,0.036,0.0588235294117645
175,2008-03-01,0.043,0.19444444444444442
174,2008-04-01,0.048,0.11627906976744207
173,2008-05-01,0.052,0.08333333333333326
172,2008-06-01,0.051,-0.019230769230769273
171,2008-07-01,0.051,0.0
170,2008-08-01,0.048,-0.05882352941176461
169,2008-09-01,0.043,-0.10416666666666674
168,2008-10-01,0.039,-0.09302325581395343
167,2008-11-01,0.0289999999999999,-0.25641025641025894
166,2008-12-01,0.017,-0.4137931034482738
165,2009-01-01,0.022,0.2941176470588234
164,2009-02-01,0.019,-0.13636363636363635
163,2009-03-01,0.02,0.05263157894736836
162,2009-04-01,0.0279999999999999,0.399999999999995
161,2009-05-01,0.0279999999999999,0.0
160,2009-06-01,0.031,0.10714285714286098
159,2009-07-01,0.0289999999999999,-0.06451612903226123
158,2009-08-01,0.0279999999999999,-0.034482758620689835
157,2009-09-01,0.022,-0.21428571428571153
156,2009-10-01,0.0289999999999999,0.3181818181818137
155,2009-11-01,0.027,-0.06896551724137612
154,2009-12-01,0.025,-0.07407407407407396
153,2010-01-01,0.0279999999999999,0.11999999999999589
152,2010-02-01,0.027,-0.03571428571428226
151,2010-03-01,0.027,0.0
150,2010-04-01,0.0289999999999999,0.0740740740740704
149,2010-05-01,0.032,0.10344827586207272
148,2010-06-01,0.0279999999999999,-0.1250000000000031
147,2010-07-01,0.027,-0.03571428571428226
146,2010-08-01,0.027,0.0
145,2010-09-01,0.022,-0.18518518518518523
144,2010-10-01,0.027,0.2272727272727273
143,2010-11-01,0.03,0.11111111111111116
142,2010-12-01,0.03,0.0
141,2011-01-01,0.034,0.13333333333333353
140,2011-02-01,0.034,0.0
139,2011-03-01,0.046,0.3529411764705881
138,2011-04-01,0.046,0.0
137,2011-05-01,0.0409999999999999,-0.1086956521739153
136,2011-06-01,0.038,-0.0731707317073148
135,2011-07-01,0.034,-0.10526315789473673
134,2011-08-01,0.035,0.02941176470588247
133,2011-09-01,0.033,-0.05714285714285716
132,2011-10-01,0.032,-0.030303030303030276
