,date,inf_exp
273,2000-01-01,0.03
272,2000-02-01,0.0289999999999999
271,2000-03-01,0.032
270,2000-04-01,0.032
269,2000-05-01,0.03
268,2000-06-01,0.0289999999999999
267,2000-07-01,0.03
266,2000-08-01,0.027
265,2000-09-01,0.0289999999999999
264,2000-10-01,0.032
263,2000-11-01,0.0289999999999999
262,2000-12-01,0.0279999999999999
261,2001-01-01,0.03
260,2001-02-01,0.0279999999999999
259,2001-03-01,0.0279999999999999
258,2001-04-01,0.031
257,2001-05-01,0.032
256,2001-06-01,0.03
255,2001-07-01,0.026
254,2001-08-01,0.027
253,2001-09-01,0.0279999999999999
252,2001-10-01,0.01
251,2001-11-01,0.004
250,2001-12-01,0.018
249,2002-01-01,0.019
248,2002-02-01,0.021
247,2002-03-01,0.027
246,2002-04-01,0.0279999999999999
245,2002-05-01,0.027
244,2002-06-01,0.027
243,2002-07-01,0.026
242,2002-08-01,0.026
241,2002-09-01,0.025
240,2002-10-01,0.025
239,2002-11-01,0.024
238,2002-12-01,0.025
237,2003-01-01,0.025
236,2003-02-01,0.027
235,2003-03-01,0.031
234,2003-04-01,0.024
233,2003-05-01,0.02
232,2003-06-01,0.021
231,2003-07-01,0.017
230,2003-08-01,0.025
229,2003-09-01,0.0279999999999999
228,2003-10-01,0.026
227,2003-11-01,0.027
226,2003-12-01,0.026
225,2004-01-01,0.027
224,2004-02-01,0.026
223,2004-03-01,0.0289999999999999
222,2004-04-01,0.032
221,2004-05-01,0.033
220,2004-06-01,0.033
219,2004-07-01,0.03
218,2004-08-01,0.0279999999999999
217,2004-09-01,0.0279999999999999
216,2004-10-01,0.031
215,2004-11-01,0.0279999999999999
214,2004-12-01,0.03
213,2005-01-01,0.0289999999999999
212,2005-02-01,0.0289999999999999
211,2005-03-01,0.032
210,2005-04-01,0.033
209,2005-05-01,0.032
208,2005-06-01,0.032
207,2005-07-01,0.03
206,2005-08-01,0.031
205,2005-09-01,0.043
204,2005-10-01,0.046
203,2005-11-01,0.033
202,2005-12-01,0.031
201,2006-01-01,0.03
200,2006-02-01,0.03
199,2006-03-01,0.03
198,2006-04-01,0.033
197,2006-05-01,0.04
196,2006-06-01,0.033
195,2006-07-01,0.032
194,2006-08-01,0.038
193,2006-09-01,0.031
192,2006-10-01,0.031
191,2006-11-01,0.03
190,2006-12-01,0.0289999999999999
189,2007-01-01,0.03
188,2007-02-01,0.03
187,2007-03-01,0.03
186,2007-04-01,0.033
185,2007-05-01,0.033
184,2007-06-01,0.034
183,2007-07-01,0.034
182,2007-08-01,0.032
181,2007-09-01,0.031
180,2007-10-01,0.031
179,2007-11-01,0.034
178,2007-12-01,0.034
177,2008-01-01,0.034
176,2008-02-01,0.036
175,2008-03-01,0.043
174,2008-04-01,0.048
173,2008-05-01,0.052
172,2008-06-01,0.051
171,2008-07-01,0.051
170,2008-08-01,0.048
169,2008-09-01,0.043
168,2008-10-01,0.039
167,2008-11-01,0.0289999999999999
166,2008-12-01,0.017
165,2009-01-01,0.022
164,2009-02-01,0.019
163,2009-03-01,0.02
162,2009-04-01,0.0279999999999999
161,2009-05-01,0.0279999999999999
160,2009-06-01,0.031
159,2009-07-01,0.0289999999999999
158,2009-08-01,0.0279999999999999
157,2009-09-01,0.022
156,2009-10-01,0.0289999999999999
155,2009-11-01,0.027
154,2009-12-01,0.025
153,2010-01-01,0.0279999999999999
152,2010-02-01,0.027
151,2010-03-01,0.027
150,2010-04-01,0.0289999999999999
