timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,155.87,156.85,151.73,152.3,152.3,1386282,0.0000,1.0
2022-11-25,155.09,156.96,154.71,156.96,156.96,642657,0.0000,1.0
2022-11-23,156.67,157.28,154.35,155.35,155.35,1444152,0.0000,1.0
2022-11-22,151.98,157.44,151.98,156.86,156.86,3512716,0.0000,1.0
2022-11-21,145.62,147.16,144.43,145.14,145.14,1691900,0.0000,1.0
2022-11-18,146.68,147.955,144.15,146.19,146.19,1283616,0.0000,1.0
2022-11-17,145.33,145.56,142.16,144.44,144.44,1465186,0.0000,1.0
2022-11-16,148.19,148.75,146.35,147.12,147.12,1476733,0.0000,1.0
2022-11-15,148.27,149.46,146.495,148.0,148.0,1299334,0.0000,1.0
2022-11-14,149.01,149.71,146.3,146.38,146.38,1206578,0.0000,1.0
2022-11-11,147.12,149.74,146.35,148.31,148.31,1227498,0.0000,1.0
2022-11-10,142.87,146.72,142.53,146.3,146.3,1591960,0.0000,1.0
2022-11-09,138.31,139.42,136.66,137.0,137.0,971246,0.0000,1.0
2022-11-08,138.5,140.685,136.6,138.75,138.75,1028120,0.0000,1.0
2022-11-07,136.85,138.08,135.56,138.03,138.03,1213652,0.0000,1.0
2022-11-04,135.65,137.005,133.11,136.08,136.08,1272088,0.0000,1.0
2022-11-03,133.77,135.865,130.66,134.46,134.46,1199461,0.0000,1.0
2022-11-02,140.61,140.94,135.21,135.27,135.27,1806134,0.0000,1.0
2022-11-01,139.5,141.35,138.06,140.89,140.89,1182851,0.0000,1.0
2022-10-31,137.69,138.93,137.35,138.35,138.35,1307634,0.0000,1.0
2022-10-28,136.38,139.1218,135.02,138.77,138.77,901955,0.0000,1.0
2022-10-27,137.26,137.99,135.33,136.49,136.49,930704,0.0000,1.0
2022-10-26,134.43,139.31,134.0,137.69,137.69,1381919,0.0000,1.0
2022-10-25,132.3,135.095,132.3,134.5,134.5,1205999,0.0000,1.0
2022-10-24,131.13,133.13,129.805,132.3,132.3,1045328,0.0000,1.0
2022-10-21,126.37,130.125,124.82,129.88,129.88,1067047,0.0000,1.0
2022-10-20,127.83,129.74,125.61,125.94,125.94,1897350,0.0000,1.0
2022-10-19,130.11,130.27,127.235,128.96,128.96,1033987,0.0000,1.0
2022-10-18,133.92,134.675,131.2,132.3,132.3,1038147,0.0000,1.0
2022-10-17,127.38,131.09,127.38,130.56,130.56,1197928,0.0000,1.0
2022-10-14,129.0,130.22,125.47,125.7,125.7,1217213,0.0000,1.0
2022-10-13,123.0,128.83,122.35,127.9,127.9,1553552,0.0000,1.0
2022-10-12,126.2,127.1,125.27,125.69,125.69,1069633,0.0000,1.0
2022-10-11,125.0,127.89,124.16,125.64,125.64,1985348,0.0000,1.0
2022-10-10,128.05,128.05,124.31,125.95,125.95,1246005,0.0000,1.0
2022-10-07,130.45,130.93,126.96,127.44,127.44,1154691,0.0000,1.0
2022-10-06,132.3,133.82,131.6,132.18,132.18,1218384,0.0000,1.0
2022-10-05,129.99,133.53,129.5,132.64,132.64,1567683,0.0000,1.0
2022-10-04,128.79,131.56,128.575,131.41,131.41,1647799,0.0000,1.0
2022-10-03,122.73,127.3,121.68,126.38,126.38,1343211,0.2100,1.0
2022-09-30,123.02,125.125,121.38,121.55,121.34836085,1624289,0.0000,1.0
2022-09-29,122.81,124.24,122.275,122.74,122.53638676,1312774,0.0000,1.0
2022-09-28,122.77,124.43,121.6,123.72,123.51476104,1361213,0.0000,1.0
2022-09-27,123.87,124.07,120.6,121.61,121.408261316,1040450,0.0000,1.0
2022-09-26,123.18,124.25,121.63,122.31,122.107100087,1733060,0.0000,1.0
2022-09-23,123.73,124.43,121.44,123.48,123.275159175,1481866,0.0000,1.0
2022-09-22,125.55,126.04,123.7628,124.39,124.183649577,1374943,0.0000,1.0
2022-09-21,128.73,130.575,126.325,126.48,126.270182479,1105658,0.0000,1.0
2022-09-20,129.1,129.605,126.82,128.14,127.927428707,1274706,0.0000,1.0
2022-09-19,128.79,130.79,128.36,130.72,130.503148748,1059566,0.0000,1.0
2022-09-16,132.12,132.13,128.28,129.89,129.674525634,2300604,0.0000,1.0
2022-09-15,133.81,135.51,132.655,133.16,132.939101035,1446479,0.0000,1.0
2022-09-14,133.8,135.36,132.095,133.25,133.028951734,1577007,0.0000,1.0
2022-09-13,136.32,137.41,133.44,133.54,133.318470653,1586967,0.0000,1.0
2022-09-12,137.53,140.0,137.23,139.87,139.637969824,1851144,0.0000,1.0
2022-09-09,135.98,137.92,135.43,137.63,137.401685757,2425230,0.0000,1.0
2022-09-08,130.93,135.27,130.705,135.19,134.96573347,1355167,0.0000,1.0
2022-09-07,128.97,131.825,128.61,131.43,131.21197093,1254602,0.0000,1.0
2022-09-06,129.38,130.57,127.72,129.3,129.085504384,1533527,0.0000,1.0
2022-09-02,129.79,130.27,127.12,128.01,127.797644364,1695916,0.0000,1.0
2022-09-01,127.63,129.11,126.21,128.93,128.716118177,1282033,0.0000,1.0
2022-08-31,129.38,130.23,128.0,128.25,128.037246228,1890926,0.0000,1.0
2022-08-30,128.51,129.019,127.155,128.28,128.067196461,1772371,0.0000,1.0
2022-08-29,128.43,129.35,127.18,128.11,127.897478474,867312,0.0000,1.0
2022-08-26,136.0,136.05,129.78,129.87,129.654558812,1252797,0.0000,1.0
2022-08-25,135.3,136.08,133.99,136.01,135.784373173,969054,0.0000,1.0
2022-08-24,133.02,134.54,132.65,133.67,133.448254996,1020493,0.0000,1.0
2022-08-23,133.11,134.105,132.044,132.64,132.419963662,1188279,0.0000,1.0
2022-08-22,135.3,136.03,133.56,133.94,133.717807094,1250729,0.0000,1.0
2022-08-19,139.35,139.73,137.26,137.62,137.391702346,1477480,0.0000,1.0
2022-08-18,141.88,141.9632,138.76,139.97,139.737803934,1740337,0.0000,1.0
2022-08-17,148.84,149.0,140.03,142.29,142.053955289,4110100,0.0000,1.0
2022-08-16,132.89,133.42,131.66,132.77,132.549748005,1809979,0.0000,1.0
2022-08-15,133.28,134.62,132.67,133.9,133.67787345,1291166,0.0000,1.0
2022-08-12,132.26,133.63,131.43,133.55,133.328454064,865778,0.0000,1.0
2022-08-11,132.91,135.13,131.59,131.95,131.731108302,1162499,0.0000,1.0
