timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,167.13,168.6,166.9,167.17,167.17,1674053,0.0000,1.0
2022-11-25,166.58,167.92,165.955,167.7,167.7,914962,0.0000,1.0
2022-11-23,164.93,166.25,164.16,165.53,165.53,916086,0.0000,1.0
2022-11-22,162.42,165.49,161.99,164.71,164.71,1268823,0.0000,1.0
2022-11-21,162.0,163.165,159.82,160.3,160.3,1405213,0.0000,1.0
2022-11-18,160.0,162.0,159.11,162.0,162.0,1579679,0.0000,1.0
2022-11-17,155.0,158.98,154.91,158.92,158.92,1659071,0.0000,1.0
2022-11-16,153.72,156.675,153.72,155.8,155.8,1213689,0.0000,1.0
2022-11-15,154.82,156.27,151.7,152.78,152.78,1641287,0.0000,1.0
2022-11-14,153.0,156.84,153.0,154.73,154.73,1934573,0.0000,1.0
2022-11-11,155.52,155.85,147.1,153.01,153.01,2944519,0.0000,1.0
2022-11-10,161.2,161.34,153.78,155.0,155.0,4479257,0.4850,1.0
2022-11-09,159.66,162.39,157.81,158.19,157.696562369,1980689,0.0000,1.0
2022-11-08,154.91,160.145,154.91,159.66,159.16197704,8144893,0.0000,1.0
2022-11-07,161.94,163.61,160.55,162.01,161.50464675,1393626,0.0000,1.0
2022-11-04,159.97,167.29,159.3,161.64,161.135800881,2719348,0.0000,1.0
2022-11-03,152.99,159.52,150.85,157.84,157.347654115,1748556,0.0000,1.0
2022-11-02,155.97,158.24,154.77,154.81,154.327105509,1196093,0.0000,1.0
2022-11-01,157.37,157.55,154.74,156.32,155.832395408,1154005,0.0000,1.0
2022-10-31,158.38,159.45,156.41,157.22,156.729588063,1045505,0.0000,1.0
2022-10-28,156.31,159.4,156.07,159.31,158.813068785,848258,0.0000,1.0
2022-10-27,155.35,158.11,155.35,155.9,155.413705502,985664,0.0000,1.0
2022-10-26,153.97,155.35,153.47,154.69,154.207479821,909925,0.0000,1.0
2022-10-25,149.04,152.89,148.805,152.77,152.293468823,1078208,0.0000,1.0
2022-10-24,149.19,150.73,148.11,150.1,149.631797279,1177089,0.0000,1.0
2022-10-21,142.47,148.39,142.47,147.73,147.269189954,1538310,0.0000,1.0
2022-10-20,143.33,143.33,141.58,142.77,142.324661543,877608,0.0000,1.0
2022-10-19,143.9,144.84,141.82,142.99,142.543975303,569847,0.0000,1.0
2022-10-18,144.22,145.25,143.15,143.99,143.540856031,836728,0.0000,1.0
2022-10-17,141.45,143.48,141.45,142.38,141.935878059,961752,0.0000,1.0
2022-10-14,143.31,143.7,139.755,140.6,140.161430363,731089,0.0000,1.0
2022-10-13,136.85,142.565,136.07,142.05,141.606907419,1007057,0.0000,1.0
2022-10-12,142.74,143.29,138.84,138.94,138.506608355,1418710,0.0000,1.0
2022-10-11,139.37,143.265,139.37,141.71,141.267967971,1582624,0.0000,1.0
2022-10-10,137.68,139.13,137.1,137.62,137.190725793,1024939,0.0000,1.0
2022-10-07,138.8,139.27,136.87,137.35,136.921567997,1034595,0.0000,1.0
2022-10-06,142.14,142.38,139.6201,139.91,139.473582661,938767,0.0000,1.0
2022-10-05,141.84,143.5196,141.1,142.45,142.00565971,728031,0.0000,1.0
2022-10-04,140.02,142.8516,139.57,142.73,142.284786314,1074399,0.0000,1.0
2022-10-03,136.27,139.75,135.8053,139.31,138.875454224,1016368,0.0000,1.0
2022-09-30,136.6,137.485,135.14,135.33,134.907868926,1337593,0.0000,1.0
2022-09-29,138.4,138.4,135.255,136.07,135.645560665,1122954,0.0000,1.0
2022-09-28,137.11,139.2,135.83,138.41,137.978261569,1077992,0.0000,1.0
2022-09-27,137.02,138.005,135.17,135.44,135.017525806,1058118,0.0000,1.0
2022-09-26,136.36,137.28,135.7,136.35,135.924687269,1271300,0.0000,1.0
2022-09-23,139.32,139.461,135.36,137.2,136.772035888,1095193,0.0000,1.0
2022-09-22,139.09,140.97,138.68,140.01,139.573270734,670321,0.0000,1.0
2022-09-21,139.93,142.26,139.11,139.12,138.686046886,976996,0.0000,1.0
2022-09-20,139.68,140.225,138.15,138.9,138.466733125,898001,0.0000,1.0
2022-09-19,139.53,140.7,139.0575,140.37,139.932147796,1687532,0.0000,1.0
2022-09-16,139.68,141.08,139.12,140.55,140.111586327,2818248,0.0000,1.0
2022-09-15,140.9,140.93,139.37,139.81,139.373894588,1103854,0.0000,1.0
2022-09-14,140.96,141.87,139.025,140.11,139.672958806,1072001,0.0000,1.0
2022-09-13,146.34,146.62,140.39,140.98,140.54024504,1274432,0.0000,1.0
2022-09-12,148.06,149.505,147.15,147.71,147.249252339,825305,0.0000,1.0
2022-09-09,147.54,148.02,146.63,147.27,146.810624819,854700,0.0000,1.0
2022-09-08,147.53,148.78,146.895,147.54,147.079782616,752892,0.0000,1.0
2022-09-07,145.9,148.22,144.97,147.84,147.378846834,662435,0.0000,1.0
2022-09-06,148.04,149.02,145.5001,146.02,145.564523909,853485,0.0000,1.0
2022-09-02,148.05,150.38,147.11,147.71,147.249252339,698361,0.0000,1.0
2022-09-01,146.56,147.71,145.36,147.61,147.149564267,659048,0.0000,1.0
2022-08-31,145.63,147.61,145.56,146.56,146.102839502,1079128,0.0000,1.0
2022-08-30,146.88,147.765,145.15,145.43,144.97636428,859659,0.0000,1.0
