timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,58.58,58.78,57.99,58.02,58.02,1608064,0.0000,1.0
2022-11-25,58.21,58.9,58.1506,58.73,58.73,614807,0.0000,1.0
2022-11-23,57.78,58.41,57.7,58.05,58.05,1046174,0.0000,1.0
2022-11-22,57.52,57.94,57.3401,57.78,57.78,1685687,0.0000,1.0
2022-11-21,57.71,58.02,57.09,57.16,57.16,1448397,0.0000,1.0
2022-11-18,56.84,57.785,56.78,57.67,57.67,2015192,0.0000,1.0
2022-11-17,56.18,56.77,56.0,56.55,56.55,2028014,0.0000,1.0
2022-11-16,56.29,56.85,56.16,56.52,56.52,1392059,0.0000,1.0
2022-11-15,56.75,56.88,55.62,56.21,56.21,2373617,0.0000,1.0
2022-11-14,56.91,57.23,56.34,56.36,56.36,2036568,0.0000,1.0
2022-11-11,58.84,59.14,56.415,56.77,56.77,3240207,0.0000,1.0
2022-11-10,58.78,58.99,57.35,58.4,58.4,2463343,0.0000,1.0
2022-11-09,57.53,58.6,57.17,57.56,57.56,1982885,0.0000,1.0
2022-11-08,57.91,58.13,57.425,57.72,57.72,3021122,0.0000,1.0
2022-11-07,57.03,58.2,56.65,58.01,58.01,2725655,0.0000,1.0
2022-11-04,56.82,57.19,55.6,56.86,56.86,3714137,0.0000,1.0
2022-11-03,55.87,57.21,55.76,56.53,56.53,3742721,0.0000,1.0
2022-11-02,55.17,57.84,54.82,56.22,56.22,6391141,0.0000,1.0
2022-11-01,57.52,57.95,55.33,55.44,55.44,9579301,0.0000,1.0
2022-10-31,56.318,58.0,56.17,57.5,57.5,93699409,0.0000,1.0
2022-10-28,55.2,56.99,55.11,56.68,56.68,13153316,0.0000,1.0
2022-10-27,49.76,51.86,49.405,51.69,51.69,4057896,0.0000,1.0
2022-10-26,49.31,49.66,48.595,48.79,48.79,2069277,0.0000,1.0
2022-10-25,48.77,49.27,47.9,49.22,49.22,1851239,0.0000,1.0
2022-10-24,48.43,49.48,48.43,49.34,49.34,1063354,0.0000,1.0
2022-10-21,47.95,48.5,47.38,48.23,48.23,1935493,0.0000,1.0
2022-10-20,47.99,48.57,47.305,47.52,47.52,1970141,0.0000,1.0
2022-10-19,48.16,49.22,48.16,48.72,48.72,1543462,0.0000,1.0
2022-10-18,48.64,49.18,48.195,48.64,48.64,1556764,0.0000,1.0
2022-10-17,47.36,48.21,47.08,48.08,48.08,1735951,0.0000,1.0
2022-10-14,47.98,48.07,46.74,47.0,47.0,1909432,0.0000,1.0
2022-10-13,45.05,47.82,44.617,47.53,47.53,3025858,0.0000,1.0
2022-10-12,46.44,46.79,45.55,45.56,45.56,1750295,0.0000,1.0
2022-10-11,46.61,47.35,46.19,46.59,46.59,1479655,0.0000,1.0
2022-10-10,45.74,46.85,45.67,46.64,46.64,1485913,0.0000,1.0
2022-10-07,47.7,47.74,45.545,45.67,45.67,2712227,0.0000,1.0
2022-10-06,47.73,48.105,47.66,48.0,48.0,2502586,0.0000,1.0
2022-10-05,48.25,48.52,47.69,47.96,47.96,2197468,0.0000,1.0
2022-10-04,46.46,48.72,46.42,48.69,48.69,2469273,0.0000,1.0
2022-10-03,45.79,46.58,44.92,46.33,46.33,2149145,0.0000,1.0
2022-09-30,45.73,46.48,45.48,45.54,45.54,2344345,0.0000,1.0
2022-09-29,44.21,45.99,44.195,45.83,45.83,2830394,0.0000,1.0
2022-09-28,43.14,44.84,43.14,44.47,44.47,3209459,0.0000,1.0
2022-09-27,41.82,43.27,41.54,43.1,43.1,2626467,0.0000,1.0
2022-09-26,42.79,42.93,41.05,41.67,41.67,2021990,0.0000,1.0
2022-09-23,43.63,43.81,42.605,43.1,43.1,1301665,0.0000,1.0
2022-09-22,44.68,44.81,43.69,43.93,43.93,1311584,0.0000,1.0
2022-09-21,46.54,46.73,44.79,44.8,44.8,1304322,0.0000,1.0
2022-09-20,47.17,47.33,45.98,46.43,46.43,1180154,0.0000,1.0
2022-09-19,46.12,47.49,46.09,47.48,47.48,1131974,0.0000,1.0
2022-09-16,46.98,47.11,46.28,46.52,46.52,2268026,0.0000,1.0
2022-09-15,46.94,47.695,46.77,47.28,47.28,911933,0.0000,1.0
2022-09-14,47.1,47.38,46.58,47.02,47.02,1194757,0.0000,1.0
2022-09-13,46.7,47.505,46.1383,47.05,47.05,1636545,0.0000,1.0
2022-09-12,46.79,47.4,46.73,47.09,47.09,1187061,0.0000,1.0
2022-09-09,46.52,46.8615,46.32,46.52,46.52,855848,0.0000,1.0
2022-09-08,46.0,46.56,45.81,46.47,46.47,885061,0.0000,1.0
2022-09-07,45.03,46.205,45.03,46.14,46.14,914110,0.0000,1.0
2022-09-06,45.53,46.43,44.76,45.04,45.04,1153128,0.0000,1.0
2022-09-02,46.0,46.71,45.32,45.5,45.5,945415,0.0000,1.0
2022-09-01,45.66,45.76,45.21,45.72,45.72,1106476,0.0000,1.0
2022-08-31,45.78,46.04,45.3,45.72,45.72,1969029,0.0000,1.0
2022-08-30,46.38,46.38,45.625,45.74,45.74,753437,0.0000,1.0
2022-08-29,46.16,46.58,45.5501,46.24,46.24,684988,0.0000,1.0
2022-08-26,47.38,47.48,46.5,46.5,46.5,609966,0.0000,1.0
2022-08-25,46.76,47.4,46.62,47.29,47.29,1017163,0.0000,1.0
2022-08-24,46.32,46.81,46.15,46.68,46.68,1095531,0.0000,1.0
2022-08-23,46.32,46.65,46.2,46.49,46.49,1090813,0.0000,1.0
2022-08-22,47.03,47.03,46.3301,46.43,46.43,887909,0.0000,1.0
2022-08-19,47.85,47.85,47.24,47.28,47.28,990868,0.0000,1.0
