timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,293.26,294.97,289.78,290.6,290.6,1253096,0.0000,1.0
2022-11-25,294.3,297.52,294.3,296.4,296.4,677924,0.0000,1.0
2022-11-23,293.08,296.39,292.4,294.53,294.53,1229097,0.0000,1.0
2022-11-22,288.85,293.75,287.16,292.89,292.89,1417484,0.0000,1.0
2022-11-21,285.5,288.83,285.09,287.02,287.02,1308110,0.0000,1.0
2022-11-18,290.61,290.9049,283.04,286.5,286.5,1322919,0.0000,1.0
2022-11-17,285.81,289.69,283.35,287.14,287.14,1556673,0.0000,1.0
2022-11-16,292.75,293.075,290.105,291.51,291.51,1607897,0.0000,1.0
2022-11-15,293.0,296.45,290.03,292.65,292.65,1960714,0.0000,1.0
2022-11-14,286.15,292.825,284.9817,288.91,288.91,2492962,0.0000,1.0
2022-11-11,287.21,291.7351,280.625,290.09,290.09,2620514,0.0000,1.0
2022-11-10,278.18,287.31,277.37,287.02,287.02,3121393,0.0000,1.0
2022-11-09,266.32,269.19,265.37,266.44,266.44,1831626,0.0000,1.0
2022-11-08,271.09,274.9,266.115,269.03,269.03,2444020,0.0000,1.0
2022-11-07,262.75,269.11,261.37,269.07,269.07,2169995,0.0000,1.0
2022-11-04,259.93,264.16,256.13,261.16,261.16,2496320,0.0000,1.0
2022-11-03,266.64,268.41,256.02,256.88,256.88,3225640,0.0000,1.0
2022-11-02,279.77,283.21,272.095,272.45,272.45,1727229,0.0000,1.0
2022-11-01,287.06,288.19,280.56,281.47,281.47,1537197,0.0000,1.0
2022-10-31,283.48,287.93,283.27,283.9,283.9,2364570,0.0000,1.0
2022-10-28,279.06,288.22,279.06,287.78,287.78,2306310,0.0000,1.0
2022-10-27,281.18,282.8,278.45,278.84,278.84,1927756,0.0000,1.0
2022-10-26,278.0,283.63,277.995,279.87,279.87,1772631,0.0000,1.0
2022-10-25,275.49,281.15,275.49,280.61,280.61,1701468,0.0000,1.0
2022-10-24,272.77,276.94,270.12,275.31,275.31,2201943,0.0000,1.0
2022-10-21,261.53,269.89,260.68,269.57,269.57,3206640,0.0000,1.0
2022-10-20,264.28,269.66,260.63,261.78,261.78,1970177,0.0000,1.0
2022-10-19,262.18,264.68,259.78,264.06,264.06,2412622,0.0000,1.0
2022-10-18,269.02,269.75,261.96,264.05,264.05,2114647,0.0000,1.0
2022-10-17,257.91,262.865,257.62,262.22,262.22,2534868,0.0000,1.0
2022-10-14,261.13,261.79,252.06,252.72,252.72,1723127,0.0000,1.0
2022-10-13,243.67,259.165,242.95,257.46,257.46,3435082,0.0000,1.0
2022-10-12,252.38,253.93,249.93,250.07,250.07,1699418,1.1200,1.0
2022-10-11,256.2,257.31,251.265,252.98,251.852018791,2261821,0.0000,1.0
2022-10-10,261.49,261.49,255.93,257.85,256.70030455,1526827,0.0000,1.0
2022-10-07,266.48,266.855,258.285,259.71,258.552011227,1951239,0.0000,1.0
2022-10-06,273.59,275.71,269.2,269.47,268.268493571,2336850,0.0000,1.0
2022-10-05,271.35,276.935,269.58,274.34,273.11677933,1842985,0.0000,1.0
2022-10-04,270.4,274.94,269.92,274.31,273.086913094,3143717,0.0000,1.0
2022-10-03,260.27,267.1,258.67,264.89,263.708914766,1893933,0.0000,1.0
2022-09-30,258.71,264.05,256.95,257.3,256.152756877,2924375,0.0000,1.0
2022-09-29,258.92,261.11,255.69,258.27,257.118431864,2559159,0.0000,1.0
2022-09-28,257.0,263.71,256.034,261.93,260.762112743,2552665,0.0000,1.0
2022-09-27,259.47,263.2,254.27,256.34,255.197037302,2495929,0.0000,1.0
2022-09-26,258.04,262.36,257.06,257.54,256.391686771,2349818,0.0000,1.0
2022-09-23,259.14,260.36,256.2,259.98,258.820807357,3100118,0.0000,1.0
2022-09-22,264.09,271.46,261.94,262.32,261.150373821,3342643,0.0000,1.0
2022-09-21,270.0,274.94,265.24,265.42,264.236551614,2746518,0.0000,1.0
2022-09-20,271.61,271.9,267.63,270.24,269.035060313,2390145,0.0000,1.0
2022-09-19,270.38,275.34,270.195,274.98,273.753925714,2165221,0.0000,1.0
2022-09-16,273.07,274.11,270.13,272.68,271.464180899,3838924,0.0000,1.0
2022-09-15,277.23,280.49,271.63,273.86,272.638919543,2198703,0.0000,1.0
2022-09-14,280.94,282.5782,276.03,278.53,277.288097058,2397611,0.0000,1.0
2022-09-13,288.1,289.94,280.34,281.52,280.264765317,1789250,0.0000,1.0
2022-09-12,293.87,296.8071,292.67,295.26,293.943501732,2026448,0.0000,1.0
2022-09-09,289.4,292.09,288.905,290.55,289.254502568,2005137,0.0000,1.0
2022-09-08,284.2,288.3,282.36,287.96,286.676050798,1790657,0.0000,1.0
2022-09-07,282.16,288.04,279.39,286.76,285.48140133,1899330,0.0000,1.0
2022-09-06,283.94,286.22,281.35,283.46,282.196115291,2354535,0.0000,1.0
2022-09-02,292.57,293.16,282.82,284.07,282.803395438,1889398,0.0000,1.0
2022-09-01,287.8,289.03,284.13,288.79,287.502350014,2021372,0.0000,1.0
2022-08-31,294.65,295.9231,287.43,288.46,287.17382141,2455043,0.0000,1.0
2022-08-30,297.54,298.0,289.67,292.5,291.195807954,1661072,0.0000,1.0
2022-08-29,295.0,297.87,293.2,295.14,293.824036785,1662776,0.0000,1.0
2022-08-26,309.83,309.91,298.0,298.13,296.800705044,1701650,0.0000,1.0
2022-08-25,307.12,310.69,305.88,309.77,308.388804889,1722854,0.0000,1.0
2022-08-24,306.68,307.98,303.86,306.26,304.894455193,1695482,0.0000,1.0
2022-08-23,308.08,311.27,306.5,306.7,305.332493332,1218114,0.0000,1.0
2022-08-22,309.33,312.85,308.51,310.0,308.61777937,1648114,0.0000,1.0
