timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,88.18,88.48,87.3,87.94,87.94,1056524,0.0000,1.0
2022-11-25,88.49,88.96,88.38,88.81,88.81,350012,0.0000,1.0
2022-11-23,87.0,88.22,87.0,88.14,88.14,923233,0.0000,1.0
2022-11-22,87.02,87.91,86.59,87.23,87.23,957792,0.0000,1.0
2022-11-21,86.4,87.4,86.02,86.76,86.76,1578991,0.0000,1.0
2022-11-18,84.6,86.27,84.49,86.18,86.18,1689816,0.0000,1.0
2022-11-17,83.72,84.05,83.105,83.59,83.59,1492919,0.0000,1.0
2022-11-16,83.63,84.99,83.56,84.48,84.48,1193986,0.0000,1.0
2022-11-15,83.19,83.86,82.14,83.42,83.42,823972,0.0000,1.0
2022-11-14,83.4,83.785,82.45,82.48,82.48,1276197,0.0000,1.0
2022-11-11,85.41,85.41,82.78,83.32,83.32,1479281,0.0000,1.0
2022-11-10,83.77,85.4,82.46,85.3,85.3,2052664,0.0000,1.0
2022-11-09,82.09,82.66,81.17,81.57,81.57,1972191,0.0000,1.0
2022-11-08,81.55,82.91,81.24,82.33,82.33,2195417,0.0000,1.0
2022-11-07,81.27,82.19,80.04,81.02,81.02,3203553,0.0000,1.0
2022-11-04,81.28,82.36,80.02,81.03,81.03,1777433,0.0000,1.0
2022-11-03,80.54,82.18,79.88,81.14,81.14,1937081,0.0000,1.0
2022-11-02,81.86,83.57,81.16,81.17,81.17,1683777,0.0000,1.0
2022-11-01,81.82,82.38,81.05,82.12,82.12,1125057,0.0000,1.0
2022-10-31,82.33,82.33,81.09,81.52,81.52,1178448,0.0000,1.0
2022-10-28,80.6,82.46,80.6,82.33,82.33,913278,0.0000,1.0
2022-10-27,80.05,81.34,79.89,80.28,80.28,1289965,0.0000,1.0
2022-10-26,80.01,80.4,79.21,79.51,79.51,947964,0.0000,1.0
2022-10-25,78.02,79.67,77.84,79.52,79.52,1884345,0.0000,1.0
2022-10-24,78.09,78.82,77.25,77.87,77.87,1959345,0.0000,1.0
2022-10-21,76.88,78.23,76.17,77.58,77.58,1199584,0.0000,1.0
2022-10-20,78.28,78.28,76.27,76.62,76.62,1465751,0.0000,1.0
2022-10-19,78.34,79.26,77.785,78.56,78.56,907947,0.0000,1.0
2022-10-18,79.17,79.83,78.63,79.36,79.36,1224343,0.0000,1.0
2022-10-17,77.07,78.55,77.07,77.71,77.71,1191265,0.0000,1.0
2022-10-14,77.96,78.645,75.98,76.25,76.25,1239769,0.0000,1.0
2022-10-13,73.97,77.39,73.28,77.19,77.19,2599516,0.0000,1.0
2022-10-12,77.72,77.97,74.89,74.94,74.94,2327980,0.0000,1.0
2022-10-11,77.28,78.63,77.01,77.88,77.88,1649465,0.0000,1.0
2022-10-10,77.03,78.365,76.9,77.69,77.69,1261156,0.0000,1.0
2022-10-07,78.94,79.17,76.52,76.96,76.96,1739881,0.0000,1.0
2022-10-06,81.13,81.13,78.58,78.84,78.84,1708661,0.0000,1.0
2022-10-05,83.0,83.0,80.89,81.44,81.44,1354630,0.0000,1.0
2022-10-04,82.84,84.18,82.5,84.07,84.07,1039469,0.0000,1.0
2022-10-03,81.78,83.25,81.03,82.75,82.75,1348526,0.0000,1.0
2022-09-30,83.01,83.25,80.34,80.55,80.55,2197685,0.0000,1.0
2022-09-29,85.66,85.66,82.2,82.49,82.49,1473067,0.0000,1.0
2022-09-28,86.31,86.6,85.05,86.0,86.0,1286810,0.0000,1.0
2022-09-27,87.03,87.37,84.71,85.11,85.11,1604634,0.0000,1.0
2022-09-26,88.71,88.75,86.22,86.71,86.71,1852717,0.0000,1.0
2022-09-23,89.45,89.63,87.99,89.08,89.08,1149728,0.0000,1.0
2022-09-22,90.32,90.995,89.595,90.41,90.41,1276804,0.0000,1.0
2022-09-21,91.92,93.01,90.42,90.46,90.46,1793701,0.0000,1.0
2022-09-20,91.59,91.705,90.26,91.24,91.24,1257764,0.0000,1.0
2022-09-19,91.41,92.37,90.88,92.3,92.3,873782,0.0000,1.0
2022-09-16,90.97,91.97,90.97,91.73,91.73,2386168,0.0000,1.0
2022-09-15,93.22,93.22,91.04,91.18,91.18,1106005,0.0000,1.0
2022-09-14,93.1,94.49,93.1,93.73,93.73,958809,0.0000,1.0
