timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,97.16,97.28,93.99,95.22,95.22,4529545,0.0000,1.0
2022-11-25,95.35,95.81,94.95,95.47,95.47,1252039,0.0000,1.0
2022-11-23,93.71,95.21,93.43,95.13,95.13,3323037,0.0000,1.0
2022-11-22,93.61,94.7,93.04,93.71,93.71,3287079,0.0000,1.0
2022-11-21,91.42,93.33,91.34,93.15,93.15,3150658,0.0000,1.0
2022-11-18,89.68,91.5899,89.68,91.28,91.28,4318822,0.0000,1.0
2022-11-17,89.05,89.53,88.51,89.07,89.07,2589665,0.0000,1.0
2022-11-16,89.73,90.6,89.51,89.74,89.74,3294787,0.0000,1.0
2022-11-15,89.72,90.5822,88.05,89.22,89.22,4912314,0.0000,1.0
2022-11-14,90.33,90.585,88.46,88.66,88.66,3045720,0.0000,1.0
2022-11-11,91.27,91.93,89.15,89.98,89.98,3966783,0.0000,1.0
2022-11-10,90.33,91.98,88.94,91.8,91.8,4115015,0.0000,1.0
2022-11-09,88.31,88.8,87.63,87.82,87.82,2931965,0.8300,1.0
2022-11-08,88.06,89.62,88.0,89.25,88.4143824027,2959737,0.0000,1.0
2022-11-07,89.84,89.84,86.68,88.0,87.1760857304,3038568,0.0000,1.0
2022-11-04,88.82,89.68,87.72,89.57,88.7313863508,3304449,0.0000,1.0
2022-11-03,87.77,89.58,87.225,88.68,87.8497191201,4020845,0.0000,1.0
2022-11-02,88.51,90.64,88.17,88.21,87.3841195713,3172620,0.0000,1.0
2022-11-01,88.1,89.2,87.62,88.53,87.7011235195,4169787,0.0000,1.0
2022-10-31,89.35,89.39,87.36,87.92,87.0968347434,4104063,0.0000,1.0
2022-10-28,87.56,89.56,87.56,89.4,88.5629780034,2633980,0.0000,1.0
2022-10-27,86.17,89.32,86.15,87.18,86.3637631134,2740488,0.0000,1.0
2022-10-26,88.0,88.61,87.24,87.45,86.6312351946,2198752,0.0000,1.0
2022-10-25,86.05,87.56,85.99,87.42,86.6015160745,2579950,0.0000,1.0
2022-10-24,86.48,86.99,85.25,86.0,85.1948110547,2141948,0.0000,1.0
2022-10-21,84.11,86.16,83.41,85.63,84.8282752397,2278603,0.0000,1.0
2022-10-20,86.29,86.29,83.54,83.93,83.1441917654,3165576,0.0000,1.0
2022-10-19,85.47,86.34,85.05,85.9,85.0957473209,1806588,0.0000,1.0
2022-10-18,85.96,86.8639,85.34,86.58,85.7693807107,2612286,0.0000,1.0
2022-10-17,84.8,86.06,84.73,85.05,84.2537055838,3606467,0.0000,1.0
2022-10-14,85.34,86.17,83.14,83.52,82.7380304569,4001183,0.0000,1.0
2022-10-13,80.8,85.04,80.3,84.78,83.9862335025,4047220,0.0000,1.0
2022-10-12,84.87,84.87,81.67,81.74,80.9746959955,2552866,0.0000,1.0
2022-10-11,84.31,86.19,84.18,84.87,84.0753908629,3921130,0.0000,1.0
2022-10-10,83.25,84.99,83.22,84.45,83.659323181,4127922,0.0000,1.0
