timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,60.54,61.25,60.54,60.74,60.74,3787500,0.0000,1.0
2022-11-25,61.36,61.43,60.97,61.08,61.08,2160455,0.0000,1.0
2022-11-23,60.59,61.34,60.59,60.96,60.96,2362375,0.0000,1.0
2022-11-22,60.44,60.94,60.37,60.88,60.88,3149230,0.0000,1.0
2022-11-21,59.74,60.36,59.26,60.11,60.11,3351801,0.0000,1.0
2022-11-18,60.29,60.62,59.49,59.82,59.82,3381601,0.0000,1.0
2022-11-17,58.99,59.66,58.77,59.44,59.44,5907054,0.0000,1.0
2022-11-16,60.45,60.84,59.83,59.87,59.87,4581189,0.0000,1.0
2022-11-15,61.1,61.83,60.25,60.54,60.54,6113299,0.0000,1.0
2022-11-14,60.36,61.11,60.174,60.24,60.24,4662280,0.0000,1.0
2022-11-11,60.91,61.16,60.03,60.39,60.39,6332187,0.0000,1.0
2022-11-10,60.15,60.92,59.61,60.59,60.59,4974340,0.0000,1.0
2022-11-09,58.74,59.42,58.39,58.46,58.46,3849384,0.0000,1.0
2022-11-08,59.0,59.8581,58.38,59.13,59.13,4511182,0.0000,1.0
2022-11-07,58.44,59.31,58.01,59.17,59.17,3640934,0.0000,1.0
2022-11-04,58.39,58.58,57.05,57.92,57.92,3388441,0.0000,1.0
2022-11-03,56.27,58.15,56.11,57.61,57.61,5603268,0.0000,1.0
2022-11-02,57.28,58.65,56.82,57.28,57.28,6611472,0.0000,1.0
2022-11-01,57.4,58.14,57.025,57.07,57.07,6844442,0.0000,1.0
2022-10-31,56.66,57.35,56.48,57.0,57.0,5647942,0.0000,1.0
2022-10-28,54.92,56.9,54.69,56.8,56.8,4758752,0.0000,1.0
2022-10-27,54.76,55.78,54.55,54.62,54.62,3573255,0.0000,1.0
2022-10-26,54.69,54.98,54.08,54.22,54.22,3377045,0.0000,1.0
2022-10-25,53.72,54.62,53.47,54.29,54.29,3899235,0.0000,1.0
2022-10-24,53.56,54.56,53.51,54.35,54.35,3322805,0.0000,1.0
2022-10-21,51.77,53.3,51.66,53.25,53.25,4078600,0.0000,1.0
