timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,125.75,127.64,123.5607,125.22,125.22,567318,0.0000,1.0
2022-11-25,127.62,128.68,127.25,128.49,128.49,225408,0.7000,1.0
2022-11-23,126.89,128.12,126.22,127.04,126.351649508,520748,0.0000,1.0
2022-11-22,127.14,127.55,126.1,127.18,126.490890936,368602,0.0000,1.0
2022-11-21,125.41,126.7656,125.125,126.5,125.814575432,643020,0.0000,1.0
2022-11-18,125.19,125.63,122.63,124.95,124.272973914,1533166,0.0000,1.0
2022-11-17,124.64,125.3346,123.11,123.46,122.791047295,538712,0.0000,1.0
2022-11-16,124.72,126.43,122.8,125.76,125.07858503,436202,0.0000,1.0
2022-11-15,126.29,127.0,124.19,124.62,123.944761978,403976,0.0000,1.0
2022-11-14,128.13,128.165,124.75,124.76,124.084003406,664169,0.0000,1.0
2022-11-11,127.53,128.39,126.03,128.15,127.455635111,493422,0.0000,1.0
2022-11-10,125.99,127.86,124.855,126.66,125.973708491,534542,0.0000,1.0
2022-11-09,122.48,124.56,121.8637,122.62,121.955598731,532561,0.0000,1.0
2022-11-08,121.26,124.05,120.675,123.0,122.333539748,945102,0.0000,1.0
2022-11-07,121.22,121.43,119.01,120.73,120.075839461,1168648,0.0000,1.0
2022-11-04,124.84,124.84,119.85,121.22,120.563184457,1085133,0.0000,1.0
2022-11-03,128.14,128.55,123.22,123.41,122.741318213,739399,0.0000,1.0
2022-11-02,133.09,136.33,130.11,131.02,130.310084372,860911,0.0000,1.0
2022-11-01,136.64,136.64,133.46,134.7,133.970144748,714387,0.0000,1.0
2022-10-31,134.55,135.91,133.58,135.86,135.123859432,678763,0.0000,1.0
2022-10-28,132.75,134.83,130.01,134.69,133.960198932,890717,0.0000,1.0
2022-10-27,136.56,139.115,131.22,132.19,131.473744872,1333020,0.0000,1.0
2022-10-26,150.56,151.565,133.7101,136.75,136.009037077,1666782,0.0000,1.0
2022-10-25,149.77,152.755,149.07,152.74,151.912397244,385728,0.0000,1.0
2022-10-24,148.32,150.72,148.19,150.61,149.793938385,304540,0.0000,1.0
2022-10-21,145.73,147.63,145.06,146.91,146.113986377,407477,0.0000,1.0
2022-10-20,150.14,150.14,144.85,145.3,144.512709962,392569,0.0000,1.0
2022-10-19,154.08,155.45,151.265,151.99,151.166461026,365273,0.0000,1.0
2022-10-18,154.25,155.09,153.2002,154.43,153.593240189,329493,0.0000,1.0
2022-10-17,149.55,151.92,149.07,151.52,150.699007663,340879,0.0000,1.0
2022-10-14,152.57,153.4,147.14,147.35,146.551602291,436676,0.0000,1.0
2022-10-13,144.96,152.27,143.76,151.82,150.99738215,433335,0.0000,1.0
2022-10-12,149.64,149.69,146.43,146.56,145.765882808,313054,0.0000,1.0
2022-10-11,149.34,152.65,148.73,150.11,149.296647573,304950,0.0000,1.0
2022-10-10,148.6,150.2,148.01,149.57,148.759573496,240819,0.0000,1.0
2022-10-07,148.83,148.83,146.43,147.69,146.889760043,331736,0.0000,1.0
2022-10-06,151.51,152.815,149.2,149.93,149.117622881,438700,0.0000,1.0
2022-10-05,151.12,152.67,150.85,151.93,151.106786129,290566,0.0000,1.0
2022-10-04,150.51,152.97,150.51,152.94,152.111313569,341899,0.0000,1.0
2022-10-03,146.76,150.06,145.265,149.68,148.868977475,286105,0.0000,1.0
2022-09-30,148.13,149.345,145.02,145.27,144.482872513,537007,0.0000,1.0
2022-09-29,148.69,149.35,146.38,147.75,146.949434941,462804,0.0000,1.0
2022-09-28,148.46,150.41,148.055,149.46,148.650169518,464614,0.0000,1.0
2022-09-27,147.34,148.4999,145.535,147.46,146.66100627,376286,0.0000,1.0
2022-09-26,147.08,148.93,144.62,146.17,145.377995975,524735,0.0000,1.0
2022-09-23,147.5,148.37,145.775,147.9,147.098622184,331528,0.0000,1.0
2022-09-22,147.63,149.39,145.99,148.67,147.864450035,361195,0.0000,1.0
2022-09-21,151.78,152.66,147.98,147.99,147.188134531,351409,0.0000,1.0
2022-09-20,153.38,153.9143,148.52,150.79,149.972963078,386214,0.0000,1.0
2022-09-19,154.02,155.53,153.51,155.01,154.170097531,318769,0.0000,1.0
2022-09-16,155.29,155.71,153.67,154.83,153.991072838,635719,0.0000,1.0
2022-09-15,155.78,157.53,154.82,155.76,154.916033749,403607,0.0000,1.0
2022-09-14,158.41,158.41,154.37,155.92,155.075166809,457816,0.0000,1.0
2022-09-13,161.5,162.525,158.04,158.49,157.631241582,347626,0.0000,1.0
2022-09-12,164.26,165.14,162.75,163.49,162.604149702,347997,0.0000,1.0
2022-09-09,164.77,165.835,163.58,163.7,162.813011843,314494,0.0000,1.0
2022-09-08,161.8,164.55,160.49,164.42,163.529110612,446175,0.0000,1.0
2022-09-07,158.99,162.34,158.59,162.17,161.291301958,289777,0.0000,1.0
2022-09-06,159.66,160.5,158.005,158.66,157.800320458,268114,0.0000,1.0
2022-09-02,161.45,163.05,158.24,158.9,158.039020048,222597,0.0000,1.0
2022-09-01,157.96,160.08,156.81,160.0,159.133059834,368331,0.0000,1.0
2022-08-31,158.53,159.18,157.04,158.49,157.631241582,564441,0.0000,1.0
2022-08-30,160.9,160.99,157.76,158.17,157.312975462,349393,0.0000,1.0
2022-08-29,160.38,162.02,158.98,161.05,160.17737054,195278,0.0000,1.0
2022-08-26,165.23,165.23,161.53,161.55,160.674661351,343488,0.6800,1.0
2022-08-25,164.58,165.83,164.12,165.77,164.180722507,275240,0.0000,1.0
2022-08-24,163.57,164.92,162.9,164.5,162.922898307,329351,0.0000,1.0
2022-08-23,164.98,165.465,163.715,163.97,162.397979546,340590,0.0000,1.0
2022-08-22,170.04,170.215,164.64,164.84,163.259638644,423888,0.0000,1.0
2022-08-19,171.78,172.65,171.05,171.85,170.202432061,518650,0.0000,1.0
2022-08-18,172.09,172.27,171.025,171.78,170.133103168,287130,0.0000,1.0
2022-08-17,169.2,172.99,169.2,171.54,169.895404107,447811,0.0000,1.0
2022-08-16,166.84,170.75,166.71,170.23,168.597963397,398019,0.0000,1.0
2022-08-15,165.01,167.88,164.31,167.26,165.656437512,343655,0.0000,1.0
2022-08-12,163.87,166.29,163.56,166.28,164.685833012,374017,0.0000,1.0
2022-08-11,163.08,163.96,162.23,163.44,161.873060786,402062,0.0000,1.0
