timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,198.32,199.225,196.23,196.43,196.43,852825,0.0000,1.0
2022-11-25,198.0,199.61,197.7729,199.29,199.29,633917,0.0000,1.0
2022-11-23,197.3,198.54,196.43,197.32,197.32,526277,0.0000,1.0
2022-11-22,195.95,198.02,195.95,197.23,197.23,615130,0.0000,1.0
2022-11-21,194.52,196.62,194.0,195.75,195.75,899165,0.0000,1.0
2022-11-18,192.54,194.775,191.8,194.33,194.33,990839,0.0000,1.0
2022-11-17,188.99,191.11,188.12,190.27,190.27,557540,0.0000,1.0
2022-11-16,187.23,190.27,187.23,189.51,189.51,738281,0.0000,1.0
2022-11-15,187.42,188.98,186.41,187.78,187.78,940214,0.0000,1.0
2022-11-14,186.91,188.66,185.71,185.77,185.77,889343,0.0000,1.0
2022-11-11,193.75,193.94,185.43,186.0,186.0,1296948,0.0000,1.0
2022-11-10,194.005,194.58,191.44,193.0,193.0,1176049,0.0000,1.0
2022-11-09,192.17,193.1199,188.52,188.58,188.58,538950,0.0000,1.0
2022-11-08,192.22,194.7599,190.41,192.39,192.39,791882,0.0000,1.0
2022-11-07,188.92,192.46,187.72,191.99,191.99,716650,0.0000,1.0
2022-11-04,189.02,189.02,184.64,188.39,188.39,836136,0.0000,1.0
2022-11-03,183.86,187.91,183.61,187.35,187.35,711716,0.0000,1.0
2022-11-02,186.81,188.9,184.31,185.35,185.35,1153195,0.0000,1.0
2022-11-01,188.08,189.2,186.23,187.42,187.42,1074649,0.0000,1.0
2022-10-31,188.13,189.96,186.93,187.08,187.08,964520,0.0000,1.0
2022-10-28,185.0,188.71,182.27,188.58,188.58,1292617,0.0000,1.0
2022-10-27,176.99,178.49,175.91,177.53,177.53,1272905,0.0000,1.0
2022-10-26,176.4,177.82,174.43,175.91,175.91,815472,0.0000,1.0
2022-10-25,177.87,177.87,173.39,175.42,175.42,985351,0.0000,1.0
2022-10-24,176.79,180.05,176.39,179.15,179.15,769952,0.0000,1.0
2022-10-21,173.26,175.46,169.01,175.37,175.37,1286337,0.0000,1.0
2022-10-20,177.01,177.01,172.895,173.82,173.82,1043954,0.0000,1.0
2022-10-19,175.6,178.23,174.53,178.05,178.05,1118369,0.0000,1.0
2022-10-18,178.99,179.65,175.145,176.14,176.14,813693,0.0000,1.0
2022-10-17,173.06,176.5,173.06,175.08,175.08,953455,0.0000,1.0
2022-10-14,180.0,180.52,170.12,170.36,170.36,1488283,0.0000,1.0
2022-10-13,172.31,179.45,170.985,178.66,178.66,1418949,0.0000,1.0
2022-10-12,176.51,177.025,174.77,174.87,174.87,740775,0.0000,1.0
2022-10-11,176.3,177.47,174.44,176.13,176.13,893477,0.0000,1.0
2022-10-10,175.52,177.35,175.42,176.57,176.57,459479,0.0000,1.0
2022-10-07,178.16,178.8,173.8,174.31,174.31,840596,0.0000,1.0
2022-10-06,181.44,181.94,178.85,179.1,179.1,687690,0.0000,1.0
2022-10-05,179.14,182.615,178.555,181.76,181.76,860513,0.0000,1.0
2022-10-04,178.1,181.21,178.01,180.01,180.01,891615,0.0000,1.0
2022-10-03,173.0,177.06,171.925,176.58,176.58,1171246,0.0000,1.0
2022-09-30,170.55,173.01,170.04,171.22,171.22,1835318,0.0000,1.0
2022-09-29,170.27,171.41,168.52,171.14,171.14,841980,0.0000,1.0
2022-09-28,170.53,171.82,169.04,170.8,170.8,945242,0.0000,1.0
2022-09-27,171.21,172.2,167.93,169.73,169.73,683538,0.0000,1.0
