timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,113.41,113.805,111.61,112.25,112.25,502505,0.0000,1.0
2022-11-25,113.42,114.37,112.58,114.32,114.32,192443,0.0000,1.0
2022-11-23,114.29,114.98,113.56,113.99,113.99,300101,0.0000,1.0
2022-11-22,113.29,114.36,112.9,113.94,113.94,440827,0.0000,1.0
2022-11-21,112.68,113.44,112.01,112.66,112.66,550762,0.0000,1.0
2022-11-18,112.41,113.115,111.18,112.96,112.96,681610,0.0000,1.0
2022-11-17,109.42,110.79,107.72,110.77,110.77,591853,0.0000,1.0
2022-11-16,112.39,112.82,110.17,111.05,111.05,467389,0.0000,1.0
2022-11-15,112.83,113.76,111.54,112.64,112.64,506709,0.0000,1.0
2022-11-14,112.87,113.9775,110.79,110.95,110.95,567551,0.0000,1.0
2022-11-11,114.32,116.98,113.17,113.57,113.57,993684,0.0000,1.0
2022-11-10,108.79,114.23,107.79,113.98,113.98,1323100,0.0000,1.0
2022-11-09,105.92,106.715,103.98,104.37,104.37,530067,0.0000,1.0
2022-11-08,107.55,109.24,105.73,106.78,106.78,610066,0.0000,1.0
2022-11-07,103.5,107.345,102.7632,107.07,107.07,775794,0.0000,1.0
2022-11-04,104.1,104.77,100.88,103.12,103.12,804228,0.0000,1.0
2022-11-03,100.72,103.18,100.19,102.34,102.34,1076448,0.0000,1.0
2022-11-02,106.24,106.44,101.85,102.01,102.01,1118446,0.0000,1.0
2022-11-01,107.24,107.915,105.73,106.56,106.56,790076,0.0000,1.0
2022-10-31,105.28,106.22,103.72,104.77,104.77,864338,0.0000,1.0
2022-10-28,103.46,106.73,101.85,106.19,106.19,860332,0.0000,1.0
2022-10-27,105.07,105.07,100.5,103.46,103.46,1575808,0.0000,1.0
2022-10-26,98.09,98.77,96.575,97.33,97.33,898119,0.0000,1.0
2022-10-25,94.4,97.99,94.4,97.54,97.54,994042,0.0000,1.0
2022-10-24,93.62,94.83,92.14,94.36,94.36,486911,0.0000,1.0
2022-10-21,90.02,93.21,88.82,92.79,92.79,681264,0.0000,1.0
2022-10-20,91.85,91.85,89.59,89.8,89.8,795380,0.0000,1.0
2022-10-19,94.16,94.55,91.955,92.11,92.11,767722,0.0000,1.0
2022-10-18,95.83,96.63,94.49,95.18,95.18,896957,0.0000,1.0
2022-10-17,91.8,93.895,91.8,93.53,93.53,713354,0.0000,1.0
2022-10-14,92.85,93.895,89.64,89.94,89.94,684530,0.0000,1.0
2022-10-13,89.0,92.63,87.33,92.2,92.2,831598,0.0000,1.0
2022-10-12,91.22,91.43,89.9275,90.5,90.5,730037,0.0000,1.0
