timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,104.0,105.09,102.81,103.47,103.47,6383452,0.0000,1.0
2022-11-25,106.92,107.5,105.79,105.82,105.82,3012477,0.0000,1.0
2022-11-23,106.32,108.57,106.32,107.67,107.67,4077688,0.2600,1.0
2022-11-22,105.92,107.29,103.85,107.04,106.782143982,8497185,0.0000,1.0
2022-11-21,103.53,105.91,101.84,105.14,104.886721023,9282393,0.0000,1.0
2022-11-18,109.99,110.0,103.645,104.7,104.447780969,10921081,0.0000,1.0
2022-11-17,100.422,105.6,100.21,104.45,104.198383211,10682840,0.0000,1.0
2022-11-16,105.375,107.13,102.99,104.22,103.968937274,12082515,0.0000,1.0
2022-11-15,111.17,112.12,108.77,110.46,110.193905309,9438599,0.0000,1.0
2022-11-14,108.86,110.23,107.45,107.61,107.35077087,7761669,0.0000,1.0
2022-11-11,105.31,110.885,104.79,110.53,110.263736681,11159967,0.0000,1.0
2022-11-10,100.16,104.89,99.48,104.79,104.537564162,11692837,0.0000,1.0
2022-11-09,95.275,96.61,94.24,94.38,94.1526415269,6864577,0.0000,1.0
2022-11-08,96.98,98.79,94.78,97.46,97.2252219031,10066976,0.0000,1.0
2022-11-07,92.26,95.12,92.1,95.04,94.8110516075,7684161,0.0000,1.0
2022-11-04,90.05,91.8,88.84,91.7,91.4790975632,8692669,0.0000,1.0
2022-11-03,85.96,87.71,84.7,86.3,86.0921059946,6849673,0.0000,1.0
2022-11-02,90.35,93.29,87.53,87.76,87.5485889002,10651484,0.0000,1.0
2022-11-01,90.5,90.8,89.0,89.79,89.5736986936,6105626,0.0000,1.0
2022-10-31,88.86,89.4,87.66,88.29,88.0773121468,6875350,0.0000,1.0
2022-10-28,86.62,89.93,86.46,89.72,89.5038673214,6388592,0.0000,1.0
2022-10-27,88.78,89.99,86.37,86.54,86.3315278421,6822536,0.0000,1.0
2022-10-26,86.47,90.25,85.8,88.14,87.9276734921,8991961,0.0000,1.0
2022-10-25,85.94,88.5,85.75,87.53,87.319142963,10349364,0.0000,1.0
2022-10-24,82.83,85.08,81.9,84.94,84.7353821922,12005014,0.0000,1.0
2022-10-21,78.83,82.65,78.13,82.42,82.2214527935,11569492,0.0000,1.0
2022-10-20,78.36,82.115,77.21,78.66,78.4705105161,13287857,0.0000,1.0
2022-10-19,75.0,77.79,74.435,77.26,77.0738830724,10579176,0.0000,1.0
2022-10-18,76.695,77.44,74.15,75.23,75.048773279,10231029,0.0000,1.0
2022-10-17,77.21,77.89,74.16,74.41,74.2307486334,10772296,0.0000,1.0
2022-10-14,79.56,79.9,74.59,74.82,74.6397609562,10456112,0.0000,1.0
2022-10-13,72.18,81.52,71.12,79.42,79.2286796998,17560158,0.0000,1.0
2022-10-12,76.55,77.0,75.47,76.01,75.8268942833,7770150,0.0000,1.0
2022-10-11,77.74,78.77,74.97,76.3,76.1161956824,12441054,0.0000,1.0
2022-10-10,82.0,82.13,77.355,79.19,78.9992337626,14211919,0.0000,1.0
2022-10-07,85.17,85.54,82.02,82.6,82.4010191791,10029889,0.0000,1.0
2022-10-06,88.98,91.19,87.88,88.12,87.9077216715,6686656,0.0000,1.0
2022-10-05,87.65,90.17,86.1915,89.22,89.0050718058,7608582,0.0000,1.0
2022-10-04,89.12,90.2664,88.4677,89.41,89.1946141017,7914936,0.0000,1.0
2022-10-03,83.04,87.6064,83.01,86.25,86.0422264431,9631456,0.0000,1.0
2022-09-30,81.935,84.46,81.53,81.93,81.7326331882,9050957,0.0000,1.0
2022-09-29,84.75,85.1,83.2,84.42,84.2166348559,8542520,0.0000,1.0
2022-09-28,83.0,86.4,82.84,86.0,85.7928286853,7992595,0.0000,1.0
2022-09-27,84.43,85.18,82.53,84.15,83.9472852775,6219994,0.0000,1.0
2022-09-26,84.29,85.58,82.84,82.94,82.7402001297,7015803,0.0000,1.0
2022-09-23,84.19,84.48,82.7,84.29,84.0869480219,7384692,0.0000,1.0
2022-09-22,86.64,86.79,84.59,85.04,84.8351412953,8519324,0.0000,1.0
2022-09-21,88.37,91.26,87.05,87.09,86.8802029093,6953443,0.0000,1.0
2022-09-20,88.02,89.02,87.35,88.12,87.9077216715,4435667,0.0000,1.0
2022-09-19,87.85,90.29,87.711,89.72,89.5038673214,5260534,0.0000,1.0
2022-09-16,87.62,89.35,86.9401,88.87,88.6559149449,10893594,0.0000,1.0
2022-09-15,90.035,90.8158,88.09,88.92,88.7057944964,7120287,0.0000,1.0
2022-09-14,91.94,91.94,89.6,90.64,90.4216510701,5828232,0.0000,1.0
2022-09-13,92.43,93.35,90.0,90.39,90.1722533123,8422212,0.0000,1.0
2022-09-12,96.895,97.67,95.24,96.3,96.0680163069,5329334,0.0000,1.0
2022-09-09,95.12,97.01,95.06,96.51,96.2775104234,5096458,0.0000,1.0
2022-09-08,91.02,93.83,90.26,93.79,93.5640628185,5232965,0.0000,1.0
2022-09-07,90.57,92.77,89.88,91.94,91.7185194107,5567548,0.0000,1.0
2022-09-06,91.12,91.6,89.22,90.29,90.0724942092,5920515,0.0000,1.0
2022-09-02,93.15,93.84,90.535,91.24,91.0202056889,6795795,0.0000,1.0
2022-09-01,91.535,91.97,89.03,91.81,91.5888325767,9953705,0.0000,1.0
2022-08-31,94.705,94.82,92.61,94.07,93.8433883072,8729715,0.0000,1.0
2022-08-30,97.91,98.28,93.56,94.52,94.2923042713,11623176,0.0000,1.0
2022-08-29,97.55,98.71,96.37,96.54,96.3074381544,5553290,0.0000,1.0
2022-08-26,105.0,105.0,98.55,98.8,98.5619938849,7757087,0.0000,1.0
2022-08-25,101.97,105.18,101.47,105.0,104.747058279,7645184,0.0000,1.0
2022-08-24,101.25,102.09,100.14,101.475,101.230549893,4741206,0.2600,1.0
2022-08-23,101.11,103.31,101.05,101.93,101.424582991,4882311,0.0000,1.0
2022-08-22,102.795,103.415,100.35,100.81,100.31013648,6180117,0.0000,1.0
2022-08-19,106.63,107.3,103.35,104.63,104.111195118,12380941,0.0000,1.0
2022-08-18,106.68,109.33,105.5,108.27,107.733146282,10062412,0.0000,1.0
2022-08-17,107.0,107.27,104.1201,106.0,105.474402012,5495563,0.0000,1.0
2022-08-16,108.44,109.59,107.01,108.49,107.952055418,4892445,0.0000,1.0
2022-08-15,109.8,111.65,107.9978,109.78,109.23565899,8342611,0.0000,1.0
2022-08-12,106.2,111.3189,105.76,110.38,109.832683907,6644695,0.0000,1.0
2022-08-11,105.79,108.91,104.99,105.53,105.006732494,5555622,0.0000,1.0
2022-08-10,102.77,105.13,100.94,105.05,104.52911256,8599758,0.0000,1.0
2022-08-09,103.75,103.97,97.88,99.66,99.165838722,10355771,0.0000,1.0
2022-08-08,109.2,110.36,105.94,107.83,107.295328009,6041462,0.0000,1.0
2022-08-05,109.06,111.22,107.44,109.62,109.076452345,4784018,0.0000,1.0
2022-08-04,109.42,111.19,109.03,111.06,110.509312146,5279567,0.0000,1.0
2022-08-03,105.74,110.6,105.68,109.01,108.469477013,6088039,0.0000,1.0
2022-08-02,104.71,106.5399,103.66,104.99,104.469410068,4137933,0.0000,1.0
2022-08-01,104.49,107.34,103.67,106.4,105.872418624,4737621,0.0000,1.0
2022-07-29,103.5,106.5499,103.04,105.98,105.454501182,5817668,0.0000,1.0
2022-07-28,103.37,105.29,100.75,105.16,104.638567128,6090516,0.0000,1.0
2022-07-27,100.57,104.5,100.0601,103.46,102.94699653,7274974,0.0000,1.0
2022-07-26,100.58,100.98,98.57,98.91,98.4195575757,5073857,0.0000,1.0
2022-07-25,100.51,101.2668,99.461,101.0,100.49919437,4367046,0.0000,1.0
2022-07-22,103.71,103.96,100.94,101.67,101.165872194,5100432,0.0000,1.0
2022-07-21,103.54,103.968,101.02,103.84,103.325112311,5463760,0.0000,1.0
2022-07-20,97.585,102.86,97.51,102.23,101.72309545,8314020,0.0000,1.0
2022-07-19,94.68,98.64,94.37,98.23,97.7429293363,8203162,0.0000,1.0
2022-07-18,95.76,96.4,92.55,93.14,92.6781679567,5683385,0.0000,1.0
2022-07-15,92.36,94.59,90.21,94.47,94.0015731895,8051247,0.0000,1.0
2022-07-14,88.48,92.08,86.41,91.67,91.2154569099,8686504,0.0000,1.0
2022-07-13,86.53,90.12,86.48,89.08,88.6382993513,5786887,0.0000,1.0
2022-07-12,89.24,90.02,88.09,88.73,88.2900348164,5492279,0.0000,1.0
2022-07-11,89.5,90.07,87.82,88.62,88.1805802483,5326575,0.0000,1.0
2022-07-08,89.64,91.65,89.3,91.19,90.7378369763,4890828,0.0000,1.0
2022-07-07,88.69,91.16,88.67,90.75,90.3000187038,7469589,0.0000,1.0
2022-07-06,86.25,87.48,84.95,86.56,86.1307946997,5732416,0.0000,1.0
2022-07-05,83.24,86.23,82.67,86.0,85.5735714438,9550946,0.0000,1.0
2022-07-01,88.72,88.72,84.46,86.27,85.8422326565,13121569,0.0000,1.0
2022-06-30,90.25,93.52,89.2749,90.98,90.5288782553,8183616,0.0000,1.0
2022-06-29,93.97,94.2,91.41,91.94,91.4841181226,7570184,0.0000,1.0
2022-06-28,98.11,98.91,94.74,95.02,94.5488460301,6495010,0.0000,1.0
2022-06-27,97.97,98.865,96.54,97.61,97.1260035887,4950181,0.0000,1.0
2022-06-24,95.32,98.28,94.67,97.36,96.8772432066,10582948,0.0000,1.0
2022-06-23,94.63,95.32,92.11,93.28,92.8174737707,8286278,0.0000,1.0
2022-06-22,93.09,95.93,92.85,93.94,93.4742011794,7652006,0.0000,1.0
2022-06-21,91.7,95.675,91.16,95.17,94.6981022594,12207425,0.0000,1.0
2022-06-17,88.21,90.94,87.62,89.83,89.3845804977,14451432,0.0000,1.0
2022-06-16,94.79,95.11,88.75,89.59,89.1457705308,13359331,0.0000,1.0
2022-06-15,97.85,99.3,95.59,97.42,96.9369456983,9377192,0.0000,1.0
2022-06-14,97.4,97.96,95.39,96.62,96.1409124756,7058409,0.0000,1.0
2022-06-13,98.26,98.85,95.65,96.32,95.8424000171,10484166,0.0000,1.0
2022-06-10,105.45,106.31,101.81,101.88,101.374830915,8392543,0.0000,1.0
2022-06-09,111.1,111.97,107.15,107.24,106.708253507,5947853,0.0000,1.0
2022-06-08,115.27,115.67,111.19,112.46,111.902370286,5138323,0.0000,1.0
2022-06-07,113.199,115.99,112.4004,115.67,115.096453592,4725499,0.0000,1.0
2022-06-06,117.135,117.88,114.37,115.0,114.429775768,3824616,0.0000,1.0
2022-06-03,114.885,116.34,114.14,114.96,114.389974107,5080650,0.0000,1.0
2022-06-02,114.69,117.41,113.55,117.33,116.748222529,6408456,0.0000,1.0
2022-06-01,117.96,118.5,112.8,114.46,113.892453343,6852208,0.0000,1.0
2022-05-31,117.55,118.68,115.56,117.29,116.708420868,9751329,0.0000,1.0
2022-05-27,116.62,119.7,116.4,119.48,118.887561815,8510529,0.0000,1.0
2022-05-26,106.96,115.71,106.82,115.07,114.499428675,9173135,0.0000,1.0
2022-05-25,105.07,109.42,105.07,108.53,107.991857079,7378173,0.2600,1.0
2022-05-24,107.88,108.73,105.71,106.59,105.807997482,6785403,0.0000,1.0
2022-05-23,107.09,111.35,106.98,109.93,109.123493416,7669072,0.0000,1.0
2022-05-20,112.0,112.74,101.33,106.46,105.678951233,16285504,0.0000,1.0
2022-05-19,111.41,113.48,110.2,110.74,109.927550813,10115754,0.0000,1.0
2022-05-18,113.99,117.05,110.79,111.34,110.523148885,8522762,0.0000,1.0
2022-05-17,114.54,117.32,113.33,116.84,115.982797878,6646480,0.0000,1.0
2022-05-16,109.61,112.31,108.615,110.48,109.669458315,7218166,0.0000,1.0
2022-05-13,108.19,112.6319,108.03,111.86,111.039333881,8321070,0.0000,1.0
2022-05-12,103.0279,106.88,102.99,106.76,105.976750269,9287061,0.0000,1.0
2022-05-11,106.66,109.125,103.61,103.92,103.157586062,8311657,0.0000,1.0
2022-05-10,109.215,109.57,105.18,107.18,106.393668919,8881030,0.0000,1.0
2022-05-09,107.94,110.79,105.38,105.75,104.974160181,10088432,0.0000,1.0
2022-05-06,111.88,115.05,109.8935,112.5,111.674638491,6247012,0.0000,1.0
2022-05-05,116.07,116.9,111.85,113.47,112.63752204,8172534,0.0000,1.0
2022-05-04,114.17,119.12,112.0352,118.81,117.938344881,6342697,0.0000,1.0
2022-05-03,112.18,114.73,111.43,113.8,112.96510098,5463679,0.0000,1.0
2022-05-02,111.1,113.2,108.18,112.97,112.141190314,9425103,0.0000,1.0
2022-04-29,113.03,116.16,110.16,110.35,109.540412066,7998881,0.0000,1.0
2022-04-28,111.41,115.99,109.59,114.63,113.789011646,7379070,0.0000,1.0
2022-04-27,108.37,112.37,107.9,108.81,108.011710348,6891622,0.0000,1.0
2022-04-26,112.84,113.2,108.83,108.92,108.120903328,9422790,0.0000,1.0
2022-04-25,111.41,114.72,111.2,114.47,113.630185493,8518305,0.0000,1.0
2022-04-22,115.23,116.1859,112.63,112.8,111.972437527,8489399,0.0000,1.0
2022-04-21,119.21,121.075,115.34,115.69,114.841234906,7849411,0.0000,1.0
2022-04-20,120.52,122.37,117.52,117.89,117.025094504,8830987,0.0000,1.0
2022-04-19,114.13,117.24,113.54,117.06,116.201183837,6086635,0.0000,1.0
2022-04-18,112.5,115.98,112.34,114.87,114.027250875,6822714,0.0000,1.0
2022-04-14,117.41,117.5291,113.25,113.36,112.52832906,7711159,0.0000,1.0
2022-04-13,115.24,118.12,114.49,116.86,116.002651147,9351383,0.0000,1.0
2022-04-12,118.1,119.26,114.17,114.56,113.719525204,9883791,0.0000,1.0
2022-04-11,118.2,119.05,116.14,116.24,115.387199806,7785053,0.0000,1.0
2022-04-08,121.26,122.3899,119.46,119.96,119.079907852,6408147,0.0000,1.0
2022-04-07,119.08,123.9,118.59,122.4,121.502006678,11817187,0.0000,1.0
2022-04-06,119.01,121.22,117.07,119.33,118.454529876,11601955,0.0000,1.0
2022-04-05,128.78,128.98,121.35,121.71,120.817068895,11421690,0.0000,1.0
2022-04-04,127.17,129.7,126.9,129.44,128.490357389,8348638,0.0000,1.0
2022-04-01,132.875,133.04,125.57,127.41,126.475250579,10138140,0.0000,1.0
2022-03-31,136.095,137.35,131.65,131.8,130.833043138,8474769,0.0000,1.0
2022-03-30,140.69,141.3,135.08,135.8,134.803696951,6387460,0.0000,1.0
2022-03-29,140.08,142.01,138.905,141.44,140.402318828,6162641,0.0000,1.0
2022-03-28,135.09,137.75,133.7,137.66,136.650050974,5209555,0.0000,1.0
2022-03-25,138.63,138.99,134.8,137.06,136.054452902,6065766,0.0000,1.0
2022-03-24,133.01,138.65,131.3301,138.59,137.573227986,7617816,0.0000,1.0
2022-03-23,133.61,135.1,131.2,131.42,130.455831026,5457871,0.0000,1.0
2022-03-22,134.0,137.34,133.85,135.48,134.486044646,4982778,0.0000,1.0
2022-03-21,134.105,135.3822,131.92,134.2,133.215435426,6169739,0.0000,1.0
2022-03-18,130.6,135.75,129.75,135.14,134.148539072,11466776,0.0000,1.0
2022-03-17,129.315,132.26,128.31,131.99,131.021649194,6781116,0.0000,1.0
2022-03-16,127.32,130.74,125.09,130.48,129.52272738,9668855,0.0000,1.0
2022-03-15,121.72,124.95,119.86,124.41,123.497260219,6875317,0.0000,1.0
2022-03-14,123.74,124.72,119.1,120.13,119.248660639,6733185,0.0000,1.0
2022-03-11,130.0,130.0,123.37,123.64,122.73290936,6015969,0.0000,1.0
2022-03-10,125.72,126.0,122.68,124.97,124.053151753,5604387,0.0000,1.0
2022-03-09,127.7,129.84,126.2,128.62,127.676373357,7623175,0.0000,1.0
2022-03-08,119.79,127.87,118.17,124.15,123.239167721,10525001,0.0000,1.0
2022-03-07,127.56,128.05,119.11,119.22,118.345336896,9207137,0.0000,1.0
2022-03-04,128.38,129.555,124.12,125.74,124.817502612,7098065,0.0000,1.0
2022-03-03,135.117,135.117,129.57,130.64,129.681553533,5449674,0.0000,1.0
2022-03-02,130.0,134.47,129.65,133.18,132.202918704,7008727,0.0000,1.0
2022-03-01,133.735,135.06,128.09,129.61,128.659110176,9212451,0.0000,1.0
2022-02-28,133.82,137.0595,132.03,134.2,133.215435426,7428101,0.0000,1.0
2022-02-25,133.36,136.1399,131.74,135.72,134.724283875,7784465,0.0000,1.0
2022-02-24,123.08,133.63,122.68,133.42,132.441157933,8500945,0.0000,1.0
2022-02-23,131.96,134.2199,127.62,127.86,126.921949133,8413757,0.0000,1.0
2022-02-22,129.94,135.16,128.495,130.26,129.30434142,7652071,0.2400,1.0
