timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,218.71,220.37,213.04,213.9,213.9,1367286,0.0000,1.0
2022-11-25,219.64,221.24,218.38,220.08,220.08,566461,0.0000,1.0
2022-11-23,218.2,220.42,216.26,218.25,218.25,1210527,0.0000,1.0
2022-11-22,220.73,221.2,215.47,218.13,218.13,1562378,0.0000,1.0
2022-11-21,215.59,220.24,215.59,219.91,219.91,1682406,0.0000,1.0
2022-11-18,217.63,220.21,214.63,215.93,215.93,2360692,0.0000,1.0
2022-11-17,217.72,219.59,214.385,216.34,216.34,2144778,0.0000,1.0
2022-11-16,220.09,223.06,218.125,219.15,219.15,2400809,0.0000,1.0
2022-11-15,215.4,219.82,215.07,219.58,219.58,2152341,0.0000,1.0
2022-11-14,221.78,222.165,215.23,215.38,215.38,1628136,0.0000,1.0
2022-11-11,222.81,225.44,221.02,223.26,223.26,1915700,0.0000,1.0
2022-11-10,213.11,221.58,209.64,220.9,220.9,2781282,0.0000,1.0
2022-11-09,204.01,206.73,200.4,201.04,201.04,1530293,0.0000,1.0
2022-11-08,202.02,205.488,201.1,203.02,203.02,2071794,0.0000,1.0
2022-11-07,204.64,205.99,201.7,202.02,202.02,1828829,0.0000,1.0
2022-11-04,202.91,204.38,199.14,203.92,203.92,1788136,0.0000,1.0
2022-11-03,203.21,204.56,201.08,201.33,201.33,1703849,0.0000,1.0
2022-11-02,206.73,212.01,202.345,205.19,205.19,2655696,0.0000,1.0
2022-11-01,209.41,213.315,206.59,207.88,207.88,1907060,0.0000,1.0
2022-10-31,201.65,209.88,200.7,207.19,207.19,2513463,0.0000,1.0
2022-10-28,197.3,208.37,197.3,204.71,204.71,2613812,0.0000,1.0
2022-10-27,198.87,203.95,196.1803,198.68,198.68,3414473,0.0000,1.0
2022-10-26,195.32,199.31,194.21,196.92,196.92,2512311,0.0000,1.0
2022-10-25,185.96,196.05,185.92,195.53,195.53,2495243,0.0000,1.0
2022-10-24,189.92,191.43,184.18,185.4,185.4,1856435,0.0000,1.0
2022-10-21,188.97,188.97,183.1273,187.56,187.56,2078086,0.0000,1.0
2022-10-20,191.15,191.155,185.37,188.0,188.0,2515648,0.0000,1.0
2022-10-19,195.01,196.19,190.51,190.99,190.99,1824883,0.0000,1.0
2022-10-18,194.52,197.94,194.22,197.22,197.22,3253609,0.0000,1.0
2022-10-17,189.76,195.9,188.83,192.49,192.49,3040978,0.0000,1.0
2022-10-14,191.61,192.67,185.06,185.78,185.78,2466536,0.0000,1.0
2022-10-13,179.87,191.44,178.17,189.85,189.85,3518266,0.0000,1.0
2022-10-12,188.58,189.35,182.3,183.79,183.79,2572497,0.0000,1.0
2022-10-11,189.44,191.98,185.27,189.27,189.27,2463256,0.0000,1.0
2022-10-10,196.0,198.17,188.96,189.58,189.58,1992344,0.0000,1.0
2022-10-07,199.12,201.03,193.41,194.63,194.63,3165300,1.4700,1.0
2022-10-06,213.62,214.16,202.78,203.07,201.547751657,2908664,0.0000,1.0
2022-10-05,217.14,217.54,211.38,214.14,212.534768995,1518768,0.0000,1.0
2022-10-04,218.95,224.34,217.965,220.08,218.430241713,2032978,0.0000,1.0
2022-10-03,216.89,219.2,212.35,217.17,215.542055584,2102261,0.0000,1.0
2022-09-30,215.86,217.32,212.03,214.7,213.090571137,2501939,0.0000,1.0
2022-09-29,218.34,220.1699,211.38,213.72,212.117917389,2096505,0.0000,1.0
2022-09-28,223.59,223.93,219.81,221.06,219.402895461,1988815,0.0000,1.0
2022-09-27,223.88,226.5,219.47,220.6,218.946343702,1900882,0.0000,1.0
2022-09-26,229.14,229.14,218.13,221.37,219.710571647,2146859,0.0000,1.0
2022-09-23,230.91,231.88,225.63,228.81,227.094800102,1907135,0.0000,1.0
2022-09-22,232.71,236.46,232.21,232.78,231.035040286,1443145,0.0000,1.0
2022-09-21,239.97,242.44,234.045,234.15,232.394770525,1942407,0.0000,1.0
2022-09-20,245.35,245.85,237.325,237.9,236.116659867,2093034,0.0000,1.0
2022-09-19,244.4,247.78,241.58,247.5,245.644696583,1249352,0.0000,1.0
2022-09-16,244.43,247.65,243.97,245.89,244.046765426,3287522,0.0000,1.0
2022-09-15,251.59,251.985,244.59,245.06,243.222987251,1561437,0.0000,1.0
2022-09-14,251.43,255.09,249.78,251.82,249.932313106,2087005,0.0000,1.0
2022-09-13,260.55,262.215,253.96,254.63,252.721248853,1711368,0.0000,1.0
2022-09-12,262.06,265.56,261.96,265.09,263.102838858,946188,0.0000,1.0
2022-09-09,262.49,263.2118,259.67,261.59,259.629075472,880074,0.0000,1.0
2022-09-08,259.66,262.0,257.26,261.67,259.708475778,1518728,0.0000,1.0
2022-09-07,254.93,260.05,253.65,259.5,257.554742478,1095808,0.0000,1.0
2022-09-06,252.11,256.47,251.0,254.18,252.274622132,1163686,0.0000,1.0
2022-09-02,259.54,260.975,250.48,250.85,248.969584396,1387679,0.0000,1.0
2022-09-01,252.94,257.75,251.62,257.64,255.708685365,1590489,0.0000,1.0
2022-08-31,253.86,256.21,252.97,254.05,252.145596634,2005133,0.0000,1.0
2022-08-30,259.9,260.68,252.6983,253.4,251.500469148,1211175,0.0000,1.0
2022-08-29,259.8,262.64,258.19,259.72,257.77309332,1573992,0.0000,1.0
2022-08-26,267.87,268.31,261.07,261.19,259.232073942,1227396,0.0000,1.0
2022-08-25,265.75,268.46,262.31,268.24,266.229225905,1367408,0.0000,1.0
2022-08-24,266.29,266.71,264.1,264.48,262.497411525,1372907,0.0000,1.0
2022-08-23,268.32,268.9,263.32,265.23,263.241789393,971044,0.0000,1.0
2022-08-22,272.32,274.15,268.925,269.75,267.72790668,946886,0.0000,1.0
2022-08-19,274.99,277.59,273.39,274.41,272.352974503,2110662,0.0000,1.0
2022-08-18,277.52,279.199,272.92,275.49,273.424878633,1139050,0.0000,1.0
2022-08-17,276.85,278.98,275.44,277.46,275.380111168,1059047,0.0000,1.0
2022-08-16,278.85,280.08,275.89,278.45,276.362689954,1183534,0.0000,1.0
2022-08-15,278.39,282.47,278.13,281.52,279.409676696,1329151,0.0000,1.0
2022-08-12,275.68,277.905,274.64,277.72,275.638162162,1110090,0.0000,1.0
2022-08-11,278.92,278.92,273.27,273.95,271.896422743,1260462,0.0000,1.0
2022-08-10,279.97,279.97,275.07,277.79,275.70763743,1351227,0.0000,1.0
2022-08-09,273.83,277.32,270.35,276.18,274.109706272,1459759,0.0000,1.0
2022-08-08,274.75,276.875,271.33,273.0,270.95354411,968855,0.0000,1.0
2022-08-05,268.37,272.43,267.035,272.19,270.149616012,1156388,0.0000,1.0
2022-08-04,269.15,271.72,268.0,271.27,269.236512494,1257846,0.0000,1.0
2022-08-03,267.84,269.93,264.87,268.83,266.814803162,1370203,0.0000,1.0
2022-08-02,269.1,271.18,266.03,266.63,264.631294748,1681063,0.0000,1.0
2022-08-01,270.28,271.755,266.26,268.62,266.606377358,1323131,0.0000,1.0
2022-07-29,270.35,273.95,267.51,270.83,268.799810811,1821179,0.0000,1.0
2022-07-28,261.46,269.56,260.06,268.9,266.884278429,2589510,0.0000,1.0
2022-07-27,259.52,261.238,255.375,258.28,256.343887812,1505440,0.0000,1.0
2022-07-26,258.56,263.07,257.82,258.98,257.03864049,1579766,0.0000,1.0
2022-07-25,259.35,259.66,255.9,257.34,255.410934217,1593317,0.0000,1.0
2022-07-22,256.55,260.36,255.7634,259.6,257.653992861,1587501,0.0000,1.0
2022-07-21,250.17,255.9899,248.19,255.4,253.485476798,1290350,0.0000,1.0
2022-07-20,256.0,257.93,249.43,249.74,247.86790515,1573621,0.0000,1.0
2022-07-19,251.61,257.27,251.5,257.16,255.232283529,1506361,0.0000,1.0
2022-07-18,256.91,257.79,248.58,249.25,247.381578276,1608197,0.0000,1.0
2022-07-15,259.88,260.785,255.33,257.2,255.271983682,1181127,0.0000,1.0
2022-07-14,251.75,257.85,251.43,256.51,254.587156043,1579240,0.0000,1.0
2022-07-13,252.41,258.21,251.17,255.92,254.001578786,1188505,0.0000,1.0
2022-07-12,256.95,258.74,253.15,255.49,253.574802142,1650918,0.0000,1.0
2022-07-11,255.0,258.46,252.49,257.99,256.056061703,1299534,0.0000,1.0
2022-07-08,255.32,257.88,253.72,255.01,253.098400306,936028,0.0000,1.0
2022-07-07,258.5,260.58,255.415,257.18,255.252133605,1089631,0.0000,1.0
2022-07-06,257.96,260.58,256.695,258.23,256.294262621,1170899,0.0000,1.0
2022-07-05,255.49,256.06,249.63,255.94,254.021428863,1321658,0.0000,1.0
2022-07-01,254.53,259.035,252.44,258.4,256.462988271,1363377,0.0000,1.0
2022-06-30,251.61,257.705,250.21,255.59,253.674052524,1938097,0.0000,1.0
2022-06-29,250.03,253.93,247.15,253.16,251.26226823,1863735,0.0000,1.0
2022-06-28,260.0,260.48,252.12,252.93,251.033992351,1601891,0.0000,1.0
2022-06-27,262.23,264.09,258.14,259.33,257.386016828,2018918,0.0000,1.0
2022-06-24,260.76,262.13,256.58,261.65,259.688625701,3131490,0.0000,1.0
2022-06-23,253.06,259.795,252.73,258.31,256.373662927,2553123,0.0000,1.0
2022-06-22,242.32,258.82,242.25,252.01,250.120888832,3130202,0.0000,1.0
2022-06-21,242.0,248.54,241.89,246.85,244.999569097,2502006,0.0000,1.0
2022-06-17,233.7,238.265,232.12,236.17,234.399628251,4291846,0.0000,1.0
2022-06-16,234.78,236.99,232.31,234.18,232.42454564,1668510,1.4300,1.0
2022-06-15,235.4,244.5,235.01,241.4,238.136264664,2076667,0.0000,1.0
2022-06-14,239.18,240.48,232.66,234.49,231.319688074,2584892,0.0000,1.0
2022-06-13,245.0,247.145,238.97,240.03,236.784787106,2272946,0.0000,1.0
2022-06-10,257.01,257.84,250.11,251.01,247.616337172,2188222,0.0000,1.0
2022-06-09,261.17,267.73,260.02,260.2,256.682088093,2051225,0.0000,1.0
2022-06-08,265.64,269.04,263.32,264.46,260.884492763,1550443,0.0000,1.0
2022-06-07,266.18,266.99,259.16,266.15,262.551643912,2135157,0.0000,1.0
2022-06-06,269.79,271.09,266.17,267.36,263.745284675,4197136,0.0000,1.0
2022-06-03,261.82,269.5,260.75,266.73,263.123802294,7332223,0.0000,1.0
2022-06-02,246.06,263.19,245.68,262.36,258.812884827,2781835,0.0000,1.0
2022-06-01,256.13,256.13,250.85,252.56,249.145381125,1418093,0.0000,1.0
2022-05-31,257.76,259.04,255.23,256.13,252.667114616,2829603,0.0000,1.0
2022-05-27,256.52,262.56,254.83,260.96,257.43181287,1786270,0.0000,1.0
2022-05-26,260.72,262.27,253.96,254.69,251.24658346,1487229,0.0000,1.0
2022-05-25,256.79,261.19,252.58,260.29,256.77087129,2392874,0.0000,1.0
2022-05-24,249.49,259.305,248.69,258.52,255.024801744,2174398,0.0000,1.0
2022-05-23,245.59,249.72,243.5399,249.42,246.04783402,1697449,0.0000,1.0
2022-05-20,235.45,245.17,234.305,244.28,240.977326977,2853943,0.0000,1.0
2022-05-19,230.0,236.188,229.21,233.25,230.096452912,1825919,0.0000,1.0
2022-05-18,232.57,233.3,229.51,230.63,227.511875391,1623960,0.0000,1.0
2022-05-17,233.2,233.63,229.4,233.0,229.849832919,1728456,0.0000,1.0
2022-05-16,232.61,234.89,230.03,230.22,227.107418604,1203104,0.0000,1.0
2022-05-13,227.18,232.89,226.185,232.66,229.51442973,2229477,0.0000,1.0
2022-05-12,224.67,226.57,222.02,225.5,222.451233147,2193756,0.0000,1.0
2022-05-11,226.45,229.38,223.93,224.72,221.681778771,2104272,0.0000,1.0
2022-05-10,232.63,234.14,222.3327,224.75,221.71137317,2411709,0.0000,1.0
2022-05-09,242.13,242.13,229.96,231.09,227.965656177,2423354,0.0000,1.0
2022-05-06,239.25,245.12,238.8,244.07,240.770166183,1843149,0.0000,1.0
2022-05-05,244.98,246.47,239.7,241.48,238.215183062,1375959,0.0000,1.0
2022-05-04,240.63,246.04,238.67,245.64,242.318939735,1094286,0.0000,1.0
2022-05-03,236.95,243.0,235.32,241.01,237.751537476,1367134,0.0000,1.0
2022-05-02,241.38,245.275,232.73,236.95,233.746428799,2127652,0.0000,1.0
2022-04-29,250.31,251.3128,240.68,241.02,237.761402276,2151909,0.0000,1.0
2022-04-28,252.62,253.86,245.21,252.18,248.770518736,2417451,0.0000,1.0
2022-04-27,256.01,258.0,251.55,252.85,249.431460316,2049618,0.0000,1.0
