timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,102.33,104.465,101.03,102.02,102.02,1748188,0.0000,1.0
2022-11-25,106.79,107.01,105.125,105.86,105.86,614340,0.0000,1.0
2022-11-23,106.74,108.05,106.1,106.91,106.91,759025,0.0000,1.0
2022-11-22,106.81,107.36,105.95,107.07,107.07,1146171,0.0000,1.0
2022-11-21,106.35,107.47,105.2,105.84,105.84,1110200,0.0000,1.0
2022-11-18,109.33,109.47,106.3,108.03,108.03,1254297,0.0000,1.0
2022-11-17,106.23,106.95,104.77,106.72,106.72,1421705,0.0000,1.0
2022-11-16,109.61,110.05,107.94,108.89,108.89,1877692,0.0000,1.0
2022-11-15,111.07,114.07,110.63,111.15,111.15,1894409,0.0000,1.0
2022-11-14,110.8,111.52,109.0,109.63,109.63,1957750,0.0000,1.0
2022-11-11,109.61,113.27,108.84,111.71,111.71,2063673,0.0000,1.0
2022-11-10,103.48,109.49,103.17,109.32,109.32,3462133,0.0000,1.0
2022-11-09,99.97,101.13,97.38,97.47,97.47,1939495,0.0000,1.0
2022-11-08,98.96,101.95,98.23,101.13,101.13,2631454,0.0000,1.0
2022-11-07,98.6,99.28,96.55,99.17,99.17,2875938,0.0000,1.0
2022-11-04,94.64,99.25,94.07,97.63,97.63,3070988,0.0000,1.0
2022-11-03,92.33,94.22,87.4,91.62,91.62,3180610,0.0000,1.0
2022-11-02,90.59,92.41,87.83,88.0,88.0,2721548,0.0000,1.0
2022-11-01,93.13,93.61,91.14,91.59,91.59,1701600,0.0000,1.0
2022-10-31,90.2,91.36,89.164,91.07,91.07,1625021,0.0000,1.0
2022-10-28,88.08,90.7,87.28,90.54,90.54,1700606,0.0000,1.0
2022-10-27,90.7,91.1,88.24,88.51,88.51,1958858,0.0000,1.0
2022-10-26,90.28,91.23,89.18,89.4,89.4,1860884,0.0000,1.0
2022-10-25,88.8,90.56,88.8,90.3,90.3,2362085,0.0000,1.0
2022-10-24,87.52,89.61,86.32,88.58,88.58,1514486,0.0000,1.0
2022-10-21,85.31,87.41,84.14,87.04,87.04,2488150,0.0000,1.0
2022-10-20,85.82,88.3175,84.2,84.66,84.66,1466823,0.0000,1.0
2022-10-19,86.93,88.26,85.175,85.95,85.95,1446825,0.0000,1.0
2022-10-18,88.88,89.15,86.76,88.16,88.16,2419003,0.0000,1.0
2022-10-17,84.31,85.68,83.45,85.34,85.34,1277522,0.0000,1.0
2022-10-14,84.85,86.06,80.75,81.39,81.39,1610606,0.0000,1.0
2022-10-13,79.05,84.28,78.28,83.44,83.44,1965391,0.0000,1.0
2022-10-12,82.31,82.52,80.675,81.81,81.81,2048513,0.0000,1.0
2022-10-11,83.02,84.42,81.29,81.92,81.92,1884163,0.0000,1.0
2022-10-10,84.74,85.05,81.68,83.4,83.4,1807709,0.0000,1.0
2022-10-07,86.23,86.63,83.26,85.19,85.19,2418966,0.0000,1.0
2022-10-06,86.69,88.695,86.38,88.37,88.37,1710263,0.0000,1.0
2022-10-05,86.2,87.535,85.02,87.1,87.1,1357083,0.0000,1.0
2022-10-04,85.81,88.24,85.69,88.13,88.13,2097126,0.0000,1.0
2022-10-03,79.57,84.85,77.96,83.04,83.04,2238636,0.0000,1.0
2022-09-30,80.0,81.625,78.08,78.21,78.21,2100695,0.0000,1.0
2022-09-29,82.46,83.086,79.04,80.45,80.45,2048353,0.0000,1.0
2022-09-28,83.42,86.58,83.11,85.94,85.94,1792467,0.0000,1.0
2022-09-27,85.29,85.29,81.51,83.0,83.0,1959855,0.0000,1.0
2022-09-26,83.49,85.98,83.22,83.63,83.63,1661550,0.0000,1.0
2022-09-23,84.7,85.05,81.97,83.55,83.55,2597681,0.0000,1.0
2022-09-22,90.51,91.03,86.14,86.87,86.87,1933837,0.0000,1.0
2022-09-21,93.4,94.86,90.84,90.85,90.85,1553813,0.0000,1.0
2022-09-20,94.46,94.785,92.48,93.03,93.03,2031658,0.0000,1.0
2022-09-19,91.82,96.46,91.68,96.2,96.2,1390061,0.0000,1.0
2022-09-16,95.53,96.23,92.66,93.28,93.28,2808369,0.0000,1.0
2022-09-15,96.5,102.17,96.4,96.75,96.75,1923109,0.0000,1.0
