timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,169.38,172.05,167.64,168.07,168.07,1788230,0.0000,1.0
2022-11-25,169.24,170.24,169.115,170.06,170.06,220012,0.0000,1.0
2022-11-23,168.22,169.91,166.94,168.52,168.52,559726,0.0000,1.0
2022-11-22,169.5,169.64,167.9,168.9,168.9,478270,0.0000,1.0
2022-11-21,168.68,171.45,167.5,168.69,168.69,813804,0.0000,1.0
2022-11-18,167.39,169.56,166.9501,169.19,169.19,1210768,0.0000,1.0
2022-11-17,163.83,166.31,163.44,165.13,165.13,612679,0.0000,1.0
2022-11-16,168.64,169.775,166.0,166.08,166.08,754793,0.0000,1.0
2022-11-15,168.61,169.6,166.7,168.97,168.97,1070708,0.0000,1.0
2022-11-14,166.94,170.5,165.72,166.4,166.4,1711601,0.0000,1.0
2022-11-11,171.51,172.03,166.875,167.11,167.11,753217,0.0000,1.0
2022-11-10,165.69,171.96,165.5,171.82,171.82,1099511,0.0000,1.0
2022-11-09,161.14,161.96,158.35,158.98,158.98,1011864,0.0000,1.0
2022-11-08,163.2,163.285,160.0,161.05,161.05,907206,0.0000,1.0
2022-11-07,164.45,167.28,160.7,162.02,162.02,1349150,0.0000,1.0
2022-11-04,164.44,168.42,160.625,167.29,167.29,1839545,0.0000,1.0
2022-11-03,169.84,172.18,166.47,170.1,170.1,847750,0.0000,1.0
2022-11-02,174.46,176.56,171.1,171.18,171.18,958538,0.0000,1.0
2022-11-01,176.27,177.595,174.84,175.29,175.29,741807,0.0000,1.0
2022-10-31,174.5,176.32,173.64,175.12,175.12,937895,0.0000,1.0
2022-10-28,171.12,175.905,170.3,175.6,175.6,1123947,0.0000,1.0
2022-10-27,175.39,176.873,170.95,172.34,172.34,1173191,0.0000,1.0
2022-10-26,178.5,179.74,173.71,174.56,174.56,1078019,0.0000,1.0
2022-10-25,174.22,178.88,174.195,178.8,178.8,617754,0.0000,1.0
2022-10-24,176.1,177.2285,172.7425,173.2,173.2,837921,0.0000,1.0
2022-10-21,172.46,174.99,170.15,174.89,174.89,663711,0.0000,1.0
2022-10-20,174.07,175.65,171.88,172.03,172.03,1038615,0.0000,1.0
2022-10-19,175.47,176.31,171.59,173.35,173.35,572328,0.0000,1.0
2022-10-18,178.09,180.8448,176.02,177.76,177.76,596455,0.0000,1.0
2022-10-17,172.97,175.81,172.05,175.38,175.38,1001471,0.0000,1.0
2022-10-14,178.11,178.6408,169.39,169.58,169.58,711856,0.0000,1.0
2022-10-13,169.2,176.4098,168.05,175.87,175.87,748736,0.0000,1.0
2022-10-12,174.39,174.39,170.755,171.67,171.67,835366,0.0000,1.0
2022-10-11,171.17,175.23,169.88,174.71,174.71,652239,0.0000,1.0
2022-10-10,173.28,173.66,170.76,170.86,170.86,650165,0.0000,1.0
2022-10-07,175.95,176.82,171.01,172.28,172.28,728733,0.0000,1.0
2022-10-06,182.16,182.69,177.12,177.63,177.63,679382,0.0000,1.0
2022-10-05,185.47,185.77,180.2,182.51,182.51,626767,0.0000,1.0
2022-10-04,187.54,189.81,185.64,188.16,188.16,791613,0.0000,1.0
2022-10-03,186.64,187.48,184.18,186.62,186.62,612445,0.0000,1.0
2022-09-30,183.26,185.41,181.56,184.19,184.19,1123415,0.0000,1.0
2022-09-29,183.0,184.175,180.005,181.5,181.5,694149,1.5900,1.0
2022-09-28,183.88,187.14,181.6701,186.41,184.791168278,710056,0.0000,1.0
2022-09-27,185.52,186.19,181.43,181.8,180.221202687,757077,0.0000,1.0
2022-09-26,187.93,187.93,182.3,184.19,182.590447321,749148,0.0000,1.0
2022-09-23,186.47,191.9,186.21,188.82,187.180239227,703309,0.0000,1.0
2022-09-22,188.89,189.56,186.67,188.48,186.843191873,771548,0.0000,1.0
2022-09-21,194.48,195.03,188.955,188.97,187.328936589,652994,0.0000,1.0
2022-09-20,197.8,197.8,190.85,192.88,191.204981157,839060,0.0000,1.0
2022-09-19,199.84,200.0,195.52,199.63,197.896362445,627036,0.0000,1.0
2022-09-16,201.81,202.36,198.63,201.98,200.225954449,1654108,0.0000,1.0
2022-09-15,205.08,205.34,201.22,201.32,199.571686056,433958,0.0000,1.0
2022-09-14,207.03,207.45,202.34,205.08,203.299033262,644890,0.0000,1.0
2022-09-13,210.68,211.84,207.26,207.85,206.04497788,730930,0.0000,1.0
2022-09-12,215.26,216.11,213.75,214.22,212.359659184,793220,0.0000,1.0
2022-09-09,212.22,215.55,210.46,214.46,212.597574963,557107,0.0000,1.0
2022-09-08,209.29,212.45,209.16,211.83,209.99041455,358196,0.0000,1.0
2022-09-07,207.21,210.64,207.21,210.45,208.62239882,557990,0.0000,1.0
2022-09-06,203.9,207.55,203.55,207.13,205.331230542,536943,0.0000,1.0
2022-09-02,204.54,207.12,202.2,202.51,200.751351794,689206,0.0000,1.0
2022-09-01,199.92,204.155,197.8,203.96,202.188759626,711740,0.0000,1.0
2022-08-31,204.65,205.48,200.65,200.91,199.1652466,1108428,0.0000,1.0
2022-08-30,206.01,206.9,202.27,203.11,201.346141242,748700,0.0000,1.0
2022-08-29,208.61,208.61,205.49,205.68,203.89382271,584274,0.0000,1.0
2022-08-26,213.39,214.95,209.02,209.32,207.502212027,691972,0.0000,1.0
2022-08-25,211.33,213.52,210.13,213.39,211.536867115,589115,0.0000,1.0
2022-08-24,207.27,210.42,206.7,209.97,208.146567262,739291,0.0000,1.0
2022-08-23,210.24,210.24,205.23,206.67,204.875225299,422268,0.0000,1.0
2022-08-22,213.67,214.0,206.21,210.33,208.503440931,452519,0.0000,1.0
2022-08-19,215.85,216.21,213.9722,214.98,213.113059151,574579,0.0000,1.0
2022-08-18,220.01,220.25,215.435,216.52,214.639685401,475300,0.0000,1.0
2022-08-17,217.68,220.42,217.185,220.22,218.307553662,406510,0.0000,1.0
2022-08-16,217.45,220.325,217.45,219.24,217.336064231,292021,0.0000,1.0
2022-08-15,218.37,219.704,216.25,218.38,216.483532689,310541,0.0000,1.0
2022-08-12,216.56,218.385,216.11,218.16,216.265443225,343653,0.0000,1.0
2022-08-11,214.99,218.06,214.6,215.08,213.212190726,663268,0.0000,1.0
2022-08-10,212.95,214.52,211.29,213.72,211.864001311,464364,0.0000,1.0
2022-08-09,207.26,211.04,206.49,210.42,208.592659348,538899,0.0000,1.0
2022-08-08,206.47,208.435,205.46,206.44,204.647222677,352109,0.0000,1.0
2022-08-05,202.98,205.07,201.38,204.91,203.130509585,431245,0.0000,1.0
2022-08-04,201.63,204.04,199.59,203.8,202.030149107,716064,0.0000,1.0
2022-08-03,205.51,207.38,201.22,202.05,200.295346551,961143,0.0000,1.0
2022-08-02,207.64,209.78,203.71,204.58,202.803375389,910930,0.0000,1.0
2022-08-01,213.7,213.7,207.235,207.77,205.96567262,837168,0.0000,1.0
2022-07-29,212.93,215.63,211.695,213.94,212.082090775,890147,0.0000,1.0
2022-07-28,202.97,213.85,202.67,212.24,210.396854006,1618952,0.0000,1.0
2022-07-27,197.66,202.39,197.66,202.09,200.334999181,818740,0.0000,1.0
2022-07-26,197.47,199.2058,196.45,197.54,195.824512535,488541,0.0000,1.0
2022-07-25,197.78,200.03,197.015,197.54,195.824512535,619857,0.0000,1.0
2022-07-22,196.94,199.52,196.01,198.25,196.528346715,472360,0.0000,1.0
2022-07-21,194.35,196.2075,193.03,196.05,194.347452073,573762,0.0000,1.0
2022-07-20,194.91,197.1,193.6259,194.63,192.939783713,451239,0.0000,1.0
2022-07-19,192.86,195.8,191.75,195.46,193.762575782,425595,0.0000,1.0
2022-07-18,193.54,193.545,190.43,191.24,189.579223333,542408,0.0000,1.0
2022-07-15,192.17,193.65,190.3,192.79,191.11576274,563422,0.0000,1.0
2022-07-14,187.11,190.315,187.11,189.14,187.497460265,559850,0.0000,1.0
2022-07-13,189.76,191.45,187.227,190.55,188.895215468,484550,0.0000,1.0
2022-07-12,189.03,193.31,189.03,191.34,189.678354907,614784,0.0000,1.0
2022-07-11,189.8,191.38,189.32,190.55,188.895215468,611851,0.0000,1.0
2022-07-08,192.19,192.82,189.54,190.56,188.905128625,749768,0.0000,1.0
2022-07-07,194.65,195.49,191.895,192.59,190.91749959,1231346,0.0000,1.0
2022-07-06,195.12,196.81,192.905,194.02,192.335081108,600467,0.0000,1.0
2022-07-05,195.11,195.11,188.71,194.21,192.523431099,852169,0.0000,1.0
2022-07-01,193.97,196.74,192.79,196.25,194.545715222,996589,0.0000,1.0
2022-06-30,193.43,197.52,191.93,194.25,192.563083729,867535,0.0000,1.0
2022-06-29,194.9,195.56,193.55,195.08,193.385875799,386632,1.5900,1.0
2022-06-28,199.09,202.12,196.6,197.06,193.769363324,469984,0.0000,1.0
2022-06-27,194.43,201.71,194.03,198.77,195.450808626,1126491,0.0000,1.0
2022-06-24,196.58,197.01,194.26,195.15,191.891257752,1164260,0.0000,1.0
2022-06-23,192.36,196.76,192.36,196.49,193.208881556,678253,0.0000,1.0
2022-06-22,190.11,194.45,189.43,191.89,188.685695363,693452,0.0000,1.0
2022-06-21,191.74,196.24,191.19,191.4,188.203877703,1087877,0.0000,1.0
2022-06-17,186.86,191.98,186.84,190.99,187.800724151,2294398,0.0000,1.0
2022-06-16,183.85,187.21,183.35,186.39,183.277537958,683559,0.0000,1.0
2022-06-15,186.81,190.23,185.36,187.58,184.44766656,628486,0.0000,1.0
2022-06-14,187.53,188.9,184.26,185.19,182.097576342,969256,0.0000,1.0
2022-06-13,190.88,192.03,185.81,186.76,183.641359456,1087767,0.0000,1.0
2022-06-10,192.74,196.39,190.85,194.44,191.193113796,870097,0.0000,1.0
2022-06-09,199.91,200.39,194.69,194.87,191.615933375,635778,0.0000,1.0
2022-06-08,202.91,204.32,198.615,200.49,197.142086942,719726,0.0000,1.0
2022-06-07,200.0,205.07,198.84,204.85,201.429280812,577580,0.0000,1.0
2022-06-06,206.39,206.39,199.74,200.8,197.446910359,750461,0.0000,1.0
2022-06-03,207.69,208.28,204.75,205.02,201.596442041,683161,0.0000,1.0
2022-06-02,207.6,209.28,204.29,208.97,205.48048236,609335,0.0000,1.0
2022-06-01,208.23,208.85,203.15,207.57,204.103860475,538282,0.0000,1.0
2022-05-31,209.07,209.56,206.495,207.96,204.487348,1272625,0.0000,1.0
2022-05-27,206.29,211.32,205.47,210.91,207.388086972,702282,0.0000,1.0
2022-05-26,206.19,207.38,205.18,205.45,202.01926162,625938,0.0000,1.0
2022-05-25,203.89,205.62,202.48,204.94,201.517777934,578435,0.0000,1.0
2022-05-24,204.02,205.51,200.17,205.01,201.586609028,490200,0.0000,1.0
2022-05-23,203.16,204.6006,199.09,204.19,200.780301924,576680,0.0000,1.0
2022-05-20,201.34,201.55,197.8916,200.95,197.594405561,846640,0.0000,1.0
2022-05-19,199.84,201.77,197.615,199.36,196.030956421,712108,0.0000,1.0
2022-05-18,207.65,208.76,200.68,201.56,198.194219383,838299,0.0000,1.0
2022-05-17,206.79,207.93,203.375,207.84,204.369351838,1032226,0.0000,1.0
2022-05-16,207.62,208.5445,204.59,204.85,201.429280812,568601,0.0000,1.0
2022-05-13,205.62,207.51,203.776,207.21,203.74987199,692916,0.0000,1.0
2022-05-12,203.5,204.99,202.035,204.09,200.681971789,1103433,0.0000,1.0
2022-05-11,200.88,206.86,200.59,203.48,200.082157968,1036987,0.0000,1.0
2022-05-10,205.3,206.43,199.0,200.09,196.748766404,1098093,0.0000,1.0
2022-05-09,211.0,211.0,202.405,203.72,200.318150291,1140047,0.0000,1.0
2022-05-06,214.27,215.11,209.57,212.43,208.882705018,1167399,0.0000,1.0
2022-05-05,222.63,223.09,214.33,216.72,213.101067794,1107940,0.0000,1.0
