timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,151.42,151.82,149.28,149.75,149.75,704849,0.0000,1.0
2022-11-25,151.97,153.37,151.51,152.9,152.9,351534,0.0000,1.0
2022-11-23,148.13,151.48,148.13,151.26,151.26,743671,0.0000,1.0
2022-11-22,148.21,149.815,147.0204,148.22,148.22,561167,0.0000,1.0
2022-11-21,147.32,150.325,147.21,147.72,147.72,739018,0.0000,1.0
2022-11-18,144.62,147.1,143.99,146.71,146.71,868524,0.0000,1.0
2022-11-17,145.3,146.23,141.84,142.85,142.85,773783,0.0000,1.0
2022-11-16,146.24,147.92,145.84,147.05,147.05,767859,0.0000,1.0
2022-11-15,146.18,147.18,144.69,146.02,146.02,708876,0.0000,1.0
2022-11-14,146.0,147.565,144.75,144.75,144.75,787545,0.0000,1.0
2022-11-11,147.17,147.17,142.68,145.94,145.94,1403478,0.0000,1.0
2022-11-10,144.59,147.65,142.34,147.51,147.51,969142,0.0000,1.0
2022-11-09,139.37,140.47,138.09,139.46,139.46,680904,0.0000,1.0
2022-11-08,137.76,140.45,137.14,139.79,139.79,581843,0.0000,1.0
2022-11-07,138.55,138.66,135.61,138.04,138.04,718621,0.6550,1.0
2022-11-04,138.5,139.64,136.77,139.04,138.383370706,800699,0.0000,1.0
2022-11-03,136.45,139.1,135.72,137.84,137.189037817,1029041,0.0000,1.0
2022-11-02,141.96,143.51,138.12,138.16,137.507526587,1523932,0.0000,1.0
2022-11-01,147.62,149.41,141.445,141.84,141.170147446,1791822,0.0000,1.0
2022-10-31,145.92,146.08,144.08,145.34,144.653618371,956330,0.0000,1.0
2022-10-28,142.39,146.03,142.39,145.94,145.250784816,845918,0.0000,1.0
2022-10-27,140.62,142.94,140.25,142.02,141.349297379,1021649,0.0000,1.0
2022-10-26,140.2,141.26,138.71,139.22,138.562520639,721883,0.0000,1.0
2022-10-25,136.57,139.98,136.48,139.55,138.890962183,971020,0.0000,1.0
2022-10-24,134.37,136.4,133.24,135.96,135.317916291,1014733,0.0000,1.0
2022-10-21,130.63,133.76,129.02,132.76,132.133028588,1292600,0.0000,1.0
2022-10-20,134.37,134.39,129.33,129.93,129.316393525,1324814,0.0000,1.0
2022-10-19,133.17,134.05,132.03,134.0,133.367172573,950830,0.0000,1.0
2022-10-18,133.88,135.0,132.365,134.77,134.133536177,920237,0.0000,1.0
2022-10-17,130.39,132.58,130.015,131.42,130.799356862,1026391,0.0000,1.0
2022-10-14,130.49,131.7279,127.64,128.44,127.833430189,1190329,0.0000,1.0
2022-10-13,123.48,129.48,122.77,128.98,128.370879988,1322370,0.0000,1.0
2022-10-12,127.74,127.74,125.03,126.01,125.414906089,1295922,0.0000,1.0
2022-10-11,127.0,129.22,126.56,127.72,127.116830455,830158,0.0000,1.0
2022-10-10,127.58,128.85,127.045,127.44,126.838152781,759366,0.0000,1.0
2022-10-07,130.46,130.79,125.93,127.45,126.848105555,1051760,0.0000,1.0
2022-10-06,132.82,133.1099,130.6101,131.24,130.620206929,1026819,0.0000,1.0
