timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,55.7,56.03,55.02,55.19,55.19,4321441,0.0000,1.0
2022-11-25,56.46,56.73,55.7,56.0,56.0,2125116,0.0000,1.0
2022-11-23,55.39,56.46,55.32,56.3,56.3,3460405,0.0000,1.0
2022-11-22,55.83,55.84,54.76,55.32,55.32,3429767,0.0000,1.0
2022-11-21,55.03,56.51,55.03,55.83,55.83,2537111,0.0000,1.0
2022-11-18,55.0,55.29,54.52,55.0,55.0,4643459,0.0000,1.0
2022-11-17,54.28,54.585,53.7,54.32,54.32,5058496,0.0000,1.0
2022-11-16,54.56,55.61,54.56,54.94,54.94,5892584,0.0000,1.0
2022-11-15,54.03,54.88,53.66,54.34,54.34,4134098,0.0000,1.0
2022-11-14,54.86,55.05,53.63,53.68,53.68,4128615,0.0000,1.0
2022-11-11,53.97,55.18,53.8,54.88,54.88,10218354,0.0000,1.0
2022-11-10,53.34,54.12,52.885,53.73,53.73,5843297,0.0000,1.0
2022-11-09,52.81,53.06,51.63,51.65,51.65,3358178,0.0000,1.0
2022-11-08,52.27,53.255,51.01,52.65,52.65,4665163,0.0000,1.0
2022-11-07,50.8,52.35,50.645,52.34,52.34,4623348,0.0000,1.0
2022-11-04,50.86,50.955,49.83,50.58,50.58,3863974,0.0000,1.0
2022-11-03,51.41,51.41,50.425,50.44,50.44,3176708,0.0000,1.0
2022-11-02,53.48,53.98,51.91,51.93,51.93,3947223,0.0000,1.0
2022-11-01,54.69,54.97,53.71,53.74,53.74,3555596,0.0000,1.0
2022-10-31,54.88,55.05,54.13,54.35,54.35,4766701,0.0000,1.0
2022-10-28,53.6,55.63,53.6,55.0,55.0,6383128,0.0000,1.0
2022-10-27,57.45,57.62,53.57,53.97,53.97,8921393,0.0000,1.0
2022-10-26,57.48,58.12,57.09,57.63,57.63,5031385,0.0000,1.0
2022-10-25,56.19,57.2,55.96,57.11,57.11,4747409,0.0000,1.0
2022-10-24,56.92,57.36,56.18,56.43,56.43,3902134,0.0000,1.0
2022-10-21,54.9,56.54,54.325,56.43,56.43,4516021,0.0000,1.0
2022-10-20,55.62,56.34,54.8882,55.0,55.0,3831136,0.0000,1.0
2022-10-19,55.4,56.48,54.53,55.32,55.32,6516605,0.0000,1.0
2022-10-18,56.63,56.81,55.45,55.6,55.6,4374169,0.0000,1.0
2022-10-17,55.26,55.87,54.87,55.25,55.25,4559158,0.0000,1.0
2022-10-14,56.42,56.75,54.4,54.5,54.5,3896002,0.0000,1.0
2022-10-13,54.3,56.41,53.85,56.08,56.08,4562237,0.0000,1.0
2022-10-12,55.64,55.64,54.86,55.0,55.0,2391432,0.0000,1.0
2022-10-11,54.91,56.16,54.49,55.81,55.81,3161828,0.0000,1.0
2022-10-10,55.88,56.0,54.5204,54.98,54.98,1937921,0.0000,1.0
2022-10-07,55.89,56.14,55.26,55.62,55.62,2686631,0.0000,1.0
2022-10-06,57.53,57.7,55.96,56.25,56.25,3195936,0.0000,1.0
2022-10-05,56.94,58.23,56.72,57.71,57.71,2320264,0.0000,1.0
2022-10-04,56.17,57.61,56.07,57.45,57.45,3320937,0.0000,1.0
2022-10-03,54.25,55.93,53.81,55.62,55.62,3253841,0.0000,1.0
2022-09-30,55.5,55.71,53.85,53.86,53.86,3972783,0.0000,1.0
2022-09-29,55.42,55.98,54.68,55.3,55.3,3164989,0.0000,1.0
2022-09-28,54.87,55.915,54.55,55.56,55.56,3031508,0.0000,1.0
2022-09-27,55.34,55.51,53.78,54.3,54.3,2546621,0.0000,1.0
2022-09-26,55.16,55.4896,53.82,54.91,54.91,2646726,0.0000,1.0
2022-09-23,55.19,55.58,54.555,55.41,55.41,2610846,0.0000,1.0
2022-09-22,55.22,55.99,55.0,55.37,55.37,2749257,0.0000,1.0
2022-09-21,56.54,57.09,55.45,55.47,55.47,1903336,0.0000,1.0
2022-09-20,58.03,58.03,56.19,56.58,56.58,1900534,0.0000,1.0
2022-09-19,57.89,58.575,56.61,58.43,58.43,2660298,0.0000,1.0
2022-09-16,58.73,58.825,58.1,58.18,58.18,4270985,0.0000,1.0
2022-09-15,59.12,60.33,58.58,58.97,58.97,2788729,0.0000,1.0
2022-09-14,58.3,59.48,58.15,59.11,59.11,3048529,0.0000,1.0
2022-09-13,58.74,59.165,57.98,58.13,58.13,2121657,0.0000,1.0
2022-09-12,59.78,60.39,59.64,59.78,59.78,2252307,0.0000,1.0
2022-09-09,58.93,59.81,58.68,59.53,59.53,2383635,0.0000,1.0
2022-09-08,58.13,59.1,58.0,58.7,58.7,4250477,0.0000,1.0
2022-09-07,54.76,58.89,54.505,58.73,58.73,6328672,0.0000,1.0
2022-09-06,56.49,56.53,54.4521,54.66,54.66,2979760,0.0000,1.0
2022-09-02,57.03,57.35,55.875,56.21,56.21,2656503,0.0000,1.0
2022-09-01,56.94,57.2,56.14,56.76,56.76,4455026,0.2900,1.0
2022-08-31,57.27,58.89,56.932,57.46,57.1679158633,4137352,0.0000,1.0
2022-08-30,57.19,57.27,56.4,56.48,56.1928974584,2745727,0.0000,1.0
2022-08-29,56.8,57.32,56.4,56.99,56.7003049956,1859035,0.0000,1.0
2022-08-26,60.0,60.11,57.12,57.17,56.8793900088,2544758,0.0000,1.0
