timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,26.39,26.615,25.975,26.02,26.02,1879254,0.0000,1.0
2022-11-25,26.48,26.82,26.46,26.77,26.77,776005,0.0000,1.0
2022-11-23,26.4,26.61,26.28,26.55,26.55,1561416,0.0000,1.0
2022-11-22,26.26,26.66,26.17,26.48,26.48,2114268,0.0000,1.0
2022-11-21,25.98,26.24,25.9,26.12,26.12,1870022,0.0000,1.0
2022-11-18,26.59,26.69,25.895,26.15,26.15,2237209,0.0000,1.0
2022-11-17,25.97,26.15,25.55,26.13,26.13,2361636,0.0000,1.0
2022-11-16,26.76,26.87,26.26,26.44,26.44,2266586,0.0000,1.0
2022-11-15,27.06,27.535,26.54,26.92,26.92,5015553,0.0000,1.0
2022-11-14,27.01,27.5,26.44,26.46,26.46,5914397,0.0000,1.0
2022-11-11,25.76,27.56,25.68,27.33,27.33,5491713,0.0000,1.0
2022-11-10,23.73,25.62,23.645,25.61,25.61,5834878,0.0000,1.0
2022-11-09,23.26,23.31,22.64,22.7,22.7,3039801,0.0000,1.0
2022-11-08,23.21,23.745,23.065,23.52,23.52,3229458,0.0000,1.0
2022-11-07,23.4,23.62,22.8,23.22,23.22,3175347,0.0000,1.0
2022-11-04,22.8,23.38,22.685,23.33,23.33,3333658,0.0000,1.0
2022-11-03,22.18,22.75,21.95,22.42,22.42,3590272,0.0000,1.0
2022-11-02,22.51,23.41,22.36,22.56,22.56,6867172,0.0000,1.0
2022-11-01,23.5,23.65,21.58,22.6,22.6,8809173,0.0000,1.0
2022-10-31,23.51,23.91,23.23,23.45,23.45,6670883,0.0000,1.0
2022-10-28,23.29,23.76,22.935,23.72,23.72,3765163,0.0000,1.0
2022-10-27,23.71,23.885,23.24,23.31,23.31,3357745,0.0000,1.0
2022-10-26,23.47,23.705,23.3,23.45,23.45,2493689,0.0000,1.0
2022-10-25,22.82,23.58,22.68,23.45,23.45,2968564,0.0000,1.0
2022-10-24,22.76,22.95,22.617,22.82,22.82,2077592,0.0000,1.0
2022-10-21,21.77,22.61,21.62,22.53,22.53,2554691,0.0000,1.0
2022-10-20,22.28,22.5457,21.62,21.74,21.74,2200540,0.0000,1.0
2022-10-19,22.32,22.6,21.93,22.25,22.25,2720649,0.0000,1.0
2022-10-18,22.82,22.88,22.27,22.52,22.52,2283871,0.0000,1.0
2022-10-17,22.26,22.5596,22.06,22.23,22.23,2590224,0.0000,1.0
2022-10-14,22.33,22.83,21.62,21.71,21.71,2837801,0.0000,1.0
2022-10-13,20.62,22.33,20.2373,22.21,22.21,4444620,0.0000,1.0
2022-10-12,21.29,21.42,20.74,21.11,21.11,3760327,0.0000,1.0
2022-10-11,21.53,21.8386,21.205,21.38,21.38,2964912,0.0000,1.0
2022-10-10,22.01,22.13,21.6,21.72,21.72,2782598,0.0000,1.0
2022-10-07,22.6,22.71,21.66,21.85,21.85,3523490,0.0000,1.0
2022-10-06,23.26,23.5,22.925,22.95,22.95,2265023,0.0000,1.0
2022-10-05,23.0,23.4,22.845,23.32,23.32,2431608,0.0000,1.0
2022-10-04,22.9,23.44,22.81,23.42,23.42,3970964,0.0000,1.0
2022-10-03,21.78,22.48,21.52,22.44,22.44,4102492,0.0000,1.0
2022-09-30,22.07,22.14,21.455,21.52,21.52,4252104,0.0000,1.0
2022-09-29,22.4,22.63,21.99,22.2,22.2,3009573,0.2900,1.0
2022-09-28,22.76,23.145,22.64,23.04,22.7429079591,2234669,0.0000,1.0
2022-09-27,23.16,23.4,22.46,22.64,22.348065807,2458153,0.0000,1.0
2022-09-26,23.23,23.6,22.88,22.9,22.6047132059,2817267,0.0000,1.0
2022-09-23,23.35,23.55,22.955,23.41,23.1081369498,2490272,0.0000,1.0
2022-09-22,24.35,24.4,23.69,23.71,23.4042685638,2419947,0.0000,1.0
2022-09-21,24.72,25.08,24.24,24.25,23.9373054691,3827936,0.0000,1.0
2022-09-20,24.57,24.73,24.32,24.54,24.2235660293,2912111,0.0000,1.0
2022-09-19,23.89,24.845,23.82,24.82,24.4999555358,2281672,0.0000,1.0
2022-09-16,24.26,24.33,23.88,24.14,23.8287238773,5513307,0.0000,1.0
2022-09-15,24.53,25.0,24.42,24.53,24.2136949755,4770740,0.0000,1.0
2022-09-14,24.76,24.87,24.29,24.54,24.2235660293,3419061,0.0000,1.0
2022-09-13,26.0,26.09,24.401,24.64,24.3222765674,4379553,0.0000,1.0
2022-09-12,26.68,26.83,26.41,26.75,26.4050689195,2742971,0.0000,1.0
2022-09-09,26.54,26.62,26.335,26.38,26.0398399289,2023905,0.0000,1.0
2022-09-08,25.45,26.27,25.115,26.26,25.9213872832,2923993,0.0000,1.0
2022-09-07,25.83,26.105,25.57,26.05,25.7140951534,2404248,0.0000,1.0
2022-09-06,26.01,26.18,25.605,25.91,25.5759004002,3205905,0.0000,1.0
2022-09-02,26.29,26.485,25.745,25.89,25.5561582926,2592246,0.0000,1.0
2022-09-01,25.9,25.94,25.51,25.93,25.5956425078,2862008,0.0000,1.0
2022-08-31,26.29,26.43,25.995,26.07,25.733837261,2465661,0.0000,1.0
2022-08-30,26.27,26.375,25.9,26.16,25.8226767452,2603265,0.0000,1.0
2022-08-29,26.3,26.6,26.08,26.11,25.7733214762,3638101,0.0000,1.0
