timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,37.08,37.34,37.0207,37.04,37.04,2021495,0.0000,1.0
2022-11-25,37.0,37.165,36.98,37.12,37.12,1093461,0.0000,1.0
2022-11-23,36.67,36.91,36.49,36.87,36.87,2120520,0.0000,1.0
2022-11-22,36.6,36.89,36.5,36.58,36.58,2634136,0.0000,1.0
2022-11-21,36.23,36.48,35.88,36.4,36.4,3388931,0.0000,1.0
2022-11-18,36.02,36.16,35.36,35.95,35.95,5197070,0.0000,1.0
2022-11-17,34.92,35.65,34.65,34.94,34.94,3966692,0.0000,1.0
2022-11-16,34.53,35.14,34.52,35.04,35.04,4179787,0.0000,1.0
2022-11-15,34.15,34.425,33.86,34.38,34.38,3384934,0.0000,1.0
2022-11-14,34.66,34.96,33.95,33.96,33.96,4902745,0.0000,1.0
2022-11-11,35.11,35.17,33.21,34.56,34.56,4533677,0.0000,1.0
2022-11-10,36.0,36.08,34.29,35.19,35.19,4032680,0.0000,1.0
2022-11-09,35.67,36.18,35.49,35.53,35.53,2826708,0.0000,1.0
2022-11-08,36.1,36.175,35.53,35.69,35.69,3329583,0.0000,1.0
2022-11-07,35.99,36.23,35.695,36.1,36.1,3181093,0.0000,1.0
2022-11-04,35.86,36.22,35.61,35.98,35.98,5220807,0.0000,1.0
2022-11-03,35.66,36.095,35.52,35.77,35.77,3051145,0.0000,1.0
2022-11-02,35.98,36.765,35.835,35.91,35.91,3855323,0.3300,1.0
2022-11-01,36.57,36.77,36.32,36.34,36.009089404,3221251,0.0000,1.0
2022-10-31,36.64,36.845,36.43,36.7,36.3658112583,3961451,0.0000,1.0
2022-10-28,35.99,36.8188,35.85,36.64,36.3063576159,3473996,0.0000,1.0
2022-10-27,35.4,36.105,35.31,35.78,35.4541887417,4083100,0.0000,1.0
2022-10-26,35.22,35.515,34.77,35.24,34.9191059603,3540447,0.0000,1.0
2022-10-25,34.94,35.22,34.66,35.04,34.7209271523,3135597,0.0000,1.0
2022-10-24,35.05,35.19,34.73,35.0,34.6812913907,3116494,0.0000,1.0
