timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,43.85,44.2,43.14,43.31,43.31,2371097,0.0000,1.0
2022-11-25,44.2,44.41,44.1,44.21,44.21,986255,0.0000,1.0
2022-11-23,44.11,44.63,43.81,44.16,44.16,2606673,0.0000,1.0
2022-11-22,44.25,44.3,43.745,44.04,44.04,3125525,0.0000,1.0
2022-11-21,43.88,44.05,43.6,43.89,43.89,2477087,0.0000,1.0
2022-11-18,43.93,44.2216,43.36,43.92,43.92,4272742,0.0000,1.0
2022-11-17,43.24,43.32,42.13,43.04,43.04,3077835,0.0000,1.0
2022-11-16,44.35,44.5,43.54,43.86,43.86,2936201,0.0000,1.0
2022-11-15,44.52,44.89,43.85,44.35,44.35,3127794,0.0000,1.0
2022-11-14,44.01,44.43,43.59,43.61,43.61,3731598,0.0000,1.0
2022-11-11,43.4,44.7523,43.1989,44.44,44.44,4760252,0.0000,1.0
2022-11-10,42.33,43.73,42.2,43.48,43.48,5863489,0.0000,1.0
2022-11-09,41.06,41.36,40.275,40.34,40.34,2803182,0.0000,1.0
2022-11-08,41.19,41.885,40.905,41.41,41.41,3359846,0.0000,1.0
2022-11-07,40.41,41.12,40.12,41.04,41.04,3730340,0.0000,1.0
2022-11-04,40.22,40.37,39.44,40.28,40.28,3400594,0.0000,1.0
2022-11-03,38.09,39.76,37.94,39.37,39.37,4270609,0.0000,1.0
2022-11-02,39.73,40.96,39.1,39.12,39.12,5876877,0.0000,1.0
2022-11-01,40.32,40.45,39.41,39.71,39.71,5129135,0.0000,1.0
2022-10-31,39.51,39.99,39.425,39.76,39.76,5508166,0.0000,1.0
2022-10-28,37.62,39.98,37.44,39.95,39.95,5534129,0.0000,1.0
2022-10-27,38.05,38.59,37.53,37.88,37.88,7529894,0.1500,1.0
2022-10-26,37.37,37.93,37.08,37.14,36.9935103865,4953013,0.0000,1.0
2022-10-25,35.78,37.325,35.78,37.29,37.1429187484,5141722,0.0000,1.0
