timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,215.08,216.67,214.87,215.4,215.4,2027622,0.0000,1.0
2022-11-25,215.0,216.59,214.6625,216.23,216.23,639352,0.0000,1.0
2022-11-23,213.0,214.52,213.0,214.15,214.15,1396293,0.0000,1.0
2022-11-22,211.4,213.38,210.856,213.02,213.02,1302892,0.0000,1.0
2022-11-21,210.52,211.45,209.39,210.38,210.38,963048,0.0000,1.0
2022-11-18,211.49,212.185,208.23,210.14,210.14,1444174,0.0000,1.0
2022-11-17,206.09,209.99,206.01,209.04,209.04,854244,0.0000,1.0
2022-11-16,206.76,207.79,205.25,207.28,207.28,1144062,0.0000,1.0
2022-11-15,206.95,206.96,203.29,206.63,206.63,1439755,0.0000,1.0
2022-11-14,206.83,209.2746,205.04,205.1,205.1,1555637,0.0000,1.0
2022-11-11,213.92,214.272,205.43,206.26,206.26,2620251,0.0000,1.0
2022-11-10,215.04,215.06,209.85,211.91,211.91,2436597,0.0000,1.0
2022-11-09,212.0,213.5,209.76,210.12,210.12,1544139,0.0000,1.0
2022-11-08,211.02,213.57,209.02,212.41,212.41,1384380,0.0000,1.0
2022-11-07,210.35,213.8999,209.165,212.09,212.09,2389395,0.0000,1.0
2022-11-04,211.0,212.1824,207.03,209.16,209.16,1864177,0.0000,1.0
2022-11-03,209.07,211.7,207.87,209.64,209.64,1561840,0.0000,1.0
2022-11-02,212.39,215.17,210.17,210.54,210.54,2227197,0.0000,1.0
2022-11-01,215.45,216.0,213.31,213.48,213.48,2298279,0.0000,1.0
2022-10-31,212.59,215.5,211.94,214.89,214.89,2559633,0.0000,1.0
2022-10-28,209.25,214.89,208.82,214.5,214.5,1850329,0.0000,1.0
2022-10-27,206.24,210.205,205.61,207.53,207.53,2061334,0.0000,1.0
2022-10-26,213.7,214.02,203.15,204.15,204.15,2151519,0.0000,1.0
2022-10-25,200.47,201.6308,198.66,201.43,201.43,1968004,0.0000,1.0
2022-10-24,199.38,205.005,199.38,203.38,203.38,2022963,0.0000,1.0
2022-10-21,192.79,197.97,191.585,197.79,197.79,1529012,0.0000,1.0
2022-10-20,194.02,196.09,191.57,192.21,192.21,1670209,0.0000,1.0
2022-10-19,194.0,197.825,193.86,195.98,195.98,1415795,0.0000,1.0
2022-10-18,197.08,197.32,192.58,194.65,194.65,1148375,0.0000,1.0
2022-10-17,190.0,193.33,190.0,192.69,192.69,1610132,0.0000,1.0
2022-10-14,194.59,195.685,188.06,188.77,188.77,2065646,0.0000,1.0
2022-10-13,182.55,194.47,181.32,193.73,193.73,1557622,0.0000,1.0
2022-10-12,185.62,188.33,184.285,185.0,185.0,1405999,0.0000,1.0
2022-10-11,184.92,188.36,184.47,185.7,185.7,1175275,0.0000,1.0
2022-10-10,186.24,187.5,184.44,184.92,184.92,1292045,0.0000,1.0
2022-10-07,187.93,188.24,184.05,184.68,184.68,1271495,0.0000,1.0
2022-10-06,190.1,190.21,188.04,188.82,188.82,1006421,0.0000,1.0
2022-10-05,191.12,192.42,190.26,190.63,190.63,987082,0.0000,1.0
2022-10-04,188.13,192.96,188.05,192.76,192.76,1592804,0.0000,1.0
2022-10-03,183.42,187.745,181.23,187.1,187.1,1359030,0.0000,1.0
2022-09-30,184.25,186.475,181.64,181.88,181.88,1915950,0.0000,1.0
2022-09-29,179.41,184.63,177.995,183.78,183.78,2247687,0.0000,1.0
2022-09-28,178.84,181.955,177.48,180.32,180.32,1743513,0.0000,1.0
2022-09-27,175.63,178.93,174.52,178.14,178.14,2213809,0.0000,1.0
2022-09-26,179.21,179.6,173.78,174.74,174.74,1880796,0.0000,1.0
2022-09-23,180.24,181.71,178.11,180.29,180.29,1880027,0.0000,1.0
2022-09-22,182.65,183.31,180.7768,181.49,181.49,1696351,0.0000,1.0
2022-09-21,188.46,188.88,182.4,182.47,182.47,1325869,0.0000,1.0
2022-09-20,190.44,190.44,185.61,187.58,187.58,1802903,0.0000,1.0
2022-09-19,188.01,191.94,187.09,191.88,191.88,1205770,0.0000,1.0
2022-09-16,190.1,191.3,188.6,189.25,189.25,3844914,0.0000,1.0
2022-09-15,192.16,193.79,190.58,192.16,192.16,1476655,0.8300,1.0
2022-09-14,193.88,194.84,191.35,193.26,192.4288388,1667491,0.0000,1.0
2022-09-13,194.71,195.95,192.96,193.2,192.369096844,1394800,0.0000,1.0
2022-09-12,195.77,198.02,195.14,196.98,196.132840044,1133041,0.0000,1.0
2022-09-09,195.55,196.2712,194.44,195.0,194.161355511,1380700,0.0000,1.0
2022-09-08,193.06,195.375,192.3257,195.11,194.270882429,1560387,0.0000,1.0
2022-09-07,190.65,194.17,190.355,193.68,192.847032489,1135507,0.0000,1.0
2022-09-06,191.75,192.325,189.9,190.43,189.611009897,1097473,0.0000,1.0
2022-09-02,193.76,195.86,190.0,190.88,190.059074563,1039484,0.0000,1.0
2022-09-01,189.13,192.25,188.51,192.14,191.31365563,1205513,0.0000,1.0
2022-08-31,190.18,192.11,189.04,189.05,188.236944919,1759726,0.0000,1.0
2022-08-30,192.29,192.52,189.65,189.99,189.172902223,1119783,0.0000,1.0
2022-08-29,192.08,193.645,190.19,192.16,191.333569615,995795,0.0000,1.0
2022-08-26,198.25,198.25,193.35,193.51,192.677763615,1130242,0.0000,1.0
2022-08-25,196.92,197.8961,195.68,197.51,196.660560651,708014,0.0000,1.0
2022-08-24,195.6,196.73,194.35,196.41,195.565291466,776506,0.0000,1.0
2022-08-23,197.0,197.975,196.26,196.73,195.883915229,1048005,0.0000,1.0
2022-08-22,198.0,198.41,196.5,197.02,196.172668014,1150986,0.0000,1.0
2022-08-19,202.53,202.73,200.405,200.58,199.717357376,2015987,0.0000,1.0
2022-08-18,200.96,202.42,200.71,202.41,201.53948702,1064192,0.0000,1.0
2022-08-17,197.69,201.16,197.26,200.94,200.075809109,951402,0.0000,1.0
2022-08-16,196.78,200.16,196.78,199.05,198.19393751,1193232,0.0000,1.0
2022-08-15,195.5,197.98,195.45,196.71,195.864001244,1397662,0.0000,1.0
2022-08-12,194.53,197.59,194.21,197.55,196.700388621,941980,0.0000,1.0
2022-08-11,192.6,194.32,192.465,193.81,192.976473392,1427202,0.0000,1.0
2022-08-10,191.04,192.0,190.16,191.6,190.77597803,1176495,0.0000,1.0
2022-08-09,187.64,190.33,187.585,189.71,188.89410643,1556768,0.0000,1.0
2022-08-08,186.12,187.67,185.54,186.56,185.757653764,1439570,0.0000,1.0
2022-08-05,185.37,186.97,184.84,185.32,184.522986683,1282618,0.0000,1.0
2022-08-04,185.16,187.345,184.57,185.09,184.293975854,1387039,0.0000,1.0
2022-08-03,184.97,186.27,182.485,185.7,184.901352402,1671656,0.0000,1.0
2022-08-02,185.4,188.085,184.02,184.34,183.547201409,2267485,0.0000,1.0
2022-08-01,186.39,187.915,183.485,184.98,184.184448935,2266791,0.0000,1.0
