timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,187.18,188.11,184.6,185.3,185.3,977787,0.0000,1.0
2022-11-25,188.78,189.43,188.0,188.2,188.2,231939,0.0000,1.0
2022-11-23,188.34,190.74,187.7138,189.24,189.24,320602,0.5900,1.0
2022-11-22,186.3,189.34,185.33,188.5,187.914133699,452081,0.0000,1.0
2022-11-21,185.5,186.76,183.92,185.12,184.544638887,479534,0.0000,1.0
2022-11-18,184.97,186.24,183.46,185.6,185.023147026,369250,0.0000,1.0
2022-11-17,180.79,183.23,179.495,183.2,182.630606332,293655,0.0000,1.0
2022-11-16,184.65,184.65,182.6,182.88,182.311600906,581450,0.0000,1.0
2022-11-15,185.27,186.08,182.86,184.83,184.25554022,297669,0.0000,1.0
2022-11-14,183.74,186.0644,182.42,182.49,181.922813043,416811,0.0000,1.0
2022-11-11,186.71,188.87,184.1,184.35,183.777032081,531819,0.0000,1.0
2022-11-10,178.94,185.78,178.18,185.5,184.923457831,772891,0.0000,1.0
2022-11-09,174.56,175.65,171.75,172.09,171.555136701,430251,0.0000,1.0
2022-11-08,173.39,177.055,172.2,175.72,175.173854501,598911,0.0000,1.0
2022-11-07,172.67,173.36,170.175,172.31,171.774452932,529984,0.0000,1.0
2022-11-04,175.41,175.65,168.96,172.41,171.874142127,646568,0.0000,1.0
2022-11-03,169.53,173.4,166.0,172.83,172.292836749,934721,0.0000,1.0
2022-11-02,169.32,179.2575,167.6,172.4,171.864173208,1351170,0.0000,1.0
2022-11-01,174.06,174.7,170.5,172.58,172.04361376,1006919,0.0000,1.0
2022-10-31,171.77,174.15,171.185,172.81,172.27289891,839775,0.0000,1.0
2022-10-28,168.44,173.69,168.42,172.88,172.342681346,513347,0.0000,1.0
2022-10-27,168.96,169.67,166.975,168.43,167.906512142,649119,0.0000,1.0
2022-10-26,167.72,169.4491,166.19,167.58,167.05915398,516188,0.0000,1.0
2022-10-25,164.96,168.67,164.96,168.56,168.036108097,548803,0.0000,1.0
2022-10-24,163.47,165.38,162.515,164.7,164.188105147,484007,0.0000,1.0
2022-10-21,158.66,163.22,157.5,162.43,161.925160407,555850,0.0000,1.0
2022-10-20,160.57,161.72,157.35,158.42,157.927623663,648409,0.0000,1.0
2022-10-19,160.18,161.71,158.54,159.47,158.974360217,358374,0.0000,1.0
2022-10-18,162.72,163.8799,160.12,161.18,160.679045462,815784,0.0000,1.0
2022-10-17,157.28,159.67,157.28,159.26,158.765012906,777089,0.0000,1.0
2022-10-14,159.57,160.0,153.8,154.08,153.601112574,687916,0.0000,1.0
2022-10-13,149.02,158.9836,147.91,157.89,157.399270927,867644,0.0000,1.0
2022-10-12,153.53,154.09,152.44,152.59,152.11574356,871894,0.0000,1.0
2022-10-11,158.68,158.68,151.815,152.6,152.12571248,1046090,0.0000,1.0
2022-10-10,160.26,160.26,156.74,158.43,157.937592583,576546,0.0000,1.0
2022-10-07,162.79,162.79,158.95,159.62,159.12389401,750905,0.0000,1.0
2022-10-06,166.61,167.73,164.46,165.0,164.487172733,539393,0.0000,1.0
2022-10-05,164.82,167.79,163.9,166.55,166.032355265,351742,0.0000,1.0
2022-10-04,162.91,166.41,162.86,166.34,165.823007954,600024,0.0000,1.0
2022-10-03,157.06,161.1971,156.865,159.91,159.412992678,734919,0.0000,1.0
2022-09-30,159.13,160.35,155.89,156.08,155.594896486,717457,0.0000,1.0
2022-09-29,159.95,161.504,158.19,158.97,158.475914239,712806,0.0000,1.0
2022-09-28,158.12,162.39,157.285,161.46,160.958175209,901471,0.0000,1.0
2022-09-27,159.53,160.79,156.07,157.73,157.239768214,423978,0.0000,1.0
2022-09-26,159.53,161.45,158.02,158.3,157.807996629,409572,0.0000,1.0
2022-09-23,161.84,161.84,157.7,159.91,159.412992678,543037,0.0000,1.0
2022-09-22,165.0,165.09,161.245,162.64,162.134507717,605279,0.0000,1.0
2022-09-21,168.96,170.6,165.4,165.4,164.885929516,523931,0.0000,1.0
2022-09-20,169.93,170.12,166.865,168.25,167.72707159,474890,0.0000,1.0
2022-09-19,169.27,170.94,168.0786,170.68,170.149519043,465041,0.0000,1.0
2022-09-16,168.69,171.51,166.81,170.83,170.299052837,1267571,0.0000,1.0
2022-09-15,171.88,172.73,169.13,169.68,169.152627087,468971,0.0000,1.0
2022-09-14,172.77,173.92,170.3008,172.04,171.505292103,616911,0.0000,1.0
2022-09-13,173.88,175.33,171.64,172.45,171.914017805,852644,0.0000,1.0
2022-09-12,177.15,177.84,175.586,177.78,177.227451931,610140,0.0000,1.0
2022-09-09,175.7,176.75,174.75,175.57,175.024320708,624567,0.0000,1.0
2022-09-08,171.77,175.2,171.53,174.36,173.818081441,480287,0.0000,1.0
2022-09-07,169.6,173.395,168.72,173.07,172.532090818,600484,0.0000,1.0
2022-09-06,169.75,170.235,167.15,169.37,168.843590581,630236,0.0000,1.0
2022-09-02,172.48,173.04,167.78,168.5,167.976294579,549061,0.0000,1.0
2022-09-01,169.5,170.89,167.945,170.51,169.980047411,788551,0.0000,1.0
2022-08-31,175.68,175.88,170.33,170.7,170.169456882,1180675,0.0000,1.0
2022-08-30,178.0,178.135,174.537,175.07,174.52587473,817370,0.0000,1.0
2022-08-29,177.88,179.285,176.87,178.0,177.446768161,857516,0.0000,1.0
2022-08-26,187.9,187.9,179.38,179.69,179.131515567,987137,0.0000,1.0
2022-08-25,184.68,187.95,184.68,187.9,187.315998525,522335,0.0000,1.0
2022-08-24,184.35,185.47,183.37,184.4,183.826876679,683068,0.5000,1.0
2022-08-23,185.24,186.2499,184.53,184.87,183.797050793,863914,0.0000,1.0
2022-08-22,186.07,187.2,184.66,185.11,184.03565788,1243741,0.0000,1.0
2022-08-19,186.35,188.895,185.76,188.37,187.27673748,1334978,0.0000,1.0
2022-08-18,183.18,187.26,183.02,187.11,186.024050273,1026554,0.0000,1.0
2022-08-17,183.55,183.94,181.13,182.62,181.560109352,943047,0.0000,1.0
2022-08-16,181.04,183.94,180.5,183.55,182.484711814,582397,0.0000,1.0
2022-08-15,178.88,181.9,177.82,181.67,180.615622965,1449067,0.0000,1.0
2022-08-12,176.87,180.67,175.31,180.27,179.223748291,571496,0.0000,1.0
2022-08-11,178.16,178.61,175.335,175.71,174.690213636,613906,0.0000,1.0
2022-08-10,175.83,176.57,174.36,176.01,174.988472495,733220,0.0000,1.0
2022-08-09,177.7,178.69,172.12,172.52,171.51872777,1401410,0.0000,1.0
2022-08-08,180.23,181.3,177.5,178.58,177.543556719,875989,0.0000,1.0
2022-08-05,178.18,180.27,177.44,179.69,178.647114497,823713,0.0000,1.0
2022-08-04,181.04,182.24,178.82,180.02,178.975199242,832547,0.0000,1.0
2022-08-03,180.33,182.73,177.725,181.96,180.903939862,1019187,0.0000,1.0
2022-08-02,181.19,182.39,179.43,180.33,179.283400062,939573,0.0000,1.0
2022-08-01,180.01,182.78,179.44,181.51,180.456551574,766365,0.0000,1.0
2022-07-29,178.54,182.05,177.84,181.53,180.476435498,963332,0.0000,1.0
2022-07-28,175.34,178.44,174.37,178.15,177.116052355,707607,0.0000,1.0
2022-07-27,170.93,175.7,170.41,174.8,173.785495097,538616,0.0000,1.0
2022-07-26,170.77,171.2,169.42,170.1,169.112772975,623488,0.0000,1.0
2022-07-25,171.08,171.24,169.2,170.44,169.450799682,272524,0.0000,1.0
2022-07-22,171.27,171.76,168.58,170.1,169.112772975,710044,0.0000,1.0
2022-07-21,169.0,171.42,168.56,171.25,170.256098601,456683,0.0000,1.0
2022-07-20,167.19,169.65,166.27,169.21,168.227938361,454191,0.0000,1.0
2022-07-19,162.05,167.75,162.05,167.53,166.557688751,639282,0.0000,1.0
2022-07-18,161.69,163.53,159.11,159.67,158.743306649,461679,0.0000,1.0
2022-07-15,160.08,161.69,159.59,161.51,160.57262765,511316,0.0000,1.0
2022-07-14,157.72,159.56,155.56,158.77,157.848530072,512260,0.0000,1.0
2022-07-13,155.8,158.84,154.614,158.3,157.38125786,485734,0.0000,1.0
2022-07-12,159.18,161.062,157.3025,158.2,157.28183824,470308,0.0000,1.0
2022-07-11,160.82,160.96,158.44,158.59,157.669574757,375250,0.0000,1.0
2022-07-08,159.17,161.69,158.27,161.53,160.592511574,410094,0.0000,1.0
2022-07-07,159.5,160.98,159.26,159.82,158.892436078,590602,0.0000,1.0
2022-07-06,158.48,159.55,157.05,158.16,157.242070392,464993,0.0000,1.0
2022-07-05,153.81,157.88,152.15,157.75,156.834449952,701820,0.0000,1.0
2022-07-01,156.4,159.195,154.22,157.0,156.088802805,798080,0.0000,1.0
2022-06-30,156.01,158.8395,154.81,157.56,156.645552675,797196,0.0000,1.0
2022-06-29,159.37,159.37,156.39,158.08,157.162534697,550761,0.0000,1.0
2022-06-28,165.72,166.84,159.13,159.37,158.44504779,681284,0.0000,1.0
2022-06-27,165.0,166.36,162.82,165.78,164.817845408,532597,0.0000,1.0
2022-06-24,159.77,164.37,159.77,164.34,163.386202885,1191803,0.0000,1.0
2022-06-23,160.63,161.07,156.98,158.12,157.202302545,703119,0.0000,1.0
2022-06-22,158.11,160.84,156.52,159.63,158.703538801,568569,0.0000,1.0
2022-06-21,158.42,160.17,157.685,159.83,158.90237804,643470,0.0000,1.0
2022-06-17,157.36,158.285,154.13,156.2,155.293445848,1122166,0.0000,1.0
2022-06-16,160.08,160.26,154.72,155.94,155.034954837,763008,0.0000,1.0
2022-06-15,163.38,166.69,161.54,163.85,162.899046749,582588,0.0000,1.0
