timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,78.82,79.68,78.725,79.49,79.49,1542889,0.0000,1.0
2022-11-25,78.94,78.94,78.18,78.89,78.89,495661,0.0000,1.0
2022-11-23,78.43,78.68,78.1,78.57,78.57,1066500,0.0000,1.0
2022-11-22,77.82,78.255,77.43,78.09,78.09,1274506,0.0000,1.0
2022-11-21,76.59,78.16,76.24,77.6,77.6,1309489,0.0000,1.0
2022-11-18,75.93,76.53,75.86,76.42,76.42,1499443,0.0000,1.0
2022-11-17,74.88,75.28,74.235,75.23,75.23,1624472,0.0000,1.0
2022-11-16,75.96,76.815,75.26,75.3,75.3,1275422,0.0000,1.0
2022-11-15,75.23,75.71,74.33,75.51,75.51,1754885,0.0000,1.0
2022-11-14,74.52,76.4,74.46,74.48,74.48,1368842,0.2625,1.0
2022-11-11,74.92,75.13,73.21,74.47,74.2084570358,2015471,0.0000,1.0
2022-11-10,74.04,75.1,72.98,74.94,74.6768063685,1750036,0.0000,1.0
2022-11-09,72.92,73.51,72.36,72.53,72.2752704285,1204965,0.0000,1.0
2022-11-08,72.78,73.58,72.27,72.88,72.6240412081,1243192,0.0000,1.0
2022-11-07,72.26,72.99,71.75,72.86,72.6041114493,1302357,0.0000,1.0
2022-11-04,71.94,72.31,70.3001,71.4,71.1492390541,2215267,0.0000,1.0
2022-11-03,71.47,72.18,70.46,71.48,71.2289580894,2277330,0.0000,1.0
2022-11-02,73.55,74.49,72.08,72.47,72.215481152,2147191,0.0000,1.0
2022-11-01,74.53,75.6,73.48,73.64,73.381372044,2328538,0.0000,1.0
2022-10-31,76.39,76.97,73.26,74.13,73.8696511356,4854508,0.0000,1.0
2022-10-28,76.83,77.42,74.57,76.37,76.1017841255,3341502,0.0000,1.0
2022-10-27,76.86,78.16,76.47,76.51,76.2412924374,2362357,0.0000,1.0
2022-10-26,75.92,77.01,75.705,76.56,76.2911168345,1751343,0.0000,1.0
2022-10-25,74.16,75.79,73.44,75.62,75.354418169,1723893,0.0000,1.0
2022-10-24,73.64,74.49,73.12,74.17,73.9095106532,1272650,0.0000,1.0
2022-10-21,71.85,73.34,71.21,73.19,72.9329524701,1306219,0.0000,1.0
2022-10-20,73.56,73.98,72.14,72.21,71.9563942871,1451054,0.0000,1.0
2022-10-19,74.03,75.02,73.29,73.62,73.3614422852,1512502,0.0000,1.0
2022-10-18,74.79,75.89,73.6,73.84,73.5806696324,1105923,0.0000,1.0
2022-10-17,72.96,74.45,72.96,73.98,73.7201779443,1508975,0.0000,1.0
2022-10-14,73.46,73.5549,72.15,72.5,72.2453757902,1465645,0.0000,1.0
2022-10-13,71.3,73.405,70.91,73.11,72.8532334348,1174435,0.0000,1.0
2022-10-12,72.26,72.6799,71.86,71.88,71.6275532662,1449824,0.0000,1.0
2022-10-11,71.29,72.59,71.22,71.91,71.6574479045,1576520,0.0000,1.0
2022-10-10,70.42,71.3,70.16,71.17,70.9200468274,788205,0.0000,1.0
2022-10-07,71.89,71.9194,70.31,70.72,70.4716272536,1177817,0.0000,1.0
2022-10-06,72.63,72.64,71.67,71.82,71.5677639897,1258420,0.0000,1.0
2022-10-05,73.44,73.44,71.89,72.51,72.2553406696,2572891,0.0000,1.0
2022-10-04,72.9,73.97,72.58,73.35,73.0923905409,1317125,0.0000,1.0
2022-10-03,71.8,73.03,71.65,72.9,72.643970967,1372367,0.0000,1.0
2022-09-30,72.95,73.29,71.37,71.44,71.1890985718,1719495,0.0000,1.0
2022-09-29,74.01,74.08,72.57,72.92,72.6639007258,1269026,0.0000,1.0
2022-09-28,73.75,74.49,72.86,74.01,73.7500725825,1668624,0.0000,1.0
2022-09-27,75.28,75.89,72.8663,73.22,72.9628471084,1736137,0.0000,1.0
2022-09-26,75.45,75.906,74.83,75.26,74.99568251,1595527,0.0000,1.0
2022-09-23,75.02,75.62,74.32,75.22,74.9558229923,1184817,0.0000,1.0
2022-09-22,74.39,75.65,74.16,75.2,74.9358932334,1404020,0.0000,1.0
2022-09-21,75.29,76.015,74.67,74.69,74.427684383,1335326,0.0000,1.0
2022-09-20,75.9,76.26,74.68,75.08,74.8163146804,1643863,0.0000,1.0
2022-09-19,76.5,76.67,75.69,76.59,76.3210114727,1300121,0.0000,1.0
2022-09-16,77.11,77.43,76.41,76.54,76.2711870756,1888076,0.0000,1.0
