timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,109.23,109.4576,107.27,107.39,107.39,444749,0.0000,1.0
2022-11-25,109.24,109.936,108.91,109.83,109.83,173172,0.0000,1.0
2022-11-23,107.94,108.83,107.41,108.8,108.8,364878,0.0000,1.0
2022-11-22,107.51,108.32,106.71,108.04,108.04,383444,0.0000,1.0
2022-11-21,106.59,107.4608,105.97,106.83,106.83,535686,0.0000,1.0
2022-11-18,106.78,107.62,105.63,106.86,106.86,401840,0.0000,1.0
2022-11-17,104.79,105.8,104.29,105.64,105.64,322830,0.0000,1.0
2022-11-16,106.58,106.97,105.465,105.86,105.86,581546,0.0000,1.0
2022-11-15,109.63,109.73,105.98,106.39,106.39,547305,0.0000,1.0
2022-11-14,110.12,111.77,108.88,108.93,108.93,977620,0.0000,1.0
2022-11-11,108.0,110.5,106.99,110.09,110.09,1042282,0.0000,1.0
2022-11-10,104.39,107.7,103.62,107.55,107.55,989566,0.0000,1.0
2022-11-09,102.54,103.15,101.28,101.49,101.49,408359,0.0000,1.0
2022-11-08,102.04,103.29,101.5,103.15,103.15,682250,0.0000,1.0
2022-11-07,99.9,102.43,99.365,102.43,102.43,667202,0.0000,1.0
2022-11-04,97.44,99.87,97.43,99.79,99.79,514869,0.0000,1.0
2022-11-03,97.89,98.71,96.63,97.0,97.0,630611,0.0000,1.0
2022-11-02,98.67,101.19,97.96,99.05,99.05,914429,0.0000,1.0
2022-11-01,103.47,103.61,98.4,99.22,99.22,1103944,0.0000,1.0
2022-10-31,101.83,103.45,101.075,103.32,103.32,1907365,0.0000,1.0
2022-10-28,99.4,102.61,99.21,102.49,102.49,635887,0.0000,1.0
2022-10-27,99.23,100.72,98.7,98.81,98.81,673772,0.0000,1.0
2022-10-26,99.74,100.37,97.75,98.1,98.1,1030872,0.0000,1.0
2022-10-25,98.88,99.03,96.71,98.95,98.95,791945,0.0000,1.0
2022-10-24,100.59,101.41,98.91,99.66,99.66,1046004,0.0000,1.0
2022-10-21,97.89,100.15,97.14,99.24,99.24,3051385,0.0000,1.0
2022-10-20,100.04,100.04,97.25,97.75,97.75,825101,0.0000,1.0
2022-10-19,101.3,102.59,100.12,101.04,101.04,626716,0.0000,1.0
2022-10-18,101.78,102.51,100.67,101.59,101.59,756328,0.0000,1.0
2022-10-17,100.75,100.9,99.105,100.29,100.29,762698,0.0000,1.0
2022-10-14,101.44,102.49,98.9,99.05,99.05,839094,0.0000,1.0
2022-10-13,96.02,101.79,95.31,101.4,101.4,812083,0.0000,1.0
