timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,149.5,150.65,148.48,149.03,149.03,812251,0.0000,1.0
2022-11-25,149.12,149.55,147.09,149.5,149.5,655037,0.0000,1.0
2022-11-23,151.55,151.92,149.05,149.11,149.11,929954,0.0000,1.0
2022-11-22,150.07,151.325,149.03,151.0,151.0,1040338,0.0000,1.0
2022-11-21,146.83,150.51,145.39,149.33,149.33,1310762,0.0000,1.0
2022-11-18,147.52,148.01,145.58,146.79,146.79,1034545,0.0000,1.0
2022-11-17,142.12,145.93,141.87,145.86,145.86,996134,0.0000,1.0
2022-11-16,145.08,145.84,142.55,142.84,142.84,1013046,0.0000,1.0
2022-11-15,145.02,145.64,143.48,144.93,144.93,771928,0.0000,1.0
2022-11-14,142.52,147.58,141.09,142.65,142.65,1371859,0.0000,1.0
2022-11-11,143.41,144.09,136.52,141.91,141.91,1467344,0.0000,1.0
2022-11-10,142.96,144.41,140.92,143.98,143.98,1164817,0.0000,1.0
2022-11-09,142.87,143.71,140.0168,140.28,140.28,927040,0.0000,1.0
2022-11-08,145.35,145.35,142.33,143.01,143.01,871395,0.0000,1.0
2022-11-07,140.9,144.49,140.9,143.93,143.93,890271,0.0000,1.0
2022-11-04,139.06,140.85,136.6,140.69,140.69,987639,0.0000,1.0
2022-11-03,137.11,138.74,134.41,138.23,138.23,1553471,0.0000,1.0
2022-11-02,149.51,149.51,136.365,137.68,137.68,3087993,0.0000,1.0
2022-11-01,145.97,148.4699,145.49,146.67,146.67,1566132,0.0000,1.0
2022-10-31,148.08,149.88,145.89,146.04,146.04,2078363,0.0000,1.0
2022-10-28,143.66,148.6099,143.66,148.14,148.14,1597399,0.0000,1.0
2022-10-27,142.17,145.47,141.52,143.06,143.06,1391551,0.0000,1.0
2022-10-26,140.82,142.41,140.16,141.47,141.47,1260173,0.0000,1.0
2022-10-25,136.93,140.76,136.33,140.46,140.46,1247150,1.1800,1.0
2022-10-24,137.0,139.46,135.88,138.55,137.395742728,931361,0.0000,1.0
2022-10-21,134.0,136.29,133.26,136.25,135.114903982,798766,0.0000,1.0
2022-10-20,136.5,137.03,133.0,133.11,132.001063259,1072357,0.0000,1.0
2022-10-19,135.77,137.03,134.84,136.87,135.729738774,950121,0.0000,1.0
2022-10-18,133.94,136.6,133.94,135.15,134.02406806,931565,0.0000,1.0
2022-10-17,133.7,134.91,132.98,133.19,132.080396781,1365896,0.0000,1.0
2022-10-14,131.54,131.9,130.14,131.29,130.196225642,794940,0.0000,1.0
2022-10-13,127.72,131.62,127.28,130.8,129.710307823,885007,0.0000,1.0
2022-10-12,129.23,130.1,128.31,129.12,128.044303869,1011446,0.0000,1.0
2022-10-11,126.36,129.9775,125.99,128.24,127.171635131,992093,0.0000,1.0
2022-10-10,126.11,126.795,124.58,125.88,124.831296244,1003936,0.0000,1.0
2022-10-07,130.03,130.39,125.39,125.76,124.712295962,1058373,0.0000,1.0
2022-10-06,132.39,132.39,129.545,130.07,128.986389438,792882,0.0000,1.0
2022-10-05,131.02,132.65,130.49,131.69,130.59289325,1080075,0.0000,1.0
2022-10-04,130.31,132.615,129.87,131.62,130.523476419,946464,0.0000,1.0
2022-10-03,129.1,130.58,127.98,129.78,128.698805422,1277162,0.0000,1.0
2022-09-30,134.0,134.0,128.32,128.39,127.320385484,1490050,0.0000,1.0
2022-09-29,135.76,135.88,132.5,133.14,132.03081333,952850,0.0000,1.0
2022-09-28,136.69,137.3,135.01,136.26,135.124820672,1036272,0.0000,1.0
2022-09-27,140.27,140.89,135.26,135.58,134.450485738,1038064,0.0000,1.0
2022-09-26,141.34,141.41,139.0,140.03,138.863412878,758363,0.0000,1.0
2022-09-23,141.0,142.47,140.34,141.58,140.400499859,933189,0.0000,1.0
2022-09-22,141.47,142.21,140.8,141.28,140.102999153,634320,0.0000,1.0
2022-09-21,141.79,144.045,141.79,141.97,140.787250777,775327,0.0000,1.0
2022-09-20,142.03,142.29,140.21,141.3,140.122832533,626424,0.0000,1.0
2022-09-19,141.77,143.06,141.705,142.93,141.739253036,520337,0.0000,1.0
2022-09-16,140.82,142.41,140.21,141.77,140.588916973,1214619,0.0000,1.0
2022-09-15,142.39,142.46,139.725,140.49,139.319580627,996344,0.0000,1.0
2022-09-14,142.7,143.36,140.96,141.63,140.45008331,1075208,0.0000,1.0
2022-09-13,147.62,148.25,143.53,144.0,142.800338887,968450,0.0000,1.0
2022-09-12,148.16,150.07,147.575,148.06,146.826515109,1268601,0.0000,1.0
2022-09-09,146.05,149.78,145.42,148.16,146.925682011,1186466,0.0000,1.0
2022-09-08,145.62,146.2818,142.68,145.8,144.585343123,914100,0.0000,1.0
2022-09-07,144.0,146.565,143.58,146.39,145.170427845,894254,0.0000,1.0
2022-09-06,141.06,144.76,140.71,142.71,141.521085851,991189,0.0000,1.0
2022-09-02,147.0,147.0,142.33,142.85,141.659919514,671772,0.0000,1.0
2022-09-01,143.84,145.98,142.62,145.9,144.684510025,841817,0.0000,1.0
2022-08-31,146.32,146.66,144.32,144.34,143.137506354,843613,0.0000,1.0
2022-08-30,145.22,146.1,143.69,145.67,144.456426151,687007,0.0000,1.0
2022-08-29,144.15,146.49,143.16,145.12,143.91100819,546098,0.0000,1.0
2022-08-26,147.8,148.22,144.58,144.73,143.524257272,849528,0.0000,1.0
2022-08-25,147.69,147.96,146.16,147.9,146.667848066,836691,0.0000,1.0
2022-08-24,147.74,148.9682,146.31,147.98,146.747181587,642300,0.0000,1.0
2022-08-23,149.01,149.32,146.175,148.1,146.86618187,847508,0.0000,1.0
2022-08-22,148.6,149.68,148.54,149.13,147.88760096,689354,0.0000,1.0
2022-08-19,148.71,149.755,148.31,148.87,147.629767015,589064,0.0000,1.0
2022-08-18,147.34,148.8871,147.065,148.71,147.471099972,526434,0.0000,1.0
2022-08-17,148.89,149.86,148.57,148.64,147.40168314,499344,0.0000,1.0
2022-08-16,149.1,150.53,148.48,149.74,148.492519062,760717,0.0000,1.0
2022-08-15,147.34,149.67,147.18,148.83,147.590100254,913969,0.0000,1.0
2022-08-12,145.38,146.675,144.195,146.37,145.150594465,945662,0.0000,1.0
2022-08-11,145.44,147.6,144.36,144.61,143.40525699,781472,0.0000,1.0
2022-08-10,144.75,145.31,143.85,145.09,143.881258119,874417,0.0000,1.0
2022-08-09,144.68,145.43,142.55,143.41,142.215254165,1030490,0.0000,1.0
2022-08-08,140.05,146.4799,139.805,144.58,143.375506919,1603937,0.0000,1.0
2022-08-05,137.88,139.85,137.56,138.99,137.832077097,1354566,0.0000,1.0
2022-08-04,136.7,143.5336,135.81,137.76,136.612324202,3328239,0.0000,1.0
2022-08-03,143.5,145.25,141.97,144.57,143.365590229,1580231,0.0000,1.0
2022-08-02,145.76,145.76,143.35,143.79,142.592088393,941197,0.0000,1.0
2022-08-01,142.57,146.245,142.34,145.29,144.079591923,1239689,0.0000,1.0
2022-07-29,143.94,144.01,140.68,141.84,140.658333804,2004699,0.0000,1.0
2022-07-28,142.4,145.65,141.43,144.67,143.464757131,1391888,0.0000,1.0
2022-07-27,145.19,145.19,141.25,142.28,141.094668173,1681199,0.0000,1.0
2022-07-26,142.76,145.44,138.43,145.24,144.030008472,1413527,1.1800,1.0
2022-07-25,147.15,148.45,146.94,147.77,145.357972626,828629,0.0000,1.0
2022-07-22,147.62,148.95,147.06,147.85,145.436666798,691136,0.0000,1.0
2022-07-21,147.33,148.202,146.3,147.95,145.535034513,826045,0.0000,1.0
2022-07-20,150.28,150.33,145.91,147.8,145.387482941,1016819,0.0000,1.0
2022-07-19,147.04,149.92,145.2,149.72,147.276143071,1840464,0.0000,1.0
2022-07-18,148.37,148.95,145.48,145.73,143.351271238,957173,0.0000,1.0
2022-07-15,148.24,149.025,146.26,148.67,146.243282062,1074540,0.0000,1.0
2022-07-14,146.2,148.03,145.8249,147.52,145.112053338,1052714,0.0000,1.0
2022-07-13,144.41,148.78,143.93,147.6,145.190747511,1145561,0.0000,1.0
2022-07-12,142.33,145.63,142.0045,143.89,141.54130528,866111,0.0000,1.0
2022-07-11,141.92,143.19,140.66,141.8,139.485420034,898590,0.0000,1.0
2022-07-08,145.27,145.27,140.87,141.36,139.052602087,1507550,0.0000,1.0
2022-07-07,145.39,146.87,143.74,145.44,143.066004864,1391011,0.0000,1.0
2022-07-06,145.93,147.85,145.13,146.66,144.266090988,1293106,0.0000,1.0
2022-07-05,144.01,146.1,142.62,144.75,142.38726763,922719,0.0000,1.0
2022-07-01,142.08,144.24,141.2603,143.9,141.551142051,976738,0.0000,1.0
2022-06-30,139.49,142.51,138.64,140.98,138.67880477,1533837,0.0000,1.0
2022-06-29,137.72,139.82,137.07,139.54,137.262309672,859132,0.0000,1.0
2022-06-28,138.05,138.78,136.565,136.94,134.704749079,983632,0.0000,1.0
2022-06-27,139.85,142.3,137.5,138.27,136.01303969,1140076,0.0000,1.0
2022-06-24,140.79,142.9,138.9,140.75,138.452559025,2494274,0.0000,1.0
2022-06-23,132.9,140.3,132.9,140.11,137.823005648,2645440,0.0000,1.0
2022-06-22,125.35,133.09,125.35,132.14,129.983098754,2773531,0.0000,1.0
2022-06-21,124.18,126.95,122.65,125.62,123.569523728,1294671,0.0000,1.0
2022-06-17,123.19,124.1,120.605,122.72,120.71685999,2227802,0.0000,1.0
2022-06-16,122.22,123.32,120.5,122.57,120.569308417,1689183,0.0000,1.0
2022-06-15,124.22,125.41,120.78,123.13,121.120167622,1872928,0.0000,1.0
2022-06-14,128.66,128.88,123.49,124.64,122.60552012,1284754,0.0000,1.0
2022-06-13,129.97,130.84,128.36,128.88,126.776311241,1330871,0.0000,1.0
2022-06-10,131.31,132.13,129.24,131.1,128.960074516,1715319,0.0000,1.0
2022-06-09,134.66,135.92,131.95,132.09,129.933914896,986418,0.0000,1.0
2022-06-08,134.05,135.6,133.1325,134.33,132.137351715,941641,0.0000,1.0
2022-06-07,135.05,135.545,133.03,134.28,132.088167857,1441965,0.0000,1.0
2022-06-06,138.55,138.91,136.99,137.04,134.803116794,923540,0.0000,1.0
2022-06-03,140.47,141.15,137.915,138.88,136.613082752,1317388,0.0000,1.0
2022-06-02,140.56,141.4,136.6,141.32,139.013255001,934315,0.0000,1.0
2022-06-01,145.19,145.19,139.14,140.7,138.403375168,1227028,0.0000,1.0
2022-05-31,148.03,148.18,144.88,145.36,142.987310692,1558473,0.0000,1.0
2022-05-27,147.2,148.73,146.3,148.71,146.282629148,801043,0.0000,1.0
2022-05-26,143.18,147.75,142.995,146.4,144.010334929,1142110,0.0000,1.0
2022-05-25,140.9,142.75,139.84,142.09,139.770686408,1049914,0.0000,1.0
2022-05-24,139.42,141.9,138.91,141.6,139.288684604,1235828,0.0000,1.0
2022-05-23,139.05,140.54,136.53,139.59,137.31149353,962604,0.0000,1.0
2022-05-20,137.82,138.96,132.96,138.3,136.042550005,1659546,0.0000,1.0
2022-05-19,143.82,143.82,137.4671,138.15,135.894998432,2385924,0.0000,1.0
2022-05-18,155.45,155.61,145.39,145.83,143.449638953,1742738,0.0000,1.0
2022-05-17,156.91,157.6,154.33,156.75,154.191393444,939651,0.0000,1.0
2022-05-16,157.74,158.37,155.24,157.09,154.525843675,1267604,0.0000,1.0
2022-05-13,157.04,158.97,155.48,158.28,155.696419485,1199598,0.0000,1.0
2022-05-12,155.62,157.74,154.565,157.03,154.466823046,1093881,0.0000,1.0
2022-05-11,156.36,158.1799,154.57,154.86,152.332243628,1055023,0.0000,1.0
2022-05-10,157.01,158.68,155.17,156.23,153.679881325,1881080,0.0000,1.0
2022-05-09,153.67,160.59,153.56,157.43,154.860293906,2951709,0.0000,1.0
2022-05-06,148.73,154.41,148.55,153.94,151.427260649,1912748,0.0000,1.0
2022-05-05,148.55,150.25,146.59,148.27,145.849811202,1331428,0.0000,1.0
2022-05-04,146.7,151.55,146.5401,149.63,147.187612127,1764062,0.0000,1.0
2022-05-03,141.86,151.68,141.57,147.56,145.151400424,2859249,0.0000,1.0
2022-05-02,143.45,145.49,141.41,143.28,140.941262218,1909267,0.0000,1.0
2022-04-29,147.01,147.21,143.13,143.47,141.128160876,2505429,0.0000,1.0
2022-04-28,147.5,149.425,145.85,148.34,145.918668602,1143704,0.0000,1.0
2022-04-27,146.27,148.71,145.61,147.71,145.298951997,1005833,0.0000,1.0
2022-04-26,150.67,150.92,146.22,146.27,143.8824569,1004966,1.1600,1.0
2022-04-25,151.08,152.88,148.34,152.29,148.625512862,1235779,0.0000,1.0
2022-04-22,149.68,152.93,149.68,150.65,147.024975459,2146676,0.0000,1.0
2022-04-21,146.6,148.79,146.42,148.15,144.585131857,1071791,0.0000,1.0
