timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,312.97,317.065,307.45,308.33,308.33,233959,0.0000,1.0
2022-11-25,315.01,315.7,309.255,314.38,314.38,119366,0.0000,1.0
2022-11-23,310.01,314.08,309.32,313.1,313.1,169580,0.0000,1.0
2022-11-22,307.29,310.36,302.875,309.23,309.23,207833,0.0000,1.0
2022-11-21,304.73,310.23,303.72,307.16,307.16,260732,0.0000,1.0
2022-11-18,309.07,309.08,303.255,307.4,307.4,221701,0.0000,1.0
2022-11-17,303.76,306.87,301.45,303.0,303.0,279086,0.0000,1.0
2022-11-16,316.64,318.71,309.73,310.35,310.35,313524,0.0000,1.0
2022-11-15,315.08,319.46,312.6207,315.78,315.78,316374,0.0000,1.0
2022-11-14,321.9,324.05,314.33,314.5,314.5,410603,0.0000,1.0
2022-11-11,304.42,327.865,302.785,324.32,324.32,1019544,0.0000,1.0
2022-11-10,286.17,302.52,284.57,302.03,302.03,462308,0.0000,1.0
2022-11-09,272.63,274.76,270.6222,273.57,273.57,341670,0.0000,1.0
2022-11-08,271.47,276.45,267.48,273.51,273.51,229849,0.0000,1.0
2022-11-07,272.91,272.91,267.17,270.57,270.57,213627,0.0000,1.0
2022-11-04,270.19,272.12,265.8225,270.62,270.62,295947,0.0000,1.0
2022-11-03,267.38,267.38,257.28,265.56,265.56,264878,0.0000,1.0
2022-11-02,278.04,282.31,270.43,270.43,270.43,502326,0.0000,1.0
2022-11-01,276.35,280.04,275.67,279.0,279.0,294078,0.0000,1.0
2022-10-31,271.92,276.44,271.92,273.39,273.39,214158,0.0000,1.0
2022-10-28,268.94,275.93,268.12,275.42,275.42,231518,0.0000,1.0
2022-10-27,274.86,274.86,268.7,269.23,269.23,219084,0.0000,1.0
2022-10-26,267.26,275.495,266.18,274.27,274.27,401524,0.0000,1.0
2022-10-25,258.71,266.45,258.71,265.26,265.26,270583,0.0000,1.0
2022-10-24,262.38,262.6236,257.02,258.58,258.58,250802,0.0000,1.0
2022-10-21,256.02,260.52,250.58,259.99,259.99,239435,0.0000,1.0
2022-10-20,256.92,259.4,254.25,255.7,255.7,300389,0.0000,1.0
2022-10-19,257.94,259.71,254.67,256.48,256.48,315855,0.0000,1.0
2022-10-18,267.64,269.83,257.765,258.47,258.47,296400,0.0000,1.0
2022-10-17,252.86,263.1,250.33,260.11,260.11,358579,0.0000,1.0
2022-10-14,258.42,260.53,248.1,248.67,248.67,393089,0.0000,1.0
2022-10-13,246.29,259.035,244.215,255.24,255.24,484279,0.0000,1.0
2022-10-12,249.92,253.87,247.23,252.8,252.8,437715,0.0000,1.0
2022-10-11,257.54,261.9,254.28,256.32,256.32,352964,0.0000,1.0
2022-10-10,263.65,263.65,257.2382,257.65,257.65,236006,0.0000,1.0
2022-10-07,266.33,266.62,260.05,262.39,262.39,278664,0.0000,1.0
2022-10-06,276.98,278.92,268.545,269.53,269.53,283602,0.0000,1.0
2022-10-05,276.62,279.24,274.455,277.46,277.46,239141,0.0000,1.0
2022-10-04,275.55,279.57,274.82,279.57,279.57,401647,0.0000,1.0
2022-10-03,268.31,275.26,265.675,273.26,273.26,338493,0.0000,1.0
2022-09-30,270.16,274.54,263.68,263.9,263.9,400404,0.0000,1.0
2022-09-29,266.42,271.23,263.65,269.4,269.4,256383,0.0000,1.0
2022-09-28,265.34,270.97,262.91,269.11,269.11,422410,0.0000,1.0
2022-09-27,271.63,271.99,263.09,263.81,263.81,354501,0.0000,1.0
2022-09-26,274.03,275.82,265.35,269.0,269.0,394089,0.0000,1.0
2022-09-23,271.85,276.48,270.04,275.68,275.68,397844,0.0000,1.0
2022-09-22,273.83,275.35,271.54,274.19,274.19,338121,0.0000,1.0
2022-09-21,283.9,286.01,276.35,276.37,276.37,202900,0.0000,1.0
2022-09-20,287.13,289.61,281.87,283.53,283.53,295166,0.0000,1.0
2022-09-19,289.35,291.26,284.17,290.35,290.35,344648,0.0000,1.0
2022-09-16,297.42,297.42,290.8556,291.45,291.45,327823,0.0000,1.0
2022-09-15,303.13,308.83,298.745,299.96,299.96,250485,0.0000,1.0
2022-09-14,304.92,306.365,301.05,302.9,302.9,263215,0.0000,1.0
2022-09-13,310.31,312.0,305.15,305.57,305.57,274013,0.0000,1.0
2022-09-12,315.25,318.91,315.25,318.78,318.78,191879,0.0000,1.0
2022-09-09,308.65,314.98,306.58,314.7,314.7,230923,0.0000,1.0
