timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,122.7,125.0601,121.24,123.84,123.84,5649277,0.0000,1.0
2022-11-25,126.89,127.77,126.5,126.81,126.81,2547757,0.0000,1.0
2022-11-23,127.59,129.22,125.8,126.74,126.74,7482609,0.0000,1.0
2022-11-22,128.0,130.5497,126.46,129.98,129.98,5604173,0.0000,1.0
2022-11-21,125.04,127.11,121.81,125.49,125.49,6573237,0.0000,1.0
2022-11-18,128.41,129.199,126.5,128.59,128.59,5727237,0.0000,1.0
2022-11-17,127.59,131.37,127.03,131.19,131.19,5737002,0.0000,1.0
2022-11-16,132.58,133.5,129.09,129.24,129.24,7365573,0.0000,1.0
2022-11-15,133.59,134.84,131.91,134.09,134.09,8300574,0.0000,1.0
2022-11-14,132.38,135.6757,132.28,133.03,133.03,6163372,0.5100,1.0
2022-11-11,131.2,134.855,130.56,133.96,133.448395986,8662041,0.0000,1.0
2022-11-10,128.1,129.77,125.57,129.46,128.965581848,7543858,0.0000,1.0
2022-11-09,132.46,132.57,124.89,125.26,124.781621986,7069481,0.0000,1.0
2022-11-08,134.3,135.28,132.2301,134.44,133.926562828,5039770,0.0000,1.0
2022-11-07,132.75,136.42,132.61,134.94,134.424653287,6882396,0.0000,1.0
2022-11-04,137.0,138.49,129.65,132.32,131.814659278,10663704,0.0000,1.0
2022-11-03,129.62,136.12,128.29,133.82,133.308930657,13209063,0.0000,1.0
2022-11-02,127.08,129.8,125.79,126.51,126.026848135,7681864,0.0000,1.0
2022-11-01,128.74,129.32,126.885,127.78,127.291997903,5875587,0.0000,1.0
2022-10-31,125.58,129.99,125.57,126.09,125.608452149,7121033,0.0000,1.0
2022-10-28,128.5,128.99,124.01,127.17,126.684327542,7293389,0.0000,1.0
2022-10-27,127.7,129.45,126.24,126.64,126.156351655,8948517,0.0000,1.0
2022-10-26,124.72,128.1805,124.58,126.57,126.086618991,8141443,0.0000,1.0
2022-10-25,124.33,125.49,122.88,123.94,123.466663172,7000792,0.0000,1.0
2022-10-24,124.53,126.4,124.2,125.14,124.662080276,5734912,0.0000,1.0
2022-10-21,122.67,124.76,121.57,124.49,124.014562678,5886227,0.0000,1.0
2022-10-20,122.5,124.91,121.78,121.81,121.344797813,6456075,0.0000,1.0
2022-10-19,118.42,121.6,118.09,121.11,120.64747117,5500398,0.0000,1.0
2022-10-18,119.58,120.04,115.7,117.89,117.439768609,6826198,0.0000,1.0
2022-10-17,119.78,121.44,118.02,118.36,117.907973641,6666960,0.0000,1.0
2022-10-14,121.09,122.98,117.04,117.96,117.509501273,7647416,0.0000,1.0
2022-10-13,114.5,123.41,114.43,122.74,122.271246069,7999109,0.0000,1.0
2022-10-12,114.76,117.34,113.99,116.3,115.855840947,6221624,0.0000,1.0
2022-10-11,114.11,118.11,113.21,115.58,115.138590684,7602529,0.0000,1.0
2022-10-10,118.61,120.44,115.45,116.8,116.353931406,5883230,0.0000,1.0
2022-10-07,118.14,121.3618,117.32,118.51,118.057400779,9373513,0.0000,1.0
2022-10-06,114.79,118.36,114.68,117.65,117.200685188,6388906,0.0000,1.0
2022-10-05,116.25,117.255,113.76,115.93,115.487254006,10072971,0.0000,1.0
2022-10-04,112.47,115.845,111.72,115.62,115.178437921,7582876,0.0000,1.0
2022-10-03,106.93,110.8404,106.53,109.97,109.550015726,7701872,0.0000,1.0
2022-09-30,102.43,103.93,101.0,102.34,101.949155309,7171985,0.0000,1.0
2022-09-29,101.59,104.09,99.89,103.66,103.264114123,5929783,1.4000,1.0
2022-09-28,98.83,103.44,98.46,103.0,101.239327572,9207531,0.0000,1.0
2022-09-27,101.37,102.58,98.52,98.76,97.0718057377,8778984,0.0000,1.0
2022-09-26,100.09,102.7182,99.12,99.2,97.5042844185,8719008,0.0000,1.0
2022-09-23,105.09,105.27,99.6,100.59,98.8705238877,10157266,0.0000,1.0
2022-09-22,113.2,113.85,109.93,110.06,108.178644588,4962552,0.0000,1.0
2022-09-21,114.17,114.89,111.06,111.09,109.191037863,5818006,0.0000,1.0
2022-09-20,112.55,112.84,110.545,112.07,110.154285835,5655402,0.0000,1.0
2022-09-19,109.8,113.48,109.435,112.87,110.940610709,6600643,0.0000,1.0
2022-09-16,115.57,115.64,111.2,113.13,111.196166293,14608194,0.0000,1.0
2022-09-15,115.14,117.22,114.63,115.56,113.584628099,9997473,0.0000,1.0
2022-09-14,113.69,118.39,113.46,117.71,115.697876199,9457897,0.0000,1.0
2022-09-13,112.9,114.39,111.82,112.33,110.409841419,6977448,0.0000,1.0
