timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,64.665,65.67,64.665,65.06,65.06,2020217,0.0000,1.0
2022-11-25,66.17,66.36,65.06,65.09,65.09,748342,0.0000,1.0
2022-11-23,64.93,66.14,64.64,65.87,65.87,2042017,0.0000,1.0
2022-11-22,64.28,64.88,63.57,64.74,64.74,1819513,0.0000,1.0
2022-11-21,63.92,65.35,63.92,64.08,64.08,2033047,0.0000,1.0
2022-11-18,65.22,65.9,63.68,64.42,64.42,2453604,0.0000,1.0
2022-11-17,60.18,64.2,59.38,64.14,64.14,3508541,0.0000,1.0
2022-11-16,62.22,62.605,61.35,62.04,62.04,3498652,0.0000,1.0
2022-11-15,62.52,63.19,61.65,62.06,62.06,2162007,0.0000,1.0
2022-11-14,61.47,62.37,61.2,61.24,61.24,2061048,0.0000,1.0
2022-11-11,60.53,61.87,60.5201,61.56,61.56,1939966,0.0000,1.0
2022-11-10,58.72,60.51,58.56,60.46,60.46,3288251,0.0000,1.0
2022-11-09,56.53,56.76,55.58,55.67,55.67,2133463,0.0000,1.0
2022-11-08,57.43,57.93,55.98,56.89,56.89,2449433,0.0000,1.0
2022-11-07,58.11,58.37,57.03,57.09,57.09,3285095,0.0000,1.0
2022-11-04,57.33,58.06,56.16,57.38,57.38,1824794,0.0000,2.0
2022-11-03,111.14,115.235,110.72,113.39,56.695,1062840,0.0000,1.0
2022-11-02,115.06,116.64,112.01,112.06,56.03,1061094,0.0000,1.0
2022-11-01,115.95,116.72,114.95,115.1,57.55,815366,0.0000,1.0
2022-10-31,115.6,116.3,114.43,115.02,57.51,1005998,0.0000,1.0
2022-10-28,113.45,116.49,112.56,116.36,58.18,844268,0.0000,1.0
2022-10-27,114.1,115.36,112.91,113.41,56.705,842306,0.0000,1.0
2022-10-26,113.91,116.29,113.6,113.85,56.925,792924,0.0000,1.0
2022-10-25,111.65,113.755,111.48,113.63,56.815,660273,0.0000,1.0
