timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,117.55,117.9,114.94,115.21,115.21,1293044,0.0000,1.0
2022-11-25,117.51,118.345,117.095,118.13,118.13,302532,0.0000,1.0
2022-11-23,116.59,117.44,115.82,117.38,117.38,598217,0.0000,1.0
2022-11-22,116.61,117.11,115.77,116.83,116.83,633523,0.0000,1.0
2022-11-21,114.28,116.45,114.04,116.25,116.25,880357,0.0000,1.0
2022-11-18,114.92,115.65,113.82,114.82,114.82,769759,0.0000,1.0
2022-11-17,113.06,114.52,112.6,113.52,113.52,1213919,0.0000,1.0
2022-11-16,114.31,116.08,113.83,114.31,114.31,1650048,0.0000,1.0
2022-11-15,113.56,114.98,113.0,114.63,114.63,954627,0.0000,1.0
2022-11-14,114.9,115.57,111.82,111.87,111.87,868284,0.0000,1.0
2022-11-11,116.2,117.0,114.42,115.23,115.23,725823,0.0000,1.0
2022-11-10,114.14,116.56,113.25,116.2,116.2,736059,0.0000,1.0
2022-11-09,109.61,110.65,108.825,109.37,109.37,575448,0.0000,1.0
2022-11-08,110.25,110.76,108.9,109.85,109.85,596489,0.0000,1.0
2022-11-07,112.11,112.51,108.47,109.64,109.64,984601,0.0000,1.0
2022-11-04,110.76,111.88,107.9,111.5,111.5,1211169,0.0000,1.0
2022-11-03,110.75,111.57,108.04,110.08,110.08,1252238,0.0000,1.0
2022-11-02,114.9,115.92,111.65,111.89,111.89,815294,0.0000,1.0
2022-11-01,116.67,116.67,114.83,115.4,115.4,664893,0.0000,1.0
2022-10-31,114.38,116.16,113.41,115.55,115.55,1085432,0.0000,1.0
2022-10-28,110.97,115.36,110.75,114.98,114.98,1126612,0.0000,1.0
2022-10-27,115.7,117.29,114.44,114.9,114.9,831786,0.0000,1.0
2022-10-26,116.74,117.45,114.365,115.06,115.06,914228,0.0000,1.0
2022-10-25,113.65,117.465,112.95,116.77,116.77,2174386,0.0000,1.0
2022-10-24,115.16,115.29,112.46,113.0,113.0,750551,0.0000,1.0
2022-10-21,112.61,113.93,110.77,113.89,113.89,698853,0.0000,1.0
2022-10-20,113.33,114.42,111.6,112.27,112.27,766850,0.0000,1.0
2022-10-19,114.54,114.7375,111.75,112.73,112.73,521328,0.0000,1.0
2022-10-18,116.78,118.46,115.0,115.46,115.46,1141146,0.0000,1.0
2022-10-17,112.98,115.76,112.36,115.41,115.41,721528,0.0000,1.0
2022-10-14,115.72,115.93,110.45,110.68,110.68,608665,0.0000,1.0
2022-10-13,110.5,114.85,109.66,114.41,114.41,560211,0.0000,1.0
2022-10-12,112.98,112.98,110.84,112.14,112.14,501029,0.0000,1.0
2022-10-11,111.67,114.04,111.24,113.46,113.46,731945,0.0000,1.0
2022-10-10,113.5,114.24,111.66,111.98,111.98,2083370,0.0000,1.0
2022-10-07,115.19,115.65,112.4,113.0,113.0,816688,0.0000,1.0
2022-10-06,119.17,119.99,116.2742,116.37,116.37,817989,0.0000,1.0
2022-10-05,121.56,122.15,118.52,119.42,119.42,723639,0.0000,1.0
2022-10-04,122.84,124.35,122.08,123.14,123.14,925086,0.0000,1.0
2022-10-03,121.29,123.43,120.01,122.12,122.12,1133422,0.0000,1.0
2022-09-30,119.5,120.12,118.33,119.45,119.45,1310666,0.0000,1.0
2022-09-29,118.75,119.39,116.77,118.22,118.22,736328,0.9400,1.0
2022-09-28,118.83,120.82,117.22,120.36,119.410533736,943203,0.0000,1.0
2022-09-27,119.56,120.49,117.04,117.32,116.394514938,761722,0.0000,1.0
2022-09-26,121.27,121.445,118.06,118.72,117.783470963,1498751,0.0000,1.0
2022-09-23,121.93,125.03,121.18,121.95,120.987990937,1035589,0.0000,1.0
2022-09-22,122.29,123.36,120.92,122.77,121.801522323,884581,0.0000,1.0
2022-09-21,124.76,125.865,122.45,122.45,121.48404666,670247,0.0000,1.0
2022-09-20,126.84,126.989,122.8,124.11,123.130951662,824486,0.0000,1.0
2022-09-19,127.52,128.49,125.64,127.89,126.881132931,775187,0.0000,1.0
2022-09-16,129.46,129.46,127.085,129.0,127.982376636,1160300,0.0000,1.0
2022-09-15,130.87,131.67,128.99,129.13,128.111351125,757929,0.0000,1.0
2022-09-14,131.69,132.295,129.12,130.76,129.728492783,911233,0.0000,1.0
2022-09-13,132.81,133.82,131.57,132.32,131.27618664,763715,0.0000,1.0
2022-09-12,135.2,136.02,134.485,135.06,133.994572004,503567,0.0000,1.0
2022-09-09,133.45,135.52,132.5,134.84,133.776307486,729676,0.0000,1.0
2022-09-08,130.63,133.76,130.34,133.14,132.089718026,993913,0.0000,1.0
2022-09-07,130.23,130.95,129.3525,130.93,129.897151729,690559,0.0000,1.0
2022-09-06,127.34,130.47,127.34,130.09,129.063778113,1320917,0.0000,1.0
2022-09-02,129.89,130.66,126.41,126.69,125.690599194,856264,0.0000,1.0
2022-09-01,127.87,129.23,125.8,129.1,128.081587781,962800,0.0000,1.0
2022-08-31,130.72,131.22,128.02,128.51,127.496242028,1339090,0.0000,1.0
2022-08-30,132.65,133.03,130.0,130.39,129.361411547,952709,0.0000,1.0
2022-08-29,134.37,134.37,132.46,132.49,131.444845586,511695,0.0000,1.0
2022-08-26,138.19,138.19,134.66,134.7,133.637411883,696191,0.0000,1.0
2022-08-25,137.57,138.22,136.27,138.19,137.099880832,709121,0.0000,1.0
2022-08-24,136.08,137.27,135.645,136.72,135.641477006,638622,0.0000,1.0
2022-08-23,138.62,138.79,134.805,136.04,134.966841222,578699,0.0000,1.0
2022-08-22,141.32,141.56,139.1,139.2,138.101913394,527937,0.0000,1.0
2022-08-19,143.42,143.55,141.99,142.3,141.177458879,688490,0.0000,1.0
2022-08-18,146.26,147.16,143.69,143.82,142.685468278,671231,0.0000,1.0
2022-08-17,145.91,146.88,145.02,146.56,145.403853642,595869,0.0000,1.0
2022-08-16,145.65,147.715,145.56,146.71,145.552670359,457302,0.0000,1.0
2022-08-15,145.83,146.58,144.9,146.23,145.076456865,426634,0.0000,1.0
2022-08-12,144.2,145.73,144.2,145.72,144.570480027,458540,0.0000,1.0
2022-08-11,143.78,145.19,143.155,143.36,142.229097012,528007,0.0000,1.0
2022-08-10,142.41,143.52,141.52,143.35,142.219175898,508712,0.0000,1.0
2022-08-09,138.4,141.265,137.94,140.91,139.798423968,828165,0.0000,1.0
2022-08-08,138.36,139.895,137.63,137.99,136.901458543,886136,0.0000,1.0
2022-08-05,136.28,137.43,135.09,137.28,136.197059416,765655,0.0000,1.0
2022-08-04,136.22,137.91,133.735,137.11,136.02840047,992833,0.0000,1.0
2022-08-03,137.24,138.4,135.995,136.3,135.224790198,1400424,0.0000,1.0
2022-08-02,139.08,139.78,136.915,137.07,135.988716012,1063493,0.0000,1.0
2022-08-01,140.49,140.81,137.72,138.92,137.824122189,1075516,0.0000,1.0
2022-07-29,140.15,142.225,138.71,141.1,139.986925143,1062809,0.0000,1.0
2022-07-28,136.86,141.63,136.68,141.33,140.215110775,862715,0.0000,1.0
2022-07-27,134.96,135.95,134.085,135.81,134.738655589,742854,0.0000,1.0
2022-07-26,135.9,136.91,134.56,135.0,133.935045317,540454,0.0000,1.0
2022-07-25,135.89,137.18,135.31,135.85,134.778340047,422109,0.0000,1.0
2022-07-22,135.34,136.589,134.43,135.84,134.768418933,436630,0.0000,1.0
2022-07-21,133.9,134.69,133.16,134.58,133.51835851,394399,0.0000,1.0
2022-07-20,133.9,135.23,132.99,133.93,132.873486069,489738,0.0000,1.0
2022-07-19,132.17,134.02,131.23,133.83,132.774274924,507465,0.0000,1.0
2022-07-18,132.64,133.15,130.55,131.14,130.105495133,431288,0.0000,1.0
2022-07-15,132.32,133.05,130.94,132.08,131.038079893,487745,0.0000,1.0
2022-07-14,129.85,131.49,129.85,130.5,129.470543807,766107,0.0000,1.0
2022-07-13,131.89,132.92,130.33,132.35,131.305949983,489348,0.0000,1.0
2022-07-12,132.15,134.13,131.71,132.56,131.514293387,696795,0.0000,1.0
2022-07-11,132.53,133.51,131.37,132.79,131.74247902,386347,0.0000,1.0
2022-07-08,133.9,134.45,132.38,132.74,131.692873447,411821,0.0000,1.0
2022-07-07,135.12,136.1,133.545,134.16,133.101671702,435589,0.0000,1.0
2022-07-06,134.95,135.67,133.485,134.73,133.667175227,457634,0.0000,1.0
2022-07-05,135.35,136.26,131.05,133.91,132.85364384,701103,0.0000,1.0
2022-07-01,134.44,136.44,133.49,136.06,134.986683451,447271,0.0000,1.0
2022-06-30,133.38,136.16,132.21,134.48,133.419147365,769904,0.0000,1.0
2022-06-29,133.18,134.5,132.46,133.92,132.863564955,549634,0.9400,1.0
2022-06-28,136.52,137.95,134.49,134.78,132.784749255,514629,0.0000,1.0
2022-06-27,134.74,137.89,133.92,135.55,133.54335036,824714,0.0000,1.0
2022-06-24,134.85,135.48,133.47,135.11,133.109864015,1216057,0.0000,1.0
2022-06-23,132.51,134.79,132.51,134.61,132.617265895,535683,0.0000,1.0
2022-06-22,129.64,133.84,129.64,131.89,129.937532121,791961,0.0000,1.0
2022-06-21,129.09,132.43,129.09,130.37,128.440033836,1302951,0.0000,1.0
2022-06-17,128.37,130.38,127.4,128.58,126.676532566,2945276,0.0000,1.0
2022-06-16,125.94,128.57,125.94,127.58,125.691336326,1366041,0.0000,1.0
2022-06-15,126.95,130.19,125.425,128.55,126.646976679,1572314,0.0000,1.0
2022-06-14,126.88,127.57,125.17,126.0,124.134726266,746444,0.0000,1.0
2022-06-13,130.69,131.285,125.84,126.5,124.627324387,721102,0.0000,1.0
2022-06-10,133.8,134.58,132.565,133.19,131.218287234,726512,0.0000,1.0
2022-06-09,138.78,139.3,134.72,134.91,132.912824767,855006,0.0000,1.0
2022-06-08,142.0,142.39,139.155,139.36,137.296948036,509880,0.0000,1.0
2022-06-07,139.46,142.81,138.805,142.63,140.518539741,738051,0.0000,1.0
2022-06-06,144.32,144.32,139.65,139.84,137.769842231,869730,0.0000,1.0
2022-06-03,143.74,144.825,142.19,143.56,141.434772245,616328,0.0000,1.0
2022-06-02,143.29,144.73,140.73,144.66,142.518488109,1088244,0.0000,1.0
2022-06-01,143.8,144.35,140.665,143.56,141.434772245,917226,0.0000,1.0
2022-05-31,143.88,144.76,142.39,143.49,141.365808508,1665019,0.0000,1.0
2022-05-27,142.35,145.315,141.72,144.98,142.833750906,538037,0.0000,1.0
2022-05-26,142.35,143.66,141.33,141.9,139.799346486,553628,0.0000,1.0
2022-05-25,141.13,141.99,139.47,141.6,139.503787614,856880,0.0000,1.0
2022-05-24,140.6,141.53,138.01,141.23,139.139265005,842570,0.0000,1.0
2022-05-23,139.65,141.49,137.305,140.84,138.755038471,616619,0.0000,1.0
2022-05-20,139.43,139.43,136.71,138.64,136.587606743,1789468,0.0000,1.0
2022-05-19,137.27,139.38,137.1422,138.0,135.957081149,664241,0.0000,1.0
2022-05-18,142.99,143.235,137.86,138.24,136.193528247,909281,0.0000,1.0
2022-05-17,144.66,145.695,142.13,143.17,141.050545711,1136952,0.0000,1.0
2022-05-16,145.98,146.9,143.9,144.21,142.075149801,566457,0.0000,1.0
2022-05-13,144.08,146.075,142.07,145.99,143.828799108,792347,0.0000,1.0
2022-05-12,143.91,145.04,142.17,144.22,142.085001763,785983,0.0000,1.0
2022-05-11,141.99,145.715,141.79,143.5,141.37566047,751200,0.0000,1.0
2022-05-10,144.14,145.44,140.84,141.56,139.464379764,766440,0.0000,1.0
2022-05-09,147.8,148.48,142.78,143.37,141.247584959,851240,0.0000,1.0
2022-05-06,149.65,150.28,147.0,148.81,146.607052506,707044,0.0000,1.0
2022-05-05,152.79,153.45,149.32,150.55,148.321293964,978081,0.0000,1.0
2022-05-04,152.28,153.02,148.2,152.79,150.528133542,1126729,0.0000,1.0
2022-05-03,151.22,153.4,149.6,152.61,150.350798218,943942,0.0000,1.0
2022-05-02,157.64,158.57,147.61,150.36,148.134106678,872611,0.0000,1.0
2022-04-29,160.89,164.4,156.8,156.89,154.567438127,1363676,0.0000,1.0
2022-04-28,162.1,163.165,159.64,162.15,159.74957035,1187855,0.0000,1.0
2022-04-27,163.09,165.2,161.595,161.71,159.316084004,1087897,0.0000,1.0
2022-04-26,164.01,165.67,162.73,162.93,160.518023417,986556,0.0000,1.0
2022-04-25,166.73,166.86,161.95,164.2,161.769222642,874050,0.0000,1.0
2022-04-22,170.64,170.64,166.97,167.07,164.596735852,919527,0.0000,1.0
2022-04-21,170.05,172.335,168.9,170.63,168.104034467,1241491,0.0000,1.0
2022-04-20,166.25,169.445,165.75,169.03,166.527720483,767802,0.0000,1.0
2022-04-19,164.14,166.1,163.77,165.74,163.286424852,769990,0.0000,1.0
2022-04-18,164.28,165.38,162.25,163.08,160.665802853,737480,0.0000,1.0
2022-04-14,165.58,166.36,164.16,164.62,162.183005063,675480,0.0000,1.0
2022-04-13,165.61,166.235,163.645,165.05,162.606639447,591319,0.0000,1.0
2022-04-12,165.61,167.0011,164.7,165.22,162.774122807,903001,0.0000,1.0
2022-04-11,168.06,169.54,164.95,165.74,163.286424852,1174636,0.0000,1.0
2022-04-08,169.74,169.94,167.0,168.21,165.719859566,2070640,0.0000,1.0
2022-04-07,174.58,174.58,171.91,172.61,170.054723023,1265721,0.0000,1.0
2022-04-06,170.7,175.69,169.12,175.21,172.616233247,1080766,0.0000,1.0
2022-04-05,169.01,173.65,168.9,169.91,167.394693174,1157629,0.0000,1.0
2022-04-04,171.97,174.56,167.18,168.99,166.488312633,1538845,0.0000,1.0
2022-04-01,166.7,172.11,166.35,171.6,169.05967482,22117086,0.0000,1.0
2022-03-31,170.68,170.729,166.16,166.2,163.739615123,1645735,0.0000,1.0
2022-03-30,168.79,169.79,166.09,169.61,167.099134302,1673491,0.9400,1.0
2022-03-29,170.0,171.58,168.64,171.33,167.863351979,902868,0.0000,1.0
2022-03-28,166.02,170.88,164.8,168.83,165.413936348,2579307,0.0000,1.0
2022-03-25,164.36,165.18,163.8,164.75,161.41649004,770672,0.0000,1.0
2022-03-24,162.77,163.985,162.0,163.81,160.495509763,640547,0.0000,1.0
2022-03-23,163.5,164.295,161.3975,162.67,159.378576235,708819,0.0000,1.0
2022-03-22,164.94,166.21,162.07,162.67,159.378576235,1100572,0.0000,1.0
2022-03-21,165.28,165.935,163.92,164.94,161.602645627,1833984,0.0000,1.0
2022-03-18,166.03,168.12,164.63,164.75,161.41649004,1526188,0.0000,1.0
2022-03-17,166.32,168.4,166.32,167.77,164.375384121,882501,0.0000,1.0
2022-03-16,167.05,168.17,162.89,166.66,163.287843581,762741,0.0000,1.0
2022-03-15,166.41,166.59,163.3,165.75,162.396256292,525234,0.0000,1.0
2022-03-14,167.05,167.88,163.2,164.59,161.259727439,797684,0.0000,1.0
2022-03-11,170.07,171.17,165.605,166.17,162.807758118,371366,0.0000,1.0
2022-03-10,168.63,169.385,167.68,168.92,165.502115311,888928,0.0000,1.0
2022-03-09,169.89,171.21,168.53,168.99,165.570698949,973326,0.0000,1.0
2022-03-08,170.06,170.53,166.16,167.46,164.071656583,792777,0.0000,1.0
2022-03-07,171.81,173.85,169.95,170.18,166.736620789,760062,0.0000,1.0
2022-03-04,166.28,172.63,165.94,172.37,168.882308881,587613,0.0000,1.0
2022-03-03,168.0,169.33,166.14,168.09,164.688909322,550696,0.0000,1.0
2022-03-02,164.6,167.45,162.76,167.11,163.728738395,877649,0.0000,1.0
2022-03-01,164.93,166.79,162.735,163.8,160.4857121,973500,0.0000,1.0
2022-02-28,165.63,167.48,163.5,165.11,161.76920589,951037,0.0000,1.0
2022-02-25,163.17,168.1,162.665,168.09,164.688909322,720452,0.0000,1.0
2022-02-24,159.21,163.44,158.7,162.94,159.643113123,561287,0.0000,1.0
2022-02-23,163.92,165.42,161.01,162.12,158.839704796,1190252,0.0000,1.0
2022-02-22,160.89,164.42,159.71,163.42,160.113400924,772507,0.0000,1.0
2022-02-18,161.47,163.26,160.58,161.9,158.624156221,551025,0.0000,1.0
2022-02-17,163.51,163.745,161.36,161.83,158.555572583,538667,0.0000,1.0
2022-02-16,162.67,164.41,161.26,163.77,160.456319112,658681,0.0000,1.0
2022-02-15,162.82,164.14,162.225,162.63,159.339385585,693349,0.0000,1.0
2022-02-14,166.22,167.32,161.42,162.03,158.751525834,1122564,0.0000,1.0
2022-02-11,165.38,167.405,164.56,165.94,162.58241188,1224296,0.0000,1.0
2022-02-10,165.28,168.575,163.5225,164.16,160.838427951,2085869,0.0000,1.0
2022-02-09,164.54,167.96,163.95,167.84,164.443967759,773143,0.0000,1.0
2022-02-08,162.14,163.38,160.68,162.21,158.927883759,1046544,0.0000,1.0
2022-02-07,166.09,167.87,162.0,162.2,158.918086097,1083178,0.0000,1.0
2022-02-04,163.0,168.23,162.0,166.24,162.876341755,992877,0.0000,1.0
2022-02-03,161.77,166.35,161.4,165.21,161.867182516,1155468,0.0000,1.0
2022-02-02,159.95,164.51,159.95,163.12,159.819471049,816305,0.0000,1.0
2022-02-01,161.23,162.14,157.91,159.5,156.272717216,784547,0.0000,1.0
2022-01-31,157.78,160.34,156.945,160.09,156.850779305,1073712,0.0000,1.0
2022-01-28,150.91,158.37,149.65,158.33,155.126390701,1615436,0.0000,1.0
2022-01-27,155.4,156.6309,150.3,150.51,147.464618609,1504770,0.0000,1.0
2022-01-26,155.94,158.33,153.57,154.46,151.334695305,979272,0.0000,1.0
2022-01-25,156.3,157.19,153.19,155.76,152.608391433,844729,0.0000,1.0
2022-01-24,156.76,158.205,152.3,157.99,154.793270175,846188,0.0000,1.0
2022-01-21,159.35,160.55,157.5,157.68,154.489542637,693058,0.0000,1.0
2022-01-20,162.55,164.0,158.45,158.5,155.292950964,656506,0.0000,1.0
2022-01-19,165.3,166.76,162.43,162.5,159.212015972,539807,0.0000,1.0
2022-01-18,164.86,165.48,162.02,164.67,161.338108739,622785,0.0000,1.0
2022-01-14,168.67,168.67,163.94,165.59,162.239493691,548653,0.0000,1.0
2022-01-13,169.14,170.22,168.54,168.68,165.26697141,582300,0.0000,1.0
2022-01-12,165.66,169.83,165.66,168.74,165.325757386,811397,0.0000,1.0
2022-01-11,165.7,165.94,162.68,165.66,162.308077329,1476519,0.0000,1.0
2022-01-10,165.93,168.23,164.78,165.49,162.141517066,1004251,0.0000,1.0
2022-01-07,170.03,170.24,166.63,166.89,163.513189819,934162,0.0000,1.0
2022-01-06,172.61,174.385,170.65,170.96,167.500838465,331353,0.0000,1.0
2022-01-05,176.32,176.86,172.53,172.87,169.372192007,537055,0.0000,1.0
2022-01-04,176.33,179.32,176.17,176.32,172.752385577,809789,0.0000,1.0
2022-01-03,178.8,179.35,174.56,176.45,172.87975519,525874,0.0000,1.0
2021-12-31,178.17,180.37,178.17,178.68,175.064633932,433388,0.0000,1.0
2021-12-30,177.85,179.06,177.12,178.18,174.574750806,394666,0.0000,1.0
2021-12-29,177.17,178.08,175.22,177.66,174.065272355,630088,0.0000,1.0
2021-12-28,176.56,177.4,176.1,176.79,173.212875715,414718,0.0000,1.0
2021-12-27,173.36,176.64,172.8988,176.56,172.987529477,274751,0.0000,1.0
2021-12-23,175.51,175.51,172.12,173.49,169.979647083,372250,0.0000,1.0
2021-12-22,172.06,174.72,172.06,174.46,170.930020348,960688,0.0000,1.0
2021-12-21,173.11,174.06,171.39,172.5,169.009678494,667956,0.0000,1.0
2021-12-20,170.04,172.66,169.33,171.95,168.470807055,416733,0.0000,1.0
2021-12-17,174.22,175.94,170.7279,171.61,168.137686529,1697572,0.0000,1.0
2021-12-16,176.7,177.095,173.39,174.49,170.959413335,472208,0.0000,1.0
2021-12-15,172.89,177.45,172.89,176.89,173.310852341,834948,0.8300,1.0
2021-12-14,175.44,175.9,172.0401,173.47,169.166292795,630773,0.0000,1.0
2021-12-13,173.19,177.07,172.3,175.75,171.389727092,647962,0.0000,1.0
2021-12-10,172.05,174.6,171.21,173.69,169.380834701,607095,0.0000,1.0
2021-12-09,173.48,174.74,171.63,171.64,167.381694214,1356786,0.0000,1.0
2021-12-08,171.34,173.94,170.68,173.62,169.312571367,480107,0.0000,1.0
2021-12-07,172.15,172.52,169.83,171.34,167.08913707,694756,0.0000,1.0
2021-12-06,168.42,171.89,168.42,169.84,165.626351348,731981,0.0000,1.0
2021-12-03,169.07,170.15,165.741,167.28,163.129863716,737177,0.0000,1.0
2021-12-02,163.67,169.41,162.58,168.27,164.095302292,692056,0.0000,1.0
2021-12-01,166.39,168.26,162.48,162.55,158.517212739,674612,0.0000,1.0
2021-11-30,168.22,169.82,165.21,165.21,161.111219419,1537100,0.0000,1.0
2021-11-29,168.01,171.56,167.53,168.85,164.660912771,838619,0.0000,1.0
2021-11-26,168.78,170.4,166.13,166.98,162.837306571,612337,0.0000,1.0
2021-11-24,167.21,171.17,167.186,170.69,166.455263257,469426,0.0000,1.0
2021-11-23,166.1,168.91,165.42,167.58,163.42242086,563770,0.0000,1.0
2021-11-22,166.24,167.68,164.75,166.47,162.339959426,485155,0.0000,1.0
2021-11-19,165.41,166.64,164.377,166.25,162.12541752,525240,0.0000,1.0
2021-11-18,167.07,167.07,164.83,165.76,161.647574184,555341,0.0000,1.0
2021-11-17,164.87,166.55,160.53,166.5,162.36921514,602403,0.0000,1.0
2021-11-16,167.93,167.93,164.49,165.06,160.964940847,474143,0.0000,1.0
2021-11-15,165.3,167.95,164.66,167.93,163.763737528,359264,0.0000,1.0
2021-11-12,166.68,167.3203,165.0101,165.65,161.540303231,460183,0.0000,1.0
2021-11-11,164.81,166.39,163.397,166.37,162.242440378,595833,0.0000,1.0
2021-11-10,162.6,164.94,162.6,164.6,160.516353226,554387,0.0000,1.0
2021-11-09,162.35,163.11,161.33,162.95,158.907288931,276564,0.0000,1.0
2021-11-08,161.77,162.31,159.89,161.86,157.844331307,326533,0.0000,1.0
2021-11-05,160.73,161.855,159.95,161.38,157.376239876,275500,0.0000,1.0
2021-11-04,163.32,163.32,159.7133,160.52,156.537576062,532482,0.0000,1.0
2021-11-03,162.34,164.2,161.86,163.32,159.268109409,749061,0.0000,1.0
2021-11-02,161.95,162.8,160.01,161.57,157.561526067,522856,0.0000,1.0
