timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,180.28,181.47,177.96,178.36,178.36,9367156,0.0000,1.0
2022-11-25,184.89,185.3,183.31,183.7,183.7,2796407,0.0000,1.0
2022-11-23,183.21,185.15,182.58,184.24,184.24,5831218,0.0000,1.0
2022-11-22,183.75,186.56,183.08,185.89,185.89,9017994,0.0000,1.0
2022-11-21,179.73,181.7,175.82,181.24,181.24,8432869,0.0000,1.0
2022-11-18,180.96,183.41,179.65,182.99,182.99,7661469,0.0000,1.0
2022-11-17,181.51,184.23,180.27,184.09,184.09,6553224,1.4200,1.0
2022-11-16,186.535,187.8152,183.675,184.99,183.573980378,7941075,0.0000,1.0
2022-11-15,187.12,188.435,185.27,188.05,186.610557382,7747319,0.0000,1.0
2022-11-14,186.31,189.68,186.18,186.55,185.122039243,9722363,0.0000,1.0
2022-11-11,184.05,187.1,183.89,186.46,185.032728155,8428326,0.0000,1.0
2022-11-10,182.23,182.33,178.04,181.3,179.912225756,6981533,0.0000,1.0
2022-11-09,183.61,183.81,177.22,177.93,176.56802167,8021724,0.0000,1.0
2022-11-08,185.32,186.25,183.861,185.34,183.921301278,6308242,0.0000,1.0
2022-11-07,182.5,186.38,182.11,185.61,184.189234543,7577990,0.0000,1.0
2022-11-04,184.84,185.4,180.6,183.42,182.015998059,7491859,0.0000,1.0
2022-11-03,177.97,182.19,177.41,181.13,179.743527034,6607761,0.0000,1.0
2022-11-02,180.93,182.9,178.27,178.5,177.133658563,8095097,0.0000,1.0
2022-11-01,183.87,184.5,181.9,182.22,180.825183548,9185616,0.0000,1.0
2022-10-31,178.06,183.84,178.06,180.9,179.515287586,13281031,0.0000,1.0
2022-10-28,181.47,182.86,176.53,179.98,178.602329794,10773913,0.0000,1.0
2022-10-27,179.89,181.4,177.48,177.9,176.538251307,9177445,0.0000,1.0
2022-10-26,175.32,178.48,175.17,177.09,175.734451512,6867398,0.0000,1.0
2022-10-25,173.06,175.0,172.1668,174.93,173.590985392,7280616,0.0000,1.0
2022-10-24,172.08,174.67,171.61,173.13,171.804763625,7007718,0.0000,1.0
2022-10-21,169.15,173.84,168.85,173.19,171.86430435,7971263,0.0000,1.0
2022-10-20,169.3,171.82,167.94,168.96,167.666683198,8871544,0.0000,1.0
2022-10-19,163.59,169.21,163.59,168.0,166.714031589,9766782,0.0000,1.0
2022-10-18,162.36,163.31,158.96,162.72,161.474447739,5631214,0.0000,1.0
2022-10-17,163.29,164.91,161.1,161.31,160.075240688,5890355,0.0000,1.0
2022-10-14,164.04,165.46,159.93,160.14,158.914196539,7330891,0.0000,1.0
2022-10-13,156.35,165.99,156.35,165.28,164.01485203,10227528,0.0000,1.0
2022-10-12,156.14,158.8058,155.52,157.64,156.433332974,4942040,0.0000,1.0
2022-10-11,154.75,159.93,154.11,157.17,155.966930624,7533526,0.0000,1.0
2022-10-10,161.0,161.47,156.44,157.14,155.937160261,5904458,0.0000,1.0
2022-10-07,162.51,163.93,159.06,160.03,158.805038542,9972528,0.0000,1.0
2022-10-06,157.34,161.94,157.2,161.42,160.184398685,9498285,0.0000,1.0
2022-10-05,155.84,159.73,154.8,158.53,157.316520403,10633060,0.0000,1.0
2022-10-04,154.43,157.875,153.63,157.63,156.42340952,9520192,0.0000,1.0
2022-10-03,148.97,152.34,148.3,151.73,150.568571506,9597434,0.0000,1.0
2022-09-30,144.03,145.135,142.4901,143.67,142.570267371,9402735,0.0000,1.0
2022-09-29,144.505,145.4114,142.27,144.77,143.66184734,8197558,0.0000,1.0
2022-09-28,142.08,146.44,141.4,145.78,144.66411622,8279791,0.0000,1.0
2022-09-27,142.29,143.77,140.46,141.02,139.940551992,10121025,0.0000,1.0
2022-09-26,143.57,145.05,140.89,140.96,139.881011266,9443962,0.0000,1.0
2022-09-23,149.75,150.18,143.66,144.77,143.66184734,13919660,0.0000,1.0
2022-09-22,157.6,158.28,154.74,154.89,153.704383052,6344457,0.0000,1.0
2022-09-21,158.31,158.78,154.95,155.01,153.823464503,6876977,0.0000,1.0
2022-09-20,156.04,156.85,154.3438,156.28,155.083743194,8955194,0.0000,1.0
2022-09-19,152.93,156.95,152.8,156.9,155.698997359,6813836,0.0000,1.0
2022-09-16,160.52,161.14,155.61,156.45,155.252441917,43741590,0.0000,1.0
2022-09-15,160.68,161.695,159.58,160.62,159.390522344,9664953,0.0000,1.0
2022-09-14,160.94,163.57,160.345,163.27,162.020237723,11160784,0.0000,1.0
2022-09-13,161.41,162.66,158.74,159.41,158.189784378,10308253,0.0000,1.0
2022-09-12,162.81,164.53,161.25,162.5,161.256131745,8920774,0.0000,1.0
2022-09-09,158.41,160.65,157.53,159.97,158.745497817,8262324,0.0000,1.0
2022-09-08,155.59,156.38,153.38,155.95,154.756269204,9232512,0.0000,1.0
2022-09-07,154.06,155.82,152.62,155.11,153.922699046,9442085,0.0000,1.0
2022-09-06,159.89,159.99,155.71,157.12,155.917313352,8458003,0.0000,1.0
2022-09-02,158.24,159.125,156.72,157.85,156.641725513,7526632,0.0000,1.0
2022-09-01,156.48,156.88,153.2275,155.54,154.349407579,8244374,0.0000,1.0
2022-08-31,157.61,161.41,156.15,158.06,156.850118053,13582719,0.0000,1.0
2022-08-30,162.32,162.56,158.76,160.62,159.390522344,8814325,0.0000,1.0
2022-08-29,163.89,166.83,163.64,164.63,163.369827503,8437407,0.0000,1.0
2022-08-26,164.18,166.13,162.46,163.41,162.159166083,7765789,0.0000,1.0
2022-08-25,163.92,164.9,162.61,164.62,163.359904048,8050712,0.0000,1.0
2022-08-24,161.66,163.35,160.67,163.19,161.940850089,9468086,0.0000,1.0
2022-08-23,159.1,162.34,158.71,161.99,160.750035578,10354806,0.0000,1.0
2022-08-22,156.69,157.74,154.42,156.9,155.698997359,9146956,0.0000,1.0
2022-08-19,158.46,159.74,157.62,157.69,156.482950245,6834151,0.0000,1.0
2022-08-18,157.15,159.66,157.09,159.02,157.802769662,6477525,1.4200,1.0
2022-08-17,156.63,159.3406,155.51,157.7,155.107808375,6741052,0.0000,1.0
2022-08-16,157.41,157.92,155.82,156.41,153.839012733,7218400,0.0000,1.0
2022-08-15,155.18,157.79,153.44,156.81,154.232437738,8975241,0.0000,1.0
2022-08-12,158.25,159.91,157.14,159.85,157.222467779,7244736,0.0000,1.0
2022-08-11,158.11,161.16,157.62,159.62,156.996248401,7888554,0.0000,1.0
2022-08-10,156.0,156.47,152.93,155.82,153.25871085,6145793,0.0000,1.0
2022-08-09,155.94,157.8,154.6,155.41,152.855450219,5842157,0.0000,1.0
2022-08-08,153.59,154.98,153.1524,153.41,150.888325192,5971746,0.0000,1.0
2022-08-05,149.64,155.01,149.02,153.64,151.11454457,7170150,0.0000,1.0
2022-08-04,155.32,155.44,150.725,151.14,148.655638287,10640043,0.0000,1.0
2022-08-03,159.31,159.96,154.35,155.36,152.806272094,8751360,0.0000,1.0
2022-08-02,160.89,161.47,158.3,159.14,156.524138394,5928321,0.0000,1.0
2022-08-01,161.18,161.86,159.15,160.51,157.871619038,8017771,0.0000,1.0
2022-07-29,156.545,164.66,155.9,163.78,161.087868457,17143672,0.0000,1.0
2022-07-28,150.69,151.47,148.03,150.39,147.917966402,6574257,0.0000,1.0
2022-07-27,148.34,150.2,146.66,149.26,146.806540761,6223030,0.0000,1.0
2022-07-26,149.5,150.68,146.5301,147.32,144.898429485,6112846,0.0000,1.0
2022-07-25,145.7,148.61,144.18,148.48,146.039362001,6210859,0.0000,1.0
2022-07-22,145.56,146.3,143.42,144.19,141.819878818,5889480,0.0000,1.0
2022-07-21,143.12,145.47,141.5,145.4,143.009989459,6724233,0.0000,1.0
2022-07-20,144.5,147.26,143.32,146.52,144.111579474,7856587,0.0000,1.0
2022-07-19,139.69,145.01,139.42,144.61,142.232975074,9152131,0.0000,1.0
2022-07-18,140.56,142.14,139.08,139.58,137.285655631,7943901,0.0000,1.0
2022-07-15,138.96,138.96,136.43,137.65,135.38737998,7051940,0.0000,1.0
2022-07-14,134.31,136.16,132.54,135.94,133.705488082,10150199,0.0000,1.0
2022-07-13,137.61,140.725,137.14,137.99,135.721791234,9414621,0.0000,1.0
2022-07-12,138.5,139.62,137.26,138.92,136.636504372,8653904,0.0000,1.0
2022-07-11,141.91,142.8455,139.93,141.51,139.183931282,7058086,0.0000,1.0
2022-07-08,144.88,145.45,141.09,142.77,140.423220049,7915513,0.0000,1.0
