timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,61.1,61.69,60.44,60.62,60.62,6469001,0.0000,1.0
2022-11-25,61.39,61.97,61.25,61.53,61.53,1702092,0.0000,1.0
2022-11-23,60.07,61.14,60.03,61.03,61.03,3608921,0.0000,1.0
2022-11-22,59.79,60.5,59.65,60.25,60.25,3578750,0.0000,1.0
2022-11-21,59.05,59.98,59.03,59.54,59.54,5112193,0.0000,1.0
2022-11-18,58.8,59.23,58.49,59.16,59.16,7368348,0.0000,1.0
2022-11-17,58.7,59.275,58.17,58.37,58.37,3662392,0.0000,1.0
2022-11-16,58.8,59.75,58.8,59.61,59.61,4159038,0.0000,1.0
2022-11-15,58.74,59.59,58.32,58.88,58.88,5575881,0.0000,1.0
2022-11-14,61.77,61.92,57.95,57.96,57.96,15944413,0.0000,1.0
2022-11-11,62.3,62.3,60.97,61.66,61.66,5615134,0.0000,1.0
2022-11-10,61.69,62.72,60.68,62.37,62.37,8582910,0.0000,1.0
2022-11-09,60.82,61.5,59.9,60.42,60.42,11129992,0.0000,1.0
2022-11-08,63.29,63.42,62.265,62.62,62.62,8069935,0.0000,1.0
2022-11-07,65.06,65.24,59.67,62.94,62.94,20566162,0.0000,1.0
2022-11-04,67.33,68.42,66.34,67.13,67.13,7620965,0.0000,1.0
2022-11-03,68.43,69.79,68.255,69.23,69.23,3770484,0.0000,1.0
2022-11-02,69.48,70.76,69.03,69.04,69.04,3134069,0.0000,1.0
2022-11-01,70.02,70.325,69.46,69.72,69.72,3780510,0.0000,1.0
2022-10-31,70.68,70.8,69.3,69.97,69.97,7312879,0.0000,1.0
2022-10-28,67.67,69.54,67.24,69.41,69.41,3065474,0.0000,1.0
2022-10-27,67.51,68.06,67.06,67.37,67.37,2762094,0.0000,1.0
2022-10-26,67.41,67.74,66.5,67.12,67.12,4203855,0.0000,1.0
2022-10-25,66.15,67.23,65.87,66.92,66.92,4108730,0.0000,1.0
2022-10-24,66.0,66.68,65.36,66.01,66.01,5847266,0.0000,1.0
2022-10-21,64.33,65.88,63.97,65.53,65.53,3606985,0.0000,1.0
2022-10-20,65.03,65.61,64.11,64.41,64.41,3300024,0.0000,1.0
2022-10-19,65.7,66.24,65.06,65.69,65.69,2415906,0.0000,1.0
2022-10-18,66.55,67.06,66.22,66.54,66.54,2904799,0.0000,1.0
2022-10-17,65.16,66.11,64.71,65.28,65.28,4321961,0.0000,1.0
2022-10-14,65.58,65.93,63.95,64.31,64.31,4577834,0.0000,1.0
2022-10-13,61.98,65.4075,61.7,65.04,65.04,6225698,0.0000,1.0
2022-10-12,64.71,64.83,62.52,62.66,62.66,6377973,0.0000,1.0
2022-10-11,64.15,65.6,63.89,64.83,64.83,4155947,0.0000,1.0
2022-10-10,64.4,65.37,64.16,64.5,64.5,3888260,0.0000,1.0
2022-10-07,65.84,66.17,64.04,64.39,64.39,4691735,0.0000,1.0
2022-10-06,68.56,68.56,65.82,65.96,65.96,7388433,0.0000,1.0
2022-10-05,70.62,70.64,68.43,69.01,69.01,4912551,0.0000,1.0
2022-10-04,71.12,72.01,70.71,71.5,71.5,6024416,0.0000,1.0
2022-10-03,70.62,71.92,69.859,71.09,71.09,6405310,0.0000,1.0
2022-09-30,71.46,71.59,69.01,69.11,69.11,5927569,0.0000,1.0
2022-09-29,74.57,74.66,70.94,71.06,71.06,5208308,0.0000,1.0
2022-09-28,74.85,75.26,73.9,74.86,74.86,2956569,0.0000,1.0
2022-09-27,76.21,76.23,73.97,74.03,74.03,3817711,0.0000,1.0
2022-09-26,77.27,77.52,75.17,75.84,75.84,3212635,0.0000,1.0
2022-09-23,77.7,77.84,76.75,77.75,77.75,3493545,0.0000,1.0
2022-09-22,78.63,78.705,78.01,78.44,78.44,2947699,0.0000,1.0
2022-09-21,80.4,81.31,78.9,78.93,78.93,3615628,0.0000,1.0
2022-09-20,80.66,80.7304,79.44,80.03,80.03,2819449,0.0000,1.0
2022-09-19,80.55,81.28,80.08,81.18,81.18,2518533,0.0000,1.0
2022-09-16,80.86,81.61,80.64,80.82,80.82,14132065,0.0000,1.0
2022-09-15,82.49,82.49,80.78,80.92,80.92,4921028,0.0000,1.0
2022-09-14,82.25,83.2473,82.13,82.44,82.44,5389318,0.0000,1.0
2022-09-13,83.48,83.98,81.93,82.24,82.24,3051787,0.0000,1.0
2022-09-12,83.48,84.45,83.36,84.2,84.2,3700514,0.0000,1.0
2022-09-09,83.0,83.88,82.55,83.16,83.16,2595971,0.0000,1.0
2022-09-08,83.28,83.7,82.62,82.77,82.77,2871465,0.0000,1.0
2022-09-07,82.0,83.56,81.9,83.39,83.39,3443911,0.0000,1.0
2022-09-06,82.23,82.66,81.29,81.5,81.5,4403087,0.0000,1.0
2022-09-02,82.44,83.22,81.61,81.83,81.83,2682817,0.0000,1.0
2022-09-01,81.11,82.52,80.99,82.36,82.36,2038446,0.6675,1.0
2022-08-31,82.36,83.02,81.77,81.8,81.1423684924,3381829,0.0000,1.0
2022-08-30,83.37,83.56,82.09,82.34,81.6780271597,2783690,0.0000,1.0
2022-08-29,82.74,84.16,82.24,83.61,82.9378169883,1865393,0.0000,1.0
2022-08-26,84.38,84.55,83.075,83.08,82.412077926,2788166,0.0000,1.0
2022-08-25,84.41,84.45,83.69,84.3,83.6222697299,2571442,0.0000,1.0
2022-08-24,84.03,84.53,83.68,84.31,83.6321893349,2858957,0.0000,1.0
2022-08-23,84.66,84.66,83.42,83.93,83.2552443468,2002207,0.0000,1.0
2022-08-22,85.35,85.63,84.22,84.57,83.8900990636,2088662,0.0000,1.0
2022-08-19,85.88,86.28,85.28,85.62,84.9316575833,1905063,0.0000,1.0
2022-08-18,85.77,86.07,85.22,85.65,84.9614163982,1678408,0.0000,1.0
2022-08-17,85.3,86.11,85.0,85.62,84.9316575833,2124247,0.0000,1.0
2022-08-16,84.72,85.79,84.47,85.45,84.7630242992,3642359,0.0000,1.0
2022-08-15,83.0,84.83,82.67,84.65,83.9694559032,4460057,0.0000,1.0
2022-08-12,82.18,82.86,82.14,82.83,82.1640878022,1845286,0.0000,1.0
2022-08-11,82.0,82.59,81.44,81.76,81.1026900726,2695847,0.0000,1.0
2022-08-10,82.75,82.78,81.27,82.14,81.4796350607,2758962,0.0000,1.0
2022-08-09,81.75,82.86,81.695,82.38,81.7177055795,2407224,0.0000,1.0
2022-08-08,82.99,83.47,81.26,81.39,80.7356646894,3383552,0.0000,1.0
