timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,107.48,108.21,106.65,106.85,106.85,2215784,0.0000,1.0
2022-11-25,108.33,109.09,108.05,108.73,108.73,682605,0.0000,1.0
2022-11-23,107.94,109.16,107.335,108.66,108.66,887009,0.0000,1.0
2022-11-22,107.98,109.21,107.61,108.21,108.21,2194199,0.6000,1.0
2022-11-21,106.73,108.57,106.27,108.14,107.543694513,1308861,0.0000,1.0
2022-11-18,109.0,110.01,106.84,107.26,106.668547009,1670440,0.0000,1.0
2022-11-17,104.96,107.63,104.4153,107.04,106.449760132,1752544,0.0000,1.0
2022-11-16,104.9,109.83,104.9,106.12,105.534833195,3426564,0.0000,1.0
2022-11-15,106.9,108.185,103.27,103.63,103.058563551,1816400,0.0000,1.0
2022-11-14,107.5,108.725,105.76,105.93,105.345880893,1538444,0.0000,1.0
2022-11-11,109.48,111.59,108.7,108.78,108.180165426,2637135,0.0000,1.0
2022-11-10,105.07,108.99,105.07,108.32,107.722701958,2538575,0.0000,1.0
2022-11-09,101.43,101.64,100.015,100.04,99.4883595258,1007677,0.0000,1.0
2022-11-08,101.04,102.92,100.815,102.48,101.91490488,1185617,0.0000,1.0
2022-11-07,100.93,101.145,99.15,101.01,100.453010753,1024256,0.0000,1.0
2022-11-04,99.66,101.92,98.82,99.85,99.2994072236,1468567,0.0000,1.0
2022-11-03,99.28,99.28,97.22,97.98,97.4397187758,1166433,0.0000,1.0
2022-11-02,103.39,104.4,100.96,101.03,100.472900469,1915291,0.0000,1.0
2022-11-01,105.67,106.3,103.78,103.89,103.317129859,1871979,0.0000,1.0
2022-10-31,104.96,105.76,104.42,104.46,103.883986766,1269018,0.0000,1.0
2022-10-28,103.14,106.076,102.66,105.64,105.057480011,1620498,0.0000,1.0
2022-10-27,103.61,104.71,102.62,102.81,102.243085194,1620520,0.0000,1.0
2022-10-26,101.67,104.29,101.18,102.22,101.656338572,1806325,0.0000,1.0
2022-10-25,95.54,100.2,95.15,99.97,99.4187455197,2660762,0.0000,1.0
2022-10-24,96.18,96.7,94.53,95.86,95.3314088779,2351302,0.0000,1.0
2022-10-21,92.78,94.72,91.06,94.68,94.1579156328,2397492,0.0000,1.0
2022-10-20,93.14,95.335,92.275,92.76,92.248502895,1157351,0.0000,1.0
2022-10-19,94.72,95.975,92.78,93.43,92.9148083816,1358579,0.0000,1.0
2022-10-18,95.61,96.35,93.57,96.29,95.7590377723,2684131,0.0000,1.0
2022-10-17,93.82,94.13,92.2,92.78,92.268392611,1767939,0.0000,1.0
2022-10-14,94.85,95.95,91.1,91.2,90.6971050455,1583338,0.0000,1.0
2022-10-13,89.5,94.44,87.644,94.09,93.5711690102,2223685,0.0000,1.0
2022-10-12,90.95,92.59,90.11,91.56,91.0551199338,1247017,0.0000,1.0
2022-10-11,91.33,92.78,90.0,90.89,90.3888144472,4948142,0.0000,1.0
2022-10-10,94.19,94.5,91.81,91.88,91.3733553901,2548331,0.0000,1.0
2022-10-07,94.0,94.56,92.811,93.4,92.8849738076,1282928,0.0000,1.0
2022-10-06,95.65,96.8,95.19,95.32,94.7943865454,798300,0.0000,1.0
2022-10-05,95.67,97.09,95.05,96.68,96.1468872346,1122324,0.0000,1.0
