timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,45.0,45.39,44.2525,44.33,44.33,5878383,0.0000,1.0
2022-11-25,44.67,45.21,44.56,45.04,45.04,2329792,0.0000,1.0
2022-11-23,45.35,45.78,45.11,45.23,45.23,4981667,0.0000,1.0
2022-11-22,44.88,45.16,44.405,45.13,45.13,3817045,0.0000,1.0
2022-11-21,45.36,45.6,44.54,44.73,44.73,4096080,0.0000,1.0
2022-11-18,46.12,46.15,45.245,45.68,45.68,3792217,0.0000,1.0
2022-11-17,44.66,45.65,44.57,45.47,45.47,3622399,0.0000,1.0
2022-11-16,46.28,46.46,45.31,45.49,45.49,5263536,0.0000,1.0
2022-11-15,47.07,47.13,46.03,47.02,47.02,5466785,0.0000,1.0
2022-11-14,46.34,46.885,45.85,45.91,45.91,6188147,0.0000,1.0
2022-11-11,45.0,46.99,44.74,46.51,46.51,7298886,0.0000,1.0
2022-11-10,42.49,44.795,42.26,44.66,44.66,9206002,0.0000,1.0
2022-11-09,41.345,41.455,40.49,40.57,40.57,5208101,0.0000,1.0
2022-11-08,40.58,42.235,40.22,41.6,41.6,7889235,0.0000,1.0
2022-11-07,40.37,40.66,39.365,40.58,40.58,5258348,0.0000,1.0
2022-11-04,39.47,40.78,39.03,40.07,40.07,7329916,0.0000,1.0
2022-11-03,39.91,40.93,38.41,38.82,38.82,14052689,0.0000,1.0
2022-11-02,39.922,40.0,38.01,38.06,38.06,8540514,0.0000,1.0
2022-11-01,40.52,40.84,39.295,39.81,39.81,4960340,0.0000,1.0
2022-10-31,40.35,40.61,39.4207,39.84,39.84,6860695,0.0000,1.0
2022-10-28,38.8,40.41,38.48,40.32,40.32,7750528,0.0000,1.0
2022-10-27,39.7,40.625,39.62,39.85,39.85,6130417,0.0000,1.0
2022-10-26,38.99,40.56,38.92,39.57,39.57,5856221,0.0000,1.0
2022-10-25,38.61,39.12,38.14,38.97,38.97,6544224,0.0000,1.0
2022-10-24,38.41,38.815,37.6,38.68,38.68,5899060,0.0000,1.0
2022-10-21,37.41,38.45,37.08,38.41,38.41,4449415,0.0000,1.0
2022-10-20,37.7,38.66,37.48,37.62,37.62,5105248,0.0000,1.0
2022-10-19,38.28,38.64,37.275,37.81,37.81,5097833,0.0000,1.0
2022-10-18,38.99,39.32,38.16,38.5,38.5,5326501,0.0000,1.0
2022-10-17,38.01,38.45,37.79,37.85,37.85,5976091,0.0000,1.0
2022-10-14,38.3,38.46,37.01,37.08,37.08,5716910,0.0000,1.0
2022-10-13,36.21,38.34,35.92,37.96,37.96,7866691,0.0000,1.0
2022-10-12,36.99,37.245,36.61,37.13,37.13,6324305,0.0000,1.0
2022-10-11,37.212,37.8,36.62,36.95,36.95,6222447,0.0000,1.0
2022-10-10,37.91,38.09,37.29,37.56,37.56,5192146,0.0000,1.0
2022-10-07,38.51,38.58,37.42,37.55,37.55,6731561,0.0000,1.0
2022-10-06,38.95,39.63,38.835,38.89,38.89,6471815,0.0000,1.0
2022-10-05,38.25,39.49,38.18,39.12,39.12,7290530,0.0000,1.0
2022-10-04,38.11,39.179,38.09,38.67,38.67,8189850,0.0000,1.0
2022-10-03,36.94,37.62,36.18,37.22,37.22,8930322,0.0000,1.0
2022-09-30,37.41,37.96,36.755,36.81,36.81,5953263,0.0000,1.0
2022-09-29,37.96,38.06,37.28,37.69,37.69,4211758,0.0000,1.0
2022-09-28,37.6,38.815,37.55,38.61,38.61,4452792,0.0000,1.0
2022-09-27,38.52,38.59,37.265,37.57,37.57,5297995,0.0000,1.0
2022-09-26,38.16,39.105,38.1,38.13,38.13,5571660,0.0000,1.0
2022-09-23,38.03,38.22,37.5001,38.19,38.19,5161244,0.0000,1.0
2022-09-22,38.855,38.93,38.005,38.3,38.3,5486617,0.0000,1.0
2022-09-21,40.04,40.31,38.8,38.93,38.93,6350487,0.0000,1.0
2022-09-20,41.04,41.04,39.71,39.9,39.9,7587895,0.0000,1.0
