timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,97.01,97.5,95.92,96.54,96.54,1596888,0.0000,1.0
2022-11-25,97.03,97.6432,96.67,97.5,97.5,830009,0.0000,1.0
2022-11-23,95.06,96.84,94.75,96.67,96.67,1957878,0.0000,1.0
2022-11-22,94.52,95.81,94.34,95.22,95.22,2231613,0.0000,1.0
2022-11-21,93.73,94.8,93.53,94.15,94.15,1171989,0.0000,1.0
2022-11-18,91.66,93.57,91.66,93.53,93.53,1959767,0.0000,1.0
2022-11-17,90.59,91.24,90.14,90.81,90.81,1752089,0.0000,1.0
2022-11-16,90.0,92.53,90.0,91.34,91.34,3049295,0.0000,1.0
2022-11-15,88.99,89.93,88.83,89.7,89.7,2197243,0.7900,1.0
2022-11-14,89.42,91.03,89.33,89.33,88.5501270859,1845517,0.0000,1.0
2022-11-11,90.82,91.01,88.15,89.12,88.3419604376,2556788,0.0000,1.0
2022-11-10,89.79,91.17,88.47,90.95,90.1559840866,1711882,0.0000,1.0
2022-11-09,88.27,89.1,87.43,87.67,86.9046192949,1624017,0.0000,1.0
2022-11-08,88.15,89.13,87.76,88.29,87.5192065422,1277066,0.0000,1.0
2022-11-07,89.95,90.03,86.99,87.65,86.8847938999,1600268,0.0000,1.0
2022-11-04,88.53,90.13,87.705,90.04,89.2539286109,1969655,0.0000,1.0
2022-11-03,87.82,89.34,86.95,88.73,87.9553652337,1583275,0.0000,1.0
2022-11-02,87.86,90.0,87.81,88.21,87.4399049619,1689289,0.0000,1.0
2022-11-01,88.02,88.33,86.96,88.02,87.2515637087,1261693,0.0000,1.0
2022-10-31,88.45,88.905,87.63,87.96,87.1920875235,2381395,0.0000,1.0
2022-10-28,86.76,88.49,86.76,88.45,87.6778097027,1605174,0.0000,1.0
2022-10-27,86.35,87.6,86.05,86.42,85.665532103,1586752,0.0000,1.0
2022-10-26,86.38,86.88,85.49,85.74,84.9914686706,1941216,0.0000,1.0
2022-10-25,84.72,86.11,84.52,85.85,85.1005083435,1535397,0.0000,1.0
2022-10-24,85.47,86.12,84.335,84.69,83.9506354293,1595862,0.0000,1.0
2022-10-21,83.77,85.41,82.71,84.87,84.129063985,2417690,0.0000,1.0
2022-10-20,84.35,84.46,83.02,83.42,82.6917228423,2384584,0.0000,1.0
2022-10-19,83.97,84.79,83.3,84.54,83.8019449663,1455921,0.0000,1.0
2022-10-18,84.07,85.075,83.82,85.0,84.2579290529,1647613,0.0000,1.0
2022-10-17,83.03,84.49,82.82,83.02,82.2952149409,1667961,0.0000,1.0
