timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,198.24,198.855,190.6,190.79,190.79,746644,0.0000,1.0
2022-11-25,197.73,200.99,197.1,200.43,200.43,460165,0.0000,1.0
2022-11-23,194.47,198.63,194.47,197.93,197.93,566939,0.0000,1.0
2022-11-22,196.65,197.22,193.88,193.95,193.95,735294,0.3900,1.0
2022-11-21,198.34,199.91,193.03,196.59,196.195484718,1444609,0.0000,1.0
2022-11-18,202.87,203.0,198.61,200.18,199.778280333,1482902,0.0000,1.0
2022-11-17,199.84,200.65,194.32,199.01,198.61062828,2143843,0.0000,1.0
2022-11-16,205.96,208.87,201.01,203.16,202.752300093,1750154,0.0000,1.0
2022-11-15,202.68,208.1172,200.46,207.1,206.684393331,2069182,0.0000,1.0
2022-11-14,192.84,202.72,192.08,197.91,197.512835752,1552904,0.0000,1.0
2022-11-11,186.81,195.455,186.19,193.99,193.600702377,1767156,0.0000,1.0
2022-11-10,173.28,187.96,173.28,187.81,187.433104353,1697604,0.0000,1.0
2022-11-09,166.87,167.89,164.275,165.12,164.788638469,805179,0.0000,1.0
2022-11-08,167.47,169.69,165.01,167.85,167.513159926,660004,0.0000,1.0
2022-11-07,164.48,166.64,162.84,165.75,165.41737419,872926,0.0000,1.0
2022-11-04,162.3,163.18,159.56,163.09,162.762712257,1131107,0.0000,1.0
2022-11-03,159.66,160.88,157.41,159.75,159.429414943,1146076,0.0000,1.0
2022-11-02,168.16,168.16,161.47,161.86,161.535180611,1123811,0.0000,1.0
2022-11-01,171.81,172.05,168.14,168.99,168.650872183,1056346,0.0000,1.0
2022-10-31,169.23,170.22,167.89,169.54,169.199768447,1526184,0.0000,1.0
2022-10-28,166.31,171.52,166.04,170.89,170.547059278,867316,0.0000,1.0
2022-10-27,165.08,168.91,164.26,166.55,166.215768756,1361757,0.0000,1.0
2022-10-26,163.03,168.0,161.4963,164.99,164.658899352,1471324,0.0000,1.0
2022-10-25,157.35,161.72,156.22,161.48,161.155943192,1570781,0.0000,1.0
2022-10-24,153.76,158.27,152.98,157.0,156.684933621,1953846,0.0000,1.0
2022-10-21,147.27,152.71,145.98,152.02,151.714927447,2610499,0.0000,1.0
2022-10-20,160.69,160.69,149.135,150.24,149.938499537,2710696,0.0000,1.0
