timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,85.88,86.02,83.98,84.47,84.47,848089,0.0000,1.0
2022-11-25,86.67,87.15,86.255,86.98,86.98,259948,0.0000,1.0
2022-11-23,86.62,87.43,85.85,86.88,86.88,530183,0.0000,1.0
2022-11-22,85.54,86.96,85.14,86.88,86.88,569503,0.0000,1.0
2022-11-21,83.36,85.13,82.41,84.65,84.65,717881,0.0000,1.0
2022-11-18,84.47,84.65,83.0,84.25,84.25,756570,0.0000,1.0
2022-11-17,83.07,83.44,82.13,83.24,83.24,1115558,0.0000,1.0
2022-11-16,86.17,86.5,84.5,84.72,84.72,755009,0.0000,1.0
2022-11-15,89.03,89.6554,86.75,86.87,86.87,952625,0.0000,1.0
2022-11-14,88.38,89.58,87.53,87.56,87.56,1075064,0.0000,1.0
2022-11-11,85.91,90.0,85.64,89.49,89.49,1464143,0.0000,1.0
2022-11-10,82.97,85.16,82.09,85.13,85.13,1171546,0.0000,1.0
2022-11-09,81.31,81.735,79.14,79.2,79.2,851516,0.0000,1.0
2022-11-08,81.5,83.06,81.19,82.23,82.23,1327049,0.0000,1.0
2022-11-07,80.94,81.0,79.0711,80.59,80.59,986817,0.0000,1.0
2022-11-04,78.04,80.76,77.98,80.25,80.25,1358967,0.0000,1.0
2022-11-03,74.75,76.99,74.481,76.19,76.19,1017358,0.0000,1.0
2022-11-02,78.54,79.66,75.96,75.98,75.98,1529718,0.0000,1.0
2022-11-01,77.96,79.48,77.29,78.88,78.88,1746454,0.0000,1.0
2022-10-31,75.78,78.38,75.78,76.81,76.81,1719514,0.0000,1.0
2022-10-28,75.86,77.11,74.0,76.19,76.19,1881853,0.0000,1.0
2022-10-27,75.88,76.92,75.2,75.56,75.56,976424,0.0000,1.0
2022-10-26,75.6,76.825,75.085,75.76,75.76,797829,0.0000,1.0
2022-10-25,73.52,75.67,72.58,75.45,75.45,1051136,0.0000,1.0
2022-10-24,74.96,75.04,73.49,73.98,73.98,707994,0.0000,1.0
2022-10-21,72.49,74.52,72.3671,74.31,74.31,1140179,0.0000,1.0
2022-10-20,73.38,75.46,72.28,72.36,72.36,712030,0.0000,1.0
2022-10-19,74.57,75.07,72.89,73.14,73.14,671058,0.0000,1.0
2022-10-18,76.07,76.72,74.49,75.33,75.33,688907,0.0000,1.0
2022-10-17,74.15,75.095,73.3001,73.94,73.94,717418,0.0000,1.0
2022-10-14,74.51,75.19,72.08,72.25,72.25,935475,0.0000,1.0
2022-10-13,70.54,75.01,70.09,73.94,73.94,969839,0.0000,1.0
2022-10-12,72.25,72.53,71.38,71.62,71.62,621725,0.0000,1.0
2022-10-11,71.01,73.24,70.69,72.17,72.17,1558075,0.0000,1.0
2022-10-10,72.89,73.04,71.26,71.78,71.78,891006,0.0000,1.0
2022-10-07,73.94,74.35,71.82,72.39,72.39,960676,0.0000,1.0
2022-10-06,75.59,76.77,74.4,74.83,74.83,897119,0.0000,1.0
2022-10-05,75.9,77.16,75.14,76.58,76.58,1046112,0.0000,1.0
2022-10-04,75.56,77.52,75.44,77.38,77.38,1115877,0.0000,1.0
2022-10-03,72.4,75.115,72.02,74.47,74.47,1871035,0.0000,1.0
2022-09-30,70.88,72.55,70.49,71.05,71.05,1175903,0.0000,1.0
2022-09-29,71.65,71.89,69.91,70.81,70.81,1482648,0.0000,1.0
2022-09-28,71.36,73.09,71.225,72.64,72.64,1874551,0.0000,1.0
2022-09-27,72.37,72.59,70.63,70.86,70.86,1381410,0.0000,1.0
