timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,138.21,139.94,136.56,136.65,136.65,3581459,0.0000,1.0
2022-11-25,142.92,144.91,142.44,142.64,142.64,1430753,0.0000,1.0
2022-11-23,141.61,143.5,140.502,142.65,142.65,2342067,0.0000,1.0
2022-11-22,142.0,144.605,140.58,144.32,144.32,3386349,0.0000,1.0
2022-11-21,137.56,141.27,134.41,139.86,139.86,4734705,0.0000,1.0
2022-11-18,140.86,141.235,138.41,141.02,141.02,3567316,0.0000,1.0
2022-11-17,141.56,144.63,140.05,144.49,144.49,2747603,0.0000,1.0
2022-11-16,145.66,146.85,142.93,143.45,143.45,2505328,0.0000,1.0
2022-11-15,146.85,147.51,145.0901,147.3,147.3,2785969,0.0000,1.0
2022-11-14,146.73,150.05,146.05,146.18,146.18,2982885,0.0000,1.0
2022-11-11,145.31,148.14,144.49,147.11,147.11,3072101,0.0000,1.0
2022-11-10,143.36,143.36,139.06,142.31,142.31,2988113,0.0000,1.0
2022-11-09,145.76,146.42,139.41,139.62,139.62,5018597,0.0000,1.0
2022-11-08,145.0,149.22,144.515,148.26,148.26,3982466,0.0000,1.0
2022-11-07,142.78,146.29,141.33,145.94,145.94,4494763,0.0000,1.0
2022-11-04,143.22,150.88,139.98,142.23,142.23,8057535,0.0000,1.0
2022-11-03,134.62,138.9846,134.02,138.38,138.38,5368048,0.0000,1.0
2022-11-02,135.41,138.71,134.36,135.59,135.59,5642028,0.0000,1.0
2022-11-01,138.59,138.91,135.25,136.31,136.31,3887467,0.0000,1.0
2022-10-31,132.5,138.92,132.36,136.52,136.52,4138038,0.0000,1.0
2022-10-28,136.33,136.73,131.32,133.69,133.69,3016580,0.0000,1.0
2022-10-27,136.0,137.0,134.07,134.37,134.37,3300643,0.0000,1.0
2022-10-26,133.16,135.56,132.15,134.3,134.3,3849023,0.0000,1.0
2022-10-25,133.86,134.27,131.835,132.0,132.0,4173195,0.0000,1.0
2022-10-24,134.82,136.45,134.41,134.66,134.66,4000912,0.0000,1.0
2022-10-21,132.5,135.87,131.62,135.0,135.0,4237337,0.0000,1.0
2022-10-20,131.06,134.31,130.74,131.59,131.59,3902354,0.0000,1.0
2022-10-19,125.0,130.93,124.305,130.07,130.07,4718825,0.0000,1.0
2022-10-18,124.02,125.415,121.38,123.99,123.99,4018016,0.0000,1.0
2022-10-17,122.66,123.93,120.65,120.9,120.9,3558078,0.0000,1.0
2022-10-14,124.93,127.2917,120.5,120.57,120.57,3231815,0.7500,1.0
2022-10-13,121.52,128.32,121.52,127.34,126.552784372,2803842,0.0000,1.0
