timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,113.04,113.52,111.97,113.25,113.25,1713800,0.0000,1.0
2022-11-25,113.66,114.27,112.96,113.75,113.75,723561,0.0000,1.0
2022-11-23,112.52,113.01,111.78,112.96,112.96,1765038,0.0000,1.0
2022-11-22,113.03,114.305,111.62,112.69,112.69,1484640,0.0000,1.0
2022-11-21,111.73,113.32,111.73,113.05,113.05,800718,0.0000,1.0
2022-11-18,110.03,112.11,109.48,111.92,111.92,765307,0.0000,1.0
2022-11-17,108.93,109.44,107.9,108.84,108.84,1000266,0.0000,1.0
2022-11-16,109.78,111.03,109.78,110.13,110.13,1267570,0.0000,1.0
2022-11-15,109.73,110.54,108.14,109.53,109.53,833705,0.0000,1.0
2022-11-14,110.84,111.02,108.53,108.56,108.56,977173,0.0000,1.0
2022-11-11,111.15,111.33,109.11,110.63,110.63,1512935,0.0000,1.0
2022-11-10,108.55,111.27,107.13,111.04,111.04,1030744,1.0700,1.0
2022-11-09,107.72,108.7,107.04,107.12,106.097625546,909784,0.0000,1.0
2022-11-08,109.11,109.86,107.38,108.05,107.018749443,1299731,0.0000,1.0
2022-11-07,110.59,110.78,107.925,108.48,107.444645438,1616273,0.0000,1.0
2022-11-04,110.03,110.85,108.91,110.72,109.663266435,1295095,0.0000,1.0
2022-11-03,108.19,110.365,107.715,109.35,108.306341986,1149030,0.0000,1.0
2022-11-02,108.16,111.158,105.58,108.76,107.721973062,1926109,0.0000,1.0
2022-11-01,107.55,108.36,106.52,108.32,107.286172509,1153978,0.0000,1.0
2022-10-31,107.76,108.03,106.48,107.14,106.117434662,1292295,0.0000,1.0
2022-10-28,105.32,107.995,105.32,107.73,106.701803586,1145692,0.0000,1.0
2022-10-27,105.66,106.89,104.95,105.03,104.027572919,973544,0.0000,1.0
2022-10-26,105.36,105.94,104.4,104.72,103.720531621,890746,0.0000,1.0
2022-10-25,102.43,105.11,102.035,104.75,103.750245295,918842,0.0000,1.0
2022-10-24,103.28,103.995,101.605,102.34,101.363246811,1060482,0.0000,1.0
2022-10-21,100.3,102.93,99.3694,102.29,101.313724021,903615,0.0000,1.0
2022-10-20,101.8,101.98,99.11,99.97,99.0158665596,1109949,0.0000,1.0
2022-10-19,102.08,102.88,101.12,101.74,100.76897333,832621,0.0000,1.0
2022-10-18,103.22,104.22,102.55,103.44,102.452748194,1029039,0.0000,1.0
2022-10-17,101.69,102.34,100.97,101.32,100.352981893,1037435,0.0000,1.0
2022-10-14,101.32,101.96,98.86,100.01,99.0554847917,1157759,0.0000,1.0
2022-10-13,95.41,100.77,94.94,100.56,99.600235483,1278044,0.0000,1.0
2022-10-12,100.35,100.715,96.52,96.58,95.6582213897,1237001,0.0000,1.0
2022-10-11,101.85,102.46,100.71,101.15,100.184604406,1598281,0.0000,1.0
2022-10-10,101.67,103.28,101.49,102.23,101.254296673,1139297,0.0000,1.0
2022-10-07,102.64,103.105,100.18,101.23,100.263840871,1511068,0.0000,1.0
2022-10-06,104.47,104.47,102.22,102.71,101.729715458,1896677,0.0000,1.0
2022-10-05,104.64,105.6,102.6,104.91,103.908718223,1343606,0.0000,1.0
2022-10-04,104.36,106.65,104.0,106.15,105.136883418,1341875,0.0000,1.0
2022-10-03,102.54,104.645,101.35,103.96,102.967785211,1829751,0.0000,1.0
2022-09-30,103.65,103.785,100.48,100.63,99.6695673892,1690840,0.0000,1.0
2022-09-29,107.47,107.47,102.56,102.63,101.650478994,1006422,0.0000,1.0
2022-09-28,107.12,108.5,105.69,107.83,106.800849166,1088321,0.0000,1.0
2022-09-27,109.25,109.375,105.52,105.8,104.790223887,1276672,0.0000,1.0
2022-09-26,111.48,111.57,107.41,108.81,107.771495852,1033290,0.0000,1.0
2022-09-23,112.6,112.9982,110.05,111.59,110.524962983,894690,0.0000,1.0
2022-09-22,113.25,114.67,112.53,113.92,112.832725002,1415594,0.0000,1.0
2022-09-21,115.29,116.0263,113.17,113.19,112.109692267,1353114,0.0000,1.0
2022-09-20,115.0,115.37,112.93,114.3,113.209098207,1231000,0.0000,1.0
2022-09-19,115.17,115.92,114.0,115.88,114.774018375,1264157,0.0000,1.0
2022-09-16,115.14,116.4,115.0,115.42,114.318408706,1706420,0.0000,1.0
2022-09-15,117.97,118.1117,115.26,115.3,114.199554009,841190,0.0000,1.0
2022-09-14,117.92,119.83,117.88,118.71,117.577008295,862230,0.0000,1.0
2022-09-13,120.88,121.28,117.28,117.71,116.586552493,805227,0.0000,1.0
2022-09-12,120.12,122.11,119.53,122.04,120.875226117,1321975,0.0000,1.0
2022-09-09,118.99,120.3,118.33,119.94,118.795268932,773955,0.0000,1.0
2022-09-08,118.53,119.38,118.05,118.48,117.349203461,763559,0.0000,1.0
2022-09-07,116.03,119.28,115.8801,119.17,118.032617964,805606,0.0000,1.0
2022-09-06,115.71,117.44,115.2,115.63,114.526404424,1237896,0.0000,1.0
2022-09-02,116.98,118.49,115.99,116.22,115.110773348,1200080,0.0000,1.0
2022-09-01,115.38,117.29,114.93,117.02,115.903137989,1162650,0.0000,1.0
2022-08-31,116.78,117.6,115.22,115.3,114.199554009,1278105,0.0000,1.0
2022-08-30,119.8,119.8,116.57,116.85,115.734760503,1288291,0.0000,1.0
2022-08-29,118.6,120.55,117.79,119.43,118.290136473,575039,0.0000,1.0
2022-08-26,119.64,120.44,118.6,118.97,117.834526804,1609076,0.0000,1.0
2022-08-25,119.46,119.48,118.37,119.38,118.240613683,1203171,0.0000,1.0
2022-08-24,119.54,119.69,118.11,119.27,118.131663545,934900,0.0000,1.0
2022-08-23,120.76,120.76,119.09,119.5,118.359468379,688642,0.0000,1.0
2022-08-22,121.07,121.94,120.32,120.67,119.518301668,1015995,0.0000,1.0
2022-08-19,120.54,121.89,120.54,121.65,120.488948354,767093,0.0000,1.0
2022-08-18,121.53,121.85,119.84,120.48,119.330115066,1011206,0.0000,1.0
2022-08-17,121.7,121.89,120.88,121.27,120.112575149,849996,0.0000,1.0
2022-08-16,121.48,122.46,121.34,122.22,121.053508162,582178,0.0000,1.0
2022-08-15,121.0,121.91,120.1301,121.81,120.647421283,697164,0.0000,1.0
2022-08-12,119.55,121.07,119.19,121.01,119.855056641,824070,0.0000,1.0
2022-08-11,118.06,119.8421,117.28,118.78,117.646340202,827069,0.0000,1.0
2022-08-10,119.39,119.39,117.1,118.22,117.091684952,1021102,1.0100,1.0
2022-08-09,118.88,120.235,118.38,119.72,117.572897111,914651,0.0000,1.0
2022-08-08,118.57,119.44,117.8,118.22,116.099798667,787916,0.0000,1.0
2022-08-05,118.67,118.7744,116.755,117.74,115.628407165,846327,0.0000,1.0
2022-08-04,117.49,119.65,116.93,118.93,116.797065264,1494998,0.0000,1.0
2022-08-03,115.0,117.54,113.68,117.38,115.274863539,1406468,0.0000,1.0
2022-08-02,115.69,116.845,115.02,115.11,113.045574561,1470750,0.0000,1.0
2022-08-01,114.81,115.56,114.13,115.41,113.340194249,1054334,0.0000,1.0
2022-07-29,113.78,115.32,113.62,115.13,113.065215873,1377675,0.0000,1.0
2022-07-28,112.32,114.3,111.4713,114.0,111.955481712,728714,0.0000,1.0
2022-07-27,111.12,111.65,110.11,111.06,109.068208763,803586,0.0000,1.0
2022-07-26,110.56,111.9,110.51,111.28,109.284263201,766438,0.0000,1.0
2022-07-25,109.18,110.94,108.88,110.79,108.803051043,691307,0.0000,1.0
2022-07-22,108.61,109.5,108.4,109.37,107.40851785,608979,0.0000,1.0
2022-07-21,108.0,108.36,107.15,107.96,106.023805313,766737,0.0000,1.0
2022-07-20,110.39,110.67,108.24,108.27,106.328245658,803270,0.0000,1.0
2022-07-19,109.93,110.88,109.17,110.22,108.243273634,840262,0.0000,1.0
2022-07-18,110.0,110.55,109.17,109.27,107.310311287,968448,0.0000,1.0
2022-07-15,110.59,110.63,108.49,110.12,108.145067072,767077,0.0000,1.0
2022-07-14,107.53,109.955,107.53,109.75,107.781702789,818290,0.0000,1.0
2022-07-13,109.9,111.08,109.19,109.52,107.555827694,837164,0.0000,1.0
2022-07-12,110.37,112.585,110.275,110.98,108.989643513,788978,0.0000,1.0
2022-07-11,109.83,111.41,109.42,110.78,108.793230387,609284,0.0000,1.0
2022-07-08,110.54,110.94,109.785,110.09,108.115605103,779310,0.0000,1.0
2022-07-07,111.6,112.42,110.51,110.6,108.616458574,655378,0.0000,1.0
2022-07-06,110.22,112.47,109.42,111.37,109.372649108,937485,0.0000,1.0
2022-07-05,114.72,114.99,108.32,109.76,107.791523445,1918219,0.0000,1.0
2022-07-01,112.9,115.55,112.11,115.3,113.23216703,1308702,0.0000,1.0
2022-06-30,111.0,113.36,110.56,112.64,110.619872457,1701484,0.0000,1.0
2022-06-29,112.13,112.99,111.18,111.69,109.686910109,1275722,0.0000,1.0
2022-06-28,112.55,113.33,111.561,111.85,109.84404061,1569919,0.0000,1.0
2022-06-27,110.41,112.06,110.2,111.96,109.952067829,929480,0.0000,1.0
2022-06-24,106.36,111.11,106.3,110.55,108.567355292,1734121,0.0000,1.0
2022-06-23,104.7,106.49,104.535,105.91,104.010570773,969509,0.0000,1.0
2022-06-22,104.26,105.58,104.2,104.63,102.753526768,996127,0.0000,1.0
2022-06-21,102.55,105.235,102.505,104.7,102.822271362,1408837,0.0000,1.0
2022-06-17,105.93,106.69,101.85,102.46,100.622444353,2975962,0.0000,1.0
2022-06-16,106.19,106.715,105.05,105.87,103.971288148,1562335,0.0000,1.0
2022-06-15,108.06,109.4,105.86,107.77,105.837212843,1804331,0.0000,1.0
2022-06-14,109.97,110.0804,105.79,107.29,105.365821341,1482034,0.0000,1.0
2022-06-13,114.82,115.0,109.18,109.7,107.732599507,1152655,0.0000,1.0
2022-06-10,115.01,117.174,114.3,115.93,113.850868376,832355,0.0000,1.0
2022-06-09,118.37,118.98,116.06,116.19,114.10620544,675114,0.0000,1.0
2022-06-08,120.77,120.77,118.18,118.31,116.188184574,796865,0.0000,1.0
2022-06-07,121.18,121.67,120.04,121.31,119.134381461,948280,0.0000,1.0
2022-06-06,120.41,121.48,119.86,121.34,119.16384343,798473,0.0000,1.0
2022-06-03,120.18,120.64,119.51,120.0,117.847875487,699579,0.0000,1.0
2022-06-02,120.55,121.11,117.44,120.41,118.250522395,800330,0.0000,1.0
2022-06-01,120.65,120.86,118.85,120.18,118.0246473,1090175,0.0000,1.0
2022-05-31,120.0,121.18,118.66,120.32,118.162136488,1650714,0.0000,1.0
2022-05-27,119.55,121.34,119.28,121.08,118.908506366,901882,0.0000,1.0
2022-05-26,119.75,120.52,118.94,119.88,117.730027611,992151,0.0000,1.0
2022-05-25,118.92,119.2,118.04,118.84,116.708679357,803038,0.0000,1.0
2022-05-24,117.28,119.24,115.73,119.16,117.022940358,816453,0.0000,1.0
2022-05-23,118.2,118.99,116.2,116.8,114.705265474,1454969,0.0000,1.0
2022-05-20,115.71,117.05,114.16,116.98,114.882037287,1611619,0.0000,1.0
2022-05-19,116.03,116.34,114.39,115.67,113.595531313,1053333,0.0000,1.0
2022-05-18,118.78,118.92,116.2275,116.47,114.381183816,1156187,0.0000,1.0
2022-05-17,117.92,118.47,116.0,118.31,116.188184574,1364121,0.0000,1.0
2022-05-16,117.64,118.49,117.015,117.79,115.677510446,1116984,0.0000,1.0
2022-05-13,116.94,117.32,115.03,117.17,115.068629756,1256233,0.0000,1.0
2022-05-12,117.61,117.895,114.47,116.17,114.086564127,1303799,0.0000,1.0
2022-05-11,116.76,119.52,116.49,117.72,115.608765852,1602896,0.0000,1.0
2022-05-10,119.32,120.79,115.14,116.31,114.224053315,1272278,0.0000,1.0
2022-05-09,118.58,120.5,117.145,119.26,117.121146921,1012855,0.0000,1.0
2022-05-06,117.92,119.55,117.54,119.27,117.130967577,822139,0.0000,1.0
2022-05-05,118.05,119.25,116.91,118.3,116.178363917,912564,0.0000,1.0
2022-05-04,117.21,119.06,116.59,118.66,116.531907544,1214503,1.0100,1.0
2022-05-03,118.52,120.045,117.295,117.53,114.448024514,907933,0.0000,1.0
2022-05-02,119.51,120.26,116.57,118.04,114.944650844,1156242,0.0000,1.0
2022-04-29,121.92,122.0,118.66,118.85,115.733410308,1594483,0.0000,1.0
2022-04-28,121.38,122.92,120.05,122.32,119.112416903,798640,0.0000,1.0
2022-04-27,119.88,122.56,118.12,120.68,117.515422431,1263456,0.0000,1.0
2022-04-26,122.06,123.4725,120.64,120.66,117.495946889,968115,0.0000,1.0
