timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,143.62,146.15,142.75,143.73,143.73,3470411,0.0000,1.0
2022-11-25,151.3,151.8899,149.08,149.32,149.32,984081,0.0000,1.0
2022-11-23,148.75,150.5799,146.9,149.99,149.99,2309848,0.0000,1.0
2022-11-22,152.4,153.79,149.797,151.44,151.44,2863343,0.0000,1.0
2022-11-21,151.91,152.18,142.14,149.99,149.99,4481922,0.0000,1.0
2022-11-18,156.48,156.86,152.15,156.22,156.22,3815353,0.0000,1.0
2022-11-17,156.44,161.91,155.51,161.78,161.78,2037962,0.0000,1.0
2022-11-16,163.29,164.14,158.63,158.98,158.98,3438641,2.2600,1.0
2022-11-15,164.19,168.95,162.5731,167.03,164.6888452,3313807,0.0000,1.0
2022-11-14,163.28,166.59,163.01,163.57,161.277341851,1865034,0.0000,1.0
2022-11-11,164.0,166.48,163.135,164.35,162.04640908,2691243,0.0000,1.0
2022-11-10,159.57,160.47,156.87,160.28,158.033455718,2117558,0.0000,1.0
2022-11-09,161.5,162.54,156.7,157.55,155.341720417,2815448,0.0000,1.0
2022-11-08,162.86,166.375,161.0,163.55,161.257622178,2653501,0.0000,1.0
2022-11-07,162.7,165.67,161.59,163.49,161.198463161,3424449,0.0000,1.0
2022-11-04,162.49,162.79,157.64,161.37,159.108177871,2900099,0.0000,1.0
2022-11-03,154.19,160.75,153.6,158.53,156.307984371,2226673,0.0000,1.0
2022-11-02,157.7,158.57,153.62,154.83,152.659844952,1990233,0.0000,1.0
2022-11-01,160.0,160.86,157.5246,158.63,156.406582734,1773741,0.0000,1.0
2022-10-31,151.82,158.88,151.62,157.11,154.907887621,2053281,0.0000,1.0
2022-10-28,155.8,156.63,149.79,153.82,151.664001488,2005429,0.0000,1.0
2022-10-27,158.53,158.63,153.01,153.35,151.200589184,2421129,0.0000,1.0
2022-10-26,154.21,157.5,153.51,155.38,153.202135946,1691796,0.0000,1.0
2022-10-25,152.87,154.81,151.74,153.36,151.21044902,1711122,0.0000,1.0
2022-10-24,151.3,155.81,150.77,153.26,151.111850657,2026623,0.0000,1.0
2022-10-21,147.12,152.42,146.5543,152.32,150.185026048,2486513,0.0000,1.0
2022-10-20,147.91,148.96,145.57,146.59,144.535339866,1743276,0.0000,1.0
2022-10-19,141.41,147.125,141.41,146.03,143.983189035,2078793,0.0000,1.0
2022-10-18,141.44,142.77,138.58,141.85,139.861777475,1645577,0.0000,1.0
2022-10-17,142.29,144.5538,139.03,139.46,137.505276606,1925275,0.0000,1.0
2022-10-14,144.32,146.66,139.09,139.36,137.406678244,3218848,0.0000,1.0
2022-10-13,138.97,147.5,138.56,145.28,143.243701315,2637333,0.0000,1.0
2022-10-12,139.11,142.64,137.04,141.17,139.191308608,2969895,0.0000,1.0
2022-10-11,136.41,141.92,136.03,139.37,137.41653808,2605497,0.0000,1.0
2022-10-10,141.05,144.214,138.03,140.31,138.343362689,1731294,0.0000,1.0
2022-10-07,142.5,144.08,140.28,142.43,140.433647978,2081018,0.0000,1.0
2022-10-06,138.15,143.16,138.0087,142.33,140.335049615,2422443,0.0000,1.0
2022-10-05,134.72,140.46,134.71,139.37,137.41653808,3323912,0.0000,1.0
