timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,52.26,52.36,50.985,51.19,51.19,2224337,0.0000,1.0
2022-11-25,52.23,52.51,52.21,52.33,52.33,900281,0.0000,1.0
2022-11-23,52.37,52.87,52.205,52.41,52.41,1739865,0.0000,1.0
2022-11-22,52.4,52.93,51.88,52.39,52.39,2365766,0.0000,1.0
2022-11-21,51.68,52.225,51.4,52.05,52.05,2750195,0.0000,1.0
2022-11-18,52.13,52.32,51.04,51.66,51.66,3425764,0.0000,1.0
2022-11-17,51.1,51.63,50.12,51.59,51.59,3327544,0.0000,1.0
2022-11-16,51.63,52.29,51.52,51.76,51.76,2738282,0.0000,1.0
2022-11-15,52.37,52.48,51.15,51.63,51.63,3057060,0.0000,1.0
2022-11-14,51.81,52.615,51.59,51.68,51.68,3287300,0.0000,1.0
2022-11-11,51.82,51.98,51.16,51.8,51.8,2943237,0.0000,1.0
2022-11-10,50.8,51.98,50.4648,51.87,51.87,4897744,0.0000,1.0
2022-11-09,49.4,49.98,48.8,48.88,48.88,2625935,0.0000,1.0
2022-11-08,49.8,50.395,49.13,49.78,49.78,2440129,0.0000,1.0
2022-11-07,49.785,49.9,48.757,49.57,49.57,2321874,0.0000,1.0
2022-11-04,48.8,49.64,48.46,49.49,49.49,3437602,0.0000,1.0
2022-11-03,47.48,49.04,47.21,48.22,48.22,4416891,0.0000,1.0
2022-11-02,48.84,50.11,47.98,48.01,48.01,4581155,0.0000,1.0
2022-11-01,48.77,49.15,48.45,48.83,48.83,4216379,0.0000,1.0
2022-10-31,48.42,48.91,48.15,48.33,48.33,3206956,0.0000,1.0
2022-10-28,47.13,48.83,47.13,48.69,48.69,3297850,0.0000,1.0
2022-10-27,46.84,47.6393,46.59,47.05,47.05,3326084,0.0000,1.0
2022-10-26,47.16,47.3255,46.3609,46.67,46.67,3220981,0.3100,1.0
2022-10-25,46.76,47.22,46.51,47.2,46.8885483184,4036729,0.0000,1.0
2022-10-24,46.52,47.04,46.235,46.79,46.481253725,3642250,0.0000,1.0
2022-10-21,45.32,46.17,45.1,46.09,45.7858727118,4980953,0.0000,1.0
2022-10-20,46.23,46.26,44.9,45.35,45.0507556407,3220270,0.0000,1.0
2022-10-19,47.21,47.32,45.515,46.08,45.7759386973,2763469,0.0000,1.0
2022-10-18,46.97,47.79,46.83,47.48,47.1667007237,4831428,0.0000,1.0
2022-10-17,44.73,46.2,44.67,46.1,45.7958067263,5470346,0.0000,1.0
2022-10-14,46.79,46.95,43.74,43.87,43.5805214985,5838231,0.0000,1.0
2022-10-13,44.06,47.66,43.73,46.79,46.481253725,7449014,0.0000,1.0
2022-10-12,46.53,46.97,45.62,45.67,45.3686441039,4387230,0.0000,1.0
2022-10-11,46.19,46.92,45.89,46.38,46.0739591315,3753745,0.0000,1.0
2022-10-10,46.29,46.755,45.95,46.17,45.8653448276,4136305,0.0000,1.0
2022-10-07,46.77,46.77,45.605,45.85,45.5474563644,3911268,0.0000,1.0
2022-10-06,48.09,48.3,47.24,47.38,47.067360579,3034355,0.0000,1.0
2022-10-05,48.03,48.6,47.75,48.13,47.8124116645,3502972,0.0000,1.0
2022-10-04,48.05,48.51,47.85,48.39,48.0706960409,3659308,0.0000,1.0
2022-10-03,46.65,47.735,46.61,47.39,47.0772945934,3391891,0.0000,1.0
2022-09-30,46.42,46.69,45.82,46.04,45.7362026394,3773996,0.0000,1.0
2022-09-29,47.34,47.35,46.205,46.57,46.2627054066,3403121,0.0000,1.0
2022-09-28,47.36,48.02,46.855,47.59,47.2759748829,3910876,0.0000,1.0
2022-09-27,47.51,47.71,46.44,46.92,46.6103959132,3412643,0.0000,1.0
2022-09-26,47.57,47.93,47.11,47.3,46.9878884632,4568882,0.0000,1.0
2022-09-23,47.44,48.32,47.16,47.72,47.4051170711,4379273,0.0000,1.0
2022-09-22,47.28,47.9,47.035,47.59,47.2759748829,4545970,0.0000,1.0
2022-09-21,48.31,49.3306,47.39,47.39,47.0772945934,3735031,0.0000,1.0
2022-09-20,48.04,48.12,46.785,47.77,47.4547871435,3835185,0.0000,1.0
2022-09-19,47.438,48.57,47.11,48.43,48.1104320988,3675058,0.0000,1.0
2022-09-16,46.735,47.47,46.44,47.36,47.04749255,6262609,0.0000,1.0
2022-09-15,47.92,48.15,47.0075,47.23,46.9183503619,2983790,0.0000,1.0
2022-09-14,48.05,48.26,47.45,47.92,47.6037973606,3574843,0.0000,1.0
2022-09-13,49.86,50.0,47.86,48.02,47.7031375053,4382097,0.0000,1.0
2022-09-12,51.35,51.48,50.44,50.77,50.4349914857,3194059,0.0000,1.0
