timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,66.23,66.51,64.48,64.89,64.89,1102667,0.0000,1.0
2022-11-25,66.1,67.18,65.95,66.94,66.94,549302,0.0000,1.0
2022-11-23,64.79,66.79,64.37,66.21,66.21,1081670,0.2800,1.0
2022-11-22,64.67,65.38,64.06,64.93,64.6565694089,915873,0.0000,1.0
2022-11-21,64.14,64.59,63.495,63.98,63.7105700105,705703,0.0000,1.0
2022-11-18,65.12,65.35,63.57,64.41,64.1387592119,1033393,0.0000,1.0
2022-11-17,64.1,64.62,62.75,63.93,63.6607805685,687961,0.0000,1.0
2022-11-16,66.93,67.08,65.0763,65.72,65.4432425929,1412641,0.0000,1.0
2022-11-15,68.15,68.84,66.13,67.32,67.0365047376,1296014,0.0000,1.0
2022-11-14,66.47,66.96,65.14,65.44,65.1644217176,1348114,0.0000,1.0
2022-11-11,65.65,68.4,65.48,67.25,66.9667995187,1375648,0.0000,1.0
2022-11-10,61.54,65.73,61.18,65.69,65.4133689277,2522302,0.0000,1.0
2022-11-09,57.62,59.31,57.34,58.12,57.8752474056,1178474,0.0000,1.0
2022-11-08,58.97,59.63,57.39,58.25,58.0046999549,1003273,0.0000,1.0
2022-11-07,58.17,58.76,57.125,58.47,58.2237734998,1083705,0.0000,1.0
2022-11-04,56.85,58.15,56.08,57.46,57.2180267709,990031,0.0000,1.0
2022-11-03,56.37,56.8,55.02,55.5,55.2662806437,1227828,0.0000,1.0
2022-11-02,59.84,60.55,57.62,57.64,57.3972687622,1831908,0.0000,1.0
2022-11-01,61.57,62.0,59.69,60.04,59.7871619792,1476200,0.0000,1.0
2022-10-31,60.8,61.02,59.85,60.32,60.0659828546,1340560,0.0000,1.0
2022-10-28,58.79,61.595,58.69,61.37,61.111561137,1377159,0.0000,1.0
2022-10-27,59.31,61.4,58.67,59.21,58.9606572417,2311782,0.0000,1.0
2022-10-26,58.12,59.085,57.055,58.61,58.3631839374,1924175,0.0000,1.0
2022-10-25,56.05,59.05,56.0275,58.83,58.5822574823,1779514,0.0000,1.0
2022-10-24,55.67,56.235,54.735,55.66,55.4256068582,1417760,0.0000,1.0
2022-10-21,53.71,55.14,52.95,55.12,54.8878808843,3409533,0.0000,1.0
2022-10-20,54.83,56.4,53.43,53.44,53.2149556324,1737439,0.0000,1.0
2022-10-19,56.98,57.3,54.41,55.01,54.7783441119,1224139,0.0000,1.0
2022-10-18,57.37,58.17,56.84,57.72,57.4769318695,1164170,0.0000,1.0
2022-10-17,56.86,57.97,55.46,55.87,55.6347225147,1295063,0.0000,1.0
2022-10-14,57.05,57.69,55.42,55.49,55.2563227553,1564397,0.0000,1.0
2022-10-13,55.35,58.45,53.51,57.31,57.0686584449,1738949,0.0000,1.0
2022-10-12,57.5,57.5,56.27,57.0,56.7599639043,948308,0.0000,1.0
2022-10-11,57.04,58.15,56.3,57.32,57.0786163333,1035722,0.0000,1.0
2022-10-10,57.18,57.53,56.15,57.02,56.7798796812,991226,0.0000,1.0
2022-10-07,57.83,57.89,56.51,56.76,56.5209745826,1093781,0.0000,1.0
2022-10-06,57.83,59.34,57.83,58.89,58.6420048128,1414619,0.0000,1.0
2022-10-05,57.76,58.76,56.795,58.17,57.9250368476,1141123,0.0000,1.0
2022-10-04,57.18,59.09,57.15,58.96,58.7117100316,1279116,0.0000,1.0
2022-10-03,54.53,56.195,54.44,55.81,55.5749751842,1448461,0.0000,1.0
2022-09-30,54.41,55.01,53.415,53.69,53.4639028425,1570959,0.0000,1.0
2022-09-29,55.44,55.81,54.305,54.53,54.3003654685,1403852,0.0000,1.0
2022-09-28,54.8,56.74,54.56,56.48,56.2421537073,1722494,0.0000,1.0
2022-09-27,54.77,55.01,53.51,54.13,53.9020499323,1245807,0.0000,1.0
2022-09-26,55.52,56.005,53.65,53.91,53.6829763874,1256275,0.0000,1.0
2022-09-23,55.06,55.85,54.63,55.61,55.3758174162,1254043,0.0000,1.0
2022-09-22,56.9,57.09,55.58,55.64,55.4056910814,1098288,0.0000,1.0
2022-09-21,59.09,59.85,57.265,57.3,57.0587005565,1379831,0.0000,1.0
2022-09-20,59.52,59.735,58.09,58.74,58.4926364867,947494,0.0000,1.0
2022-09-19,59.8,61.0,59.33,60.35,60.0958565198,1382849,0.0000,1.0
2022-09-16,59.27,60.41,59.04,59.98,59.7274146488,1739122,0.0000,1.0
2022-09-15,60.0,61.9,59.85,60.12,59.8668250865,1820258,0.0000,1.0
2022-09-14,61.1,61.41,58.97,59.87,59.6178778764,1445662,0.0000,1.0
2022-09-13,62.52,62.64,60.8,61.12,60.8626139269,2160086,0.0000,1.0
2022-09-12,65.2,66.22,64.41,64.85,64.5769063017,1460619,0.0000,1.0
2022-09-09,63.27,64.93,63.27,64.69,64.4175800872,940839,0.0000,1.0
2022-09-08,61.6,63.11,61.02,63.11,62.8442337194,1041586,0.0000,1.0
2022-09-07,60.18,62.36,59.905,62.36,62.097392089,1116779,0.0000,1.0
2022-09-06,60.75,60.95,59.18,59.84,59.5880042112,922094,0.0000,1.0
2022-09-02,62.24,62.24,60.1,60.56,60.3049721763,971903,0.0000,1.0
2022-09-01,60.94,61.42,59.83,61.26,61.0020243646,1121283,0.0000,1.0
2022-08-31,62.57,62.57,61.42,61.43,61.1713084674,1113170,0.0000,1.0
2022-08-30,63.11,63.51,62.08,62.26,61.997813205,1340614,0.0000,1.0
2022-08-29,62.38,63.13,62.07,62.35,62.0874342006,817594,0.0000,1.0
2022-08-26,67.3,67.4173,62.87,62.94,62.6749496165,1159993,0.0000,1.0
2022-08-25,65.79,67.16,65.32,67.07,66.7875575274,729776,0.2800,1.0
2022-08-24,64.92,66.07,64.25,65.68,65.1315037625,890483,0.0000,1.0
2022-08-23,65.75,66.25,64.73,65.11,64.5662638547,564380,0.0000,1.0
2022-08-22,66.57,66.7154,65.47,65.6,65.0521718456,1008899,0.0000,1.0
2022-08-19,68.85,68.85,67.09,67.61,67.0453862573,1467233,0.0000,1.0
2022-08-18,69.15,69.29,68.29,69.2,68.6221081054,814416,0.0000,1.0
2022-08-17,69.02,69.02,67.87,68.3,67.7296240405,1178421,0.0000,1.0
2022-08-16,68.17,70.56,67.75,70.05,69.4650097223,883557,0.0000,1.0
2022-08-15,69.07,69.57,68.2,69.0,68.4237783132,838703,0.0000,1.0
2022-08-12,69.37,70.17,68.7,69.49,68.9096863041,743530,0.0000,1.0
2022-08-11,68.65,70.24,68.38,69.06,68.4832772509,1041130,0.0000,1.0
2022-08-10,67.03,68.3,66.13,67.88,67.3131314768,1216618,0.0000,1.0
2022-08-09,67.54,67.54,64.55,64.85,64.3084351248,1308155,0.0000,1.0
2022-08-08,68.0,68.88,67.66,68.08,67.511461269,1037203,0.0000,1.0
2022-08-05,66.73,67.28,65.92,67.24,66.6784761417,936331,0.0000,1.0
2022-08-04,66.42,68.46,66.28,67.83,67.2635490288,788967,0.0000,1.0
2022-08-03,67.89,68.17,66.32,66.73,66.1727351716,994694,0.0000,1.0
2022-08-02,68.83,69.5,67.52,67.63,67.0652192365,1258389,0.0000,1.0
2022-08-01,68.94,70.24,68.1,69.6,69.0187676898,1251067,0.0000,1.0
2022-07-29,69.38,70.11,68.75,69.68,69.0980996067,1296187,0.0000,1.0
2022-07-28,67.62,69.74,67.26,69.38,68.8006049184,1891042,0.0000,1.0
2022-07-27,66.6,67.3525,65.285,66.96,66.4008144326,2068791,0.0000,1.0
2022-07-26,66.59,67.1,65.65,66.35,65.7959085664,1263992,0.0000,1.0
2022-07-25,68.16,68.575,66.67,67.3,66.7379750794,1277763,0.0000,1.0
2022-07-22,68.38,69.53,67.7,68.41,67.8387054262,1151938,0.0000,1.0
2022-07-21,65.64,67.81,65.035,67.72,67.154467643,1057571,0.0000,1.0
2022-07-20,65.53,66.12,64.79,66.08,65.5281633469,817093,0.0000,1.0
2022-07-19,64.0,65.6508,63.6,65.41,64.863758543,887009,0.0000,1.0
2022-07-18,63.38,64.12,62.49,63.12,62.5928824222,808826,0.0000,1.0
2022-07-15,62.93,63.04,61.14,62.89,62.3648031611,850051,0.0000,1.0
2022-07-14,61.28,61.82,60.5,61.76,61.2442398351,989258,0.0000,1.0
2022-07-13,61.21,62.91,60.34,62.72,62.1962228377,1207813,0.0000,1.0
2022-07-12,61.65,63.4425,61.53,62.47,61.9483105975,856975,0.0000,1.0
2022-07-11,61.5,62.58,61.3294,61.69,61.1748244078,752089,0.0000,1.0
2022-07-08,62.81,63.42,61.55,61.84,61.323571752,1538163,0.0000,1.0
2022-07-07,62.24,63.045,61.53,62.72,62.1962228377,1027658,0.0000,1.0
2022-07-06,63.39,63.67,61.19,61.97,61.4524861169,1104174,0.0000,1.0
2022-07-05,60.65,62.98,60.65,62.96,62.4342185884,926594,0.0000,1.0
2022-07-01,60.18,62.135,60.155,61.71,61.1946573871,919264,0.0000,1.0
2022-06-30,59.64,60.52,58.63,59.88,59.3799397883,1185323,0.0000,1.0
2022-06-29,61.12,61.12,59.48,60.56,60.0542610818,957526,0.0000,1.0
2022-06-28,62.87,63.71,61.081,61.13,60.6195009896,733761,0.0000,1.0
2022-06-27,63.16,63.59,62.49,62.88,62.3548866715,909950,0.0000,1.0
2022-06-24,61.81,63.71,61.67,63.24,62.7118802975,1923651,0.0000,1.0
2022-06-23,58.63,61.54,58.63,61.34,60.8277472715,1222495,0.0000,1.0
2022-06-22,57.03,59.09,56.86,58.51,58.0213807117,1062007,0.0000,1.0
2022-06-21,59.23,59.71,58.1,58.31,57.8230509195,1425009,0.0000,1.0
2022-06-17,57.9,59.11,57.42,58.26,57.7734684714,2983770,0.0000,1.0
2022-06-16,60.11,60.26,57.77,58.31,57.8230509195,1492596,0.0000,1.0
2022-06-15,62.01,63.03,60.6,62.12,61.6012334611,1339503,0.0000,1.0
2022-06-14,62.0,62.74,60.73,61.32,60.8079142923,1208257,0.0000,1.0
2022-06-13,63.2,64.28,61.57,62.11,61.5913169715,1582569,0.0000,1.0
2022-06-10,67.59,67.59,65.16,65.19,64.6455957716,972667,0.0000,1.0
2022-06-09,68.57,70.15,68.41,69.09,68.5130267197,854989,0.0000,1.0
2022-06-08,70.51,70.51,68.71,69.05,68.4733607613,959748,0.0000,1.0
2022-06-07,69.72,71.15,69.0,70.96,70.3674102769,1078208,0.0000,1.0
2022-06-06,71.48,71.925,70.58,70.79,70.1988299535,929218,0.0000,1.0
2022-06-03,69.71,71.055,69.27,70.85,70.2583288912,1221570,0.0000,1.0
2022-06-02,69.11,70.75,68.76,70.75,70.1591639951,1648396,0.0000,1.0
2022-06-01,69.78,69.8,68.13,68.45,67.8783713846,972875,0.0000,1.0
2022-05-31,69.61,70.34,68.42,69.35,68.7708554496,2234019,0.0000,1.0
2022-05-27,70.48,71.33,69.76,70.45,69.8616693067,1031941,0.0000,1.0
2022-05-26,68.11,70.19,67.795,69.94,69.3559283366,901210,0.2800,1.0
2022-05-25,65.27,67.68,65.12,67.48,66.6496446049,928050,0.0000,1.0
2022-05-24,67.16,67.32,64.46,65.77,64.9606865095,1076296,0.0000,1.0
2022-05-23,68.0,68.1,66.41,67.5,66.6693985007,1248481,0.0000,1.0
2022-05-20,67.24,67.49,64.85,66.77,65.9483813021,1427895,0.0000,1.0
2022-05-19,65.81,67.41,65.61,66.44,65.6224420206,1371216,0.0000,1.0
2022-05-18,68.57,69.06,65.67,66.21,65.3952722183,1450276,0.0000,1.0
2022-05-17,70.13,70.5075,68.365,70.06,69.1978971698,1036215,0.0000,1.0
2022-05-16,69.32,69.55,66.64,68.67,67.8250014081,2152952,0.0000,1.0
2022-05-13,69.19,70.77,68.88,69.65,68.7929423048,1645083,0.0000,1.0
2022-05-12,66.41,69.03,66.01,68.67,67.8250014081,1687978,0.0000,1.0
2022-05-11,69.35,70.245,66.53,66.56,65.7409653957,1506704,0.0000,1.0
2022-05-10,72.64,72.69,69.02,69.36,68.506510815,1544861,0.0000,1.0
2022-05-09,70.36,72.17,69.86,71.22,70.3436231292,1487748,0.0000,1.0
2022-05-06,72.92,72.92,70.27,70.91,70.0374377435,2159648,0.0000,1.0
2022-05-05,76.22,76.31,72.22,72.98,72.0819659642,1682314,0.0000,1.0
2022-05-04,73.67,77.55,72.8,77.33,76.378438312,1883401,0.0000,1.0
2022-05-03,71.03,74.46,71.03,73.94,73.0301529651,2398799,0.0000,1.0
2022-05-02,71.34,72.562,69.6001,71.19,70.3139922854,2609289,0.0000,1.0
2022-04-29,75.62,78.91,71.04,71.25,70.373253973,4023502,0.0000,1.0
2022-04-28,73.86,76.57,73.04,76.04,75.1043120295,2342213,0.0000,1.0
2022-04-27,72.54,74.11,71.43,73.21,72.3091357665,2724743,0.0000,1.0
2022-04-26,72.98,74.15,71.88,72.26,71.3708257135,1507199,0.0000,1.0
2022-04-25,70.21,73.3,69.31,73.15,72.2498740789,1731311,0.0000,1.0
2022-04-22,72.29,72.29,70.44,70.53,69.6621137223,1314772,0.0000,1.0
2022-04-21,73.86,74.4599,72.32,72.71,71.8152883702,1602808,0.0000,1.0
2022-04-20,72.61,73.2,71.785,72.53,71.6375033075,1096036,0.0000,1.0
2022-04-19,69.11,72.26,69.11,71.73,70.8473474734,1750919,0.0000,1.0
2022-04-18,69.48,70.35,68.27,68.96,68.1114328979,1171979,0.0000,1.0
2022-04-14,71.39,71.965,69.59,69.64,68.7830653569,1287717,0.0000,1.0
2022-04-13,70.0,71.31,70.0,71.3,70.4226387126,1600464,0.0000,1.0
2022-04-12,72.15,73.66,70.05,70.33,69.4645747638,1565591,0.0000,1.0
2022-04-11,70.65,72.27,70.65,71.35,70.4720234522,2238620,0.0000,1.0
2022-04-08,72.31,74.66,71.71,72.89,71.9930734328,2214291,0.0000,1.0
2022-04-07,72.52,72.82,70.84,71.93,71.0448864319,2229819,0.0000,1.0
