timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,36.53,36.885,36.12,36.19,36.19,10421773,0.0000,1.0
2022-11-25,37.88,38.04,37.085,37.15,37.15,5219807,0.0000,1.0
2022-11-23,37.15,38.19,37.1,38.04,38.04,8632431,0.0000,1.0
2022-11-22,36.99,37.89,36.81,37.86,37.86,11848002,0.0000,1.0
2022-11-21,36.015,36.3585,35.135,36.13,36.13,10425311,0.0000,1.0
2022-11-18,36.45,36.675,35.83,36.34,36.34,9136191,0.0000,1.0
2022-11-17,35.8,36.415,35.31,36.36,36.36,13621398,0.0000,1.0
2022-11-16,37.34,37.68,36.975,37.38,37.38,12620105,0.0000,1.0
2022-11-15,38.2499,38.44,37.57,38.09,38.09,15132141,0.0000,1.0
2022-11-14,37.48,38.54,37.28,37.89,37.89,14006670,0.0000,1.0
2022-11-11,37.74,39.255,37.74,38.04,38.04,22053451,0.0000,1.0
2022-11-10,35.87,36.96,35.71,36.75,36.75,21126158,0.0000,1.0
2022-11-09,34.885,35.755,33.665,34.03,34.03,14161901,0.0000,1.0
2022-11-08,34.8,36.21,34.33,35.46,35.46,18453270,0.0000,1.0
2022-11-07,34.97,35.23,34.1246,34.45,34.45,12396397,0.0000,1.0
2022-11-04,34.7,35.77,34.12,35.19,35.19,30363405,0.0000,1.0
2022-11-03,30.55,31.67,30.275,31.56,31.56,15062182,0.0000,1.0
2022-11-02,32.67,33.39,30.955,31.01,31.01,20066038,0.0000,1.0
2022-11-01,33.69,33.735,32.69,32.9,32.9,16684573,0.0000,1.0
2022-10-31,31.74,32.3699,31.39,31.69,31.69,13138531,0.0000,1.0
2022-10-28,32.17,32.41,31.445,32.2,32.2,13156916,0.0000,1.0
2022-10-27,33.305,33.35,32.39,32.74,32.74,14606693,0.0000,1.0
2022-10-26,32.49,33.765,32.34,33.34,33.34,19802337,0.0000,1.0
2022-10-25,30.56,32.01,30.55,31.67,31.67,15133964,0.0000,1.0
2022-10-24,31.12,31.79,30.63,31.05,31.05,19179516,0.0000,1.0
2022-10-21,29.14,32.13,28.79,32.03,32.03,27259397,0.0000,1.0
2022-10-20,28.36,30.6,28.16,29.12,29.12,26954387,0.0000,1.0
2022-10-19,28.1,28.73,27.865,28.36,28.36,12703572,0.0000,1.0
2022-10-18,29.46,29.57,27.825,28.49,28.49,14492059,0.0000,1.0
2022-10-17,28.54,29.37,28.48,28.82,28.82,13874424,0.0000,1.0
2022-10-14,29.43,29.47,27.57,27.64,27.64,13974832,0.0000,1.0
2022-10-13,27.69,29.81,27.5,29.36,29.36,16285493,0.1500,1.0
2022-10-12,28.9,28.97,28.11,28.84,28.6934056252,15818366,0.0000,1.0
2022-10-11,28.67,29.86,28.225,29.18,29.0316773975,13833924,0.0000,1.0
2022-10-10,29.32,30.11,29.115,29.26,29.1112707557,11617713,0.0000,1.0
2022-10-07,29.4,29.85,28.76,28.95,28.8028464927,12667339,0.0000,1.0
2022-10-06,29.7,30.0813,29.23,29.82,29.668424263,18258737,0.0000,1.0
2022-10-05,30.0,30.77,29.594,30.51,30.3549169773,13118096,0.0000,1.0
2022-10-04,30.05,30.99,29.945,30.78,30.6235445612,17325897,0.0000,1.0
2022-10-03,28.05,29.47,27.89,29.34,29.1908641139,16515247,0.0000,1.0
2022-09-30,27.85,28.42,27.29,27.33,27.1910809895,16108350,0.0000,1.0
2022-09-29,27.98,28.2,26.85,28.17,28.0268112504,17580397,0.0000,1.0
2022-09-28,26.97,27.985,26.81,27.86,27.7183869875,14899300,0.0000,1.0
2022-09-27,27.1,27.33,26.41,26.87,26.7334191799,15322311,0.0000,1.0
2022-09-26,26.18,27.26,26.12,26.5,26.3652998983,17105502,0.0000,1.0
2022-09-23,27.1,27.25,26.033,26.68,26.5443849543,26058200,0.0000,1.0
2022-09-22,28.76,29.05,28.145,28.35,28.2058963063,16054172,0.0000,1.0
2022-09-21,29.93,29.98,28.08,28.1,27.957167062,18878139,0.0000,1.0
2022-09-20,29.92,29.935,29.36,29.72,29.5689325652,14182133,0.0000,1.0
2022-09-19,28.48,30.62,28.48,30.49,30.3350186377,18022107,0.0000,1.0
2022-09-16,29.27,29.64,28.69,29.33,29.1809149441,27657368,0.0000,1.0
2022-09-15,29.85,30.86,29.5,29.78,29.6286275839,13837439,0.0000,1.0
2022-09-14,30.52,30.7,29.53,30.03,29.8773568282,20529689,0.0000,1.0
2022-09-13,30.75,31.71,30.65,31.05,30.892172145,17693742,0.0000,1.0
2022-09-12,32.65,32.78,31.9,32.17,32.0064791596,12635895,0.0000,1.0
2022-09-09,31.3,32.28,31.125,32.17,32.0064791596,17891270,0.0000,1.0
2022-09-08,28.58,30.64,28.45,30.62,30.4643578448,21393872,0.0000,1.0
2022-09-07,27.64,28.48,27.3,28.38,28.2357438157,13627370,0.0000,1.0
2022-09-06,28.57,28.92,27.85,28.12,27.9770654016,14796884,0.0000,1.0
2022-09-02,28.88,29.13,28.15,28.3,28.1561504575,13699885,0.0000,1.0
2022-09-01,28.49,28.54,27.58,28.09,27.9472178922,19731902,0.0000,1.0
2022-08-31,29.7,29.91,29.11,29.6,29.449542528,19624135,0.0000,1.0
2022-08-30,31.14,31.2,29.43,29.76,29.6087292443,19734757,0.0000,1.0
2022-08-29,31.47,32.03,31.11,31.5,31.3398847848,12597010,0.0000,1.0
2022-08-26,33.82,33.89,32.04,32.19,32.0263774992,15736114,0.0000,1.0
2022-08-25,31.9,33.25,31.9,33.23,33.0610911555,18058810,0.0000,1.0
2022-08-24,31.07,31.65,30.9,31.32,31.1607997289,10531382,0.0000,1.0
2022-08-23,30.4799,32.04,30.39,31.79,31.6284107082,18021928,0.0000,1.0
2022-08-22,29.9,29.91,29.29,29.86,29.7082209421,14027511,0.0000,1.0
2022-08-19,30.9,31.02,30.035,30.45,30.2952219587,13799009,0.0000,1.0
2022-08-18,30.7,31.4,30.55,31.23,31.0712572009,12556217,0.0000,1.0
2022-08-17,30.69,30.7,30.0115,30.25,30.0962385632,12467016,0.0000,1.0
2022-08-16,30.945,31.47,30.73,31.39,31.2304439173,11931713,0.0000,1.0
2022-08-15,30.23,30.75,29.76,30.5,30.3449678075,16050569,0.0000,1.0
2022-08-12,31.24,31.69,31.06,31.62,31.4592748221,10878756,0.0000,1.0
2022-08-11,32.09,32.83,31.542,31.67,31.509020671,14663728,0.0000,1.0
2022-08-10,30.96,31.59,30.585,31.4,31.2403930871,17104865,0.0000,1.0
2022-08-09,30.69,30.75,29.745,30.05,29.8972551677,12976836,0.0000,1.0
2022-08-08,30.94,31.66,30.41,30.62,30.4643578448,15926701,0.0000,1.0
2022-08-05,28.62,30.5,28.5,30.27,30.1161369027,17881008,0.0000,1.0
2022-08-04,28.82,29.44,28.53,28.76,28.613812267,12475258,0.0000,1.0
2022-08-03,29.6,29.6,28.5,28.69,28.5441680786,17599959,0.0000,1.0
2022-08-02,29.63,29.99,28.52,29.33,29.1809149441,17031867,0.0000,1.0
2022-08-01,30.845,31.02,29.69,29.98,29.8276109793,17320498,0.0000,1.0
2022-07-29,30.05,31.73,29.7701,31.55,31.3896306337,26279245,0.0000,1.0
2022-07-28,29.94,30.39,29.17,29.83,29.6783734327,18827064,0.0000,1.0
2022-07-27,27.98,29.4061,27.76,29.29,29.141118265,17466277,0.0000,1.0
2022-07-26,28.22,28.675,27.7825,27.93,27.7880311759,14626593,0.0000,1.0
2022-07-25,28.54,28.62,27.98,28.29,28.1462012877,16260809,0.0000,1.0
2022-07-22,29.625,29.945,27.69,27.76,27.6188952897,20926677,0.0000,1.0
2022-07-21,28.49,29.05,27.39,28.91,28.7630498136,27566118,0.0000,1.0
2022-07-20,28.52,29.235,28.22,28.57,28.4247780413,25186561,0.0000,1.0
2022-07-19,27.3,28.605,27.255,28.5,28.3551338529,22850356,0.0000,1.0
2022-07-18,27.04,28.12,27.01,27.42,27.2806235175,29351165,0.0000,1.0
2022-07-15,25.39,26.13,24.88,25.82,25.6887563538,29197409,0.0000,1.0
2022-07-14,25.3,25.4,24.8,25.09,24.9624669604,31890919,0.0750,1.0
2022-07-13,25.76,26.945,25.37,26.44,26.227205501,26774624,0.0000,1.0
2022-07-12,26.35,27.105,26.02,26.3,26.0883322494,25721908,0.0000,1.0
2022-07-11,27.05,27.31,26.75,26.91,26.6934228453,22227040,0.0000,1.0
2022-07-08,29.21,29.22,27.99,28.0,27.7746503036,17509198,0.0000,1.0
2022-07-07,29.31,29.54,28.78,29.22,28.9848314954,24755667,0.0000,1.0
2022-07-06,27.12,27.59,26.21,27.38,27.1596401897,35581183,0.0000,1.0
2022-07-05,27.84,27.97,26.61,27.26,27.0406059741,35853347,0.0000,1.0
2022-07-01,28.89,29.27,27.92,29.2,28.9649924595,22967469,0.0000,1.0
2022-06-30,29.72,30.06,28.99,29.26,29.0245095673,21029193,0.0000,1.0
2022-06-29,31.28,31.3,29.99,30.29,30.0462199177,15424305,0.0000,1.0
2022-06-28,31.54,32.3,30.675,30.78,30.532276298,22645186,0.0000,1.0
2022-06-27,31.58,31.61,30.72,31.02,30.7703447292,17053748,0.0000,1.0
2022-06-24,29.76,30.99,29.15,30.99,30.7405861753,35347247,0.0000,1.0
2022-06-23,30.46,30.87,28.87,29.57,29.3320146242,41337564,0.0000,1.0
2022-06-22,32.25,32.25,31.17,31.32,31.0679302682,31348968,0.0000,1.0
2022-06-21,34.25,34.77,33.905,34.03,33.7561196368,13634404,0.0000,1.0
2022-06-17,34.54,35.0,33.415,33.82,33.5478097596,30089685,0.0000,1.0
2022-06-16,35.48,36.0262,34.5,34.87,34.5893591459,20474604,0.0000,1.0
2022-06-15,37.5,37.57,35.89,36.9,36.6030212929,17094637,0.0000,1.0
2022-06-14,37.48,37.65,36.45,36.82,36.5236651492,16368811,0.0000,1.0
2022-06-13,38.19,38.52,36.3,37.17,36.870848278,30274567,0.0000,1.0
2022-06-10,39.2,40.4,38.96,40.21,39.8863817395,23308715,0.0000,1.0
2022-06-09,42.18,42.27,40.5,40.52,40.1938867965,13550942,0.0000,1.0
2022-06-08,42.93,43.14,42.04,42.2,41.8603658147,12373355,0.0000,1.0
2022-06-07,42.25,43.62,42.15,43.39,43.0407884526,12694788,0.0000,1.0
2022-06-06,41.85,42.965,41.675,42.78,42.4356978567,15137407,0.0000,1.0
2022-06-03,41.03,41.94,41.0,41.33,40.9973677517,13459937,0.0000,1.0
2022-06-02,41.78,42.27,41.26,41.72,41.3842289524,19239079,0.0000,1.0
2022-06-01,39.32,39.98,38.85,39.64,39.3209692155,12817554,0.0000,1.0
2022-05-31,40.05,41.0,38.69,39.08,38.7654762094,16890108,0.0000,1.0
2022-05-27,39.09,39.7,38.7,39.65,39.3308887335,11914435,0.0000,1.0
2022-05-26,37.63,38.7139,36.98,38.49,38.1802246495,10011830,0.0000,1.0
2022-05-25,37.07,38.06,36.93,37.83,37.5255364637,12859848,0.0000,1.0
2022-05-24,37.92,37.94,36.705,37.48,37.1783533349,15922882,0.0000,1.0
2022-05-23,37.6,38.635,37.07,38.35,38.041351398,19211904,0.0000,1.0
2022-05-20,37.31,37.5,35.5,36.31,36.017769733,21630873,0.0000,1.0
2022-05-19,35.63,37.59,35.63,36.72,36.4244699696,18860223,0.0000,1.0
2022-05-18,37.16,37.595,35.12,35.34,35.0555764903,18275957,0.0000,1.0
2022-05-17,37.09,37.82,36.5577,37.64,37.3370656224,22673620,0.0000,1.0
2022-05-16,35.16,36.13,34.935,35.15,34.867105649,17882478,0.0000,1.0
2022-05-13,34.77,35.795,34.585,35.04,34.7579909514,18987965,0.0000,1.0
2022-05-12,34.31,35.515,33.43,34.34,34.0636246938,27193414,0.0000,1.0
2022-05-11,37.25,37.815,35.82,35.91,35.6209890144,22542841,0.0000,1.0
2022-05-10,36.63,36.63,34.99,36.07,35.7797013018,26543213,0.0000,1.0
2022-05-09,36.1,36.95,35.355,35.52,35.2341278137,30392839,0.0000,1.0
2022-05-06,39.17,39.21,37.6,37.88,37.5751340536,22379508,0.0000,1.0
2022-05-05,41.01,41.08,38.865,39.64,39.3209692155,22061311,0.0000,1.0
2022-05-04,40.28,41.405,39.245,41.3,40.9676091978,17592946,0.0000,1.0
2022-05-03,40.34,40.89,39.82,40.15,39.8268646318,16184267,0.0000,1.0
2022-05-02,39.94,40.6503,39.02,40.18,39.8566231857,21723792,0.0000,1.0
2022-04-29,42.48,43.5,40.38,40.55,40.2236453504,17201968,0.0000,1.0
2022-04-28,41.89,42.46,40.54,41.84,41.5032631679,15192235,0.0000,1.0
2022-04-27,42.1,42.91,41.52,41.69,41.3544703985,22816538,0.0000,1.0
2022-04-26,41.49,41.83,40.08,40.18,39.8566231857,18563480,0.0000,1.0
2022-04-25,40.02,42.0799,39.56,41.65,41.3147923266,31955326,0.0000,1.0
2022-04-22,44.48,44.6,41.13,41.91,41.5726997937,32547573,0.0000,1.0
2022-04-21,48.49,48.79,44.475,44.95,44.5882332552,31430941,0.0000,1.0
2022-04-20,49.81,50.52,48.8799,49.9,49.4983946482,12567267,0.0000,1.0
2022-04-19,50.07,50.92,49.72,50.64,50.2324389776,10278468,0.0000,1.0
2022-04-18,49.67,51.34,49.4178,50.77,50.3613927112,14267008,0.0000,1.0
2022-04-14,49.7,50.42,49.14,49.19,48.7941088726,12110222,0.0000,1.0
2022-04-13,48.49,49.46,48.12,49.43,49.0321773038,11976508,0.0750,1.0
2022-04-12,48.64,49.32,47.845,48.0,47.5415515722,11646580,0.0000,1.0
2022-04-11,48.72,48.88,47.61,47.72,47.2642258547,9370595,0.0000,1.0
2022-04-08,48.91,49.35,48.225,48.97,48.5022870936,9620296,0.0000,1.0
2022-04-07,48.51,48.93,47.48,48.48,48.0169670879,11154291,0.0000,1.0
2022-04-06,48.91,49.03,47.44,48.06,47.6009785117,13635760,0.0000,1.0
2022-04-05,50.99,51.56,48.885,49.09,48.6211409725,13685476,0.0000,1.0
2022-04-04,51.78,51.78,50.57,50.9,50.4138536464,12300254,0.0000,1.0
2022-04-01,49.88,51.845,49.833,50.96,50.4732805858,16632868,0.0000,1.0
2022-03-31,50.58,51.265,49.74,49.74,49.2649328167,10964372,0.0000,1.0
2022-03-30,50.61,51.43,50.145,50.78,50.2949997674,11190295,0.0000,1.0
2022-03-29,49.03,50.09,47.64,50.09,49.6115899636,15729428,0.0000,1.0
2022-03-28,51.12,51.12,48.95,50.27,49.789870782,14166895,0.0000,1.0
2022-03-25,51.105,51.99,50.92,51.93,51.4340161072,11501104,0.0000,1.0
2022-03-24,50.14,51.94,50.06,51.45,50.9586005915,18021551,0.0000,1.0
2022-03-23,50.01,50.42,49.68,49.81,49.3342642461,11371706,0.0000,1.0
2022-03-22,49.94,50.775,48.7,49.86,49.3837866956,15349383,0.0000,1.0
2022-03-21,48.35,49.995,48.35,49.51,49.0371295488,15243331,0.0000,1.0
2022-03-18,48.33,49.47,47.98,48.08,47.6207874915,26952742,0.0000,1.0
2022-03-17,47.02,48.8,46.76,48.59,48.125916477,18150945,0.0000,1.0
2022-03-16,45.265,46.775,44.95,46.42,45.9766421663,20461605,0.0000,1.0
2022-03-15,43.34,44.46,43.004,44.28,43.8570813254,18570084,0.0000,1.0
2022-03-14,46.16,46.22,44.135,44.52,44.0947890832,21012009,0.0000,1.0
2022-03-11,47.13,47.775,46.605,46.93,46.4817711518,14331207,0.0000,1.0
2022-03-10,47.65,47.8395,46.35,47.71,47.2543213648,16686626,0.0000,1.0
2022-03-09,45.67,47.555,44.9,46.99,46.5411980912,23418117,0.0000,1.0
2022-03-08,46.4,48.235,46.085,46.67,46.2242544141,23946895,0.0000,1.0
2022-03-07,48.9,49.38,46.705,47.15,46.6996699298,27210636,0.0000,1.0
2022-03-04,49.06,50.46,48.635,50.11,49.6313989434,25510318,0.0000,1.0
2022-03-03,48.75,49.12,47.42,49.09,48.6211409725,22678660,0.0000,1.0
2022-03-02,48.17,48.785,47.44,48.16,47.7000234108,19132865,0.0000,1.0
2022-03-01,47.51,49.55,47.17,47.91,47.452411163,27302498,0.0000,1.0
2022-02-28,46.1,47.42,46.02,46.95,46.5015801316,23876942,0.0000,1.0
2022-02-25,43.85,46.37,43.74,46.34,45.897406247,29087945,0.0000,1.0
2022-02-24,41.375,43.925,41.25,43.72,43.3024298904,20397669,0.0000,1.0
2022-02-23,42.55,43.1943,42.05,42.46,42.0544641616,13945730,0.0000,1.0
2022-02-22,43.01,43.45,41.8,42.36,41.9554192625,14260225,0.0000,1.0
2022-02-18,43.37,43.845,42.7843,43.02,42.6091155966,15846697,0.0000,1.0
2022-02-17,43.96,44.21,42.96,43.21,42.7973009049,12251653,0.0000,1.0
2022-02-16,43.6,44.4355,43.54,44.25,43.8273678556,11736029,0.0000,1.0
2022-02-15,42.5,43.69,41.84,43.67,43.2529074408,15764291,0.0000,1.0
2022-02-14,42.75,43.0,41.76,42.45,42.0445596717,17130433,0.0000,1.0
2022-02-11,42.6,44.175,42.33,42.8,42.3912168186,23462760,0.0000,1.0
2022-02-10,42.86,45.56,42.8,43.91,43.4906151987,29329415,0.0000,1.0
2022-02-09,41.4,43.8,41.27,43.56,43.1439580518,26474813,0.0000,1.0
2022-02-08,39.175,40.7,38.98,40.63,40.2419425079,18641696,0.0000,1.0
