timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,36.15,36.23,35.505,35.59,35.59,3193273,0.0000,1.0
2022-11-25,36.54,36.665,36.38,36.48,36.48,1016427,0.0000,1.0
2022-11-23,36.1,36.41,35.99,36.33,36.33,2837643,0.0000,1.0
2022-11-22,36.07,36.36,35.98,36.33,36.33,3016892,0.0000,1.0
2022-11-21,35.54,35.92,35.51,35.81,35.81,2095739,0.0000,1.0
2022-11-18,35.99,36.08,35.115,35.63,35.63,3217861,0.0000,1.0
2022-11-17,35.22,35.36,34.84,35.33,35.33,3456860,0.0000,1.0
2022-11-16,36.45,36.568,35.61,35.79,35.79,3825717,0.0000,1.0
2022-11-15,36.81,37.14,35.95,36.45,36.45,5360710,0.0000,1.0
2022-11-14,36.76,36.98,36.04,36.05,36.05,5502579,0.0000,1.0
2022-11-11,36.38,37.2,36.38,36.85,36.85,7378316,0.0000,1.0
2022-11-10,35.64,36.43,35.64,36.29,36.29,7301776,0.0000,1.0
2022-11-09,34.6,34.895,34.25,34.48,34.48,3823999,0.0000,1.0
2022-11-08,34.99,35.335,34.73,35.11,35.11,4372170,0.0000,1.0
2022-11-07,35.3,35.505,34.73,35.04,35.04,3281692,0.0000,1.0
2022-11-04,34.41,35.22,34.27,35.13,35.13,5836671,0.0000,1.0
2022-11-03,34.302,34.34,33.445,33.94,33.94,4584468,0.0000,1.0
2022-11-02,35.74,36.1,34.66,34.71,34.71,4689574,0.0000,1.0
2022-11-01,35.93,36.12,35.65,35.8,35.8,2581271,0.0000,1.0
2022-10-31,35.81,36.01,35.6,35.69,35.69,3583511,0.0000,1.0
2022-10-28,35.69,36.01,35.345,35.98,35.98,2990879,0.0000,1.0
2022-10-27,35.98,36.165,35.27,35.35,35.35,3985110,0.0000,1.0
2022-10-26,35.36,35.76,35.1,35.51,35.51,3485794,0.0000,1.0
2022-10-25,34.23,35.415,34.07,35.35,35.35,4477518,0.0000,1.0
2022-10-24,33.23,34.53,33.04,34.37,34.37,4774740,0.0000,1.0
2022-10-21,31.13,33.035,30.92,33.02,33.02,8258088,0.0000,1.0
2022-10-20,32.88,33.01,30.98,31.15,31.15,9696848,0.0000,1.0
2022-10-19,34.59,34.9,32.915,33.26,33.26,10514846,0.0000,1.0
2022-10-18,35.51,36.035,34.485,34.86,34.86,5392953,0.0000,1.0
2022-10-17,34.78,35.24,34.435,34.73,34.73,5595317,0.0000,1.0
2022-10-14,34.71,35.44,33.8401,33.96,33.96,5503732,0.0000,1.0
2022-10-13,31.79,34.645,31.38,34.35,34.35,7989148,0.0000,1.0
2022-10-12,32.33,32.72,32.04,32.22,32.22,3804789,0.0000,1.0
2022-10-11,32.79,32.88,32.18,32.42,32.42,3732305,0.0000,1.0
2022-10-10,33.37,33.72,32.75,32.98,32.98,3537932,0.0000,1.0
2022-10-07,33.21,33.27,32.355,33.1,33.1,3891114,0.0000,1.0
2022-10-06,33.8,34.16,33.325,33.53,33.53,6097908,0.0000,1.0
2022-10-05,33.6,34.235,33.48,34.1,34.1,2853565,0.0000,1.0
2022-10-04,33.3,34.31,33.28,34.3,34.3,4368307,0.0000,1.0
2022-10-03,32.5,33.13,31.79,32.83,32.83,4744880,0.0000,1.0
2022-09-30,32.0,32.8199,31.84,31.96,31.96,6166638,0.0000,1.0
2022-09-29,31.74,32.29,31.18,32.05,32.05,5304442,0.3300,1.0
2022-09-28,31.75,32.72,31.55,32.54,32.2083693638,4095556,0.0000,1.0
