timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,23.04,23.2,22.81,23.03,23.03,6008164,0.0000,1.0
2022-11-25,23.04,23.215,22.95,23.11,23.11,2808669,0.0000,1.0
2022-11-23,22.44,23.37,22.44,23.03,23.03,2719627,0.0000,1.0
2022-11-22,23.15,23.26,22.88,23.11,23.11,5092460,0.0000,1.0
2022-11-21,22.7,23.23,22.64,23.05,23.05,4642269,0.0000,1.0
2022-11-18,22.43,22.715,22.22,22.62,22.62,2844382,0.1250,1.0
2022-11-17,22.25,22.66,22.1,22.45,22.3266212354,5907391,0.0000,1.0
2022-11-16,22.26,22.71,22.19,22.61,22.4857419213,3930823,0.0000,1.0
2022-11-15,22.9,22.95,22.21,22.24,22.1177753352,6515058,0.0000,1.0
2022-11-14,22.79,22.96,22.275,22.7,22.5752473071,6560001,0.0000,1.0
2022-11-11,22.57,23.16,22.49,22.94,22.8139283359,10688683,0.0000,1.0
2022-11-10,23.62,23.69,21.96,22.63,22.505632007,9817157,0.0000,1.0
2022-11-09,22.26,23.12,21.84,22.92,22.7940382502,7619519,0.0000,1.0
2022-11-08,21.04,22.03,20.56,21.62,21.5011826775,4688879,0.0000,1.0
2022-11-07,21.955,22.19,20.56,21.66,21.540962849,7732320,0.0000,1.0
2022-11-04,21.88,22.295,21.74,22.16,22.0382149923,3836786,0.0000,1.0
2022-11-03,22.03,22.1,21.465,21.69,21.5707979776,6462668,0.0000,1.0
2022-11-02,22.88,23.02,22.255,22.26,22.137665421,7003945,0.0000,1.0
2022-11-01,22.65,22.97,22.52,22.96,22.8338184216,4223401,0.0000,1.0
2022-10-31,22.47,22.59,22.32,22.53,22.4061815784,5738599,0.0000,1.0
2022-10-28,21.94,22.615,21.84,22.56,22.436016707,4489275,0.0000,1.0
2022-10-27,22.5,22.5,21.77,21.83,21.7100285777,9367340,0.0000,1.0
2022-10-26,22.09,22.545,22.03,22.18,22.058105078,3379094,0.0000,1.0
2022-10-25,22.03,22.35,21.95,22.25,22.1277203781,3770160,0.0000,1.0
2022-10-24,21.96,22.065,21.665,22.0,21.8790943064,2815716,0.0000,1.0
2022-10-21,21.51,21.87,21.375,21.8,21.6801934491,3633730,0.0000,1.0
2022-10-20,21.53,21.77,21.49,21.6,21.4812925918,2787777,0.0000,1.0
2022-10-19,21.39,21.54,21.27,21.51,21.391787206,3307060,0.0000,1.0
2022-10-18,21.49,21.78,21.3,21.47,21.3520070345,3289485,0.0000,1.0
2022-10-17,21.15,21.33,21.08,21.2,21.0834908771,4930995,0.0000,1.0
2022-10-14,21.365,21.4,20.735,20.78,20.6657990767,6228727,0.0000,1.0
2022-10-13,20.5,21.31,20.5,21.21,21.09343592,4718604,0.0000,1.0
2022-10-12,20.99,21.06,20.83,20.84,20.7254693339,3946282,0.0000,1.0
2022-10-11,20.89,21.2189,20.665,20.92,20.8050296769,4535633,0.0000,1.0
2022-10-10,20.75,20.89,20.52,20.78,20.6657990767,4871091,0.0000,1.0
2022-10-07,20.85,21.0675,20.58,20.68,20.5663486481,7196126,0.0000,1.0
2022-10-06,21.05,21.16,20.96,21.03,20.9144251484,7382353,0.0000,1.0
2022-10-05,20.73,21.23,20.68,21.08,20.9641503627,3288878,0.0000,1.0
2022-10-04,20.77,20.97,20.61,20.91,20.795084634,4398490,0.0000,1.0
2022-10-03,20.24,20.585,20.14,20.52,20.4072279622,5190491,0.0000,1.0
2022-09-30,20.43,20.605,20.12,20.14,20.0293163333,4884212,0.0000,1.0
2022-09-29,20.81,20.86,20.27,20.37,20.2580523192,3716865,0.0000,1.0
2022-09-28,20.56,21.03,20.39,20.95,20.8348648055,3703076,0.0000,1.0
2022-09-27,20.58,20.81,20.325,20.52,20.4072279622,5468633,0.0000,1.0
2022-09-26,20.69,21.03,20.38,20.51,20.3972829193,7243640,0.0000,1.0
2022-09-23,21.23,21.33,20.44,20.67,20.5564036052,4124917,0.0000,1.0
2022-09-22,21.12,21.46,20.965,21.27,21.1531061772,4351115,0.0000,1.0
2022-09-21,21.23,21.71,21.17,21.19,21.0735458342,6809179,0.0000,1.0
2022-09-20,21.19,21.31,20.76,20.91,20.795084634,5536842,0.0000,1.0
2022-09-19,21.06,21.4,20.955,21.32,21.2028313915,7301505,0.0000,1.0
2022-09-16,21.56,21.69,20.89,21.26,21.1431611343,13297012,0.0000,1.0
2022-09-15,21.49,22.07,21.445,21.58,21.461402506,8531075,0.0000,1.0
2022-09-14,21.77,21.99,21.48,21.53,21.4116772917,9909863,0.0000,1.0
2022-09-13,22.42,22.695,21.67,21.72,21.6006331062,9143197,0.0000,1.0
2022-09-12,22.99,23.1,22.66,22.75,22.6249725214,4783740,0.0000,1.0
2022-09-09,23.34,23.54,22.72,22.73,22.6050824357,15047711,0.0000,1.0
2022-09-08,22.76,23.485,22.72,23.39,23.2614552649,9771963,0.0000,1.0
2022-09-07,22.15,22.885,22.1,22.86,22.734367993,5386961,0.0000,1.0
2022-09-06,22.76,22.87,21.92,22.11,21.988489778,5027703,0.0000,1.0
2022-09-02,22.66,23.1,22.56,22.84,22.7144779072,4668164,0.0000,1.0
2022-09-01,22.53,22.71,22.2,22.58,22.4559067927,4220677,0.0000,1.0
2022-08-31,22.8,22.88,22.51,22.59,22.4658518356,6214727,0.0000,1.0
2022-08-30,22.78,22.905,22.49,22.67,22.5454121785,3144013,0.0000,1.0
2022-08-29,22.63,22.925,22.465,22.8,22.6746977358,2917524,0.0000,1.0
