timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,83.0,83.79,82.81,82.93,82.93,2931279,0.0000,1.0
2022-11-25,83.25,83.6,82.64,82.97,82.97,1319937,0.0000,1.0
2022-11-23,82.41,82.97,82.4011,82.78,82.78,2379305,0.0000,1.0
2022-11-22,82.25,82.86,81.91,82.17,82.17,2718017,0.0000,1.0
2022-11-21,81.5,82.05,80.68,81.98,81.98,3096926,0.0000,1.0
2022-11-18,80.43,81.46,80.19,81.03,81.03,2981201,0.0000,1.0
2022-11-17,78.79,79.79,78.71,79.77,79.77,2493905,0.0000,1.0
2022-11-16,77.99,79.9,77.945,79.06,79.06,3954345,0.0000,1.0
2022-11-15,77.22,77.65,76.51,77.44,77.44,3278305,0.0000,1.0
2022-11-14,77.5,78.93,76.94,76.97,76.97,3950106,0.0000,1.0
2022-11-11,79.0,79.0,75.77,77.25,77.25,6176925,0.0000,1.0
2022-11-10,81.0,81.26,77.8,79.58,79.58,6696343,0.0000,1.0
2022-11-09,79.71,80.97,79.67,80.34,80.34,3667688,0.0000,1.0
2022-11-08,79.04,80.215,78.99,79.56,79.56,2869574,0.0000,1.0
2022-11-07,78.89,79.76,78.792,79.19,79.19,2178414,0.0000,1.0
2022-11-04,79.28,79.98,78.31,79.06,79.06,2856480,0.0000,1.0
2022-11-03,79.31,79.675,78.61,78.91,78.91,3164806,0.0000,1.0
2022-11-02,80.2,80.95,78.66,79.81,79.81,4252733,0.0000,1.0
2022-11-01,81.3,81.71,80.13,80.29,80.29,8683626,0.0000,1.0
2022-10-31,80.93,82.1,80.92,81.58,81.58,4106476,0.0000,1.0
2022-10-28,79.99,81.69,79.96,81.57,81.57,2693905,0.0000,1.0
2022-10-27,78.8,80.375,78.5501,79.87,79.87,4727977,0.0000,1.0
2022-10-26,78.65,79.2,77.76,78.36,78.36,3082078,0.0000,1.0
2022-10-25,77.42,78.55,76.97,78.3,78.3,3389682,0.0000,1.0
2022-10-24,77.67,78.4144,77.14,77.62,77.62,3219138,0.0000,1.0
2022-10-21,76.6,77.64,76.34,77.04,77.04,2907084,0.0000,1.0
2022-10-20,77.86,78.16,76.56,76.67,76.67,3002800,0.0000,1.0
2022-10-19,78.39,78.9,77.65,78.13,78.13,2282961,0.0000,1.0
2022-10-18,77.77,78.46,77.58,78.27,78.27,2655305,0.0000,1.0
2022-10-17,78.15,78.515,76.85,77.41,77.41,3490434,0.0000,1.0
2022-10-14,79.08,79.28,77.496,77.71,77.71,2928772,0.0000,1.0
2022-10-13,76.92,79.13,76.71,78.82,78.82,3396452,0.0000,1.0
2022-10-12,77.93,78.23,77.33,77.36,77.36,3045625,0.0000,1.0
2022-10-11,76.44,77.935,76.44,77.39,77.39,3173215,0.0000,1.0
2022-10-10,75.74,76.75,75.56,76.41,76.41,3245855,0.0000,1.0
2022-10-07,75.06,75.695,74.42,75.35,75.35,3755475,0.0000,1.0
2022-10-06,76.99,77.2,74.63,74.97,74.97,5449152,0.5400,1.0
2022-10-05,78.39,78.4855,77.15,77.69,77.1344100119,2795230,0.0000,1.0
2022-10-04,78.6,79.58,77.82,78.5,77.9386174017,4093471,0.0000,1.0
2022-10-03,77.06,78.715,76.53,78.48,77.9187604291,4069084,0.0000,1.0
2022-09-30,77.5,77.9,76.46,76.61,76.0621334923,4100957,0.0000,1.0
2022-09-29,78.96,79.08,77.57,77.71,77.1542669845,3515667,0.0000,1.0
2022-09-28,78.44,79.06,77.5,78.79,78.2265435042,3953671,0.0000,1.0
2022-09-27,79.0,80.13,77.83,77.97,77.4124076281,4108422,0.0000,1.0
2022-09-26,78.99,79.5,78.11,78.66,78.0974731824,3561361,0.0000,1.0
2022-09-23,80.09,80.54,78.3,79.17,78.6038259833,4795387,0.0000,1.0
2022-09-22,80.19,81.24,78.89,80.78,80.2023122765,7083905,0.0000,1.0
2022-09-21,77.98,81.04,77.04,79.72,79.1498927294,14038655,0.0000,1.0
2022-09-20,75.45,75.78,74.9,75.41,74.8707151371,4802867,0.0000,1.0
2022-09-19,75.31,75.91,75.14,75.83,75.2877115614,2907519,0.0000,1.0
2022-09-16,75.23,76.01,74.72,75.25,74.7118593564,6718583,0.0000,1.0
2022-09-15,74.61,75.2,73.78,75.07,74.5331466031,4664914,0.0000,1.0
2022-09-14,74.1,74.945,74.09,74.42,73.887794994,3604537,0.0000,1.0
2022-09-13,75.7,76.03,74.06,74.35,73.81829559,3344830,0.0000,1.0
2022-09-12,76.04,76.43,75.7698,76.15,75.6054231228,2513871,0.0000,1.0
2022-09-09,75.86,76.475,75.05,75.91,75.3671394517,2436114,0.0000,1.0
2022-09-08,75.86,76.2,74.7,75.63,75.0891418355,3620310,0.0000,1.0
2022-09-07,75.42,76.39,74.88,76.28,75.7344934446,4348828,0.0000,1.0
2022-09-06,76.66,76.95,75.13,75.3,74.7615017878,5326720,0.0000,1.0
2022-09-02,77.63,78.4,76.43,76.72,76.1713468415,3946532,0.0000,1.0
2022-09-01,76.49,77.36,75.75,77.16,76.6082002384,2695111,0.0000,1.0
2022-08-31,77.28,77.86,76.69,76.8,76.2507747318,4307278,0.0000,1.0
2022-08-30,77.22,77.55,76.73,76.98,76.4294874851,2475684,0.0000,1.0
2022-08-29,76.01,77.69,75.78,77.22,76.6677711561,2699810,0.0000,1.0
2022-08-26,77.91,78.15,76.21,76.32,75.7742073897,3846903,0.0000,1.0
2022-08-25,78.23,78.35,77.16,77.9,77.3429082241,3132496,0.0000,1.0
2022-08-24,78.04,78.535,77.68,78.45,77.8889749702,2488458,0.0000,1.0
2022-08-23,77.53,78.0,77.15,77.87,77.3131227652,2400367,0.0000,1.0
2022-08-22,77.65,77.93,77.14,77.5,76.9457687723,1742721,0.0000,1.0
2022-08-19,77.71,78.36,77.44,77.97,77.4124076281,2646187,0.0000,1.0
2022-08-18,77.11,77.55,76.53,77.5,76.9457687723,2575676,0.0000,1.0
2022-08-17,77.47,77.92,77.1,77.14,76.5883432658,2387847,0.0000,1.0
2022-08-16,76.46,77.86,76.36,77.44,76.8861978546,6201469,0.0000,1.0
2022-08-15,76.86,77.21,76.24,76.64,76.0919189511,5688499,0.0000,1.0
2022-08-12,77.21,77.28,76.56,77.0,76.4493444577,2409390,0.0000,1.0
2022-08-11,77.69,78.24,76.93,76.96,76.4096305125,2762584,0.0000,1.0
2022-08-10,77.48,77.73,77.17,77.58,77.0251966627,2681145,0.0000,1.0
2022-08-09,76.54,77.71,76.5,77.03,76.4791299166,2758464,0.0000,1.0
2022-08-08,76.37,76.865,76.22,76.36,75.8139213349,2382050,0.0000,1.0
2022-08-05,75.8,76.19,75.02,76.17,75.6252800954,2266053,0.0000,1.0
2022-08-04,75.25,76.24,75.25,75.52,74.9799284863,2622609,0.0000,1.0
2022-08-03,75.44,75.8,75.084,75.6,75.0593563766,4030869,0.0000,1.0
2022-08-02,76.0,76.25,75.12,75.68,75.138784267,5521648,0.0000,1.0
