timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,33.79,33.8,32.89,33.11,33.11,5444123,0.0000,1.0
2022-11-25,34.01,34.37,34.0,34.12,34.12,1414661,0.0000,1.0
2022-11-23,33.99,34.23,33.51,33.92,33.92,3657829,0.0000,1.0
2022-11-22,33.82,34.25,33.8,33.98,33.98,3400343,0.0000,1.0
2022-11-21,33.74,33.85,33.475,33.66,33.66,3035294,0.0000,1.0
2022-11-18,33.7,34.025,33.65,33.89,33.89,3315045,0.0000,1.0
2022-11-17,32.66,33.31,32.65,33.29,33.29,2862156,0.2700,1.0
2022-11-16,34.2,34.2,33.175,33.48,33.2106436234,4376779,0.0000,1.0
2022-11-15,34.48,34.81,33.72,34.36,34.0835637664,4640995,0.0000,1.0
2022-11-14,34.32,34.795,33.95,33.99,33.7165405244,4856000,0.0000,1.0
2022-11-11,34.17,34.875,34.0,34.46,34.1827592372,3782977,0.0000,1.0
2022-11-10,33.9,33.96,33.17,33.9,33.6272646007,5408129,0.0000,1.0
2022-11-09,32.79,32.915,31.97,32.06,31.802067938,4365807,0.0000,1.0
2022-11-08,33.35,33.53,32.585,32.98,32.7146662694,4569695,0.0000,1.0
2022-11-07,33.17,33.215,32.645,33.08,32.8138617402,3255739,0.0000,1.0
2022-11-04,32.56,33.0095,32.37,32.89,32.6253903456,3736656,0.0000,1.0
2022-11-03,31.28,32.155,31.07,31.88,31.6235160906,3546552,0.0000,1.0
2022-11-02,32.46,32.93,31.74,31.75,31.4945619785,3869317,0.0000,1.0
2022-11-01,32.56,32.67,31.97,32.56,32.298045292,4012788,0.0000,1.0
2022-10-31,32.26,32.31,31.935,32.17,31.9111829559,4122538,0.0000,1.0
2022-10-28,32.26,32.62,32.13,32.49,32.2286084625,3517476,0.0000,1.0
2022-10-27,32.64,32.93,31.97,32.11,31.8516656734,4848120,0.0000,1.0
2022-10-26,31.43,32.61,31.33,32.39,32.1294129917,7357559,0.0000,1.0
2022-10-25,29.83,31.78,29.63,31.73,31.4747228844,15604585,0.0000,1.0
2022-10-24,32.21,32.45,31.79,32.33,32.0698957092,7771906,0.0000,1.0
