timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,15.13,15.205,14.99,15.05,15.05,10432023,0.0000,1.0
2022-11-25,15.16,15.39,15.155,15.24,15.24,4746441,0.0000,1.0
2022-11-23,15.09,15.23,15.07,15.17,15.17,6720644,0.0000,1.0
2022-11-22,15.04,15.185,14.99,15.15,15.15,7873996,0.0000,1.0
2022-11-21,14.86,15.01,14.85,14.94,14.94,7490562,0.0000,1.0
2022-11-18,15.02,15.08,14.79,14.89,14.89,9665158,0.0000,1.0
2022-11-17,14.74,14.86,14.64,14.78,14.78,11747226,0.0000,1.0
2022-11-16,15.09,15.14,14.89,14.9,14.9,12180250,0.0000,1.0
2022-11-15,15.12,15.24,14.92,15.1,15.1,19620018,0.0000,1.0
2022-11-14,14.95,15.14,14.89,14.96,14.96,16890237,0.0000,1.0
2022-11-11,15.26,15.38,14.84,14.97,14.97,22359795,0.0000,1.0
2022-11-10,15.46,15.55,15.045,15.18,15.18,29785596,0.0000,1.0
2022-11-09,15.35,15.37,14.95,14.98,14.98,18651604,0.0000,1.0
2022-11-08,15.44,15.59,15.345,15.48,15.48,14151303,0.0000,1.0
2022-11-07,15.46,15.56,15.3537,15.5,15.5,13719304,0.0000,1.0
2022-11-04,15.11,15.395,15.04,15.38,15.38,16228671,0.0000,1.0
2022-11-03,14.86,15.08,14.64,14.92,14.92,13878428,0.0000,1.0
2022-11-02,15.2,15.45,14.97,14.98,14.98,16340537,0.0000,1.0
2022-11-01,15.3,15.37,15.205,15.28,15.28,10520946,0.0000,1.0
2022-10-31,15.01,15.32,14.99,15.18,15.18,17297078,0.0000,1.0
2022-10-28,15.04,15.125,14.925,15.11,15.11,14443295,0.0000,1.0
2022-10-27,15.04,15.17,14.87,14.9,14.9,15781306,0.0000,1.0
2022-10-26,14.91,15.05,14.85,14.91,14.91,14198737,0.0000,1.0
2022-10-25,14.735,14.92,14.605,14.84,14.84,19309774,0.0000,1.0
2022-10-24,14.6,15.005,14.54,14.85,14.85,33352992,0.0000,1.0
2022-10-21,13.51,14.51,13.51,14.45,14.45,41221458,0.0000,1.0
2022-10-20,13.63,13.75,13.095,13.2,13.2,23522347,0.0000,1.0
2022-10-19,14.0,14.12,13.57,13.62,13.62,19879792,0.0000,1.0
2022-10-18,14.09,14.32,13.91,14.11,14.11,22121903,0.0000,1.0
2022-10-17,13.81,14.1,13.6701,13.85,13.85,17564032,0.0000,1.0
2022-10-14,14.01,14.25,13.6204,13.67,13.67,27258172,0.0000,1.0
2022-10-13,12.87,13.92,12.77,13.89,13.89,30246009,0.0000,1.0
2022-10-12,13.07,13.17,12.95,13.03,13.03,14408999,0.0000,1.0
2022-10-11,13.13,13.28,13.0,13.08,13.08,16984613,0.0000,1.0
2022-10-10,13.3,13.375,13.08,13.23,13.23,17346452,0.0000,1.0
2022-10-07,13.49,13.505,13.14,13.21,13.21,21667294,0.0000,1.0
2022-10-06,13.65,13.775,13.515,13.6,13.6,22501154,0.0000,1.0
2022-10-05,13.74,13.88,13.585,13.72,13.72,24549192,0.0000,1.0
2022-10-04,13.71,14.05,13.64,13.95,13.95,30663418,0.0000,1.0
2022-10-03,13.33,13.545,13.12,13.47,13.47,20244576,0.0000,1.0
2022-09-30,13.17,13.465,13.1,13.18,13.18,16952702,0.0000,1.0
2022-09-29,13.07,13.245,12.9,13.17,13.17,18323229,0.0000,1.0
2022-09-28,12.87,13.345,12.825,13.27,13.27,18674586,0.0000,1.0
2022-09-27,13.015,13.185,12.7,12.86,12.86,21535301,0.0000,1.0
2022-09-26,13.07,13.25,12.89,13.01,13.01,21225176,0.0000,1.0
2022-09-23,13.25,13.285,12.9,13.19,13.19,23118895,0.0000,1.0
2022-09-22,13.75,13.82,13.35,13.41,13.41,21884496,0.0000,1.0
2022-09-21,13.98,14.16,13.72,13.72,13.72,18911309,0.0000,1.0
2022-09-20,13.885,14.01,13.81,13.9,13.9,18028545,0.0000,1.0
2022-09-19,13.56,14.085,13.51,14.03,14.03,20260073,0.0000,1.0
2022-09-16,13.93,13.96,13.605,13.71,13.71,37161032,0.1550,1.0
2022-09-15,13.96,14.4172,13.92,14.26,14.1005842048,28496564,0.0000,1.0
2022-09-14,14.07,14.12,13.72,13.87,13.7149441039,17437122,0.0000,1.0
2022-09-13,14.14,14.355,13.98,14.02,13.8632672196,22500947,0.0000,1.0
2022-09-12,14.22,14.58,14.2,14.46,14.2983483592,19089480,0.0000,1.0
2022-09-09,14.19,14.28,14.09,14.14,13.9819257122,15002195,0.0000,1.0
2022-09-08,13.47,14.16,13.42,14.14,13.9819257122,21315130,0.0000,1.0
2022-09-07,13.12,13.6,13.08,13.55,13.3985214569,12405111,0.0000,1.0
2022-09-06,13.41,13.44,12.96,13.17,13.0227695636,20311572,0.0000,1.0
2022-09-02,13.55,13.685,13.23,13.32,13.1710926794,13879419,0.0000,1.0
2022-09-01,13.36,13.4,13.05,13.37,13.220533718,13193932,0.0000,1.0
2022-08-31,13.41,13.55,13.345,13.4,13.2501983411,19214088,0.0000,1.0
2022-08-30,13.49,13.55,13.32,13.39,13.2403101334,10047778,0.0000,1.0
2022-08-29,13.56,13.58,13.35,13.47,13.3194157952,8928226,0.0000,1.0
2022-08-26,14.13,14.15,13.64,13.64,13.4875153264,9266676,0.0000,1.0
2022-08-25,13.78,14.0299,13.74,14.01,13.8533790119,9672023,0.0000,1.0
2022-08-24,13.64,13.8278,13.62,13.74,13.5863974035,9006220,0.0000,1.0
2022-08-23,13.75,13.87,13.7,13.72,13.5666209881,10715414,0.0000,1.0
2022-08-22,13.835,13.86,13.67,13.71,13.5567327804,11709772,0.0000,1.0
2022-08-19,14.23,14.26,13.98,14.08,13.9225964659,10961966,0.0000,1.0
2022-08-18,14.37,14.379,14.21,14.33,14.1698016589,7477709,0.0000,1.0
2022-08-17,14.31,14.38,14.2,14.33,14.1698016589,9275512,0.0000,1.0
2022-08-16,14.35,14.55,14.31,14.47,14.3082365669,7031212,0.0000,1.0
2022-08-15,14.21,14.4,14.13,14.36,14.199466282,6076041,0.0000,1.0
2022-08-12,14.31,14.365,14.145,14.35,14.1895780743,7707306,0.0000,1.0
2022-08-11,14.06,14.35,14.06,14.19,14.0313667508,12779385,0.0000,1.0
2022-08-10,13.78,14.06,13.75,13.96,13.8039379733,12067606,0.0000,1.0
2022-08-09,13.5,13.58,13.39,13.58,13.4281860801,8350570,0.0000,1.0
2022-08-08,13.48,13.63,13.41,13.46,13.3095275875,8352532,0.0000,1.0
2022-08-05,13.33,13.58,13.26,13.45,13.2996393797,9234603,0.0000,1.0
2022-08-04,13.42,13.43,13.29,13.32,13.1710926794,9957339,0.0000,1.0
2022-08-03,13.29,13.45,13.19,13.39,13.2403101334,9362565,0.0000,1.0
2022-08-02,13.36,13.36,13.095,13.21,13.0623223945,9812927,0.0000,1.0
2022-08-01,13.2,13.37,13.0802,13.35,13.2007573026,10542003,0.0000,1.0
2022-07-29,13.08,13.33,13.05,13.29,13.1414280563,15653135,0.0000,1.0
2022-07-28,13.09,13.1961,12.88,13.04,12.8942228633,13837353,0.0000,1.0
2022-07-27,12.9,13.17,12.845,13.09,12.9436639019,7928725,0.0000,1.0
2022-07-26,13.18,13.23,12.83,12.88,12.7360115398,8288875,0.0000,1.0
2022-07-25,13.155,13.31,13.01,13.27,13.1216516408,9184644,0.0000,1.0
2022-07-22,13.39,13.45,12.94,13.02,12.8744464479,12271837,0.0000,1.0
2022-07-21,13.05,13.485,12.82,13.34,13.1908690948,20004709,0.0000,1.0
2022-07-20,12.93,13.015,12.77,12.96,12.8151172016,15176117,0.0000,1.0
2022-07-19,12.77,13.09,12.75,13.04,12.8942228633,12855101,0.0000,1.0
2022-07-18,12.69,12.845,12.51,12.58,12.4393653083,11293091,0.0000,1.0
2022-07-15,12.09,12.58,12.035,12.51,12.3701478543,12764111,0.0000,1.0
2022-07-14,11.88,11.93,11.74,11.89,11.7570789758,12813992,0.0000,1.0
2022-07-13,12.3,12.3,11.92,12.13,11.9943959611,15210572,0.0000,1.0
2022-07-12,12.2,12.59,12.15,12.34,12.2020483231,11522707,0.0000,1.0
2022-07-11,12.16,12.37,12.09,12.29,12.1526072845,8468311,0.0000,1.0
2022-07-08,12.46,12.46,12.18,12.27,12.1328308691,9446147,0.0000,1.0
2022-07-07,12.27,12.42,12.255,12.38,12.241601154,9425199,0.0000,1.0
2022-07-06,12.04,12.2,11.92,12.13,11.9943959611,12583762,0.0000,1.0
2022-07-05,11.87,12.13,11.685,12.13,11.9943959611,13911094,0.0000,1.0
2022-07-01,11.87,12.15,11.67,12.1,11.9647313379,20518539,0.0000,1.0
2022-06-30,11.935,12.22,11.77,12.03,11.8955138839,16300771,0.0000,1.0
2022-06-29,12.32,12.39,12.13,12.24,12.1031662459,11418801,0.0000,1.0
2022-06-28,12.56,12.65,12.27,12.28,12.1427190768,10036550,0.0000,1.0
2022-06-27,12.62,12.62,12.3,12.37,12.2317129463,7184671,0.0000,1.0
2022-06-24,11.99,12.52,11.96,12.51,12.3701478543,14079050,0.0000,1.0
2022-06-23,12.15,12.16,11.725,11.94,11.8065200144,10933599,0.0000,1.0
2022-06-22,12.02,12.23,11.94,12.17,12.0339487919,10025238,0.0000,1.0
2022-06-21,12.18,12.31,12.04,12.12,11.9845077533,10190454,0.0000,1.0
2022-06-17,11.88,12.15,11.85,11.94,11.8065200144,26544478,0.0000,1.0
2022-06-16,12.222,12.26,11.8,11.84,11.7076379373,15281653,0.1550,1.0
2022-06-15,12.5,12.77,12.35,12.54,12.23958147,19258702,0.0000,1.0
2022-06-14,12.32,12.5,12.095,12.24,11.9467685162,15460474,0.0000,1.0
2022-06-13,12.13,12.4075,12.035,12.26,11.9662893798,19305514,0.0000,1.0
2022-06-10,12.81,12.86,12.42,12.45,12.1517375839,17105835,0.0000,1.0
2022-06-09,13.51,13.5295,13.08,13.08,12.7666447869,8415137,0.0000,1.0
2022-06-08,13.65,13.65,13.46,13.52,13.1961037859,7312226,0.0000,1.0
2022-06-07,13.6,13.76,13.44,13.75,13.4205937172,10825998,0.0000,1.0
2022-06-06,13.71,13.9606,13.64,13.7,13.3717915582,9936062,0.0000,1.0
2022-06-03,13.61,13.68,13.53,13.59,13.2644268084,9761608,0.0000,1.0
2022-06-02,13.67,13.825,13.5,13.8,13.4693958761,11480711,0.0000,1.0
2022-06-01,13.87,13.8999,13.37,13.59,13.2644268084,10562762,0.0000,1.0
2022-05-31,13.85,14.0,13.63,13.88,13.5474793305,17286829,0.0000,1.0
2022-05-27,13.82,13.93,13.765,13.93,13.5962814894,6586836,0.0000,1.0
2022-05-26,13.57,13.865,13.565,13.81,13.4791563079,11114547,0.0000,1.0
2022-05-25,13.43,13.72,13.38,13.64,13.3132289674,8335442,0.0000,1.0
2022-05-24,13.535,13.535,13.12,13.42,13.0984994679,9667226,0.0000,1.0
2022-05-23,13.33,13.665,13.19,13.51,13.1863433541,12716823,0.0000,1.0
2022-05-20,13.2,13.31,12.75,13.02,12.7080821962,14067504,0.0000,1.0
2022-05-19,12.97,13.27,12.97,13.11,12.7959260823,16014872,0.0000,1.0
2022-05-18,13.42,13.43,13.09,13.19,12.8740095367,11413985,0.0000,1.0
2022-05-17,13.16,13.48,13.16,13.47,13.1473016269,11209189,0.0000,1.0
2022-05-16,13.02,13.15,12.795,12.91,12.6007174464,9985890,0.0000,1.0
2022-05-13,13.01,13.17,12.905,13.05,12.7373634915,11637230,0.0000,1.0
2022-05-12,12.71,12.95,12.555,12.88,12.571436151,15671539,0.0000,1.0
2022-05-11,13.12,13.36,12.77,12.78,12.4738318331,12081652,0.0000,1.0
2022-05-10,13.25,13.385,12.71,13.1,12.7861656505,17119850,0.0000,1.0
2022-05-09,13.21,13.33,13.03,13.16,12.8447282413,10334012,0.0000,1.0
2022-05-06,13.59,13.62,13.2,13.35,13.0301764454,11571914,0.0000,1.0
2022-05-05,13.8,13.81,13.36,13.61,13.283947672,12933979,0.0000,1.0
2022-05-04,13.51,13.91,13.4,13.9,13.5670001941,13535856,0.0000,1.0
2022-05-03,13.39,13.61,13.245,13.49,13.1668224905,14721865,0.0000,1.0
2022-05-02,13.22,13.37,12.98,13.26,12.9423325592,20108044,0.0000,1.0
2022-04-29,13.58,13.705,13.12,13.15,12.8349678095,19427455,0.0000,1.0
2022-04-28,13.64,13.7,13.38,13.58,13.2546663766,13683003,0.0000,1.0
2022-04-27,13.58,13.66,13.39,13.5,13.1765829223,14194599,0.0000,1.0
2022-04-26,13.71,14.045,13.57,13.57,13.2449059449,14505230,0.0000,1.0
2022-04-25,13.84,13.93,13.49,13.9,13.5670001941,18895894,0.0000,1.0
2022-04-22,14.345,14.345,13.735,13.76,13.4303541489,17257032,0.0000,1.0
2022-04-21,14.5,14.905,14.06,14.1,13.76220883,24289968,0.0000,1.0
2022-04-20,14.185,14.5,14.135,14.24,13.8988548751,19032245,0.0000,1.0
2022-04-19,13.7,14.08,13.57,14.07,13.7329275346,16990248,0.0000,1.0
2022-04-18,13.29,13.57,13.27,13.52,13.1961037859,9989020,0.0000,1.0
2022-04-14,13.42,13.58,13.301,13.36,13.0399368772,10599109,0.0000,1.0
2022-04-13,13.35,13.48,13.26,13.44,13.1180203315,12387417,0.0000,1.0
2022-04-12,13.84,13.95,13.38,13.47,13.1473016269,12205746,0.0000,1.0
2022-04-11,13.8,14.16,13.73,13.8,13.4693958761,13312715,0.0000,1.0
2022-04-08,13.81,13.99,13.71,13.8,13.4693958761,11862786,0.0000,1.0
2022-04-07,14.09,14.2,13.615,13.85,13.5181980351,16652633,0.0000,1.0
2022-04-06,14.25,14.3423,14.0737,14.11,13.7719692617,13351093,0.0000,1.0
2022-04-05,14.35,14.6259,14.34,14.37,14.0257404884,8254224,0.0000,1.0
2022-04-04,14.42,14.56,14.14,14.44,14.094063511,9498081,0.0000,1.0
2022-04-01,14.83,14.9,14.35,14.44,14.094063511,12519315,0.0000,1.0
2022-03-31,14.87,14.98,14.61,14.62,14.2697512833,10430862,0.0000,1.0
2022-03-30,15.31,15.36,14.79,14.89,14.5332829417,7932213,0.0000,1.0
2022-03-29,15.37,15.44,15.125,15.33,14.9627419406,7172264,0.0000,1.0
2022-03-28,15.26,15.26,14.8391,15.09,14.7284915776,6239233,0.0000,1.0
2022-03-25,15.14,15.41,15.11,15.35,14.9822628042,5815521,0.0000,1.0
2022-03-24,15.05,15.21,14.915,15.14,14.7772937366,8385536,0.0000,1.0
2022-03-23,15.29,15.39,14.955,14.99,14.6308872596,6619456,0.0000,1.0
2022-03-22,15.32,15.58,15.24,15.42,15.0505858268,9273405,0.0000,1.0
2022-03-21,15.28,15.44,14.945,15.08,14.7187311458,7589015,0.0000,1.0
2022-03-18,15.09,15.24,14.825,15.12,14.757772873,20690203,0.0000,1.0
2022-03-17,15.14,15.24,14.81,15.19,14.8260958955,10356086,0.1550,1.0
2022-03-16,15.17,15.43,15.14,15.43,14.9082215489,16581434,0.0000,1.0
2022-03-15,15.13,15.25,14.745,14.97,14.4637768365,9501587,0.0000,1.0
2022-03-14,14.98,15.3,14.87,15.04,14.5314097275,12256727,0.0000,1.0
2022-03-11,14.74,15.03,14.68,14.72,14.2222307971,13213832,0.0000,1.0
2022-03-10,14.48,14.7,14.39,14.61,14.1159505398,10312191,0.0000,1.0
2022-03-09,14.61,14.87,14.545,14.71,14.2125689556,10998072,0.0000,1.0
2022-03-08,14.39,14.65,13.98,14.19,13.7101531937,14249465,0.0000,1.0
2022-03-07,14.61,14.73,14.08,14.09,13.613534778,17039675,0.0000,1.0
2022-03-04,14.71,14.83,14.51,14.76,14.2608781634,14149280,0.0000,1.0
2022-03-03,15.09,15.21,14.82,15.08,14.5700570938,8297392,0.0000,1.0
2022-03-02,14.56,15.19,14.55,15.09,14.5797189354,11989325,0.0000,1.0
2022-03-01,15.3,15.38,14.13,14.39,13.9033900252,26745039,0.0000,1.0
2022-02-28,15.12,15.55,15.1,15.52,14.9951781231,17393428,0.0000,1.0
2022-02-25,15.11,15.69,14.98,15.57,15.0434873309,16817932,0.0000,1.0
2022-02-24,14.745,15.01,14.38,14.96,14.4541149949,18710763,0.0000,1.0
2022-02-23,15.92,16.035,15.26,15.3,14.7826176084,10860325,0.0000,1.0
2022-02-22,15.76,15.97,15.66,15.83,15.2946952119,10033769,0.0000,1.0
2022-02-18,15.8,16.01,15.75,15.85,15.314018895,10190581,0.0000,1.0
2022-02-17,16.0,16.13,15.8142,15.87,15.3333425782,13662184,0.0000,1.0
2022-02-16,16.05,16.4,16.05,16.19,15.6425215085,6522339,0.0000,1.0
2022-02-15,15.95,16.26,15.8899,16.21,15.6618451917,6002184,0.0000,1.0
2022-02-14,15.93,16.07,15.555,15.7,15.1690912714,11140583,0.0000,1.0
2022-02-11,15.89,16.29,15.8,15.92,15.381651786,11462430,0.0000,1.0
2022-02-10,16.205,16.51,15.98,16.05,15.5072557265,13317193,0.0000,1.0
2022-02-09,16.31,16.38,16.13,16.14,15.5942123007,7063276,0.0000,1.0
2022-02-08,16.02,16.33,15.92,16.3,15.7488017659,9847226,0.0000,1.0
2022-02-07,15.85,15.99,15.695,15.83,15.2946952119,6914249,0.0000,1.0
2022-02-04,15.47,15.97,15.47,15.83,15.2946952119,8448773,0.0000,1.0
2022-02-03,15.82,16.0,15.555,15.57,15.0434873309,9105705,0.0000,1.0
2022-02-02,15.5,15.85,15.39,15.81,15.2753715287,11443681,0.0000,1.0
2022-02-01,15.07,15.61,14.99,15.56,15.0338254894,19833157,0.0000,1.0
2022-01-31,14.93,15.21,14.71,15.06,14.5507334107,20704794,0.0000,1.0
2022-01-28,15.01,15.19,14.76,15.18,14.6666755096,12132220,0.0000,1.0
2022-01-27,15.7,15.775,14.98,15.06,14.5507334107,14740422,0.0000,1.0
2022-01-26,15.73,15.76,15.165,15.43,14.9082215489,17027250,0.0000,1.0
2022-01-25,15.495,15.71,15.01,15.52,14.9951781231,17131184,0.0000,1.0
2022-01-24,15.09,15.68,14.75,15.64,15.111120222,24478428,0.0000,1.0
2022-01-21,15.86,15.93,14.91,15.18,14.6666755096,33069640,0.0000,1.0
2022-01-20,17.03,17.315,16.63,16.68,16.1159517457,18531632,0.0000,1.0
2022-01-19,17.47,17.56,17.09,17.11,16.5314109334,15977734,0.0000,1.0
2022-01-18,17.71,17.79,17.31,17.45,16.8599135469,14128478,0.0000,1.0
2022-01-14,17.08,17.64,16.995,17.63,17.0338266952,17087788,0.0000,1.0
2022-01-13,17.24,17.44,17.14,17.33,16.743971448,12630972,0.0000,1.0
2022-01-12,17.01,17.15,16.91,17.09,16.5120872502,10962005,0.0000,1.0
2022-01-11,16.99,17.0899,16.76,17.01,16.4347925176,14773299,0.0000,1.0
2022-01-10,17.35,17.47,16.84,17.03,16.4541162008,15487038,0.0000,1.0
2022-01-07,17.0,17.34,16.95,17.22,16.6376911907,11697785,0.0000,1.0
2022-01-06,16.7,17.06,16.595,17.03,16.4541162008,12749027,0.0000,1.0
2022-01-05,16.5,16.7,16.41,16.42,15.8647438647,11826402,0.0000,1.0
2022-01-04,15.94,16.5,15.94,16.4,15.8454201816,10338171,0.0000,1.0
2022-01-03,15.5,15.98,15.49,15.8,15.2657096872,10812475,0.0000,1.0
2021-12-31,15.39,15.5,15.36,15.42,14.8985597073,5027929,0.0000,1.0
2021-12-30,15.44,15.645,15.41,15.43,14.9082215489,4614800,0.0000,1.0
