timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,75.41,76.05,74.93,75.06,75.06,1219651,0.0000,1.0
2022-11-25,75.97,76.09,75.685,75.97,75.97,481362,0.0000,1.0
2022-11-23,74.6,75.92,74.58,75.53,75.53,2806675,0.0000,1.0
2022-11-22,74.06,75.01,73.76,74.75,74.75,1761947,0.0000,1.0
2022-11-21,73.74,74.255,73.03,73.63,73.63,1401387,0.0000,1.0
2022-11-18,74.09,74.44,72.765,73.69,73.69,1633875,0.0000,1.0
2022-11-17,72.3,73.275,72.18,73.08,73.08,1246824,0.0000,1.0
2022-11-16,72.91,73.355,72.48,72.89,72.89,1124624,0.0000,1.0
2022-11-15,73.2,73.85,72.17,72.88,72.88,1942502,0.0000,1.0
2022-11-14,73.83,74.33,72.29,72.31,72.31,2315032,0.0000,1.0
2022-11-11,74.91,75.1,73.25,73.63,73.63,1988862,0.0000,1.0
2022-11-10,73.49,74.42,73.05,74.3,74.3,1624270,0.0000,1.0
2022-11-09,73.3,73.37,71.66,71.91,71.91,1942883,0.0000,1.0
2022-11-08,73.8,74.28,72.95,73.5,73.5,1557593,0.0000,1.0
2022-11-07,74.16,74.22,73.26,73.97,73.97,1749938,0.0000,1.0
2022-11-04,73.72,74.14,72.88,73.79,73.79,1247040,0.0000,1.0
2022-11-03,71.99,73.45,71.43,72.82,72.82,1305723,0.0000,1.0
2022-11-02,73.39,73.735,72.15,72.37,72.37,2309397,0.0000,1.0
2022-11-01,72.73,74.2,71.66,73.74,73.74,2191042,0.0000,1.0
2022-10-31,72.0,72.835,71.82,72.41,72.41,1846165,0.0000,1.0
2022-10-28,67.39,72.72,67.05,72.16,72.16,3291513,0.0000,1.0
2022-10-27,69.6,70.8,69.6,70.25,70.25,2360062,0.0000,1.0
2022-10-26,70.0,70.4,69.2,69.25,69.25,1859357,0.0000,1.0
2022-10-25,68.67,69.52,68.34,69.49,69.49,1886103,0.0000,1.0
2022-10-24,67.8,69.42,67.435,69.33,69.33,2349470,0.0000,1.0
2022-10-21,65.85,67.2,65.59,67.19,67.19,1856776,0.0000,1.0
2022-10-20,67.04,67.5,65.31,65.61,65.61,1755869,0.0000,1.0
2022-10-19,66.67,68.06,66.3153,68.0,68.0,1926515,0.0000,1.0
2022-10-18,67.3,67.837,66.26,66.8,66.8,1652042,0.0000,1.0
2022-10-17,65.79,66.45,65.51,66.02,66.02,1828926,0.0000,1.0
2022-10-14,66.77,67.29,64.62,64.75,64.75,1769309,0.0000,1.0
2022-10-13,62.85,66.76,62.43,66.52,66.52,1648534,0.0000,1.0
2022-10-12,64.18,64.71,63.62,63.67,63.67,1754801,0.0000,1.0
2022-10-11,63.68,64.985,63.53,64.22,64.22,1521830,0.0000,1.0
2022-10-10,64.45,64.73,63.54,63.8,63.8,1295985,0.0000,1.0
2022-10-07,64.59,64.77,63.59,64.04,64.04,1776571,0.0000,1.0
2022-10-06,65.43,65.93,64.73,64.84,64.84,1771369,0.0000,1.0
2022-10-05,65.18,65.89,65.18,65.76,65.76,1676936,0.0000,1.0
2022-10-04,64.27,66.01,64.26,65.96,65.96,1905529,0.0000,1.0
2022-10-03,62.57,64.15,61.89,63.57,63.57,2090723,0.0000,1.0
2022-09-30,62.65,63.15,61.94,61.94,61.94,1791658,0.0000,1.0
2022-09-29,62.57,62.85,61.9,62.65,62.65,2117826,0.0000,1.0
2022-09-28,62.13,63.515,61.93,63.06,63.06,1956466,0.0000,1.0
2022-09-27,61.03,62.07,60.78,61.97,61.97,2244422,0.0000,1.0
2022-09-26,61.51,62.16,60.165,60.63,60.63,2048032,0.0000,1.0
2022-09-23,61.75,62.09,60.89,61.92,61.92,1927366,0.0000,1.0
2022-09-22,63.07,63.08,61.94,62.39,62.39,1581786,0.0000,1.0
2022-09-21,65.43,65.49,63.02,63.07,63.07,1434208,0.0000,1.0
2022-09-20,65.45,65.52,64.1,64.96,64.96,1741921,0.0000,1.0
