timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,49.4,49.46,48.93,49.11,49.11,1498768,0.0000,1.0
2022-11-25,49.25,49.41,48.975,49.41,49.41,783971,0.0000,1.0
2022-11-23,49.3,49.37,49.03,49.15,49.15,1301964,0.0000,1.0
2022-11-22,49.5,49.73,49.1021,49.29,49.29,1691268,0.0000,1.0
2022-11-21,48.78,49.45,48.54,49.31,49.31,1323036,0.0000,1.0
2022-11-18,48.41,48.78,48.275,48.66,48.66,1251690,0.0000,1.0
2022-11-17,47.84,48.275,47.71,48.07,48.07,1087249,0.0000,1.0
2022-11-16,47.29,48.11,47.29,47.99,47.99,1335176,0.0000,1.0
2022-11-15,47.33,47.42,46.75,47.14,47.14,1510122,0.0000,1.0
2022-11-14,47.56,47.935,46.99,47.0,47.0,1383990,0.0000,1.0
2022-11-11,47.63,47.63,45.98,47.4,47.4,1813771,0.0000,1.0
2022-11-10,47.84,47.91,46.64,47.58,47.58,1730205,0.0000,1.0
2022-11-09,47.51,47.877,47.085,47.14,47.14,1070403,0.0000,1.0
2022-11-08,47.1,47.97,46.94,47.46,47.46,1357699,0.0000,1.0
2022-11-07,46.2,47.14,46.1653,47.01,47.01,1445905,0.0000,1.0
2022-11-04,46.08,46.36,45.53,46.06,46.06,926150,0.0000,1.0
2022-11-03,45.97,46.095,45.545,45.82,45.82,1300936,0.0000,1.0
2022-11-02,46.63,47.08,46.255,46.31,46.31,1814733,0.0000,1.0
2022-11-01,46.45,46.74,46.28,46.45,46.45,1656698,0.0000,1.0
2022-10-31,46.9,47.19,46.4,46.45,46.45,2389073,0.0000,1.0
2022-10-28,46.13,46.995,46.04,46.96,46.96,1597254,0.0000,1.0
2022-10-27,45.81,46.29,45.568,46.03,46.03,2210438,0.0000,1.0
2022-10-26,45.55,46.085,45.2,45.76,45.76,1960055,0.0000,1.0
2022-10-25,45.04,45.39,44.535,45.16,45.16,3049785,0.0000,1.0
2022-10-24,45.36,45.8,45.0,45.15,45.15,1473917,0.0000,1.0
2022-10-21,44.87,45.295,44.6,44.97,44.97,1610531,0.0000,1.0
2022-10-20,46.23,46.31,44.82,44.89,44.89,2072865,0.0000,1.0
2022-10-19,45.87,46.155,45.64,46.12,46.12,1304542,0.0000,1.0
2022-10-18,45.53,45.895,45.455,45.77,45.77,994387,0.0000,1.0
2022-10-17,45.13,45.53,45.08,45.34,45.34,1771156,0.0000,1.0
2022-10-14,45.92,46.04,44.761,44.89,44.89,1496160,0.2600,1.0
2022-10-13,45.23,46.13,45.11,45.98,45.7152203765,1637365,0.0000,1.0
2022-10-12,46.13,46.41,45.59,45.6,45.3374086379,1117559,0.0000,1.0
