timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,122.7,123.39,121.27,121.77,121.77,501208,0.0000,1.0
2022-11-25,123.18,124.51,122.71,123.62,123.62,227412,0.0000,1.0
2022-11-23,123.27,124.99,122.54,122.7,122.7,422329,0.0000,1.0
2022-11-22,123.83,125.22,122.8825,123.5,123.5,841133,0.0000,1.0
2022-11-21,128.25,130.0,120.01,122.32,122.32,1048189,0.0000,1.0
2022-11-18,125.87,126.18,123.61,126.04,126.04,681243,0.0000,1.0
2022-11-17,123.61,125.065,122.69,124.26,124.26,639122,0.0000,1.0
2022-11-16,124.75,125.19,122.91,124.88,124.88,377480,0.0000,1.0
2022-11-15,125.9,127.4,124.596,124.8,124.8,691028,0.0000,1.0
2022-11-14,124.82,127.63,124.03,124.08,124.08,477822,0.0000,1.0
2022-11-11,126.2,127.3,124.895,125.72,125.72,636415,0.0000,1.0
2022-11-10,121.07,125.92,120.435,125.71,125.71,594817,0.0000,1.0
2022-11-09,118.79,119.515,116.84,116.99,116.99,294255,0.0000,1.0
2022-11-08,119.48,120.32,117.71,119.37,119.37,353208,0.0000,1.0
2022-11-07,118.62,119.47,117.6,118.91,118.91,437439,0.0000,1.0
2022-11-04,116.77,118.11,115.46,118.02,118.02,408959,0.0000,1.0
2022-11-03,112.0,115.965,111.6,114.98,114.98,421618,0.0000,1.0
2022-11-02,114.18,116.51,112.9,113.12,113.12,849671,0.0000,1.0
2022-11-01,116.29,116.48,113.67,114.48,114.48,563467,0.0000,1.0
2022-10-31,116.15,116.74,115.0,115.22,115.22,497313,0.0000,1.0
2022-10-28,114.42,117.34,113.54,117.03,117.03,398694,0.0000,1.0
2022-10-27,113.65,116.07,113.65,114.17,114.17,672983,0.0000,1.0
2022-10-26,113.77,115.5,112.48,113.53,113.53,784952,0.0000,1.0
2022-10-25,110.71,112.64,110.275,112.59,112.59,1180289,0.0000,1.0
2022-10-24,114.28,115.81,110.42,110.85,110.85,1140301,0.0000,1.0
2022-10-21,112.74,115.44,112.175,115.02,115.02,651282,0.0000,1.0
2022-10-20,114.46,115.07,112.225,113.02,113.02,527973,0.0000,1.0
2022-10-19,114.89,116.39,113.68,114.15,114.15,453510,0.0000,1.0
