timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,31.77,31.95,31.56,31.91,31.91,2805885,0.0000,1.0
2022-11-25,32.01,32.15,31.93,32.02,32.02,1287791,0.0000,1.0
2022-11-23,32.21,32.38,31.62,31.73,31.73,3336530,0.0000,1.0
2022-11-22,32.0,32.35,31.985,32.24,32.24,3348374,0.0000,1.0
2022-11-21,31.44,31.94,31.2801,31.87,31.87,4372706,0.0000,1.0
2022-11-18,30.96,31.705,30.81,31.57,31.57,5046640,0.0000,1.0
2022-11-17,29.52,30.66,29.5,30.51,30.51,3585065,0.0000,1.0
2022-11-16,30.3,30.3,29.91,29.93,29.93,2795870,0.0000,1.0
2022-11-15,30.57,30.81,30.26,30.46,30.46,2722820,0.0000,1.0
2022-11-14,30.37,30.91,30.22,30.24,30.24,2492909,0.0000,1.0
2022-11-11,30.66,30.66,30.19,30.5,30.5,2184221,0.0000,1.0
2022-11-10,29.98,30.51,29.74,30.51,30.51,3390328,0.0000,1.0
2022-11-09,29.78,29.84,28.83,28.94,28.94,3680098,0.0000,1.0
2022-11-08,29.95,30.44,29.6784,30.04,30.04,4791732,0.0000,1.0
2022-11-07,30.26,30.36,29.72,29.82,29.82,3553944,0.0000,1.0
2022-11-04,30.29,30.65,29.62,30.12,30.12,3757928,0.0000,1.0
2022-11-03,29.75,30.025,29.54,29.84,29.84,2492021,0.0000,1.0
2022-11-02,30.83,31.29,30.1,30.11,30.11,4906614,0.0000,1.0
2022-11-01,30.84,31.09,30.485,30.91,30.91,3188843,0.0000,1.0
2022-10-31,30.66,30.8,30.36,30.6,30.6,3189026,0.0000,1.0
2022-10-28,30.43,30.86,30.06,30.83,30.83,3213470,0.0000,1.0
2022-10-27,30.28,30.48,29.71,30.28,30.28,3444472,0.0000,1.0
2022-10-26,30.0,30.495,28.91,30.0,30.0,6902160,0.0000,1.0
2022-10-25,28.4,29.29,28.33,29.16,29.16,5274055,0.0000,1.0
2022-10-24,28.77,28.98,28.235,28.49,28.49,4309189,0.0000,1.0
2022-10-21,28.64,28.88,27.96,28.76,28.76,5678088,0.0000,1.0
2022-10-20,27.33,28.1,27.23,27.61,27.61,5330959,0.0000,1.0
2022-10-19,27.18,27.73,27.06,27.37,27.37,3984559,0.0000,1.0
2022-10-18,27.59,27.74,26.97,27.44,27.44,3777267,0.0000,1.0
2022-10-17,26.36,26.719,26.325,26.61,26.61,3415306,0.0000,1.0
2022-10-14,26.56,26.8,25.76,25.81,25.81,4827212,0.0000,1.0
2022-10-13,25.5,26.51,25.18,26.32,26.32,7118394,0.0000,1.0
2022-10-12,26.03,26.165,25.81,25.91,25.91,2448336,0.0000,1.0
2022-10-11,26.14,26.455,25.715,25.81,25.81,2696653,0.0000,1.0
2022-10-10,27.05,27.05,26.0,26.33,26.33,2767444,0.0000,1.0
2022-10-07,27.23,27.29,26.615,26.74,26.74,2317148,0.0000,1.0
2022-10-06,27.5,27.805,27.37,27.54,27.54,2435283,0.0000,1.0
2022-10-05,27.27,27.74,27.15,27.58,27.58,2133645,0.0000,1.0
2022-10-04,27.03,27.64,27.0,27.63,27.63,2394953,0.0000,1.0
2022-10-03,26.49,26.91,26.4,26.57,26.57,3974874,0.0000,1.0
2022-09-30,26.18,26.675,26.105,26.12,26.12,3139354,0.0000,1.0
2022-09-29,26.41,26.46,25.86,26.11,26.11,2668949,0.0000,1.0
2022-09-28,26.15,26.92,26.13,26.68,26.68,2765850,0.0000,1.0
2022-09-27,26.39,26.53,25.73,26.02,26.02,2708772,0.0000,1.0
2022-09-26,26.35,26.72,25.96,25.97,25.97,3910810,0.0000,1.0
2022-09-23,26.21,26.41,25.995,26.38,26.38,3270021,0.0000,1.0
2022-09-22,26.27,26.415,26.04,26.33,26.33,4071916,0.0000,1.0
2022-09-21,27.03,27.34,26.36,26.36,26.36,3429763,0.0000,1.0
2022-09-20,27.07,27.12,26.695,26.88,26.88,2978513,0.0000,1.0
2022-09-19,27.17,27.555,26.93,27.31,27.31,3813314,0.0000,1.0
2022-09-16,27.72,27.72,27.13,27.61,27.61,6617214,0.0000,1.0
2022-09-15,28.05,28.33,27.835,27.98,27.98,3082176,0.0000,1.0
2022-09-14,28.01,28.25,27.8,28.05,28.05,4032283,0.0000,1.0
2022-09-13,28.89,28.94,27.92,28.02,28.02,2694358,0.0000,1.0
2022-09-12,29.28,29.7481,29.18,29.41,29.41,2655729,0.0000,1.0
2022-09-09,28.9,29.15,28.78,29.04,29.04,2210003,0.0000,1.0
2022-09-08,28.0,28.83,27.92,28.69,28.69,3252973,0.0000,1.0
2022-09-07,27.81,28.2,27.62,28.19,28.19,2793200,0.0000,1.0
2022-09-06,28.14,28.2,27.48,27.76,27.76,4088237,0.0000,1.0
2022-09-02,28.5,28.665,27.85,28.01,28.01,3256610,0.0000,1.0
2022-09-01,28.24,28.33,27.64,28.14,28.14,4193340,0.0000,1.0
2022-08-31,28.95,29.3,28.37,28.42,28.42,5695467,0.2100,1.0
2022-08-30,29.51,29.6,28.81,28.92,28.7078728606,3357709,0.0000,1.0
2022-08-29,29.21,29.625,28.9,29.37,29.1545721271,5601611,0.0000,1.0
2022-08-26,30.37,30.45,29.295,29.39,29.1744254279,3402236,0.0000,1.0
2022-08-25,29.16,30.46,29.15,30.38,30.1571638142,6706671,0.0000,1.0
2022-08-24,28.99,29.22,28.79,28.99,28.7773594132,1551430,0.0000,1.0
2022-08-23,28.96,29.395,28.9464,29.02,28.8071393643,2000670,0.0000,1.0
2022-08-22,29.32,29.41,28.94,28.97,28.7575061125,1861631,0.0000,1.0
2022-08-19,30.08,30.15,29.52,29.73,29.5119315403,2815817,0.0000,1.0
2022-08-18,29.17,30.27,29.06,30.26,30.0380440098,4821507,0.0000,1.0
2022-08-17,28.79,28.995,28.46,28.82,28.608606357,1794945,0.0000,1.0
2022-08-16,28.98,29.29,28.855,29.1,28.8865525672,2139987,0.0000,1.0
2022-08-15,28.65,29.08,28.46,29.04,28.826992665,2809586,0.0000,1.0
2022-08-12,28.88,29.32,28.765,28.91,28.6979462103,1676381,0.0000,1.0
2022-08-11,28.77,29.11,28.53,28.74,28.529193154,2516138,0.0000,1.0
2022-08-10,28.28,28.815,28.055,28.72,28.5093398533,2582658,0.0000,1.0
2022-08-09,28.09,28.11,27.675,27.82,27.6159413203,2550619,0.0000,1.0
2022-08-08,28.35,28.4,27.925,28.11,27.9038141809,2962172,0.0000,1.0
2022-08-05,27.74,28.05,27.51,28.04,27.8343276284,2897406,0.0000,1.0
2022-08-04,28.28,28.315,27.805,27.92,27.715207824,2859445,0.0000,1.0
2022-08-03,27.78,28.275,27.58,28.21,28.0030806846,2740968,0.0000,1.0
2022-08-02,27.9,28.02,27.53,27.71,27.5067481663,4005524,0.0000,1.0
2022-08-01,27.87,28.205,27.66,27.98,27.7747677262,3556847,0.0000,1.0
2022-07-29,27.96,28.25,27.72,28.03,27.824400978,4907677,0.0000,1.0
2022-07-28,27.97,28.28,27.63,28.0,27.7946210269,6107844,0.0000,1.0
2022-07-27,26.24,27.99,26.2,27.71,27.5067481663,9765117,0.0000,1.0
2022-07-26,28.42,28.53,27.94,28.07,27.8641075795,4989375,0.0000,1.0
2022-07-25,28.73,28.78,28.27,28.42,28.2115403423,5737468,0.0000,1.0
2022-07-22,29.25,29.37,28.265,28.61,28.4001466993,3696848,0.0000,1.0
2022-07-21,28.59,29.25,28.59,29.24,29.0255256724,3632233,0.0000,1.0
2022-07-20,28.28,29.01,28.25,28.53,28.3207334963,7349544,0.0000,1.0
2022-07-19,28.45,29.21,28.4036,29.18,28.9659657702,3015055,0.0000,1.0
2022-07-18,28.21,28.63,27.65,28.17,27.9633740831,5229138,0.0000,1.0
2022-07-15,28.38,28.56,28.12,28.52,28.310806846,2350739,0.0000,1.0
2022-07-14,27.89,28.185,27.355,28.03,27.824400978,3089432,0.0000,1.0
2022-07-13,27.45,28.235,27.33,27.98,27.7747677262,3143662,0.0000,1.0
2022-07-12,28.65,28.9,28.08,28.37,28.1619070905,2296418,0.0000,1.0
2022-07-11,28.66,28.86,28.48,28.67,28.4597066015,2251228,0.0000,1.0
2022-07-08,28.69,28.96,28.42,28.79,28.5788264059,2209316,0.0000,1.0
2022-07-07,28.36,28.97,28.36,28.66,28.4497799511,2169066,0.0000,1.0
2022-07-06,28.05,28.27,27.82,28.09,27.8839608802,2892784,0.0000,1.0
2022-07-05,27.75,28.07,27.04,28.04,27.8343276284,5033641,0.0000,1.0
2022-07-01,28.5,28.59,27.83,28.22,28.013007335,2991755,0.0000,1.0
2022-06-30,28.48,28.825,28.31,28.5,28.2909535452,3571040,0.0000,1.0
2022-06-29,28.66,28.85,28.289,28.79,28.5788264059,2409153,0.0000,1.0
2022-06-28,29.37,29.53,28.63,28.67,28.4597066015,2467307,0.0000,1.0
2022-06-27,29.16,29.325,28.85,29.17,28.9560391198,2364565,0.0000,1.0
2022-06-24,28.49,29.2,28.49,29.15,28.9361858191,3661443,0.0000,1.0
2022-06-23,28.2,28.41,27.93,28.22,28.013007335,3790275,0.0000,1.0
2022-06-22,28.08,28.29,27.8004,28.16,27.9534474328,2915181,0.0000,1.0
2022-06-21,28.11,28.525,27.98,28.39,28.1817603912,3560346,0.0000,1.0
2022-06-17,27.57,27.82,27.12,27.63,27.4273349633,6826086,0.0000,1.0
2022-06-16,28.0,28.0,27.36,27.65,27.4471882641,3304799,0.0000,1.0
2022-06-15,28.51,28.94,28.085,28.58,28.3703667482,3352813,0.0000,1.0
2022-06-14,28.28,28.95,28.065,28.32,28.1122738386,3665697,0.0000,1.0
2022-06-13,28.29,28.44,27.91,28.07,27.8641075795,3462377,0.0000,1.0
2022-06-10,29.08,29.149,28.62,28.81,28.5986797066,4066133,0.0000,1.0
2022-06-09,30.14,30.25,29.57,29.58,29.3630317848,3074480,0.0000,1.0
2022-06-08,30.6,30.72,30.24,30.25,30.0281173594,2554347,0.0000,1.0
