timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,134.91,135.02,133.31,133.31,133.31,1220619,0.0000,1.0
2022-11-25,134.22,135.03,134.0,135.03,135.03,540494,0.0000,1.0
2022-11-23,135.26,135.5,133.9,134.0,134.0,1304825,0.0000,1.0
2022-11-22,134.0,135.21,133.525,134.98,134.98,1789375,0.0000,1.0
2022-11-21,132.0,133.68,131.595,133.49,133.49,1375403,0.0000,1.0
2022-11-18,130.42,131.665,130.06,131.4,131.4,1350512,0.0000,1.0
2022-11-17,128.34,128.95,127.7,128.87,128.87,1168434,0.0000,1.0
2022-11-16,128.38,129.9282,128.38,129.01,129.01,1033461,0.0000,1.0
2022-11-15,128.7,129.47,126.9601,128.14,128.14,1317377,0.0000,1.0
2022-11-14,127.61,130.4,127.28,127.56,127.56,1490125,0.0000,1.0
2022-11-11,127.82,128.02,124.22,127.45,127.45,1633046,0.0000,1.0
2022-11-10,126.06,128.04,125.38,127.78,127.78,1899103,0.0000,1.0
2022-11-09,124.63,125.21,123.69,123.83,123.83,941304,0.0000,1.0
2022-11-08,124.73,125.37,123.71,124.58,124.58,1290706,0.0000,1.0
2022-11-07,123.31,124.57,123.1,124.32,124.32,1212088,0.0000,1.0
2022-11-04,122.97,123.78,121.48,122.52,122.52,1929623,0.0000,1.0
2022-11-03,121.27,122.23,120.76,122.02,122.02,1837511,0.0000,1.0
2022-11-02,124.0,125.16,122.06,122.27,122.27,1780048,0.0000,1.0
2022-11-01,124.46,125.89,123.63,124.35,124.35,1883278,0.0000,1.0
2022-10-31,124.22,124.95,123.868,124.46,124.46,2920085,0.0000,1.0
2022-10-28,121.47,124.5,121.47,124.28,124.28,1766883,0.0000,1.0
2022-10-27,120.8,122.61,120.705,121.3,121.3,1899847,0.0000,1.0
2022-10-26,119.57,120.96,118.49,120.21,120.21,2203622,0.0000,1.0
2022-10-25,115.01,119.49,114.375,119.49,119.49,2773496,0.0000,1.0
2022-10-24,114.69,116.16,114.0,115.86,115.86,2626671,0.0000,1.0
2022-10-21,112.61,114.17,111.85,113.96,113.96,1678170,0.0000,1.0
2022-10-20,114.71,115.03,112.13,112.32,112.32,1975634,0.0000,1.0
2022-10-19,115.83,116.46,114.2823,114.94,114.94,1192442,0.0000,1.0
2022-10-18,115.17,116.36,114.8245,115.48,115.48,1410080,0.0000,1.0
2022-10-17,113.89,115.2051,113.7925,114.18,114.18,1730546,0.0000,1.0
2022-10-14,115.0,115.14,113.145,113.21,113.21,1369870,0.0000,1.0
2022-10-13,111.65,115.04,111.43,114.58,114.58,1827218,0.0000,1.0
2022-10-12,112.6,113.97,112.08,112.86,112.86,2493758,0.0000,1.0
2022-10-11,110.63,112.08,110.35,111.37,111.37,1569583,0.0000,1.0
2022-10-10,109.65,110.49,108.74,110.16,110.16,1479690,0.0000,1.0
2022-10-07,112.35,112.75,109.51,109.59,109.59,2047615,0.0000,1.0
2022-10-06,114.62,114.62,111.975,112.19,112.19,1535950,0.0000,1.0
