timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,48.92,49.39,48.48,48.83,48.83,5846670,0.0000,1.0
2022-11-25,47.9,49.04,47.9,49.04,49.04,2438770,0.0000,1.0
2022-11-23,48.17,48.25,47.615,47.84,47.84,4091711,0.0000,1.0
2022-11-22,48.54,48.665,47.96,48.08,48.08,3597171,0.0000,1.0
2022-11-21,48.11,48.4,47.605,48.12,48.12,3524490,0.0000,1.0
2022-11-18,48.65,48.86,47.85,48.26,48.26,4656673,0.0000,1.0
2022-11-17,47.53,48.43,47.5,48.18,48.18,4433838,0.0000,1.0
2022-11-16,47.01,48.12,46.83,47.83,47.83,6961939,0.0000,1.0
2022-11-15,47.03,47.275,46.2729,46.87,46.87,5277099,0.0000,1.0
2022-11-14,47.25,47.585,46.52,46.56,46.56,5400655,0.2600,1.0
2022-11-11,48.15,48.15,45.91,47.1,46.8384451089,8480643,0.0000,1.0
2022-11-10,48.61,48.64,46.9616,48.11,47.8428363947,5722090,0.0000,1.0
2022-11-09,48.28,49.57,47.98,48.06,47.7931140538,6522582,0.0000,1.0
2022-11-08,46.8,47.36,46.695,47.12,46.8583340453,3839670,0.0000,1.0
2022-11-07,46.62,46.95,46.305,46.85,46.5898334045,2887147,0.0000,1.0
2022-11-04,47.43,47.62,45.62,46.4,46.1423323366,4357760,0.0000,1.0
2022-11-03,46.31,47.3,46.01,47.22,46.957778727,4107594,0.0000,1.0
2022-11-02,47.04,47.65,46.55,46.56,46.3014438274,4019745,0.0000,1.0
2022-11-01,47.63,47.79,46.81,47.17,46.9080563862,3864531,0.0000,1.0
2022-10-31,46.76,47.48,46.73,47.29,47.0273900043,4638242,0.0000,1.0
2022-10-28,45.95,47.41,45.9,46.77,46.5102776591,4052321,0.0000,1.0
2022-10-27,45.62,46.015,45.485,45.68,45.4263306279,3638692,0.0000,1.0
2022-10-26,44.93,45.905,44.92,45.44,45.1876633917,6610390,0.0000,1.0
2022-10-25,43.83,44.9285,43.75,44.77,44.5213840239,4730857,0.0000,1.0
2022-10-24,43.73,44.17,42.845,43.99,43.7457155062,5418122,0.0000,1.0
2022-10-21,42.34,43.97,42.15,43.63,43.3877146519,7103838,0.0000,1.0
2022-10-20,42.94,43.09,42.09,42.17,41.9358222982,6084578,0.0000,1.0
2022-10-19,43.28,43.655,42.91,42.94,42.7015463477,7653252,0.0000,1.0
2022-10-18,42.57,43.315,42.36,43.16,42.9203246476,8771016,0.0000,1.0
2022-10-17,43.31,43.48,41.815,42.11,41.8761554891,11020307,0.0000,1.0
2022-10-14,45.15,46.24,42.36,43.16,42.9203246476,19690745,0.0000,1.0
2022-10-13,45.76,48.36,44.78,46.57,46.3113882956,27509135,0.0000,1.0
2022-10-12,45.79,46.69,45.63,46.04,45.7843314823,7441178,0.0000,1.0
2022-10-11,44.24,45.965,44.09,45.68,45.4263306279,7378417,0.0000,1.0
2022-10-10,43.51,44.34,43.445,44.26,44.0142161469,4213333,0.0000,1.0
2022-10-07,43.66,43.78,42.81,43.0,42.7612131568,5269873,0.0000,1.0
2022-10-06,44.59,44.84,43.67,43.72,43.4772148654,3836535,0.0000,1.0
2022-10-05,44.49,44.96,44.01,44.6,44.3523280649,4085180,0.0000,1.0
2022-10-04,44.16,44.84,44.02,44.7,44.4517727467,4973335,0.0000,1.0
2022-10-03,43.83,44.075,43.286,43.75,43.50704827,8225548,0.0000,1.0
2022-09-30,44.78,44.88,43.565,43.75,43.50704827,5625825,0.0000,1.0
2022-09-29,45.21,45.53,44.52,44.68,44.4318838103,4046568,0.0000,1.0
2022-09-28,44.57,45.655,43.81,45.45,45.1976078599,6285035,0.0000,1.0
2022-09-27,45.18,45.3,44.185,44.29,44.0440495515,4591378,0.0000,1.0
2022-09-26,44.8,45.275,44.38,45.0,44.750106792,5785222,0.0000,1.0
2022-09-23,45.02,45.08,44.11,44.86,44.6108842375,5965773,0.0000,1.0
2022-09-22,45.11,45.87,45.01,45.5,45.2473302008,5207802,0.0000,1.0
2022-09-21,47.02,47.15,45.27,45.27,45.0186074327,6223736,0.0000,1.0
2022-09-20,47.12,47.25,46.47,46.92,46.6594446818,4566854,0.0000,1.0
2022-09-19,46.88,47.79,46.7,47.45,47.1865014951,5997514,0.0000,1.0
2022-09-16,47.76,47.97,46.99,47.28,47.0174455361,13928966,0.0000,1.0
2022-09-15,49.15,49.19,47.47,47.88,47.6141136267,6305812,0.0000,1.0
2022-09-14,49.5,49.65,48.305,48.94,48.6682272533,5937893,0.0000,1.0
2022-09-13,50.27,51.74,49.13,49.37,49.0958393849,6987077,0.0000,1.0
2022-09-12,51.81,51.81,50.225,50.54,50.2593421615,9407354,0.0000,1.0
2022-09-09,49.34,52.0,48.56,51.94,51.6515677061,13877705,0.0000,1.0
2022-09-08,49.7,50.1388,47.935,48.36,48.0914480991,9401622,0.0000,1.0
2022-09-07,48.72,49.9,48.72,49.82,49.5433404528,6012419,0.0000,1.0
2022-09-06,48.88,49.56,48.385,48.52,48.2505595899,6188284,0.0000,1.0
2022-09-02,48.9,49.35,48.29,48.43,48.1610593763,4086421,0.0000,1.0
2022-09-01,47.92,49.4,47.91,48.61,48.3400598035,7283907,0.0000,1.0
2022-08-31,47.58,48.19,47.48,47.94,47.6737804357,5408052,0.0000,1.0
2022-08-30,48.39,48.41,47.405,47.51,47.2461683041,3565005,0.0000,1.0
2022-08-29,48.12,48.515,47.72,48.3,48.03178129,2837111,0.0000,1.0
2022-08-26,49.4,49.53,48.345,48.38,48.1113370355,2886224,0.0000,1.0
2022-08-25,49.6,49.6,48.43,49.32,49.046117044,4999356,0.0000,1.0
2022-08-24,49.61,49.785,49.24,49.66,49.384228962,4350056,0.0000,1.0
2022-08-23,50.12,50.3384,49.165,49.6,49.3245621529,5798207,0.0000,1.0
2022-08-22,49.57,50.175,49.55,50.12,49.8416744981,4404681,0.0000,1.0
2022-08-19,49.71,50.2899,49.325,49.5,49.2251174712,6426903,0.0000,1.0
2022-08-18,48.62,49.68,48.62,49.62,49.3444510893,5697848,0.0000,1.0
2022-08-17,48.92,49.345,48.46,48.55,48.2803929944,7550838,0.0000,1.0
2022-08-16,47.76,49.38,47.76,49.08,48.8074498078,8608413,0.0000,1.0
2022-08-15,47.12,47.705,46.76,47.52,47.2561127723,4564702,0.0000,1.0
2022-08-12,47.08,47.265,46.62,47.21,46.9478342589,4063112,0.2600,1.0
2022-08-11,46.94,47.79,46.71,47.19,46.6709142337,3766776,0.0000,1.0
2022-08-10,47.17,47.32,46.64,46.79,46.2753141979,6233494,0.0000,1.0
2022-08-09,47.07,47.584,46.62,46.87,46.354434205,4293688,0.0000,1.0
2022-08-08,47.31,47.605,46.96,47.09,46.5720142248,2977843,0.0000,1.0
2022-08-05,46.925,47.31,46.82,47.25,46.7302542391,3541626,0.0000,1.0
2022-08-04,47.01,47.665,46.63,46.7,46.1863041898,4882168,0.0000,1.0
2022-08-03,46.82,47.185,46.35,46.97,46.453334214,3487648,0.0000,1.0
2022-08-02,47.0,47.145,46.11,46.78,46.265424197,3863543,0.0000,1.0
2022-08-01,46.26,47.37,46.26,46.74,46.2258641934,4330612,0.0000,1.0
2022-07-29,45.77,46.48,45.52,46.44,45.9291641665,4180201,0.0000,1.0
2022-07-28,45.88,46.33,45.84,46.04,45.5335641306,3631062,0.0000,1.0
2022-07-27,45.88,45.98,45.14,45.94,45.4346641216,4764387,0.0000,1.0
2022-07-26,44.86,46.1,44.34,46.02,45.5137841288,7518739,0.0000,1.0
2022-07-25,46.25,46.44,45.42,45.71,45.207194101,6041563,0.0000,1.0
2022-07-22,46.3,46.6662,46.035,46.24,45.7313641485,4458474,0.0000,1.0
