timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,56.99,57.37,56.64,56.77,56.77,738675,0.0000,1.0
2022-11-25,57.6,57.65,57.18,57.41,57.41,277939,0.0000,1.0
2022-11-23,57.03,57.32,56.76,57.31,57.31,524392,0.0000,1.0
2022-11-22,57.18,57.53,56.95,57.1,57.1,539469,0.0625,1.0
2022-11-21,56.56,56.99,56.28,56.81,56.7478854144,446966,0.0000,1.0
2022-11-18,56.64,57.01,55.96,56.62,56.5580931555,761540,0.0000,1.0
2022-11-17,55.07,56.09,55.07,56.03,55.9687382462,652052,0.0000,1.0
2022-11-16,55.64,55.87,55.095,55.63,55.5691755959,772984,0.0000,1.0
2022-11-15,55.88,55.96,54.91,55.58,55.5192302646,679356,0.0000,1.0
2022-11-14,55.98,56.79,55.42,55.49,55.4293286683,495723,0.0000,1.0
2022-11-11,57.13,57.13,55.72,55.97,55.9088038487,659150,0.0000,1.0
2022-11-10,56.01,56.6378,55.59,56.59,56.5281259567,773959,0.0000,1.0
2022-11-09,55.38,55.44,54.27,54.46,54.4004548436,662326,0.0000,1.0
2022-11-08,55.59,55.87,54.93,55.65,55.5891537284,488082,0.0000,1.0
2022-11-07,55.94,55.94,55.05,55.6,55.5392083971,688500,0.0000,1.0
2022-11-04,55.92,56.33,54.99,55.47,55.4093505358,687632,0.0000,1.0
2022-11-03,54.94,55.62,54.52,55.22,55.1596238793,554495,0.0000,1.0
2022-11-02,56.23,57.01,55.42,55.51,55.4493068008,812801,0.0000,1.0
2022-11-01,57.28,57.62,56.295,56.49,56.4282352941,1014893,0.0000,1.0
2022-10-31,57.25,57.84,56.36,57.02,56.9576558058,1029530,0.0000,1.0
2022-10-28,56.79,58.06,56.72,57.99,57.9265952329,785337,0.0000,1.0
2022-10-27,56.5,57.16,56.26,56.36,56.2983774328,768290,0.0000,1.0
2022-10-26,56.22,56.3,55.74,55.97,55.9088038487,524144,0.0000,1.0
2022-10-25,55.36,55.96,55.07,55.76,55.6990334572,715944,0.0000,1.0
2022-10-24,55.84,56.49,55.59,55.85,55.7889350536,603090,0.0000,1.0
2022-10-21,53.89,55.55,53.64,55.5,55.4393177345,874328,0.0000,1.0
2022-10-20,54.04,54.89,53.56,53.64,53.5813514105,624633,0.0000,1.0
2022-10-19,54.47,55.14,54.02,54.54,54.4803673737,617014,0.0000,1.0
2022-10-18,54.78,55.12,54.2,54.61,54.5502908375,864636,0.0000,1.0
2022-10-17,53.79,54.2725,53.37,53.6,53.5413951454,889360,0.0000,1.0
2022-10-14,54.19,54.59,52.89,53.0,52.9420511699,842868,0.0000,1.0
2022-10-13,51.04,53.87,50.68,53.66,53.601329543,878325,0.0000,1.0
2022-10-12,51.79,52.07,51.48,51.48,51.4237130986,554499,0.0000,1.0
2022-10-11,51.32,52.62,51.32,51.92,51.863232014,627277,0.0000,1.0
2022-10-10,51.62,51.98,51.27,51.43,51.3737677673,461072,0.0000,1.0
2022-10-07,51.91,51.94,51.04,51.35,51.2938552373,760900,0.0000,1.0
2022-10-06,52.36,52.63,52.12,52.15,52.0929805379,806113,0.0000,1.0
2022-10-05,52.7,53.085,52.55,52.8,52.7422698447,774915,0.0000,1.0
2022-10-04,52.0,53.28,52.0,53.19,53.1318434288,910938,0.0000,1.0
2022-10-03,50.48,51.9,49.77,51.52,51.4636693637,990311,0.0000,1.0
2022-09-30,50.8,51.13,49.76,49.84,49.7855062322,1318142,0.0000,1.0
2022-09-29,50.55,50.91,50.05,50.77,50.7144893943,1060027,0.0000,1.0
2022-09-28,50.44,51.16,50.16,50.92,50.8643253881,1133535,0.0000,1.0
2022-09-27,50.11,50.44,49.46,50.12,50.0652000875,791363,0.0000,1.0
2022-09-26,50.67,51.05,49.36,49.67,49.6156921058,998152,0.0000,1.0
2022-09-23,51.21,51.4,50.34,51.0,50.9442379182,892137,0.0000,1.0
2022-09-22,52.85,52.85,51.77,51.82,51.7633413514,876256,0.0000,1.0
2022-09-21,54.1,54.5,52.85,52.88,52.8221823748,916841,0.0000,1.0
2022-09-20,54.6,54.77,53.25,53.8,53.7411764706,1086897,0.0000,1.0
2022-09-19,53.45,55.13,53.45,55.11,55.0497441504,1150534,0.0000,1.0
2022-09-16,55.02,55.02,53.735,53.96,53.9010015307,2780838,0.0000,1.0
2022-09-15,55.55,56.0844,55.3,55.42,55.3594052045,961257,0.0000,1.0
2022-09-14,56.09,56.23,55.035,55.37,55.3094598732,1242248,0.0000,1.0
2022-09-13,56.68,57.05,55.74,55.85,55.7889350536,946474,0.0000,1.0
2022-09-12,57.25,57.79,57.03,57.45,57.3871856549,764535,0.0000,1.0
2022-09-09,56.81,57.3,56.73,56.86,56.7978307457,768937,0.0000,1.0
2022-09-08,56.0,56.75,55.68,56.67,56.6080384868,891318,0.0000,1.0
2022-09-07,55.18,56.43,55.18,56.23,56.1685195714,1016894,0.0000,1.0
2022-09-06,55.9,56.12,55.18,55.33,55.2695036081,1176983,0.0000,1.0
2022-09-02,56.18,56.865,55.18,55.43,55.3693942707,823495,0.0000,1.0
2022-09-01,55.16,55.53,54.71,55.51,55.4493068008,854174,0.0000,1.0
2022-08-31,55.91,56.11,55.3,55.31,55.2495254756,1170165,0.0000,1.0
2022-08-30,56.42,56.79,55.61,55.74,55.6790553247,925214,0.0000,1.0
2022-08-29,56.44,57.05,56.2,56.48,56.4182462279,763570,0.0000,1.0
2022-08-26,58.06,58.38,56.78,56.8,56.7378963481,652900,0.0000,1.0
2022-08-25,57.55,57.96,57.13,57.95,57.8866389679,477942,0.0000,1.0
2022-08-24,56.97,57.25,56.74,57.19,57.1274699322,754974,0.0000,1.0
2022-08-23,57.29,57.39,56.73,57.0,56.9376776733,696336,0.0000,1.0
2022-08-22,57.61,57.7599,56.87,56.96,56.8977214083,726654,0.0000,1.0
2022-08-19,58.85,58.95,58.12,58.24,58.1763218894,1339192,0.0000,1.0
2022-08-18,58.53,58.955,58.53,58.95,58.8855455937,598477,0.0000,1.0
2022-08-17,58.27,58.98,58.27,58.47,58.4060704133,1022287,0.0000,1.0
2022-08-16,58.29,58.94,58.29,58.8,58.7357095998,574368,0.0625,1.0
2022-08-15,58.05,58.65,57.85,58.48,58.3540335086,560396,0.0000,1.0
2022-08-12,57.73,58.72,57.73,58.71,58.5835380863,651901,0.0000,1.0
2022-08-11,57.4,57.82,57.375,57.51,57.386122898,499296,0.0000,1.0
2022-08-10,56.61,57.05,56.51,56.99,56.8672429831,713780,0.0000,1.0
2022-08-09,55.61,56.225,55.59,56.06,55.9392462122,601057,0.0000,1.0
2022-08-08,55.47,56.13,55.36,55.37,55.250732479,748260,0.0000,1.0
2022-08-05,54.28,55.2,54.1,55.12,55.0012709814,666470,0.0000,1.0
2022-08-04,55.09,55.36,54.35,54.38,54.2628649486,848322,0.0000,1.0
2022-08-03,55.61,55.85,54.9,55.34,55.2207970992,1019879,0.0000,1.0
2022-08-02,55.45,55.99,54.89,55.34,55.2207970992,1176281,0.0000,1.0
2022-08-01,56.48,56.975,54.6317,55.65,55.5301293562,1951772,0.0000,1.0
2022-07-29,57.98,58.63,57.98,58.25,58.1245289308,693084,0.0000,1.0
2022-07-28,58.08,58.29,56.515,57.74,57.6156274758,575643,0.0000,1.0
2022-07-27,58.12,58.29,57.26,58.01,57.8850458932,733393,0.0000,1.0
2022-07-26,57.85,58.21,57.52,57.87,57.7453474545,429714,0.0000,1.0
2022-07-25,57.46,58.09,57.19,57.82,57.695455155,437227,0.0000,1.0
2022-07-22,57.51,57.84,56.67,57.05,56.9271137425,472720,0.0000,1.0
2022-07-21,57.38,57.43,56.65,57.4,57.2763598391,494229,0.0000,1.0
2022-07-20,57.57,57.95,57.25,57.7,57.5757136362,616091,0.0000,1.0
2022-07-19,56.91,57.78,56.91,57.73,57.6056490159,676864,0.0000,1.0
2022-07-18,56.93,57.25,56.12,56.24,56.1188584905,795705,0.0000,1.0
2022-07-15,56.47,56.82,56.01,56.45,56.3284061484,795975,0.0000,1.0
2022-07-14,56.0,56.44,55.43,55.61,55.4902155166,1046227,0.0000,1.0
2022-07-13,57.21,57.74,56.97,57.28,57.1566183203,768295,0.0000,1.0
2022-07-12,57.51,58.36,57.13,57.73,57.6056490159,748764,0.0000,1.0
2022-07-11,57.54,58.39,57.54,57.95,57.8251751337,583285,0.0000,1.0
2022-07-08,58.95,59.281,57.87,57.93,57.8052182139,992955,0.0000,1.0
2022-07-07,59.1,59.56,58.6,58.63,58.5037104071,970072,0.0000,1.0
2022-07-06,58.41,59.02,57.53,58.53,58.4039258081,574738,0.0000,1.0
2022-07-05,59.28,59.33,57.75,58.48,58.3540335086,772026,0.0000,1.0
2022-07-01,59.19,60.19,58.84,60.15,60.0204363122,864269,0.0000,1.0
2022-06-30,58.37,59.65,58.2,59.26,59.1323533809,914505,0.0000,1.0
2022-06-29,59.75,59.78,58.98,59.04,58.9128272631,495974,0.0000,1.0
2022-06-28,60.37,60.8,59.48,59.53,59.4017717983,624251,0.0000,1.0
2022-06-27,59.96,60.24,59.46,59.79,59.6612117558,752993,0.0000,1.0
2022-06-24,58.4,59.9,58.4,59.77,59.641254836,1645603,0.0000,1.0
2022-06-23,58.34,58.88,57.49,58.02,57.8950243531,703902,0.0000,1.0
2022-06-22,57.57,58.94,57.57,58.41,58.2841842892,1115020,0.0000,1.0
2022-06-21,58.71,58.95,57.89,58.49,58.3640119685,1305453,0.0000,1.0
2022-06-17,57.28,57.91,56.73,57.54,57.4160582777,2174041,0.0000,1.0
2022-06-16,57.86,58.22,56.68,56.9,56.777436844,1318182,0.0000,1.0
2022-06-15,59.15,59.74,58.53,58.91,58.7831072844,1373402,0.0000,1.0
