timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,227.91,229.1,224.74,225.86,225.86,621169,0.0000,1.0
2022-11-25,227.98,228.96,226.855,228.68,228.68,232329,0.0000,1.0
2022-11-23,225.21,228.26,224.17,226.43,226.43,796118,0.0000,1.0
2022-11-22,226.49,227.9685,224.69,225.32,225.32,660043,0.0000,1.0
2022-11-21,223.57,226.815,223.25,225.35,225.35,865899,0.0000,1.0
2022-11-18,222.77,225.16,220.7,224.0,224.0,797526,0.0000,1.0
2022-11-17,219.0,223.23,218.435,221.5,221.5,1243589,1.1200,1.0
2022-11-16,221.64,223.41,219.246,221.5,220.385634714,1034365,0.0000,1.0
2022-11-15,219.1,225.0,215.0,221.24,220.126942772,2251737,0.0000,1.0
2022-11-14,226.05,227.61,217.34,217.8,216.704249394,2220977,0.0000,1.0
2022-11-11,229.51,232.38,220.775,224.75,223.619283982,3025382,0.0000,1.0
2022-11-10,240.71,242.6,234.27,239.34,238.135881772,1425140,0.0000,1.0
2022-11-09,236.13,239.145,233.515,237.67,236.474283532,1594068,0.0000,1.0
2022-11-08,229.38,236.36,228.74,236.09,234.902232504,1420628,0.0000,1.0
2022-11-07,229.58,231.9,228.53,230.58,229.419953284,1277221,0.0000,1.0
2022-11-04,234.99,234.99,225.27,229.33,228.176242027,1548487,0.0000,1.0
2022-11-03,235.5,237.66,234.4,234.98,233.797816908,1322149,0.0000,1.0
2022-11-02,240.54,243.42,238.73,238.81,237.608548199,1259995,0.0000,1.0
2022-11-01,247.13,249.09,240.825,241.15,239.936775672,1128836,0.0000,1.0
2022-10-31,245.22,250.04,242.411,246.47,245.230010781,1274174,0.0000,1.0
2022-10-28,242.0001,250.8699,233.24,248.74,247.488590423,2512984,0.0000,1.0
2022-10-27,250.75,255.095,250.12,252.8,251.528164585,1169322,0.0000,1.0
2022-10-26,249.98,252.7,248.0,249.99,248.73230168,1214304,0.0000,1.0
2022-10-25,246.89,249.11,244.7,248.23,246.98115623,1058759,0.0000,1.0
2022-10-24,249.26,250.32,246.52,248.11,246.86175995,1296234,0.0000,1.0
2022-10-21,240.0,248.74,239.7,247.2,245.956338155,1711780,0.0000,1.0
2022-10-20,237.72,239.36,236.24,239.0,237.79759231,1444078,0.0000,1.0
2022-10-19,236.94,240.86,235.24,237.61,236.414585392,932927,0.0000,1.0
2022-10-18,227.58,237.23,226.46,236.58,235.389767317,1442557,0.0000,1.0
2022-10-17,220.0,226.2,219.91,223.56,222.435270865,812661,0.0000,1.0
2022-10-14,227.11,228.17,218.06,218.51,217.410677387,1401122,0.0000,1.0
2022-10-13,222.8,228.32,222.151,227.53,226.385297817,1135342,0.0000,1.0
2022-10-12,230.49,231.97,223.76,224.17,223.042201958,1061600,0.0000,1.0
2022-10-11,229.07,235.1,229.07,231.5,230.335324769,1593278,0.0000,1.0
2022-10-10,226.54,231.69,225.61,230.44,229.280657623,1695921,0.0000,1.0
2022-10-07,219.79,224.51,219.39,224.32,223.191447309,1270464,0.0000,1.0
2022-10-06,220.0,222.49,219.92,220.5,219.390665708,990662,0.0000,1.0
2022-10-05,222.14,223.52,220.5,220.84,219.72895517,710476,0.0000,1.0
2022-10-04,219.69,224.385,218.705,224.12,222.992453508,1071488,0.0000,1.0
2022-10-03,210.43,219.53,210.0,217.4,216.306261791,1063062,0.0000,1.0
2022-09-30,207.11,210.675,206.89,207.83,206.784408409,1070486,0.0000,1.0
2022-09-29,214.05,215.19,207.92,209.35,208.296761297,703554,0.0000,1.0
2022-09-28,210.6,216.095,207.36,214.57,213.490499506,970334,0.0000,1.0
2022-09-27,216.95,218.4,212.3,212.56,211.490611805,645548,0.0000,1.0
2022-09-26,219.45,220.77,215.2606,215.67,214.584965412,799789,0.0000,1.0
2022-09-23,224.05,224.53,217.52,220.39,219.281219118,859507,0.0000,1.0
2022-09-22,228.13,228.155,223.99,226.01,224.872944929,905961,0.0000,1.0
2022-09-21,233.59,237.12,228.68,228.72,227.569310933,961309,0.0000,1.0
2022-09-20,229.65,229.65,225.17,228.47,227.320568682,682128,0.0000,1.0
2022-09-19,229.15,232.2,225.77,230.07,228.912519091,853343,0.0000,1.0
2022-09-16,226.37,230.34,225.51,230.01,228.85282095,1706885,0.0000,1.0
2022-09-15,233.0,233.48,226.74,228.43,227.280769922,943964,0.0000,1.0
2022-09-14,227.24,234.08,226.87,233.96,232.782948522,1004503,0.0000,1.0
2022-09-13,232.39,235.76,225.38,226.33,225.19133501,1484340,0.0000,1.0
2022-09-12,236.15,236.235,234.15,234.75,233.568974036,752582,0.0000,1.0
2022-09-09,234.09,237.315,233.74,236.14,234.951980954,847797,0.0000,1.0
2022-09-08,233.09,234.509,231.01,233.72,232.544155961,767474,0.0000,1.0
2022-09-07,228.67,233.77,228.16,233.15,231.977023628,928289,0.0000,1.0
2022-09-06,227.19,231.51,226.74,229.77,228.614028389,1254094,0.0000,1.0
2022-09-02,228.62,231.05,225.69,227.2,226.056958045,1092637,0.0000,1.0
2022-09-01,226.23,228.81,226.05,227.49,226.345499057,834683,1.1200,1.0
2022-08-31,231.3,233.5,227.68,228.19,225.929659375,1412372,0.0000,1.0
2022-08-30,234.6,234.84,230.43,231.24,228.949447539,637401,0.0000,1.0
2022-08-29,232.02,235.51,230.81,233.28,230.969240278,684351,0.0000,1.0
2022-08-26,239.4,240.585,233.91,234.06,231.741513972,705678,0.0000,1.0
2022-08-25,233.8,238.57,233.45,238.44,236.078127794,838025,0.0000,1.0
2022-08-24,232.75,234.68,231.9,233.08,230.771221382,896873,0.0000,1.0
2022-08-23,232.25,234.86,230.69,232.14,229.840532571,1515728,0.0000,1.0
2022-08-22,237.35,238.42,230.48,231.2,228.90984376,1108943,0.0000,1.0
2022-08-19,237.95,239.555,237.45,238.43,236.06822685,607895,0.0000,1.0
2022-08-18,241.62,242.9282,238.11,238.38,236.018722126,545314,0.0000,1.0
2022-08-17,237.57,242.36,237.0,239.88,237.503863845,614816,0.0000,1.0
2022-08-16,239.88,240.93,238.06,239.33,236.959311882,450624,0.0000,1.0
2022-08-15,235.97,241.6053,235.465,240.03,237.652378017,663886,0.0000,1.0
