timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,346.68,350.23,343.23,344.59,344.59,2226412,0.0000,1.0
2022-11-25,348.96,351.4,348.075,351.29,351.29,944409,0.0000,1.0
2022-11-23,344.63,350.8,344.15,348.64,348.64,1937368,0.0000,1.0
2022-11-22,339.83,345.32,337.56,344.96,344.96,2510939,0.0000,1.0
2022-11-21,343.0,344.245,337.62,338.25,338.25,1965239,0.0000,1.0
2022-11-18,345.66,348.63,341.33,343.69,343.69,2737666,0.0000,1.0
2022-11-17,339.0,341.92,337.0,341.27,341.27,2004543,0.0000,1.0
2022-11-16,343.16,345.13,340.095,342.76,342.76,2579780,0.0000,1.0
2022-11-15,346.59,351.22,339.49,343.51,343.51,2983623,0.0000,1.0
2022-11-14,336.74,344.5131,336.02,339.37,339.37,2349019,0.0000,1.0
2022-11-11,339.0,342.63,336.36,339.29,339.29,3734766,0.0000,1.0
2022-11-10,331.18,337.4,329.16,337.27,337.27,3254972,0.0000,1.0
2022-11-09,322.28,323.685,315.15,315.64,315.64,3001178,0.0000,1.0
2022-11-08,326.23,329.4,322.26,325.75,325.75,2387459,0.0000,1.0
2022-11-07,322.45,325.8,317.71,325.13,325.13,2742320,0.0000,1.0
2022-11-04,313.84,323.125,313.24,318.37,318.37,3246836,0.0000,1.0
2022-11-03,315.12,316.765,308.6,309.17,309.17,2861062,0.0000,1.0
2022-11-02,331.42,333.0,319.63,319.82,319.82,3075115,0.0000,1.0
2022-11-01,332.22,333.64,327.0932,333.19,333.19,3660459,0.0000,1.0
2022-10-31,328.88,329.44,323.78,328.18,328.18,3157979,0.0000,1.0
2022-10-28,319.31,331.8,317.82,329.47,329.47,3644429,0.0000,1.0
2022-10-27,316.18,323.08,314.06,319.37,319.37,4725832,0.0000,1.0
2022-10-26,312.29,324.45,312.29,319.51,319.51,5281438,0.0000,1.0
2022-10-25,305.91,312.1,305.86,311.41,311.41,3012354,0.0000,1.0
2022-10-24,304.52,307.0,300.5,305.6,305.6,3184066,0.0000,1.0
2022-10-21,294.51,302.7099,293.5,302.37,302.37,3599622,0.0000,1.0
2022-10-20,297.75,302.73,295.61,296.28,296.28,2463932,0.0000,1.0
2022-10-19,295.46,299.635,294.79,297.76,297.76,1914414,0.0000,1.0
