timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,66.68,66.99,66.065,66.15,66.15,3755243,0.0000,1.0
2022-11-25,66.67,66.82,66.485,66.69,66.69,2212168,0.0000,1.0
2022-11-23,66.31,66.7,66.14,66.67,66.67,3235786,0.0000,1.0
2022-11-22,66.245,66.39,65.81,66.31,66.31,4077949,0.0000,1.0
2022-11-21,65.3,65.96,65.045,65.85,65.85,5825015,0.0000,1.0
2022-11-18,64.66,65.09,64.31,64.99,64.99,4973224,0.0000,1.0
2022-11-17,64.31,64.63,64.005,64.45,64.45,5152630,0.0000,1.0
2022-11-16,64.99,65.5501,64.68,65.0,65.0,4711114,0.0000,1.0
2022-11-15,64.79,64.99,64.17,64.65,64.65,5930903,0.0000,1.0
2022-11-14,65.0,65.325,64.06,64.1,64.1,5766764,0.0000,1.0
2022-11-11,65.05,65.19,63.96,64.8,64.8,6384590,0.0000,1.0
2022-11-10,64.76,65.165,63.465,64.98,64.98,8601617,0.0000,1.0
2022-11-09,63.85,64.31,63.3,63.39,63.39,5584372,0.0000,1.0
2022-11-08,64.2,64.7,62.97,63.92,63.92,6772133,0.0000,1.0
2022-11-07,63.4,64.51,63.37,64.39,64.39,6480252,0.0000,1.0
2022-11-04,62.31,63.28,62.12,63.22,63.22,7507330,0.0000,1.0
2022-11-03,62.09,62.645,61.84,62.0,62.0,8159803,0.0000,1.0
2022-11-02,64.95,64.96,62.0,62.58,62.58,11491162,0.0000,1.0
2022-11-01,61.56,62.275,61.54,61.87,61.87,8507530,0.0000,1.0
2022-10-31,61.23,61.99,60.64,61.48,61.48,6840591,0.0000,1.0
2022-10-28,60.66,61.81,60.42,61.7,61.7,6263772,0.0000,1.0
2022-10-27,60.0,60.69,59.74,60.31,60.31,7547600,0.0000,1.0
2022-10-26,59.84,60.54,59.3,59.9,59.9,6620346,0.0000,1.0
2022-10-25,58.83,59.385,58.515,59.31,59.31,7080578,0.0000,1.0
2022-10-24,58.17,58.78,57.8,58.74,58.74,6487764,0.0000,1.0
2022-10-21,56.58,57.43,56.38,57.35,57.35,9719920,0.0000,1.0
2022-10-20,57.75,57.865,56.79,56.91,56.91,5723228,0.0000,1.0
2022-10-19,58.2,58.59,57.37,57.7,57.7,4619002,0.0000,1.0
2022-10-18,58.12,58.695,57.79,58.35,58.35,6349125,0.0000,1.0
2022-10-17,57.61,57.965,57.34,57.44,57.44,7340621,0.0000,1.0
2022-10-14,58.21,58.32,56.84,56.94,56.94,7921978,0.0000,1.0
2022-10-13,56.1,58.03,55.87,57.68,57.68,10000071,0.0000,1.0
2022-10-12,56.94,57.535,56.61,56.83,56.83,8280163,0.0000,1.0
2022-10-11,55.53,56.755,55.37,56.28,56.28,7976186,0.0000,1.0
2022-10-10,55.54,55.855,54.97,55.62,55.62,6944653,0.0000,1.0
2022-10-07,55.85,55.95,54.95,55.26,55.26,6753265,0.0000,1.0
2022-10-06,57.01,57.33,55.8,56.01,56.01,6069732,0.0000,1.0
2022-10-05,57.2,57.645,56.51,57.24,57.24,4901075,0.0000,1.0
2022-10-04,56.84,57.925,56.74,57.53,57.53,11281863,0.0000,1.0
2022-10-03,55.24,56.555,54.845,56.35,56.35,11676234,0.0000,1.0
2022-09-30,56.49,56.7,54.72,54.83,54.83,14651532,0.0000,1.0
2022-09-29,57.62,57.7,56.285,56.67,56.67,7336430,0.3850,1.0
2022-09-28,57.99,58.455,57.2605,58.14,57.7476785558,6262947,0.0000,1.0
2022-09-27,58.69,59.13,57.31,57.58,57.1914573657,7415403,0.0000,1.0
2022-09-26,58.79,59.12,58.095,58.35,57.9562615021,7200062,0.0000,1.0
2022-09-23,59.54,59.7491,58.255,58.95,58.5522127771,6145397,0.0000,1.0
2022-09-22,59.87,60.335,59.5,59.8,59.3964770835,6930457,0.0000,1.0
2022-09-21,59.94,61.05,59.74,59.75,59.3468144773,8873048,0.0000,1.0
2022-09-20,60.04,60.23,59.26,59.75,59.3468144773,6295189,0.0000,1.0
2022-09-19,60.3,60.46,59.85,60.38,59.9725633161,7782729,0.0000,1.0
2022-09-16,59.48,60.39,59.38,60.3,59.8931031461,11923962,0.0000,1.0
2022-09-15,60.09,60.24,59.305,59.57,59.1680290947,6629626,0.0000,1.0
2022-09-14,60.12,60.47,59.925,60.24,59.8335080186,6543466,0.0000,1.0
2022-09-13,61.03,61.27,59.62,59.88,59.4759372535,8652969,0.0000,1.0
2022-09-12,61.62,62.4398,61.445,61.9,61.4823065463,5887210,0.0000,1.0
2022-09-09,61.33,61.75,60.93,61.33,60.916152835,6341335,0.0000,1.0
2022-09-08,61.01,61.25,60.1,60.95,60.5387170274,5605497,0.0000,1.0
2022-09-07,60.05,61.51,59.82,61.42,61.0055455262,8243221,0.0000,1.0
2022-09-06,60.86,60.86,59.76,60.0,59.5951275085,8906675,0.0000,1.0
2022-09-02,62.04,62.45,60.38,60.73,60.3202015599,6262703,0.0000,1.0
2022-09-01,61.54,62.02,60.97,61.97,61.5518341951,7562532,0.0000,1.0
2022-08-31,61.955,62.9,61.82,61.86,61.4425764613,9945141,0.0000,1.0
2022-08-30,62.45,62.55,61.64,61.85,61.4326439401,4850317,0.0000,1.0
2022-08-29,62.23,62.85,61.79,62.48,62.0583927789,5477572,0.0000,1.0
2022-08-26,64.56,64.68,62.57,62.73,62.3067058102,7071872,0.0000,1.0
2022-08-25,64.6,64.97,64.07,64.46,64.0250319867,4375197,0.0000,1.0
2022-08-24,63.78,64.675,63.59,64.6,64.1640872842,5911352,0.0000,1.0
2022-08-23,64.23,64.39,63.645,63.72,63.2900254141,5409797,0.0000,1.0
2022-08-22,65.245,65.48,64.3029,64.51,64.0746945929,5429783,0.0000,1.0
2022-08-19,65.22,65.655,64.96,65.36,64.9189588993,5057112,0.0000,1.0
2022-08-18,65.47,65.74,65.095,65.55,65.1076768031,3596544,0.0000,1.0
2022-08-17,65.78,65.84,65.225,65.51,65.0679467181,4194556,0.0000,1.0
2022-08-16,65.18,66.31,65.06,65.96,65.5149101744,5257228,0.0000,1.0
2022-08-15,64.39,65.38,64.08,65.18,64.7401735168,4763676,0.0000,1.0
2022-08-12,64.49,64.67,63.785,64.2,63.7667864341,4838258,0.0000,1.0
2022-08-11,64.81,65.1,64.13,64.29,63.8561791254,3636419,0.0000,1.0
2022-08-10,64.32,64.66,64.18,64.47,64.0349645079,3597378,0.0000,1.0
2022-08-09,64.16,64.32,63.82,63.93,63.4986083604,3475735,0.0000,1.0
2022-08-08,64.02,64.59,63.71,63.94,63.5085408816,4928688,0.0000,1.0
2022-08-05,64.15,64.15,63.125,63.77,63.3396880203,5679949,0.0000,1.0
2022-08-04,64.97,65.18,64.08,64.25,63.8164490404,5672905,0.0000,1.0
2022-08-03,64.68,65.32,64.475,65.13,64.6905109105,5313978,0.0000,1.0
2022-08-02,65.164,65.164,64.54,64.76,64.3230076242,5186477,0.0000,1.0
2022-08-01,63.92,65.1675,63.9101,64.89,64.4521304005,6121594,0.0000,1.0
2022-07-29,63.43,64.45,63.4,64.04,63.6078660941,6196458,0.0000,1.0
2022-07-28,63.57,64.395,63.15,64.2,63.7667864341,5228602,0.0000,1.0
2022-07-27,62.98,63.82,62.29,63.63,63.2006327228,8297511,0.0000,1.0
2022-07-26,62.45,63.095,61.97,62.94,62.5152887565,7701101,0.0000,1.0
2022-07-25,62.06,63.12,61.9,62.76,62.3365033739,6353371,0.0000,1.0
2022-07-22,61.73,62.03,61.535,61.99,61.5716992376,4779711,0.0000,1.0
2022-07-21,61.41,61.7,60.95,61.35,60.9360178775,4398730,0.0000,1.0
2022-07-20,61.8,61.985,61.02,61.45,61.03534309,6356133,0.0000,1.0
2022-07-19,60.87,61.6,60.6,61.42,61.0055455262,8699662,0.0000,1.0
2022-07-18,60.57,61.01,59.975,60.06,59.6547226361,6884763,0.0000,1.0
2022-07-15,61.63,61.63,60.385,60.74,60.3301340811,6310290,0.0000,1.0
2022-07-14,61.04,61.19,60.26,60.88,60.4691893787,7261416,0.0000,1.0
2022-07-13,62.04,62.65,61.46,61.97,61.5518341951,5062807,0.0000,1.0
2022-07-12,62.72,63.5,62.275,62.56,62.1378529489,5921460,0.0000,1.0
2022-07-11,62.55,62.815,62.015,62.28,61.8597423539,5223549,0.0000,1.0
2022-07-08,62.37,62.83,62.16,62.44,62.0186626939,4951710,0.0000,1.0
2022-07-07,62.32,62.63,61.775,62.37,61.9491350451,9442403,0.0000,1.0
2022-07-06,62.53,62.92,62.14,62.41,61.9888651301,8540544,0.0000,1.0
2022-07-05,63.125,63.2,61.13,62.48,62.0583927789,9230908,0.0000,1.0
2022-07-01,61.55,63.625,61.55,63.34,62.9125896065,9481219,0.0000,1.0
2022-06-30,61.58,62.51,61.51,62.09,61.6710244501,7291072,0.0000,1.0
